t,G,F1,F2,F3
1,0.1782,0,null,null
2,0.1854,0,null,null
3,0.185,0,null,null
4,0.1883,0,null,null
5,0.1866,0,null,null
6,0.1797,0,null,null
7,0.1884,0,null,null
8,0.178,0,null,null
9,0.1769,0,null,null
10,0.1744,0,null,null
11,0.1848,0,null,null
12,0.1888,0,null,null
13,0.1795,0,null,null
14,0.1842,0,null,null
15,0.1889,0,null,null
16,0.1907,0,null,null
17,0.1757,0,null,null
18,0.182,0,null,null
19,0.1808,0,null,null
20,0.1753,0,null,null
21,0.1786,0,null,null
22,0.1851,0,null,null
23,0.1792,0,null,null
24,0.183,0,null,null
25,0.1858,0,null,null
26,0.1812,0,null,null
27,0.1805,0,null,null
28,0.1732,0,null,null
29,0.1845,0,null,null
30,0.1814,0,null,null
31,0.1863,0,null,null
32,0.18,0,null,null
33,0.1823,0,null,null
34,0.1844,0,null,null
35,0.1822,0,null,null
36,0.1784,0,null,null
37,0.1823,0,null,null
38,0.1854,0,null,null
39,0.1786,0,null,null
40,0.176,0,null,null
41,0.1802,0,null,null
42,0.1822,0,null,null
43,0.1847,0,null,null
44,0.1766,0,null,null
45,0.1865,0,null,null
46,0.1752,0,null,null
47,0.1817,0,null,null
48,0.1815,0,null,null
49,0.1791,0,null,null
50,0.1739,0,null,null
51,0.183,0,null,null
52,0.1781,0,null,null
53,0.1819,0,null,null
54,0.1779,0,null,null
55,0.1789,0,null,null
56,0.1786,0,null,null
57,0.1761,0,null,null
58,0.1797,0,null,null
59,0.1859,0,null,null
60,0.1807,0,null,null
61,0.1866,0,null,null
62,0.1825,0,null,null
63,0.1801,0,null,null
64,0.1826,0,null,null
65,0.1742,0,null,null
66,0.1854,0,null,null
67,0.1823,0,null,null
68,0.1777,0,null,null
69,0.1834,0,null,null
70,0.1876,0,null,null
71,0.182,0,null,null
72,0.1726,0,null,null
73,0.1759,0,null,null
74,0.1745,0,null,null
75,0.1794,0,null,null
76,0.1824,0,null,null
77,0.1474,0,null,null
78,0.1502,0,null,null
79,0.149,0,null,null
80,0.1519,0,null,null
81,0.1512,0,null,null
82,0.1499,0,null,null
83,0.1468,0,null,null
84,0.148,0,null,null
85,0.1515,0,null,null
86,0.152,0,null,null
87,0.1509,0,null,null
88,0.1413,0,null,null
89,0.1466,0,null,null
90,0.15,0,null,null
91,0.1507,0,null,null
92,0.1515,0,null,null
93,0.1483,0,null,null
94,0.1537,0,null,null
95,0.1518,0,null,null
96,0.1475,0,null,null
97,0.1482,0,null,null
98,0.1458,0,null,null
99,0.1528,0,null,null
100,0.1459,0,null,null
101,0.1506,0,null,null
102,0.1495,0,null,null
103,0.1524,0,null,null
104,0.1499,0,null,null
105,0.1507,0,null,null
106,0.1506,0,null,null
107,0.1501,0,null,null
108,0.1453,0,null,null
109,0.148,0,null,null
110,0.1506,0,null,null
111,0.1491,0,null,null
112,0.1461,0,null,null
113,0.1483,0,null,null
114,0.1468,0,null,null
115,0.152,0,null,null
116,0.1482,0,null,null
117,0.1491,0,null,null
118,0.1473,0,null,null
119,0.1486,0,null,null
120,0.1516,0,null,null
121,0.1462,0,null,null
122,0.151,0,null,null
123,0.1516,0,null,null
124,0.1491,0,null,null
125,0.148,0,null,null
126,0.1507,0,null,null
127,0.1485,0,null,null
128,0.1511,0,null,null
129,0.1495,0,null,null
130,0.1475,0,null,null
131,0.1498,0,null,null
132,0.147,0,null,null
133,0.1503,0,null,null
134,0.1549,0,null,null
135,0.1533,0,null,null
136,0.15,0,null,null
137,0.1487,0,null,null
138,0.1509,0,null,null
139,0.1493,0,null,null
140,0.1523,0,null,null
141,0.1505,0,null,null
142,0.1505,0,null,null
143,0.1475,0,null,null
144,0.1463,0,null,null
145,0.1464,0,null,null
146,0.1492,0,null,null
147,0.15,0,null,null
148,0.146,0,null,null
149,0.1545,0,null,null
150,0.1491,0,null,null
151,0.1497,0,null,null
152,0.1528,0,null,null
153,0.1521,0,null,null
154,0.1445,0,null,null
155,0.1506,0,null,null
156,0.1476,0,null,null
157,0.148,0,null,null
158,0.1478,0,null,null
159,0.1458,0,null,null
160,0.146,0,null,null
161,0.1453,0,null,null
162,0.1518,0,null,null
163,0.1455,0,null,null
164,0.1497,0,null,null
165,0.1457,0,null,null
166,0.1496,0,null,null
167,0.1462,0,null,null
168,0.1478,0,null,null
169,0.1455,0,null,null
170,0.1504,0,null,null
171,0.1482,0,null,null
172,0.1472,0,null,null
173,0.1446,0,null,null
174,0.1477,0,null,null
175,0.145,0,null,null
176,0.1458,0,null,null
177,0.148,0,null,null
178,0.1489,0,null,null
179,0.1487,0,null,null
180,0.1454,0,null,null
181,0.1539,0,null,null
182,0.1475,0,null,null
183,0.1479,0,null,null
184,0.1497,0,null,null
185,0.1514,0,null,null
186,0.1545,0,null,null
187,0.1461,0,null,null
188,0.1445,0,null,null
189,0.1478,0,null,null
190,0.1489,0,null,null
191,0.1517,0,null,null
192,0.148,0,null,null
193,0.1527,0,null,null
194,0.1501,0,null,null
195,0.1474,0,null,null
196,0.1449,0,null,null
197,0.1473,0,null,null
198,0.1523,0,null,null
199,0.1489,0,null,null
200,0.1493,0,null,null
201,0.1478,0,null,null
202,0.1484,0,null,null
203,0.1502,0,null,null
204,0.1516,0,null,null
205,0.1487,0,null,null
206,0.1437,0,null,null
207,0.1513,0,null,null
208,0.1488,0,null,null
209,0.1463,0,null,null
210,0.1502,0,null,null
211,0.151,0,null,null
212,0.1518,0,null,null
213,0.1526,0,null,null
214,0.1497,0,null,null
215,0.1498,0,null,null
216,0.1518,0,null,null
217,0.1508,0,null,null
218,0.1484,0,null,null
219,0.1501,0,null,null
220,0.1473,0,null,null
221,0.1463,0,null,null
222,0.1471,0,null,null
223,0.1485,0,null,null
224,0.1484,0,null,null
225,0.149,0,null,null
226,0.1441,0,null,null
227,0.1504,0,null,null
228,0.1523,0,null,null
229,0.1525,0,null,null
230,0.1487,0,null,null
231,0.1453,0,null,null
232,0.1488,0,null,null
233,0.15,0,null,null
234,0.1477,0,null,null
235,0.1483,0,null,null
236,0.1481,0,null,null
237,0.1501,0,null,null
238,0.1458,0,null,null
239,0.1517,0,null,null
240,0.1534,0,null,null
241,0.1455,0,null,null
242,0.1484,0,null,null
243,0.1471,0,null,null
244,0.1446,0,null,null
245,0.1517,0,null,null
246,0.07224,0,null,null
247,0.07078,0,null,null
248,0.07171,0,null,null
249,0.06937,0,null,null
250,0.07294,0,null,null
251,0.07221,0,null,null
252,0.07364,0,null,null
253,0.0736,0,null,null
254,0.07052,0,null,null
255,0.07226,0,null,null
256,0.07269,0,null,null
257,0.0724,0,null,null
258,0.07307,0,null,null
259,0.07207,0,null,null
260,0.07271,0,null,null
261,0.07068,0,null,null
262,0.07244,0,null,null
263,0.07271,0,null,null
264,0.07251,0,null,null
265,0.07368,0,null,null
266,0.07319,0,null,null
267,0.07149,0,null,null
268,0.07534,0,null,null
269,0.07131,0,null,null
270,0.07334,0,null,null
271,0.07513,0,null,null
272,0.07238,0,null,null
273,0.07085,0,null,null
274,0.07097,0,null,null
275,0.06953,0,null,null
276,0.0736,0,null,null
277,0.07396,0,null,null
278,0.07243,0,null,null
279,0.07398,0,null,null
280,0.07308,0,null,null
281,0.07239,0,null,null
282,0.07353,0,null,null
283,0.07385,0,null,null
284,0.07189,0,null,null
285,0.0725,0,null,null
286,0.07398,0,null,null
287,0.07329,0,null,null
288,0.07055,0,null,null
289,0.07111,0,null,null
290,0.07226,0,null,null
291,0.07006,0,null,null
292,0.07125,0,null,null
293,0.07128,0,null,null
294,0.07149,0,null,null
295,0.07187,0,null,null
296,0.07056,0,null,null
297,0.07181,0,null,null
298,0.07273,0,null,null
299,0.07039,0,null,null
300,0.07303,0,null,null
301,0.06998,0,null,null
302,0.07546,0,null,null
303,0.07168,0,null,null
304,0.07096,0,null,null
305,0.0745,0,null,null
306,0.07521,0,null,null
307,0.07265,0,null,null
308,0.07231,0,null,null
309,0.06982,0,null,null
310,0.07086,0,null,null
311,0.07236,0,null,null
312,0.07111,0,null,null
313,0.06953,0,null,null
314,0.07162,0,null,null
315,0.0727,0,null,null
316,0.07236,0,null,null
317,0.06882,0,null,null
318,0.0707,0,null,null
319,0.07185,0,null,null
320,0.07306,0,null,null
321,0.06996,0,null,null
322,0.07112,0,null,null
323,0.07456,0,null,null
324,0.07109,0,null,null
325,0.07374,0,null,null
326,0.07162,0,null,null
327,0.07072,0,null,null
328,0.06863,0,null,null
329,0.06973,0,null,null
330,0.07282,0,null,null
331,0.07269,0,null,null
332,0.07286,0,null,null
333,0.07016,0,null,null
334,0.07175,0,null,null
335,0.07162,0,null,null
336,0.0718,0,null,null
337,0.07335,0,null,null
338,0.07317,0,null,null
339,0.07332,0,null,null
340,0.07256,0,null,null
341,0.07395,0,null,null
342,0.07078,0,null,null
343,0.07378,0,null,null
344,0.07375,0,null,null
345,0.07367,0,null,null
346,0.06947,0,null,null
347,0.07215,0,null,null
348,0.07234,0,null,null
349,0.07367,0,null,null
350,0.07282,0,null,null
351,0.07225,0,null,null
352,0.07472,0,null,null
353,0.07252,0,null,null
354,0.07077,0,null,null
355,0.07265,0,null,null
356,0.07301,0,null,null
357,0.07002,0,null,null
358,0.07095,0,null,null
359,0.07275,0,null,null
360,0.07105,0,null,null
361,0.07167,0,null,null
362,0.07356,0,null,null
363,0.07373,0,null,null
364,0.07263,0,null,null
365,0.07382,0,null,null
366,0.07314,0,null,null
367,0.0722,0,null,null
368,0.07201,0,null,null
369,0.07142,0,null,null
370,0.0691,0,null,null
371,0.06965,0,null,null
372,0.07158,0,null,null
373,0.07019,0,null,null
374,0.07137,0,null,null
375,0.07387,0,null,null
376,0.07014,0,null,null
377,0.07067,0,null,null
378,0.07061,0,null,null
379,0.07073,0,null,null
380,0.07094,0,null,null
381,0.06913,0,null,null
382,0.07016,0,null,null
383,0.07079,0,null,null
384,0.0698,0,null,null
385,0.07017,0,null,null
386,0.07253,0,null,null
387,0.07234,0,null,null
388,0.07281,0,null,null
389,0.07069,0,null,null
390,0.07095,0,null,null
391,0.0708,0,null,null
392,0.07136,0,null,null
393,0.06988,0,null,null
394,0.0719,0,null,null
395,0.07122,0,null,null
396,0.06951,0,null,null
397,0.07032,0,null,null
398,0.06986,0,null,null
399,0.07308,0,null,null
400,0.07236,0,null,null
401,0.07475,0,null,null
402,0.07403,0,null,null
403,0.07143,0,null,null
404,0.06924,0,null,null
405,0.07151,0,null,null
406,0.0699,0,null,null
407,0.07049,0,null,null
408,0.07111,0,null,null
409,0.07308,0,null,null
410,0.07152,0,null,null
411,0.07468,0,null,null
412,0.07251,0,null,null
413,0.07464,0,null,null
414,0.07085,0,null,null
415,0.06875,0,null,null
416,0.06931,0,null,null
417,0.06935,0,null,null
418,0.07172,0,null,null
419,0.073,0,null,null
420,0.07257,0,null,null
421,0.07059,0,null,null
422,0.07075,0,null,null
423,0.07197,0,null,null
424,0.07251,0,null,null
425,0.07351,0,null,null
426,0.07257,0,null,null
427,0.0741,0,null,null
428,0.07102,0,null,null
429,0.06927,0,null,null
430,0.07297,0,null,null
431,0.06982,0,null,null
432,0.07071,0,null,null
433,0.07311,0,null,null
434,0.06985,0,null,null
435,0.0718,0,null,null
436,0.07192,0,null,null
437,0.07151,0,null,null
438,0.07111,0,null,null
439,0.07507,0,null,null
440,0.07567,0,null,null
441,0.07206,0,null,null
442,0.07117,0,null,null
443,0.07212,0,null,null
444,0.06978,0,null,null
445,0.07306,0,null,null
446,0.07268,0,null,null
447,0.07255,0,null,null
448,0.07332,0,null,null
449,0.07207,0,null,null
450,0.074,0,null,null
451,0.07113,0,null,null
452,0.07306,0,null,null
453,0.07107,0,null,null
454,0.07212,0,null,null
455,0.07014,0,null,null
456,0.07346,0,null,null
457,0.07084,0,null,null
458,0.07265,0,null,null
459,0.07299,0,null,null
460,0.07371,0,null,null
461,0.07102,0,null,null
462,0.07027,0,null,null
463,0.07082,0,null,null
464,0.07052,0,null,null
465,0.07221,0,null,null
466,0.07111,0,null,null
467,0.07046,0,null,null
468,0.07341,0,null,null
469,0.0721,0,null,null
470,0.07328,0,null,null
471,0.07043,0,null,null
472,0.07173,0,null,null
473,0.07338,0,null,null
474,0.07314,0,null,null
475,0.07123,0,null,null
476,0.06962,0,null,null
477,0.07378,0,null,null
478,0.07398,0,null,null
479,0.07235,0,null,null
480,0.07324,0,null,null
481,0.07181,0,null,null
482,0.0705,0,null,null
483,0.07133,0,null,null
484,0.06992,0,null,null
485,0.07388,0,null,null
486,0.07067,0,null,null
487,0.07277,0,null,null
488,0.0716,0,null,null
489,0.07164,0,null,null
490,0.07205,0,null,null
491,0.07149,0,null,null
492,0.0707,0,null,null
493,0.07212,0,null,null
494,0.07455,0,null,null
495,0.07141,0,null,null
496,0.07233,0,null,null
497,0.0746,0,null,null
498,0.07077,0,null,null
499,0.07366,0,null,null
500,0.07157,0,null,null
501,0.07372,0,null,null
502,0.07105,0,null,null
503,0.07168,0,null,null
504,0.0714,0,null,null
505,0.07176,0,null,null
506,0.07056,0,null,null
507,0.07196,0,null,null
508,0.07303,0,null,null
509,0.07199,0,null,null
510,0.0733,0,null,null
511,0.06928,0,null,null
512,0.07331,0,null,null
513,0.07358,0,null,null
514,0.07178,0,null,null
515,0.07329,0,null,null
516,0.07212,0,null,null
517,0.07353,0,null,null
518,0.0754,0,null,null
519,0.07174,0,null,null
520,0.07165,0,null,null
521,0.07039,0,null,null
522,0.0698,0,null,null
523,0.07072,0,null,null
524,0.06854,0,null,null
525,0.07014,0,null,null
526,0.07079,0,null,null
527,0.07268,0,null,null
528,0.07196,0,null,null
529,0.07241,0,null,null
530,0.07024,0,null,null
531,0.07548,0,null,null
532,0.07282,0,null,null
533,0.06963,0,null,null
534,0.07139,0,null,null
535,0.06923,0,null,null
536,0.06923,0,null,null
537,0.07262,0,null,null
538,0.07394,0,null,null
539,0.07273,0,null,null
540,0.07123,0,null,null
541,0.07227,0,null,null
542,0.07141,0,null,null
543,0.07229,0,null,null
544,0.06896,0,null,null
545,0.07122,0,null,null
546,0.07274,0,null,null
547,0.07314,0,null,null
548,0.07238,0,null,null
549,0.07235,0,null,null
550,0.07404,0,null,null
551,0.07351,0,null,null
552,0.07192,0,null,null
553,0.07208,0,null,null
554,0.07205,0,null,null
555,0.07362,0,null,null
556,0.0729,0,null,null
557,0.07165,0,null,null
558,0.07105,0,null,null
559,0.07277,0,null,null
560,0.07271,0,null,null
561,0.07264,0,null,null
562,0.07119,0,null,null
563,0.07133,0,null,null
564,0.07063,0,null,null
565,0.06948,0,null,null
566,0.06907,0,null,null
567,0.07014,0,null,null
