ReTr(Lx),ImTr(Lx)
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
0.236497,-0.358686
