ReTr(Lx),ImTr(Lx)
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.572855,-0.75978
0.160387,-0.354986
-0.173215,-0.138939
-0.0320636,0.0486612
-0.0522795,-0.105504
-0.295685,0.058748
-0.108268,-0.102346
-0.0307561,-0.172712
0.173551,-0.0062737
0.0207204,0.113022
-0.100079,0.100173
-0.0829505,0.100208
0.130029,-0.202541
0.00497568,-0.14327
0.054188,-0.058889
-0.0738155,-0.10132
0.186918,-0.170209
-0.213573,-0.184566
-0.0121986,0.050515
0.191173,0.081669
-0.102116,-0.0186444
-0.102116,-0.0186444
0.189725,0.248185
0.0747825,-0.12597
-0.232788,0.155741
-0.100581,0.0664885
0.0425692,0.0298062
-0.122675,0.107914
-0.220004,0.111092
0.070726,-0.0638545
-0.134764,-0.0387264
0.0093159,0.029606
-0.214854,-0.075091
-0.0495952,-0.082974
-0.136811,-0.0835525
-0.179745,-0.0490507
0.0424689,-0.0089788
0.06546,-0.100295
-0.071755,0.0451411
-0.0228495,-0.05438
-0.0227863,0.181249
-0.187604,0.0666155
0.0379227,0.00298739
-0.19949,0.103661
0.101324,-0.00359667
0.0084104,0.0102609
0.115446,-0.050078
0.0146895,-0.182243
-0.128026,-0.14361
0.189017,-0.082687
-0.0083902,0.0263714
-0.17172,-0.05668
-0.222276,0.102998
0.109131,-0.0229742
0.213998,0.069086
-0.00062413,0.217873
-0.0266486,-0.120784
0.0411733,-0.0334098
-0.057403,0.184825
0.22899,0.26189
-0.0748845,0.149484
-0.177184,0.233533
0.063428,0.221306
-0.0275957,0.0625355
-0.0986705,0.0919455
-0.087978,-0.123518
-0.128062,-0.165023
0.107268,0.159902
0.078676,-0.105631
-0.205612,-0.10816
0.0599645,-0.10924
-0.0669605,-0.142405
0.0694855,-0.0607255
0.0039248,-0.193334
0.0578475,-0.10619
-0.233867,0.058067
0.054326,-0.086191
0.0537635,0.0833495
-0.080932,0.125907
-0.0307436,-0.114578
0.0576585,0.171715
0.0379491,0.131485
0.0632745,0.0282197
-0.190487,0.116659
0.149159,0.087171
-0.18136,0.0768945
-0.0429887,0.168175
0.010042,-0.0323063
-0.094828,-0.0478739
-0.149521,-0.280721
-0.134654,-0.0479904
0.081379,-0.234442
0.161459,-0.0326699
0.0791105,-0.107291
-0.114848,0.103261
0.0468099,-0.0171402
-0.0294908,-0.0327058
-0.166235,-0.209613
-0.0670805,0.256841
0.112244,-0.171984
0.103283,0.19913
0.0414174,-0.151268
-0.060669,-0.14632
-0.17831,0.13621
0.146708,0.0837865
0.146708,0.0837865
-0.15845,-0.10619
0.128444,-0.220956
0.0663755,-0.203445
0.0131291,0.103722
0.0275688,0.0397115
-0.05882,0.260371
0.0920775,0.056263
-0.102529,0.0190945
-0.070353,-0.0236881
0.215897,-0.0823565
0.084528,-0.175083
-0.199562,0.0887985
-0.0061614,0.082901
0.217863,-0.324762
-0.112587,0.00874735
-0.12442,0.0278482
0.12072,-0.221495
0.175354,-0.0934235
-0.14146,0.063869
-0.0597125,-0.125487
0.086226,-0.068778
0.093421,0.0072754
0.00174801,0.102229
-0.118793,-0.197362
0.258281,-0.162897
-0.106682,0.148061
0.192274,-0.127602
-0.060512,-0.0694795
0.139237,0.278703
0.0207248,0.0414958
0.035665,0.0340448
-0.113148,-0.268941
-0.10075,0.135498
0.102598,-0.0644685
0.206866,-0.206069
-0.147721,0.0643905
0.105535,-0.081877
0.0942195,0.026106
0.0195059,-0.074224
-0.15239,-0.0868095
-0.172818,-0.213422
0.0291033,0.143068
0.0235168,-0.199672
-0.11144,-0.0719925
0.00902455,0.245416
-0.049119,-0.0828075
-0.191723,-0.113457
0.0975875,-0.356996
-0.000479902,0.0428798
0.100202,-0.0985415
