ReTr(L),ImTr(L)
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
-4.10037e-05,-0.00156989
