MDTU,min_width,max_width
2,0,0
4,0,0
6,0,0
8,0,0
10,0,0
12,0,0
14,0,0
16,0,0
18,0,0
20,0,0
22,0,0
24,0,0
26,0,0
28,0,0
30,0,0
32,0,0
34,0,0
36,0,0
38,0,0
40,0,0
42,0,0
44,0,0
46,0,0
48,0,0
50,0,0
52,0,0
54,0,0
56,0,0
58,0,0
60,0,0
62,0,0
64,0,0
66,0,0
68,0,0
70,0,0
72,0,0
74,0,0
76,0,0
78,0,0
80,0,0
82,0,0
84,0,0
86,0,0
88,0,0
90,0,0
92,0,0
94,0,0
96,0,0
98,0,0
100,0,0
102,0,0
104,0,0
106,0,0
108,0,0
110,0,0
112,0,0
114,0,0
116,0,0
118,0,0
120,0,0
122,0,0
124,0,0
126,0,0
128,0,0
130,0,0
132,0,0
134,0,0
136,0,0
138,0,0
140,0,0
142,0,0
144,0,0
146,0,0
148,0,0
150,0,0
152,0.398714,0.270859
154,0.398714,0.270859
156,0.398714,0.270859
158,0.398714,0.270859
160,0.398714,0.270859
162,0.398714,0.270859
164,0.398714,0.270859
166,0.398714,0.270859
168,0.398714,0.270859
170,0.398714,0.270859
172,0.398714,0.270859
174,0.398714,0.270859
176,0.398714,0.270859
178,0.398714,0.270859
180,0.398714,0.270859
182,0.398714,0.270859
184,0.398714,0.270859
186,0.398714,0.270859
188,0.398714,0.270859
190,0.398714,0.270859
192,0.398714,0.270859
194,0.398714,0.270859
196,0.398714,0.270859
198,0.398714,0.270859
200,0.398714,0.270859
202,0.398714,0.270859
204,0.398714,0.270859
206,0.398714,0.270859
208,0.398714,0.270859
210,0.398714,0.270859
212,0.398714,0.270859
214,0.398714,0.270859
216,0.398714,0.270859
218,0.398714,0.270859
220,0.398714,0.270859
222,0.398714,0.270859
224,0.398714,0.270859
226,0.398714,0.270859
228,0.398714,0.270859
230,0.398714,0.270859
232,0.398714,0.270859
234,0.398714,0.270859
236,0.398714,0.270859
238,0.398714,0.270859
240,0.398714,0.270859
242,0.398714,0.270859
244,0.398714,0.270859
246,0.398714,0.270859
248,0.398714,0.270859
250,0.398714,0.270859
252,0.398714,0.270859
254,0.398714,0.270859
256,0.398714,0.270859
258,0.398714,0.270859
260,0.398714,0.270859
262,0.398714,0.270859
264,0.398714,0.270859
266,0.398714,0.270859
268,0.398714,0.270859
270,0.398714,0.270859
272,0.398714,0.270859
274,0.398714,0.270859
276,0.398714,0.270859
278,0.398714,0.270859
280,0.398714,0.270859
282,0.398714,0.270859
284,0.398714,0.270859
286,0.398714,0.270859
288,0.398714,0.270859
290,0.398714,0.270859
292,0.398714,0.270859
294,0.398714,0.270859
296,0.398714,0.270859
298,0.398714,0.270859
300,0.398714,0.270859
302,0.398714,0.270859
304,0.398714,0.270859
306,0.398714,0.270859
308,0.398714,0.270859
310,0.398714,0.270859
312,0.398714,0.270859
314,0.398714,0.270859
316,0.398714,0.270859
318,0.398714,0.270859
320,0.398714,0.270859
322,0.398714,0.270859
324,0.398714,0.270859
326,0.398714,0.270859
328,0.398714,0.270859
330,0.398714,0.270859
332,0.398714,0.270859
334,0.398714,0.270859
336,0.398714,0.270859
338,0.398714,0.270859
340,0.398714,0.270859
342,0.398714,0.270859
344,0.398714,0.270859
346,0.398714,0.270859
348,0.398714,0.270859
350,0.398714,0.270859
352,0.398714,0.270859
354,0.398714,0.270859
356,0.398714,0.270859
358,0.398714,0.270859
360,0.398714,0.270859
362,0.398714,0.270859
364,0.398714,0.270859
366,0.398714,0.270859
368,0.398714,0.270859
370,0.398714,0.270859
372,0.398714,0.270859
374,0.398714,0.270859
376,0.398714,0.270859
378,0.398714,0.270859
380,0.398714,0.270859
382,0.398714,0.270859
384,0.398714,0.270859
386,0.398714,0.270859
388,0.398714,0.270859
390,0.398714,0.270859
392,0.398714,0.270859
394,0.398714,0.270859
396,0.398714,0.270859
398,0.398714,0.270859
400,0.398714,0.270859
402,0.398714,0.270859
404,0.398714,0.270859
406,0.398714,0.270859
408,0.398714,0.270859
410,0.398714,0.270859
412,0.398714,0.270859
414,0.398714,0.270859
416,0.398714,0.270859
418,0.398714,0.270859
420,0.398714,0.270859
422,0.398714,0.270859
424,0.398714,0.270859
426,0.398714,0.270859
428,0.398714,0.270859
430,0.398714,0.270859
432,0.398714,0.270859
434,0.398714,0.270859
436,0.398714,0.270859
438,0.398714,0.270859
440,0.398714,0.270859
442,0.398714,0.270859
444,0.398714,0.270859
446,0.398714,0.270859
448,0.398714,0.270859
450,0.398714,0.270859
452,0.398714,0.270859
454,0.398714,0.270859
456,0.398714,0.270859
458,0.398714,0.270859
460,0.398714,0.270859
462,0.398714,0.270859
464,0.398714,0.270859
466,0.398714,0.270859
468,0.398714,0.270859
470,0.398714,0.270859
472,0.398714,0.270859
474,0.398714,0.270859
476,0.398714,0.270859
478,0.398714,0.270859
480,0.398714,0.270859
482,0.398714,0.270859
484,0.398714,0.270859
486,0.398714,0.270859
488,0.398714,0.270859
490,0.837875,0.366376
492,0.677035,0.291386
494,0.630854,0.311685
496,0.628554,0.28366
498,0.647538,0.274772
500,0.649243,0.31957
502,0.58984,0.271139
504,0.667193,0.26481
506,0.66845,0.283615
508,0.673672,0.261998
510,0.684564,0.280061
512,0.710572,0.284149
514,0.610508,0.274946
516,0.569034,0.300629
518,0.667275,0.274786
520,0.718622,0.297109
522,0.658954,0.302864
524,0.68752,0.259569
526,0.65392,0.284774
528,0.593967,0.313182
530,0.593967,0.313182
532,0.645881,0.261168
534,0.618529,0.292759
536,0.616962,0.257288
538,0.644413,0.264217
540,0.622012,0.302133
542,0.599125,0.275267
544,0.665404,0.320659
546,0.625804,0.293829
548,0.642667,0.299045
550,0.690238,0.282569
552,0.649327,0.278357
554,0.62569,0.311767
556,0.648071,0.317474
558,0.610815,0.272319
560,0.635823,0.278254
562,0.540646,0.283797
564,0.637532,0.289235
566,0.65217,0.285344
568,0.730841,0.30412
570,0.613853,0.282689
572,0.696729,0.305992
574,0.671049,0.265541
576,0.606733,0.264984
578,0.65182,0.277961
580,0.651094,0.260826
582,0.543631,0.283849
584,0.560212,0.302631
586,0.658764,0.302236
588,0.643645,0.281742
590,0.660191,0.252406
592,0.686115,0.307576
594,0.697068,0.290576
