MDTU,S_B
2,0.472431
4,0.533621
6,0.528205
8,0.552877
10,0.561408
12,0.545907
14,0.545907
16,0.532737
18,0.537857
20,0.562318
22,0.52634
24,0.545613
26,0.544331
28,0.527117
30,0.524694
32,0.555406
34,0.542565
36,0.542565
38,0.542565
40,0.510942
42,0.546232
44,0.558428
46,0.537364
48,0.533212
50,0.537697
52,0.55481
54,0.516588
56,0.528426
58,0.563986
60,0.541548
62,0.537653
64,0.550007
66,0.552128
68,0.530024
70,0.570028
72,0.556996
74,0.541998
76,0.528752
78,0.558795
80,0.558795
82,0.505245
84,0.517386
86,0.545415
88,0.535978
90,0.545093
92,0.5123
94,0.551043
96,0.528704
98,0.539545
100,0.534783
102,0.509779
104,0.527751
106,0.566821
108,0.537436
110,0.556183
112,0.529792
114,0.55086
116,0.574269
118,0.551045
120,0.527298
122,0.536866
124,0.527829
126,0.537125
128,0.535145
130,0.562941
132,0.51906
134,0.501323
136,0.547449
138,0.512846
140,0.532729
142,0.53759
144,0.531784
146,0.536196
148,0.530728
150,0.548341
152,0.542114
154,0.521767
156,0.521767
158,0.518755
160,0.504038
162,0.512062
164,0.513325
166,0.513325
168,0.533569
170,0.526032
172,0.533387
174,0.507047
176,0.515386
178,0.549747
180,0.549747
182,0.540661
184,0.572216
186,0.572216
188,0.557873
190,0.517536
192,0.497953
194,0.540346
196,0.546755
198,0.550619
200,0.527119
202,0.544581
204,0.520879
206,0.519432
208,0.524205
210,0.538077
212,0.558224
214,0.570483
216,0.569437
218,0.53634
220,0.525037
222,0.541097
224,0.543722
226,0.537942
228,0.535013
230,0.525138
232,0.544862
234,0.555484
236,0.555484
238,0.555484
240,0.52612
242,0.542073
244,0.51314
246,0.551629
248,0.563981
250,0.525705
252,0.556005
254,0.528353
256,0.530651
258,0.536502
260,0.540901
262,0.507342
264,0.496098
266,0.545906
268,0.540207
270,0.552882
272,0.52262
274,0.537997
276,0.581071
278,0.553781
280,0.554477
282,0.509499
284,0.509499
286,0.528557
288,0.551865
290,0.546341
292,0.52761
294,0.52761
296,0.533567
298,0.530509
300,0.530695
302,0.523668
304,0.543406
306,0.528592
308,0.545227
310,0.584578
312,0.517516
314,0.530162
316,0.519803
318,0.549572
320,0.562211
322,0.52313
324,0.5343
326,0.526329
328,0.493906
330,0.539607
332,0.568008
334,0.540968
336,0.540731
338,0.540731
340,0.546309
342,0.565564
344,0.531194
346,0.571593
348,0.545401
350,0.53079
352,0.525052
354,0.532092
356,0.561889
358,0.573012
360,0.527411
362,0.543742
364,0.521139
366,0.525779
368,0.52445
370,0.524294
372,0.531066
374,0.534733
376,0.529234
378,0.526795
380,0.522175
382,0.525133
384,0.495642
386,0.535431
388,0.527758
390,0.526053
392,0.575656
394,0.539145
396,0.527148
398,0.525798
400,0.531173
402,0.521663
404,0.518012
406,0.535969
408,0.535969
410,0.535969
412,0.51699
414,0.525647
416,0.505209
418,0.537866
420,0.532521
422,0.531393
424,0.526899
426,0.542697
428,0.563706
430,0.563706
432,0.514354
434,0.535109
436,0.535109
438,0.529818
440,0.528174
442,0.512416
444,0.51276
446,0.509508
448,0.49394
450,0.544625
452,0.55628
454,0.55628
456,0.523509
458,0.542762
460,0.520292
462,0.554565
464,0.549101
466,0.521641
468,0.534479
470,0.526922
472,0.546134
474,0.510269
476,0.539519
478,0.536334
480,0.553246
482,0.552894
484,0.529657
486,0.531255
488,0.525522
490,0.52534
492,0.542648
494,0.51312
496,0.527481
498,0.51288
500,0.522533
502,0.527226
504,0.54886
506,0.532996
508,0.56736
510,0.53939
512,0.525782
514,0.569993
516,0.502343
518,0.502343
520,0.537219
522,0.537219
524,0.543359
526,0.597023
528,0.597023
530,0.597023
532,0.536655
534,0.544684
536,0.559363
538,0.557426
540,0.548409
542,0.544753
544,0.539541
546,0.564895
548,0.564895
550,0.54203
552,0.516478
554,0.527988
556,0.508469
558,0.533586
560,0.533586
562,0.571513
564,0.560902
566,0.560902
568,0.536973
570,0.539709
572,0.547803
574,0.517172
576,0.496108
578,0.531226
580,0.527693
582,0.534633
584,0.541247
586,0.552979
588,0.534421
590,0.528008
592,0.498526
594,0.536383
596,0.553195
598,0.571672
600,0.571672
602,0.549393
604,0.549393
606,0.549393
608,0.556554
610,0.530622
612,0.547575
614,0.546314
616,0.544116
618,0.543731
620,0.514919
622,0.539563
624,0.510034
626,0.545649
628,0.553873
630,0.537238
632,0.539023
634,0.593778
636,0.549589
638,0.567358
640,0.578698
642,0.578698
644,0.548032
646,0.5392
648,0.559306
650,0.508384
652,0.5373
654,0.512494
656,0.530618
658,0.51875
660,0.547993
662,0.582818
664,0.512967
666,0.538647
668,0.54962
670,0.576921
672,0.557355
674,0.577866
676,0.52769
678,0.536525
680,0.543015
682,0.571731
684,0.571731
686,0.527271
688,0.50356
690,0.537623
692,0.540595
694,0.543045
696,0.529788
698,0.527341
700,0.541
702,0.53551
704,0.563122
706,0.553739
708,0.539835
710,0.523765
712,0.544723
714,0.552009
716,0.542969
718,0.528855
720,0.523856
722,0.52643
