t,deltaS
1,-3.46
2,-1.291
3,-0.444
4,-0.409
5,-0.09378
6,0.2456
7,0.2853
8,-0.2357
9,0.07007
10,-0.03169
11,0.0932
12,-0.3037
13,0.07446
14,-0.08118
15,0.07357
16,-0.226
17,0.05247
18,0.2408
19,0.06411
20,0.1724
21,-0.03009
22,-0.09132
23,-0.02758
24,-0.01127
25,-0.2106
26,-0.2136
27,0.2354
28,0.2486
29,-0.276
30,-0.02875
31,0.03942
32,-0.2157
33,0.1588
34,0.07739
35,-0.06816
36,-0.4233
37,0.2391
38,-0.1181
39,-0.07376
40,0.328
41,0.3332
42,-0.1641
43,0.3126
44,-0.195
45,-0.172
46,-0.02335
47,0.0664
48,0.1559
49,-0.06242
50,0.05035
51,0.1428
52,0.09551
53,-0.07605
54,-0.1035
55,0.1394
56,-0.2039
57,0.2496
58,-0.3976
59,0.4303
60,-0.1015
61,0.2336
62,-0.006301
63,-0.2632
64,-0.007865
65,-0.1515
66,0.315
67,0.2142
68,-0.6503
69,0.3104
70,-0.2369
71,-0.1052
72,0.02782
73,-0.1038
74,0.07852
75,-0.1321
76,-0.06902
77,0.1743
78,0.1075
79,-0.06614
80,0.3057
81,-0.229
82,-0.07064
83,0.09663
84,-0.1171
85,0.1017
86,0.001051
87,-0.01309
88,0.006346
89,-0.1109
90,0.185
91,0.04166
92,0.01515
93,0.3987
94,0.00395
95,0.1356
96,0.3262
97,-0.2092
98,-0.06432
99,-0.09927
100,-0.1921
101,-0.0688
102,0.1766
103,0.1705
104,0.2572
105,-0.1437
106,-0.237
107,0.2327
108,-0.2773
109,0.0561
110,0.1681
111,0.02805
112,0.03989
113,0.1015
114,0.2467
115,-0.155
116,-0.001008
117,-0.03405
118,0.4568
119,0.4441
120,0.1049
121,-0.003438
122,0.1405
123,0.04773
124,-0.1084
125,0.139
126,0.2365
127,-0.08522
128,0.02591
129,0.134
130,0.1139
131,0.03379
132,-0.1823
133,-0.1439
134,0.1957
135,-0.1638
136,0.1212
137,-0.02777
138,-0.341
139,0.02631
140,-0.02745
141,0.4801
142,0.1668
143,-0.1485
144,-0.3519
145,0.1544
146,0.01673
147,0.1924
148,-0.2512
149,-0.1757
150,0.3574
151,-0.03324
152,-0.0825
153,0.09436
154,0.01767
155,-0.08268
156,0.2933
157,-0.08203
158,0.02382
159,-0.2787
160,-0.01249
