MDTU,energy
2,0.395677
4,0.349784
6,0.353846
8,0.335342
10,0.328944
12,0.34057
14,0.34057
16,0.350447
18,0.346607
20,0.328262
22,0.355245
24,0.34079
26,0.341751
28,0.354662
30,0.356479
32,0.333446
34,0.343076
36,0.343076
38,0.343076
40,0.366793
42,0.340326
44,0.331179
46,0.346977
48,0.350091
50,0.346728
52,0.333893
54,0.362559
56,0.353681
58,0.327011
60,0.343839
62,0.346761
64,0.337495
66,0.335904
68,0.352482
70,0.322479
72,0.332253
74,0.343502
76,0.353436
78,0.330904
80,0.330904
82,0.371066
84,0.361961
86,0.340938
88,0.348017
90,0.34118
92,0.365775
94,0.336718
96,0.353472
98,0.345341
100,0.348913
102,0.367666
104,0.354187
106,0.324884
108,0.346923
110,0.332863
112,0.352656
114,0.336855
116,0.319298
118,0.336716
120,0.354526
122,0.347351
124,0.354128
126,0.347156
128,0.348641
130,0.327794
132,0.360705
134,0.374008
136,0.339414
138,0.365365
140,0.350453
142,0.346808
144,0.351162
146,0.347853
148,0.351954
150,0.338745
152,0.343415
154,0.358675
156,0.358675
158,0.360934
160,0.371972
162,0.365954
164,0.365006
166,0.365006
168,0.349823
170,0.355476
172,0.34996
174,0.369715
176,0.36346
178,0.337689
180,0.337689
182,0.344505
184,0.320838
186,0.320838
188,0.331596
190,0.361848
192,0.376536
194,0.344741
196,0.339934
198,0.337036
200,0.354661
202,0.341564
204,0.359341
206,0.360426
208,0.356846
210,0.346442
212,0.331332
214,0.322138
216,0.322922
218,0.347745
220,0.356222
222,0.344177
224,0.342209
226,0.346543
228,0.34874
230,0.356147
232,0.341353
234,0.333387
236,0.333387
238,0.333387
240,0.35541
242,0.343445
244,0.365145
246,0.336278
248,0.327014
250,0.355721
252,0.332996
254,0.353735
256,0.352012
258,0.347623
260,0.344324
262,0.369493
264,0.377927
266,0.34057
268,0.344844
270,0.335339
272,0.358035
274,0.346503
276,0.314197
278,0.334664
280,0.334142
282,0.367876
284,0.367876
286,0.353582
288,0.336101
290,0.340244
292,0.354292
294,0.354292
296,0.349824
298,0.352118
300,0.351979
302,0.357249
304,0.342446
306,0.353556
308,0.34108
310,0.311567
312,0.361863
314,0.352378
316,0.360148
318,0.337821
320,0.328342
322,0.357652
324,0.349275
326,0.355253
328,0.37957
330,0.345295
332,0.323994
334,0.344274
336,0.344452
338,0.344452
340,0.340269
342,0.325827
344,0.351604
346,0.321306
348,0.340949
350,0.351907
352,0.356211
354,0.350931
356,0.328583
358,0.320241
360,0.354442
362,0.342193
364,0.359146
366,0.355666
368,0.356662
370,0.35678
372,0.3517
374,0.34895
376,0.353075
378,0.354904
380,0.358369
382,0.35615
384,0.378269
386,0.348427
388,0.354182
390,0.35546
392,0.318258
394,0.345641
396,0.354639
398,0.355651
400,0.35162
402,0.358753
404,0.361491
406,0.348023
408,0.348023
410,0.348023
412,0.362258
414,0.355765
416,0.371094
418,0.3466
420,0.35061
422,0.351455
424,0.354825
426,0.342977
428,0.32722
430,0.32722
432,0.364234
434,0.348668
436,0.348668
438,0.352636
440,0.35387
442,0.365688
444,0.36543
446,0.367869
448,0.379545
450,0.341531
452,0.33279
454,0.33279
456,0.357368
458,0.342929
460,0.359781
462,0.334076
464,0.338174
466,0.358769
468,0.349141
470,0.354809
472,0.3404
474,0.367298
476,0.345361
478,0.347749
480,0.335066
482,0.335329
484,0.352758
486,0.351559
488,0.355858
490,0.355995
492,0.343014
494,0.36516
496,0.35439
498,0.36534
500,0.3581
502,0.354581
504,0.338355
506,0.350253
508,0.32448
510,0.345457
512,0.355664
514,0.322505
516,0.373243
518,0.373243
520,0.347086
522,0.347086
524,0.342481
526,0.302233
528,0.302233
530,0.302233
532,0.347509
534,0.341487
536,0.330478
538,0.33193
540,0.338693
542,0.341435
544,0.345344
546,0.326329
548,0.326329
550,0.343477
552,0.362641
554,0.354009
556,0.368648
558,0.34981
560,0.34981
562,0.321365
564,0.329323
566,0.329323
568,0.34727
570,0.345218
572,0.339148
574,0.362121
576,0.377919
578,0.351581
580,0.354231
582,0.349025
584,0.344064
586,0.335266
588,0.349184
590,0.353994
592,0.376106
594,0.347712
596,0.335104
598,0.321246
600,0.321246
602,0.337956
604,0.337956
606,0.337956
608,0.332584
610,0.352034
612,0.339319
614,0.340264
