MDTU,|Tr(L)|,ReTr(L),ImTr(L)
2,0.220506,0.211786,0.0613942
4,0.0538536,0.0534893,0.00625408
6,0.172338,-0.157145,0.0707513
8,0.0478058,-0.0478045,0.00034918
10,0.0545287,-0.0105466,0.053499
12,0.0226368,-0.0216897,0.00647933
14,0.0226368,-0.0216897,0.00647933
16,0.0243113,0.0129112,0.0205995
18,0.0497997,-0.0481492,-0.0127145
20,0.110056,-0.0496425,-0.098224
22,0.0770322,0.0178585,0.0749335
24,0.109051,-0.109049,-0.000618793
26,0.137543,-0.052935,-0.126949
28,0.104194,0.0458693,-0.0935548
30,0.0500551,-0.047895,0.014546
32,0.130061,0.0754018,-0.105973
34,0.0399495,0.0397812,0.00366248
36,0.0399495,0.0397812,0.00366248
38,0.0399495,0.0397812,0.00366248
40,0.0983984,0.0481745,-0.085799
42,0.196536,0.109317,-0.163329
44,0.117446,-0.0089694,-0.117103
46,0.160567,-0.159713,0.0165368
48,0.111817,0.0282428,-0.108191
50,0.131823,0.0622468,0.116201
52,0.090432,0.0609992,0.066761
54,0.0553176,0.0520043,0.0188571
56,0.0481557,0.0144183,-0.0459465
58,0.163632,-0.145013,0.0758055
60,0.175654,-0.154502,0.083569
62,0.0469199,-0.0458505,0.00996035
64,0.0724343,0.0436443,-0.0578092
66,0.109329,0.0165989,0.108062
68,0.0939346,0.0932775,-0.0110917
70,0.0365278,0.0140616,-0.0337127
72,0.0333019,-0.0114065,0.0312875
74,0.0827687,-0.0611695,0.055758
76,0.0353128,0.0320385,0.0148503
78,0.0648175,-0.064417,0.00719455
80,0.0648175,-0.064417,0.00719455
82,0.13423,0.133889,0.00956712
84,0.0902694,0.0668408,-0.0606703
86,0.0393572,0.0322607,0.022544
88,0.012108,-0.0113789,-0.00413818
90,0.120017,0.0706145,-0.0970445
92,0.124315,-0.11167,0.054626
94,0.071649,-0.0275232,0.0661517
96,0.120704,0.038351,0.114449
98,0.0427768,-0.00614953,0.0423325
100,0.0190907,0.00508325,-0.0184015
102,0.105932,0.0128563,0.105149
104,0.0318934,-0.0296268,0.0118087
106,0.0441221,-0.00286472,0.044029
108,0.0846089,0.079421,0.0291715
110,0.105086,0.10233,0.0239117
112,0.0468031,0.0192035,0.042682
114,0.054982,0.00109803,0.054971
116,0.0105334,0.00400455,0.00974253
118,0.0740807,-0.0740803,-0.00025534
120,0.130781,0.0754062,-0.106853
122,0.0259121,0.0251378,0.0062872
124,0.029431,-0.0294307,-0.000127331
126,0.0161637,0.0161112,0.00130126
128,0.119254,-0.0845242,0.0841262
130,0.0588796,0.00203272,0.0588445
132,0.0309334,-0.00836928,-0.0297798
134,0.0754911,-0.075413,-0.0034331
136,0.100246,-0.100144,0.0045303
138,0.0678337,-0.0191533,0.0650735
140,0.0927746,0.0731843,-0.0570193
142,0.129839,0.124674,0.0362562
144,0.0115222,-0.00952975,-0.0064765
146,0.147378,0.0806275,-0.123367
148,0.08284,-0.066914,0.0488362
150,0.0975922,0.08563,-0.046816
152,0.0913643,-0.0855565,0.032055
154,0.0152063,-0.0151616,-0.00116467
156,0.0152063,-0.0151616,-0.00116467
158,0.0804631,-0.0479855,-0.0645888
160,0.0718666,-0.0627245,-0.0350777
162,0.122836,0.122515,0.00887077
164,0.121954,-0.0262295,0.1191
166,0.121954,-0.0262295,0.1191
168,0.0401399,-0.035034,-0.0195915
170,0.0267675,0.0265475,-0.00342515
172,0.133717,-0.130002,-0.0312967
174,0.0615191,-0.061519,0.000104389
176,0.0313758,-0.00790073,0.0303647
178,0.115959,0.00559803,-0.115823
180,0.115959,0.00559803,-0.115823
182,0.0606481,-0.0596525,0.0109441
184,0.0290698,-0.0269208,0.0109693
186,0.0290698,-0.0269208,0.0109693
188,0.0717646,0.0527697,0.0486365
190,0.0334231,0.0168173,-0.028884
192,0.0488643,0.0387238,0.0298025
194,0.0617307,0.00879105,-0.0611015
196,0.051726,-0.0161709,0.0491333
198,0.0397145,-0.0395335,0.00378765
200,0.0922857,0.00940722,-0.091805
202,0.0979533,-0.0961185,-0.0188703
204,0.113154,-0.083477,-0.07639
206,0.144016,0.0194858,-0.142691
208,0.0552592,0.0438622,0.0336108
210,0.0241279,-0.00749425,0.0229345
212,0.0243079,-0.0210124,0.0122209
214,0.0825844,0.0752687,-0.0339822
216,0.202541,-0.177042,0.098382
218,0.110523,0.0109006,0.109984
220,0.0675004,-0.0431472,-0.0519097
222,0.0211462,-0.00544853,0.0204322
224,0.13717,-0.0459053,0.129261
226,0.023142,-0.00733527,0.0219487
228,0.0995694,-0.0750032,-0.0654872
230,0.0786462,0.0772898,-0.0145434
232,0.0266086,0.0263085,0.003985
234,0.0464763,0.0332332,-0.03249
236,0.0464763,0.0332332,-0.03249
238,0.0464763,0.0332332,-0.03249
240,0.0826679,0.037055,-0.073898
242,0.0365508,0.00749175,0.0357748
244,0.161654,0.0243282,-0.159812
246,0.0218038,0.0216547,0.00254518
248,0.0740666,0.0286257,0.0683113
250,0.0752976,-0.00719263,-0.0749532
252,0.0680267,-0.0030339,0.067959
254,0.158267,0.141475,0.0709445
256,0.0231366,-0.018744,-0.0135634
258,0.0722902,-0.0717235,0.00903415
260,0.0933612,0.0910232,0.0207623
262,0.0743146,-0.074033,-0.00646315
264,0.105529,0.0962672,-0.0432307
266,0.0386723,0.00999617,0.037358
268,0.0675047,0.000507547,0.0675028
270,0.141699,0.127562,-0.0616968
272,0.0525668,0.0498652,-0.0166352
274,0.0872919,-0.0439507,-0.0754202
276,0.120293,-0.117615,0.0252437
278,0.0506583,0.0492648,0.0118005
280,0.0597652,0.00029511,-0.0597645
282,0.133142,0.133107,0.00306243
284,0.133142,0.133107,0.00306243
286,0.171417,0.00935335,-0.171162
288,0.0504922,-0.050422,-0.00266123
290,0.060876,-0.054389,-0.0273445
292,0.0955245,0.0673175,0.0677737
294,0.0955245,0.0673175,0.0677737
296,0.00556549,0.00365322,-0.00419865
298,0.0228048,-0.0227012,-0.00217081
300,0.1259,0.033814,0.121274
302,0.0631971,0.0602997,-0.0189158
304,0.0515682,-0.00217691,-0.0515222
306,0.0501649,0.0487293,-0.0119156
308,0.0120582,-0.0103754,-0.00614422
310,0.0732651,0.0345015,0.064633
312,0.0381225,0.0255837,0.028263
314,0.0742342,-0.06356,0.0383515
316,0.020367,0.00279235,-0.0201746
318,0.0907505,-0.085586,0.0301775
320,0.0708352,0.003468,-0.0707503
322,0.0971819,0.0769018,0.0594175
324,0.116104,-0.0248719,-0.113408
326,0.109473,-0.0645145,-0.0884435
328,0.0538235,-0.0289707,0.0453615
330,0.0713095,0.0369222,0.0610065
332,0.0835908,-0.052316,-0.0651955
334,0.0669495,0.0657568,0.012581
336,0.048121,0.0419187,0.0236316
338,0.048121,0.0419187,0.0236316
340,0.0469113,-0.00829418,-0.0461722
342,0.0808999,0.00210416,0.0808725
344,0.0437257,-0.0291873,0.0325582
346,0.0922342,-0.0916005,0.0107935
