MDTU,plaq,Re(det),Im(det),link
2,0.977165,0.0355295,0.0396254,1.305
4,0.71523,0.0155207,0.00895434,1.36406
6,0.658661,0.00203166,0.00290205,1.35576
8,0.632023,0.00308502,0.00262487,1.39501
10,0.620566,0.00182457,0.002852,1.33593
12,0.502834,0.0015111,0.00354719,1.31253
14,0.502834,0.0015111,0.00354719,1.31253
16,0.754828,0.000973984,0.0017988,1.21501
18,0.727499,0.00214546,0.0035262,1.22513
20,0.666546,0.00234552,0.000781157,1.20382
22,0.658693,0.00199761,0.00244186,1.22015
24,0.705635,0.00437605,0.00278505,1.23437
26,0.512406,0.00123122,0.00143159,1.25266
28,0.6568,0.00306974,0.00145301,1.27493
30,0.551237,0.00775688,0.00334652,1.27077
32,0.675266,0.00195349,0.00216548,1.27903
34,0.493416,0.00306703,0.00141406,1.21129
36,0.493416,0.00306703,0.00141406,1.21129
38,0.493416,0.00306703,0.00141406,1.21129
40,0.612457,0.00197259,0.00109062,1.13445
42,0.577939,0.00176364,0.00194712,1.16855
44,0.66267,0.00206697,0.00272764,1.18925
46,0.563854,0.00232782,0.00239744,1.08933
48,0.623016,0.00276674,0.00307917,1.10516
50,0.628447,0.00114573,0.00109111,1.0832
52,0.575581,0.000860629,0.000859358,1.13661
54,0.644697,0.00112109,0.000792225,1.08954
56,0.690056,0.00288501,0.00229368,1.15759
58,0.563486,0.00116022,0.00189464,1.1452
60,0.668994,0.00478561,0.00470918,1.11326
62,0.626809,0.00117952,0.00156708,1.19718
64,0.591086,0.00328309,0.00235336,1.22343
66,0.68477,0.00166161,0.00323285,1.16602
68,0.553926,0.000782527,0.000824515,1.13899
70,0.748361,0.00116545,0.00198752,1.19049
72,0.620147,0.00145506,0.000850261,1.22545
74,0.634117,0.00265994,0.00170799,1.27264
76,0.490089,0.0017484,0.00159352,1.18757
78,0.651762,0.00208348,0.00186384,1.28196
80,0.651762,0.00208348,0.00186384,1.28196
82,0.565387,0.0014019,0.00275624,1.28101
84,0.680724,0.00119261,0.000739684,1.18252
86,0.586643,0.0018447,0.0010868,1.22704
88,0.558155,0.00199639,0.00294315,1.26376
90,0.695214,0.00238235,0.00150723,1.16062
92,0.534614,0.00139083,0.00205745,1.10679
94,0.665065,0.00123658,0.00119559,1.13471
96,0.642614,0.00185115,0.00180251,1.10363
98,0.565232,0.00307657,0.00226627,1.12442
100,0.610428,0.00138486,0.00410313,1.07798
102,0.563553,0.000682706,0.000980045,1.07874
104,0.625746,0.00128649,0.00124832,1.11161
106,0.590427,0.00204006,0.00300135,1.12504
108,0.603423,0.00182235,0.00152925,1.08738
110,0.680395,0.00222839,0.00122675,1.06451
112,0.647008,0.00273012,0.00317964,1.03025
114,0.634812,0.00183759,0.00132432,1.08723
116,0.575451,0.00135799,0.00145975,1.05183
118,0.718584,0.00480339,0.0021784,1.02081
120,0.393621,0.000962942,0.00200156,1.00704
122,0.60799,0.00193916,0.00158382,1.03175
124,0.576606,0.00128732,0.00156834,1.02312
126,0.611323,0.00126839,0.00163412,1.04155
128,0.691384,0.00125932,0.00168474,1.02934
130,0.570029,0.00259559,0.00145004,1.0578
132,0.625598,0.000900714,0.00186072,1.03194
134,0.778993,0.00554997,0.00451486,1.0462
136,0.543991,0.00193394,0.00469037,1.06245
138,0.611554,0.0019829,0.00422188,1.09571
140,0.57647,0.0017475,0.00206057,1.10083
142,0.64463,0.00814356,0.00288742,1.16371
144,0.566007,0.00339309,0.00714275,1.21611
146,0.576173,0.00228478,0.00290121,1.11436
148,0.498929,0.00170309,0.00395402,1.09819
150,0.622716,0.00137296,0.00211167,1.07783
152,0.644982,0.000630306,0.0009128,1.04714
154,0.511855,0.00134638,0.00193161,1.03664
156,0.511855,0.00134638,0.00193161,1.03664
158,0.500336,0.00074161,0.00226616,1.03146
160,0.568471,0.00104986,0.0018064,1.03878
162,0.679825,0.00367212,0.00217861,1.0657
164,0.575873,0.00292035,0.00218164,1.07468
166,0.575873,0.00292035,0.00218164,1.07468
168,0.681825,0.000912115,0.00100967,1.1247
170,0.634171,0.00292548,0.00213491,1.15599
172,0.572411,0.0014687,0.000760531,1.18425
174,0.542212,0.00185805,0.00134631,1.141
176,0.609335,0.00172517,0.0021394,1.16877
178,0.474558,0.00171305,0.00160777,1.13165
180,0.474558,0.00171305,0.00160777,1.13165
182,0.584927,0.00109198,0.0010927,1.09094
184,0.525132,0.00101256,0.00100774,1.10743
186,0.525132,0.00101256,0.00100774,1.10743
188,0.564301,0.00361707,0.00227431,1.14051
190,0.658871,0.00137532,0.0017831,1.06581
192,0.49775,0.000635484,0.000637653,1.00958
194,0.620752,0.00201213,0.00107369,1.04376
196,0.642472,0.00206556,0.00212698,1.06054
198,0.641509,0.00141988,0.00109118,1.07305
200,0.461195,0.00241625,0.00223312,1.02479
202,0.583627,0.00444257,0.00423863,1.05855
204,0.672036,0.00209584,0.00141077,1.02869
206,0.571898,0.00235223,0.00252131,1.01381
208,0.605822,0.002642,0.00238035,1.04857
210,0.662663,0.00303688,0.0019731,1.04886
212,0.672833,0.00188703,0.00226339,1.0794
214,0.484072,0.00152773,0.00166834,1.10551
216,0.559031,0.00209387,0.00126724,1.09553
218,0.575812,0.00178489,0.00103918,1.10185
220,0.527639,0.00160103,0.00187486,1.04873
222,0.492661,0.00256562,0.00122541,1.07858
224,0.62458,0.00135285,0.00135356,1.06963
226,0.526122,0.00116956,0.000978797,1.0474
228,0.603433,0.00288451,0.00884235,1.0456
230,0.488877,0.00335043,0.00209773,1.04819
232,0.509344,0.00150259,0.0039057,1.04266
234,0.613988,0.00354847,0.00164171,1.03862
236,0.613988,0.00354847,0.00164171,1.03862
238,0.613988,0.00354847,0.00164171,1.03862
240,0.702772,0.00120281,0.000932091,1.0599
242,0.551318,0.00115015,0.000922288,1.03963
244,0.7278,0.00206,0.00140915,1.01976
246,0.623542,0.00463071,0.00352179,1.03311
248,0.675941,0.00326302,0.00247811,1.04128
250,0.572888,0.0024749,0.00255522,1.02167
252,0.528948,0.00272823,0.00404245,1.04115
254,0.535415,0.00296064,0.00353252,1.03352
256,0.538321,0.00158797,0.000959961,1.04428
258,0.623964,0.00126238,0.00139484,1.06776
260,0.515737,0.00257282,0.00132437,1.06826
262,0.48931,0.001523,0.0019895,1.05411
264,0.532015,0.00183119,0.000949828,1.06262
266,0.573129,0.00853754,0.00912285,1.10543
268,0.623198,0.00102573,0.00122025,1.08319
270,0.654493,0.00149733,0.00126278,1.10547
272,0.597907,0.00250536,0.0028453,1.10146
274,0.510636,0.00225579,0.00108306,1.09211
276,0.578074,0.00551448,0.00262103,1.13834
278,0.610061,0.0027736,0.00347596,1.10962
280,0.52307,0.00298219,0.00187983,1.07451
282,0.560571,0.00200563,0.00189789,1.01344
284,0.560571,0.00200563,0.00189789,1.01344
286,0.58664,0.00176584,0.000730966,1.057
288,0.682229,0.00267709,0.00161161,1.11179
290,0.792333,0.00211778,0.0013982,1.08141
292,0.470319,0.00111226,0.00131207,1.063
294,0.470319,0.00111226,0.00131207,1.063
296,0.650902,0.00188019,0.00164292,1.0643
298,0.545188,0.0011278,0.00114189,1.09242
300,0.663667,0.00186877,0.00295734,1.08712
302,0.447548,0.0039834,0.0016518,1.07359
304,0.603626,0.000667334,0.000875633,1.10464
306,0.549824,0.00180931,0.00145801,1.15215
