MDTU,|det-1|^2,1-Re(det),Im(det)
2,0.999801,0.9999,-6.34121e-05
4,1,1,2.01063e-06
6,1,1,-3.94932e-07
8,0.999999,1,1.01372e-06
10,1,1,-1.09646e-06
12,1,1,4.16007e-07
14,1,1,4.16007e-07
16,1,1,4.16007e-07
18,1,1,1.15978e-07
20,0.999999,1,4.45196e-07
22,1,1,-4.07252e-07
24,1,1,3.84599e-07
26,0.999998,0.999999,-4.29183e-07
28,1,1,-3.73007e-08
30,1,1,6.33253e-07
32,0.999999,1,-4.50482e-07
34,0.999997,0.999998,8.615e-07
36,1,1,8.41729e-07
38,1,1,8.41729e-07
40,1,1,-5.64904e-07
42,1,1,1.76982e-06
44,1.00001,1,-2.76363e-07
46,1,1,2.01152e-06
48,1,1,4.44236e-07
50,1,1,-2.27519e-06
52,1,1,6.18636e-07
54,1,1,2.47683e-07
56,1,1,-1.69116e-07
58,0.999999,0.999999,-5.31141e-07
60,1,1,-3.94981e-07
62,1,1,7.86488e-08
64,0.999999,0.999999,2.57364e-07
66,0.999999,1,-7.40094e-07
68,0.999999,1,-4.32657e-07
70,0.999997,0.999999,-5.93904e-07
72,0.999999,0.999999,3.21838e-06
74,1,1,-2.51337e-07
76,1,1,-6.53045e-07
78,0.999997,0.999999,1.33119e-06
80,0.999999,1,-6.192e-07
82,0.999999,1,-2.19446e-07
84,0.999997,0.999998,-8.09364e-07
86,0.999998,0.999999,-1.703e-06
88,1,1,-1.95717e-07
90,0.999999,0.999999,-9.11301e-07
92,0.999999,0.999999,-6.76013e-07
94,0.999999,1,-1.27638e-07
96,1,1,2.88886e-07
98,1,1,7.97653e-07
100,1,1,-7.45477e-07
102,1,1,2.94494e-07
104,1,1,-2.89088e-07
106,1,1,-1.91169e-07
108,1,1,8.35666e-08
110,1,1,2.91144e-07
112,1,1,-3.93794e-08
114,1,1,-3.52691e-07
116,0.999999,1,-1.95108e-06
118,0.999997,0.999999,8.00929e-07
120,1,1,-1.59273e-06
122,1,1,-8.61215e-07
124,0.999999,0.999999,1.84742e-06
126,0.999999,0.999999,-2.57769e-06
128,0.999999,0.999999,1.52211e-08
130,1.00001,1,4.01917e-07
132,0.999996,0.999998,3.57276e-06
134,1,1,-1.16206e-06
136,0.999996,0.999998,1.66967e-06
138,1,1,3.75879e-07
140,1,1,2.98622e-07
142,0.999999,0.999999,-1.05386e-06
144,0.999999,0.999999,-9.48292e-07
146,1,1,-8.59599e-07
148,0.999998,0.999999,1.40262e-06
150,1.00001,1,6.83817e-07
152,1,1,-7.31534e-07
154,0.999999,1,-8.73311e-08
156,0.999999,1,-8.73311e-08
158,1,1,-2.49299e-07
160,0.999999,1,4.86526e-07
162,0.999992,0.999996,1.80214e-06
164,1,1,3.95872e-07
166,1,1,3.95872e-07
168,1,1,-6.79234e-07
170,1,1,4.66404e-08
172,1.00001,1,2.13819e-06
174,0.999996,0.999998,5.89078e-07
176,0.999996,0.999998,5.89078e-07
178,0.999999,1,1.958e-07
180,0.999999,1,1.958e-07
182,1,1,-5.90728e-07
184,1,1,6.35647e-07
186,0.999995,0.999997,1.64895e-06
188,1,1,2.62629e-07
190,1,1,-1.85327e-06
192,1,1,7.4605e-07
194,1,1,1.41818e-06
196,1,1,7.64377e-07
198,0.999998,0.999999,-4.71717e-07
200,0.999997,0.999998,3.02002e-07
202,1.00001,1,2.56087e-06
204,1.00001,1,-9.65285e-07
206,1,1,-1.1913e-06
208,1.00001,1,-3.216e-06
210,1.00001,1,-3.216e-06
212,1.00001,1.00001,1.12647e-06
214,0.999997,0.999999,-7.92171e-07
216,1,1,3.84161e-07
218,1,1,6.61131e-07
220,1,1,3.27034e-07
222,1,1,3.90288e-08
224,1,1,-9.37661e-08
226,1,1,1.59552e-07
228,0.999999,0.999999,1.36625e-07
230,0.999996,0.999998,1.26607e-07
232,0.999998,0.999999,-6.3703e-07
234,0.999997,0.999999,3.03318e-07
236,0.999997,0.999999,3.03318e-07
238,1,1,7.28644e-07
240,1.00001,1.00001,-8.62301e-07
242,0.999999,1,-1.07875e-06
244,1,1,1.43634e-07
246,1,1,-2.94642e-06
248,0.999999,1,-2.03972e-06
250,1,1,1.12217e-06
252,1,1,9.4022e-07
254,0.999999,1,2.02243e-07
256,1,1,9.8431e-07
258,0.999999,1,7.66252e-07
260,0.999996,0.999998,8.66145e-07
262,1,1,1.56325e-08
264,0.999998,0.999999,1.23411e-07
266,1,1,2.28572e-07
268,1,1,-8.11458e-07
270,0.999997,0.999999,1.11238e-06
272,1,1,7.5345e-07
274,1,1,-5.79143e-07
276,1,1,1.07971e-07
278,1,1,7.09272e-07
280,1,1,3.82643e-07
282,1,1,-6.68629e-07
284,1,1,-1.54223e-06
286,0.999997,0.999999,-9.28552e-07
288,1,1,-1.43461e-06
290,0.999999,0.999999,-9.39275e-07
292,0.999999,0.999999,-9.39275e-07
294,0.999999,0.999999,-9.39275e-07
296,0.999999,0.999999,-9.39275e-07
298,1,1,3.15718e-07
300,0.999999,1,-3.05146e-07
302,0.999998,0.999999,-4.20594e-07
304,0.999998,0.999999,-1.23878e-06
306,1,1,-5.29415e-07
308,1,1,1.13912e-07
310,1,1,1.26852e-06
312,1.00001,1,4.97336e-06
314,1,1,2.7601e-07
316,1,1,7.34239e-07
318,0.999995,0.999997,1.46825e-06
320,0.999995,0.999997,1.46825e-06
322,1,1,-3.09874e-07
324,0.999999,0.999999,-3.33738e-07
326,0.999994,0.999997,1.41025e-06
328,0.999995,0.999997,-3.85632e-07
330,1,1,1.5207e-06
332,0.999994,0.999997,-3.94736e-07
334,0.999999,1,-1.92272e-08
336,1,1,-8.82157e-07
338,0.999999,1,-1.73632e-07
340,1,1,-1.45565e-06
342,1,1,6.98331e-07
344,1,1,-8.10948e-07
346,1,1,3.12497e-06
348,1,1,-8.10055e-08
350,1,1,-2.2591e-06
