t,e^(-dS)
1,2.98918
2,2.26189
3,2.03766
4,1.44802
5,1.09211
6,1.08921
7,0.780672
8,0.688252
9,0.818403
10,0.919211
11,1.00139
12,0.888874
13,1.42476
14,0.883115
15,1.28313
16,0.990508
17,1.03836
18,0.892883
19,0.878183
20,0.899695
21,1.42932
22,0.724481
23,1.20816
24,1.01657
25,0.863294
26,1.03723
27,0.706169
28,1.15535
29,1.23887
30,0.917971
31,0.840801
32,1.14993
33,1.20901
34,0.822752
35,0.875815
36,1.1474
37,0.833351
38,1.42989
39,0.732641
40,1.0192
41,1.03124
42,1.25961
43,0.611158
44,0.973683
45,0.777711
46,1.29758
47,1.1394
48,1.11539
49,0.739782
50,1.01759
51,1.0453
52,0.563493
53,1.48721
54,0.706947
55,1.35635
56,0.906468
57,1.08617
58,1.26782
59,0.527556
60,1.19602
61,1.02897
62,0.979738
63,1.48231
64,0.763609
65,1.03362
66,0.888963
67,0.887009
68,1.02947
69,0.92037
70,1.25032
71,1.15963
72,0.840885
73,1.13168
74,0.705182
75,1.69893
76,1.04909
77,1.10377
78,0.772672
79,1.14339
80,0.804125
81,0.956476
82,1.28969
83,0.75707
84,0.888429
85,1.00367
86,1.03182
87,0.833935
88,0.687014
89,1.06099
90,0.528507
91,1.34232
92,0.718636
93,0.782626
94,1.07548
95,1.22104
96,0.694961
97,1.0635
98,0.921207
99,0.854191
100,1.50215
101,0.854533
102,1.12637
103,1.15558
104,0.873279
105,0.964968
106,1.15963
107,0.853423
108,0.891188
109,1.22018
110,0.888607
111,1.44398
112,1.08395
113,1.01277
114,0.88692
115,1.04322
116,1.0483
117,0.890208
118,0.902307
119,1.46697
120,0.753294
121,0.795329
122,1.37177
123,1.00365
124,0.959858
125,0.995988
126,0.973955
127,1.17527
128,1.05368
129,0.996199
130,0.631473
131,0.853679
132,1.20322
133,0.990502
134,1.23541
135,0.719643
136,1.41058
137,0.950288
138,0.774684
139,1.11672
140,1.14339
141,0.701033
142,1.21167
143,0.713409
144,1.02269
145,1.5391
146,0.578683
147,0.663252
148,0.763761
149,0.901496
150,1.06951
151,0.712482
152,0.939159
153,0.922221
154,1.1891
155,1.56737
156,1.10672
157,1.47979
158,0.712625
159,1.20961
160,0.831437
161,0.987035
162,0.692325
163,1.29927
164,0.824564
165,0.768204
166,1.18022
167,1.19006
168,0.994238
169,1.0522
170,0.889941
171,1.26554
172,0.879502
173,1.13587
174,0.904837
175,0.853082
176,0.958889
177,1.22091
178,1.40973
179,0.683861
180,0.867795
181,1.08953
182,1.27839
183,0.962318
184,1.00951
185,0.872145
186,1.50306
187,1.31193
188,0.705534
189,0.869445
190,1.26516
191,0.890475
192,0.900505
193,0.901676
194,0.835772
195,1.33763
196,0.867274
197,0.923735
198,0.934541
199,0.807752
200,1.27481
201,0.865455
202,0.99166
203,1.35676
204,0.794693
205,0.949842
206,1.0119
207,0.975076
208,0.935551
209,1.01905
210,0.918274
211,0.809855
212,0.678548
213,1.33216
214,1.07632
215,1.00698
216,1.28904
217,0.924132
218,0.840297
219,1.07638
220,0.825142
221,0.781219
222,0.949728
223,1.25999
224,0.807187
225,1.9441
226,0.681949
227,1.24932
228,0.992298
229,0.636418
230,0.928542
231,0.728476
232,0.931974
233,0.885502
234,1.42347
235,1.11071
236,1.20286
237,1.29111
238,0.987894
239,1.12502
240,1.10606
241,0.957787
242,0.859418
243,1.04958
244,0.750812
245,1.16532
246,1.01822
247,1.1458
248,0.763151
249,0.815789
250,1.02065
251,0.888696
252,0.933401
253,0.840969
254,1.19196
255,1.0158
256,0.779658
257,1.49391
258,0.887364
259,0.805977
260,0.853082
261,0.786313
262,0.973566
263,1.0701
264,0.830772
265,0.839793
266,0.966378
267,1.43448
268,1.40861
269,0.540317
270,0.985339
271,1.06462
272,1.75839
273,1.22373
274,0.58485
275,1.02477
276,1.11896
277,0.856501
278,0.918136
279,0.881968
280,0.961857
281,1.2411
282,0.825224
283,0.800835
284,0.572868
285,1.23751
286,0.878095
287,1.11896
288,0.464915
289,0.949908
290,0.899065
291,1.21179
292,1.07719
293,0.811395
294,0.89467
295,1.32379
296,1.29473
297,1.08424
298,0.966543
299,0.705605
300,0.924234
301,1.1014
302,1.16463
303,0.873366
304,1.07682
305,0.919266
306,1.26947
307,0.910647
308,0.825059
309,0.814892
310,1.1275
311,1.00986
312,1.24595
313,0.97064
314,0.804286
315,1.26162
316,1.07509
317,1.30382
318,0.833935
319,0.676786
320,1.31023
321,0.925686
322,1.25571
323,1.07843
324,1.11516
325,0.790413
326,1.00007
327,1.07681
328,1.08596
329,0.979572
330,1.04732
331,1.09546
332,0.7172
333,1.46126
334,1.09697
335,1.09599
336,1.00647
337,1.13474
338,0.735798
339,0.860106
340,1.06932
341,0.923033
342,0.856843
343,0.758965
344,0.57241
345,1.84043
346,1.02237
347,1.04747
348,0.806461
349,1.03285
350,0.942518
351,1.62661
352,0.750437
353,0.97916
354,1.06629
355,1.42063
356,0.925492
357,0.729643
358,1.06159
359,0.946381
360,0.717918
361,1.07143
362,1.17398
363,1.21203
364,0.889852
365,0.840633
366,0.91448
367,0.919312
368,0.902217
369,1.50697
370,0.829693
371,0.873803
372,1.00885
373,0.945823
374,0.664115
375,0.840213
376,1.1076
377,0.978681
378,1.02107
379,0.88506
380,0.728331
381,1.19077
382,1.08379
383,0.997262
384,1.00883
385,0.887187
386,1.31285
387,1.007
388,0.750962
389,0.986285
390,0.8063
391,1.03324
392,1.01483
393,1.17539
394,0.809936
395,0.816605
396,1.08151
397,0.734768
398,0.934494
399,1.59712
400,0.885325
401,1.39361
402,0.84603
403,1.18152
404,0.720003
405,1.07827
406,1.14145
407,0.672805
408,1.00616
409,1.15512
410,1.09149
411,0.896013
412,0.773059
413,0.901225
414,1.27698
415,0.832352
416,1.08985
417,0.914132
418,0.717918
419,0.97163
420,1.29085
421,1.10283
422,1.12266
423,0.998081
424,1.13769
425,0.628135
426,1.29149
427,0.830938
428,0.948361
429,0.84139
430,0.921945
431,0.795329
432,0.805494
433,0.851207
434,0.972525
435,0.892615
436,1.15465
437,1.08597
438,1.01413
439,0.851377
440,0.891723
441,0.649469
442,1.24384
443,0.909791
444,2.00692
445,0.802118
446,0.969514
447,0.754651
448,1.16813
449,0.920333
450,1.06152
451,1.0028
452,1.03134
453,0.956858
454,0.91426
455,1.12908
456,1.32445
457,0.878622
458,1.5168
459,1.12311
460,0.739338
461,0.967519
462,1.11027
463,0.861914
464,1.00457
465,1.25759
466,0.725641
467,1.46932
468,0.748189
469,0.979689
470,0.945152
471,1.11617
472,0.714409
473,1.02545
474,0.736902
475,0.996864
476,0.807752
477,0.993332
478,0.668713
479,1.02536
480,1.12333
481,1.04311
482,0.950982
483,1.26112
484,0.950469
485,1.03217
486,0.915266
487,0.988082
488,0.979101
489,1.03817
490,1.3193
491,0.871186
492,0.745426
493,1.00619
494,1.08241
495,0.971135
496,0.982308
497,1.48097
498,1.40832
499,1.13349
500,0.559674
501,0.526397
502,1.2462
503,0.753444
504,0.858387
505,1.05961
506,0.834268
507,1.26263
508,0.766746
509,0.974355
510,1.44224
511,0.917897
512,1.09475
513,1.11974
514,0.807106
515,1.29719
516,1.06179
517,1.05407
518,1.58217
519,0.877656
520,0.882409
521,0.620891
522,1.1623
523,0.809693
524,1.13281
525,0.758965
526,0.799795
527,0.846877
528,1.22961
529,0.944537
530,0.986837
531,0.979679
532,0.99926
533,0.843834
534,1.15338
535,0.851462
536,1.1327
537,1.05521
538,0.62757
539,1.06709
540,0.98394
541,1.05572
542,0.904656
543,0.856843
544,0.783409
545,0.947252
546,0.972962
547,1.19722
548,0.768358
549,1.11684
550,0.991519
551,1.06192
552,0.915816
553,1.08645
554,0.854362
555,0.69684
556,0.714123
557,1.05504
558,1.06784
559,1.09912
560,1.05345
561,1.19662
562,0.944122
563,0.915578
564,1.42077
565,0.687977
566,1.15824
567,0.852059
568,0.979836
569,1.01204
570,1.09028
571,0.997027
572,1.12042
573,1.02749
574,0.672401
575,1.01786
576,1.05652
577,1.04824
578,0.929945
579,1.06545
580,0.932123
581,0.788991
582,0.707512
583,1.3667
584,1.18863
585,0.774684
586,1.25797
587,1.02629
588,0.927447
589,0.732348
590,1.87498
591,0.902488
592,0.839709
593,1.23244
594,0.715696
595,0.814647
596,1.6474
597,0.58077
598,0.904837
599,0.724191
600,0.589783
601,1.23763
602,1.54976
603,0.954698
604,0.973264
605,1.01969
606,0.918485
607,0.854619
608,1.17339
609,0.97029
610,1.27877
611,0.760788
612,0.989466
613,0.794216
614,0.914919
615,1.34986
616,0.748638
617,1.29732
618,0.887009
619,0.954402
620,0.83527
621,1.36193
622,0.680587
623,0.912342
624,1.52318
625,1.27201
626,1.1155
627,0.821191
628,0.805091
629,1.16253
630,0.768665
631,1.14259
632,0.802599
633,1.11594
634,1.1193
635,0.896999
636,1.00807
637,0.905996
638,1.23442
639,0.937414
640,0.927094
641,0.826546
642,1.05519
643,1.11773
644,0.80292
645,0.868837
646,1.00732
647,1.11739
648,1.5408
649,0.812857
650,0.977761
651,0.679363
652,0.907601
653,1.14408
654,0.839877
655,1.35771
656,0.779892
657,0.888607
658,0.957346
659,1.30682
660,0.903752
661,0.882762
662,0.908173
663,0.864331
664,1.40453
665,0.701735
666,0.818976
667,0.87424
668,1.57145
669,0.792312
670,0.939592
671,1.03171
672,0.946466
673,0.872581
674,0.893151
675,1.28069
676,1.03933
677,0.745798
678,1.11539
679,0.964467
680,1.38279
681,0.830689
682,0.808156
683,1.05552
684,0.6432
685,1.20454
686,0.994389
687,0.937021
688,0.904023
689,0.956036
690,0.690596
691,1.0044
692,0.852229
693,1.14077
694,0.783096
695,0.995484
696,0.957299
697,1.06667
698,1.0988
699,1.03785
700,1.21799
701,1.19566
702,0.87713
703,0.857615
704,0.688115
705,1.38874
706,1.15177
707,0.919128
708,0.810422
709,0.777945
710,1.55753
711,1.20732
712,1.01597
713,1.1827
714,0.699283
715,0.873366
