ReTr(L),ImTr(L)
0.0281353,0.0089491
-0.0141085,-0.0633428
-0.0727673,0.0448098
0.00556768,-0.0525542
0.017308,0.00146318
-0.091529,0.0030181
-0.091529,0.0030181
-0.091529,0.0030181
-0.0994115,-0.134793
-0.0183288,0.0301818
-0.0515085,0.0175561
-0.0560862,0.062624
0.0187589,0.00527052
-0.0196011,0.0608117
0.0573515,0.0761508
-0.0224826,-0.0859672
0.0147221,0.0676102
0.00115584,0.055425
0.00115584,0.055425
-0.00419025,0.0765983
-0.0341422,0.0779782
-0.03994,0.0788605
0.0527053,0.0387595
0.030044,-0.116159
0.0034289,-0.032898
0.0302817,0.0386777
-0.003655,0.0110443
-0.039084,0.0625015
0.0735052,0.00847798
-0.0108454,0.0276888
0.000539987,-0.0536768
0.066106,-0.0560595
-0.0279308,0.0272575
-0.0144106,0.025675
0.00512597,0.0526225
-0.00065814,0.096595
-0.0296117,-0.0144332
-0.00144376,-0.0632667
-0.0861622,0.00207318
0.0187024,0.0246715
-0.00269053,-0.0193068
-0.0635142,-0.0841492
0.0758298,-0.0408842
-0.0132141,0.031669
0.0458942,0.032759
0.003771,-0.0735885
-0.0535643,-0.0270333
-0.030565,-0.0905227
0.14152,0.0145865
0.0398983,-0.0489682
0.0791297,0.0931535
-0.0797038,0.051782
-0.0275693,0.0294775
-0.013749,-0.166691
-0.0361312,-0.0702263
-0.0950675,-0.0359375
0.060499,0.0392848
-0.0826995,0.0103769
0.00975413,-0.0367652
0.064433,-0.0186741
-0.0719585,0.0688953
0.067588,-0.0258988
0.0142172,-0.0370373
0.118449,-0.0551893
-0.075943,0.0183371
0.0742625,-0.043173
0.0365842,-0.0945403
-0.0620955,-0.032773
-0.0164858,0.0116512
0.00571358,0.114566
0.018802,0.0932198
-0.007116,-0.0748453
0.0169654,0.00118062
0.041484,0.025987
0.0393577,0.0553005
-0.0456305,-0.168628
-0.0846468,0.0145825
-0.0846468,0.0145825
-0.0591768,0.056475
0.0309785,-0.058478
0.0578405,-0.037631
-0.00436115,0.04599
-0.00436115,0.04599
-0.0615713,0.00244667
0.0822713,0.0189322
-0.0543652,-0.0495362
0.037921,-0.0371065
0.037921,-0.0371065
-0.0013778,0.0739853
-0.0013778,0.0739853
-0.0412095,0.0635213
0.0162017,0.0648988
-0.00713195,0.0102644
0.0425777,0.079227
0.0209862,-0.096386
0.108659,0.0135181
0.00143705,0.13092
-0.0644803,-0.084502
-0.114224,0.0141265
0.0827945,-0.00746485
0.0571847,-0.034506
-0.100951,0.0457183
0.0236229,-7.31845e-05
0.0146009,0.0345065
0.0146009,0.0345065
-0.0369498,-0.0775973
0.0767213,0.053112
0.0178279,-0.0439927
-0.0289403,-0.0376408
-0.0868157,0.0084129
-0.0942635,-0.119603
-0.0195525,-0.06454
0.0925887,-0.0111133
0.0514882,-0.095871
-0.0486855,0.0350548
0.123361,-0.0113782
0.026451,0.0966185
0.026451,0.0966185
-0.071145,0.00878807
-0.0398727,-0.0837563
0.0350605,-0.0100053
0.036478,0.01531
-0.050617,-0.00536852
0.0874468,0.034737
-0.116897,0.0317962
-0.0363117,-0.0162966
-0.0223003,-0.023356
0.0173345,-0.108133
-0.0140994,0.0102515
-0.0783365,0.0046453
-0.0454885,-0.0955785
-0.154829,0.0170069
-0.059483,0.167619
0.0341713,0.00801153
0.0225437,0.0568418
-0.0354337,0.0904645
-0.0932213,-0.0109084
0.0748635,-0.056218
-0.0994177,-0.060405
-0.00589848,0.0132249
0.0796932,0.0685733
-0.005613,0.042883
-0.00171821,-0.107197
-0.047676,0.057144
0.123669,0.0935233
0.123669,0.0935233
0.123669,0.0935233
0.123669,0.0935233
-0.0247721,-0.0464053
0.0670822,0.191845
0.0896788,0.0156157
-0.059662,-0.0368795
0.0201962,0.0383773
0.02786,0.012437
-0.0328333,0.0331982
-0.0990918,-0.036923
0.060438,0.101671
-0.0468065,0.0334692
-0.0958253,-0.0697378
-0.0958253,-0.0697378
0.0194311,0.0482498
-0.0187272,-0.111409
0.109519,-0.095846
-0.00126351,0.067452
0.0859992,-0.00309592
-0.0321275,0.00652495
0.00539515,-0.00932068
-0.0591455,-0.0838057
-0.0321805,0.0792188
-0.0420785,-0.0615897
