MDTU,min_ave,max_ave
2,-1.24925,0.284662
4,-1.61713,0.237623
6,-1.68102,0.240211
8,-1.60186,0.247268
10,-1.55104,0.254457
12,-1.53022,0.255399
14,-1.53022,0.255399
16,-1.53022,0.255399
18,-1.54285,0.246032
20,-1.59203,0.244318
22,-1.62021,0.221593
24,-1.6225,0.239496
26,-1.61362,0.247674
28,-1.50437,0.251909
30,-1.53384,0.252142
32,-1.51953,0.240641
34,-1.64514,0.229637
36,-1.53889,0.221969
38,-1.53889,0.221969
40,-1.65562,0.208964
42,-1.69088,0.212913
44,-1.64622,0.208842
46,-1.83149,0.182802
48,-1.7605,0.183046
50,-1.83966,0.176068
52,-1.74316,0.19735
54,-1.7854,0.183316
56,-1.76776,0.181245
58,-1.79235,0.165464
60,-1.79435,0.175581
62,-1.77669,0.204953
64,-1.72923,0.220178
66,-1.81275,0.211126
68,-1.78455,0.2066
70,-1.7692,0.185969
72,-1.6895,0.223001
74,-1.68976,0.202571
76,-1.72149,0.209824
78,-1.58153,0.226391
80,-1.73026,0.214903
82,-1.58535,0.237875
84,-1.60621,0.228138
86,-1.585,0.23598
88,-1.62195,0.246782
90,-1.74291,0.204723
92,-1.70066,0.192443
94,-1.80667,0.216969
96,-1.81315,0.187633
98,-1.77588,0.192968
100,-1.76121,0.195716
102,-1.78535,0.18007
104,-1.79756,0.16988
106,-1.80893,0.180308
108,-1.80399,0.178426
110,-1.90054,0.170911
112,-1.93322,0.155829
114,-1.72602,0.165686
116,-1.86908,0.151489
118,-2.02286,0.127326
120,-1.94962,0.126981
122,-1.89826,0.132819
124,-1.98353,0.128474
126,-1.9395,0.13522
128,-2.01046,0.121234
130,-1.95854,0.133958
132,-1.81882,0.158559
134,-1.76566,0.161422
136,-1.84112,0.162733
138,-1.7991,0.190811
140,-1.83578,0.197153
142,-1.75202,0.209604
144,-1.57297,0.23335
146,-1.67985,0.182284
148,-1.82882,0.168889
150,-1.75552,0.209583
152,-1.8768,0.158838
154,-1.95837,0.162072
156,-1.95837,0.162072
158,-1.83113,0.175273
160,-1.80723,0.159397
162,-1.78869,0.16124
164,-1.77629,0.183846
166,-1.77629,0.183846
168,-1.78756,0.198053
170,-1.69906,0.214338
172,-1.66737,0.221601
174,-1.67316,0.212264
176,-1.67316,0.212264
178,-1.77114,0.199912
180,-1.77114,0.199912
182,-1.80466,0.178438
184,-1.79318,0.155105
186,-1.95712,0.137736
188,-1.8095,0.178347
190,-1.79617,0.175071
192,-1.89412,0.160696
194,-1.78797,0.153164
196,-1.93445,0.149155
198,-1.86647,0.15581
200,-1.91098,0.172946
202,-1.83902,0.15537
204,-1.84607,0.154483
206,-1.88533,0.147212
208,-1.95375,0.1612
210,-1.95375,0.1612
212,-1.81672,0.159564
214,-1.74842,0.191817
216,-1.77749,0.176708
218,-1.80832,0.221162
220,-1.84054,0.170616
222,-1.76036,0.190521
224,-1.89322,0.184367
226,-1.86529,0.187445
228,-1.80562,0.167468
230,-1.83676,0.156061
232,-1.94067,0.119448
234,-1.86729,0.140187
236,-1.86729,0.140187
238,-1.87777,0.169603
240,-1.756,0.192528
242,-1.84207,0.139555
244,-1.90861,0.163128
246,-1.89741,0.158063
248,-1.95317,0.138844
250,-1.95286,0.138471
252,-2.07543,0.0996353
254,-2.101,0.121498
256,-2.06121,0.102088
258,-2.04325,0.0916108
260,-1.9877,0.103104
262,-1.98023,0.107917
264,-1.96773,0.0972007
266,-2.07856,0.101392
268,-2.04778,0.107211
270,-1.94813,0.123355
272,-1.86409,0.167076
274,-1.9242,0.117227
276,-1.98421,0.147987
278,-1.92712,0.13686
280,-1.90425,0.128291
282,-1.97173,0.113974
284,-1.95897,0.112356
286,-1.97195,0.102356
288,-1.96251,0.120131
290,-2.03942,0.126612
292,-2.03942,0.126612
294,-2.03942,0.126612
296,-2.03942,0.126612
298,-1.91469,0.158589
300,-1.96778,0.147709
302,-1.95944,0.142764
304,-1.97252,0.143401
306,-1.85969,0.178075
308,-1.86803,0.194107
310,-1.87678,0.172066
312,-1.78092,0.166344
314,-2.02451,0.174259
316,-1.88746,0.162955
318,-1.81435,0.140257
320,-1.81435,0.140257
322,-1.95696,0.136769
324,-1.89947,0.132874
326,-1.92447,0.131402
328,-1.97323,0.117456
330,-1.92794,0.129111
332,-1.87042,0.14499
334,-1.93458,0.141044
336,-1.93118,0.118681
338,-1.92395,0.135632
340,-1.92329,0.152472
342,-1.98945,0.146288
344,-1.88005,0.14294
346,-1.85558,0.154537
348,-1.81057,0.182083
350,-1.87975,0.143777
352,-1.92103,0.145249
354,-1.92227,0.147129
356,-1.72797,0.167809
358,-1.83469,0.159943
360,-2.03605,0.119673
362,-1.95147,0.12729
364,-1.94543,0.14474
366,-1.84474,0.144842
368,-1.85397,0.14591
370,-1.91315,0.152278
372,-1.9055,0.162477
374,-1.81054,0.168847
376,-1.81054,0.168847
378,-1.86874,0.167826
380,-1.93257,0.160295
382,-1.85204,0.156533
384,-1.87871,0.18443
386,-1.82614,0.158158
388,-1.90655,0.155062
390,-1.87715,0.158718
392,-1.87715,0.158718
394,-1.82894,0.150891
396,-1.84459,0.172106
398,-1.7902,0.149484
400,-1.85212,0.15371
402,-1.85212,0.15371
404,-1.86428,0.152728
406,-1.79905,0.181718
408,-1.79905,0.181718
410,-1.85927,0.182758
412,-1.85814,0.146802
414,-1.86654,0.147027
416,-1.86654,0.147027
418,-1.8621,0.148455
420,-1.95657,0.13736
422,-1.95657,0.13736
424,-1.94875,0.133363
426,-1.92057,0.137237
428,-1.88334,0.156644
430,-1.88571,0.167531
432,-1.91536,0.143426
434,-1.86484,0.14494
436,-1.89402,0.157719
438,-1.97599,0.138138
440,-1.92234,0.137633
442,-2.01995,0.101243
444,-2.06477,0.116202
446,-2.02276,0.109041
448,-2.00644,0.0938265
450,-2.07106,0.0987754
452,-2.02782,0.105556
454,-1.95887,0.09255
456,-1.98838,0.103001
458,-2.03472,0.105746
460,-1.98909,0.0996963
462,-1.96089,0.11716
464,-2.01209,0.121935
466,-1.87066,0.128582
468,-1.93665,0.13762
470,-1.82059,0.151933
472,-1.88226,0.126987
474,-1.9349,0.146582
476,-1.92272,0.120373
478,-1.97826,0.102885
480,-1.97445,0.109742
482,-2.02112,0.105344
484,-2.07772,0.0876612
486,-2.0311,0.0936813
488,-1.97996,0.0879194
490,-2.04255,0.0958369
492,-2.07316,0.104735
494,-2.02537,0.0986095
496,-2.02537,0.0986095
498,-2.00754,0.0970274
500,-2.00633,0.119209
502,-2.01214,0.10189
504,-1.91559,0.106512
506,-1.96132,0.0879127
508,-1.92119,0.132437
510,-1.9209,0.106077
512,-1.93684,0.131491
514,-2.01566,0.12876
516,-1.9133,0.150856
518,-1.9133,0.150856
520,-1.97721,0.129654
522,-1.88323,0.145244
524,-1.94225,0.127109
526,-1.8437,0.135343
528,-1.8437,0.135343
530,-1.8437,0.135343
532,-1.88534,0.136499
534,-1.87751,0.158619
536,-1.84904,0.153164
538,-1.94227,0.101846
540,-1.9792,0.0993863
542,-2.01382,0.0809781
544,-1.99752,0.0996525
546,-2.04673,0.0925106
548,-2.04673,0.0925106
550,-2.04563,0.0999501
552,-2.14427,0.0911435
554,-1.9304,0.104707
556,-2.0522,0.0963797
558,-2.02412,0.110141
560,-2.12489,0.0958087
562,-2.11712,0.11081
564,-1.90575,0.116757
566,-1.90575,0.116757
568,-2.0118,0.112025
570,-2.02389,0.0950863
572,-2.0788,0.107748
574,-1.98487,0.111448
576,-1.99416,0.090156
578,-2.12753,0.0907324
580,-2.09172,0.0808074
582,-2.08407,0.0873793
584,-1.9876,0.0980902
586,-1.94567,0.117813
588,-2.13036,0.100877
590,-1.98763,0.105137
592,-1.99729,0.108615
594,-1.94446,0.0920162
596,-2.03223,0.111438
598,-1.95433,0.105913
600,-1.93699,0.125261
602,-1.97321,0.106943
604,-1.85873,0.159195
606,-1.85873,0.159195
608,-1.88881,0.155771
610,-1.91351,0.117888
612,-1.85978,0.164587
614,-1.8006,0.153198
616,-1.8873,0.144748
618,-1.84825,0.16579
620,-1.85145,0.166659
622,-1.78847,0.165359
624,-1.86201,0.160992
626,-1.81168,0.134432
628,-1.88337,0.128103
630,-1.91463,0.170265
632,-1.93465,0.158042
634,-1.81054,0.178175
636,-1.8454,0.171403
638,-1.86469,0.136384
640,-1.92181,0.146886
642,-1.96551,0.124172
644,-1.92716,0.131403
646,-1.8426,0.170069
648,-1.9148,0.152436
650,-1.94948,0.117193
652,-1.93482,0.124409
654,-1.91433,0.150483
656,-1.98977,0.113351
658,-1.96043,0.0997821
660,-2.05209,0.0995918
662,-2.10053,0.125643
664,-2.00762,0.105543
666,-1.91519,0.128759
668,-1.93484,0.113585
670,-1.93024,0.161895
672,-1.99236,0.128895
674,-1.81349,0.140747
676,-1.83948,0.169165
678,-1.75938,0.194949
680,-1.81057,0.170441
682,-1.80465,0.156327
684,-1.80465,0.156327
686,-1.85904,0.138899
688,-1.93202,0.131994
690,-1.84575,0.163967
692,-1.85212,0.167845
694,-1.9206,0.162094
696,-1.94033,0.134911
698,-1.90909,0.170032
700,-1.94193,0.152847
702,-1.94688,0.154753
704,-1.88807,0.142701
706,-1.86574,0.170341
708,-1.96448,0.127634
710,-1.94446,0.127613
712,-1.97219,0.152082
714,-1.97219,0.152082
716,-1.965,0.132883
718,-2.06277,0.104129
720,-2.13118,0.117489
722,-1.95782,0.0969288
724,-2.02546,0.117846
726,-2.01631,0.120006
728,-2.05378,0.128774
730,-2.02169,0.103595
732,-2.06456,0.1301
734,-1.98091,0.110133
736,-2.04445,0.0971869
738,-1.96855,0.126586
740,-1.89303,0.132976
742,-1.83459,0.148073
744,-1.761,0.182452
746,-1.90252,0.16219
748,-1.90252,0.16219
750,-1.8404,0.16549
752,-1.90948,0.148802
754,-1.79337,0.164878
756,-1.93848,0.155674
758,-1.8828,0.153508
760,-1.83912,0.138727
762,-1.87793,0.160137
764,-1.89506,0.157842
766,-1.88892,0.153643
768,-1.96042,0.14875
770,-1.8142,0.156212
772,-1.89663,0.16137
774,-1.70008,0.192071
776,-1.70008,0.192071
778,-1.83125,0.172812
780,-1.83125,0.172812
782,-1.90796,0.14421
784,-1.86736,0.165474
786,-1.93805,0.163229
788,-1.92001,0.133013
790,-2.01318,0.11889
792,-1.99477,0.113215
794,-2.05143,0.0893812
796,-2.03717,0.0833557
798,-2.04237,0.0856847
800,-2.00645,0.0998878
802,-2.02459,0.0939187
804,-2.02459,0.0939187
806,-1.95907,0.114887
808,-1.99351,0.0941581
810,-2.01442,0.0845261
812,-2.07852,0.102902
814,-2.09484,0.088999
816,-1.98872,0.0981492
818,-2.0811,0.0938521
820,-1.91702,0.112683
822,-1.89131,0.131824
824,-1.85489,0.158423
826,-1.88562,0.163185
828,-1.98409,0.122996
830,-2.06475,0.12276
832,-1.9011,0.142864
834,-1.94762,0.125338
836,-1.88474,0.130411
838,-1.81745,0.138239
840,-1.97409,0.115333
842,-1.96189,0.141477
844,-1.91521,0.142057
846,-1.86216,0.146261
848,-1.87309,0.130204
850,-1.87309,0.130204
852,-1.92284,0.140124
854,-1.98786,0.132393
856,-1.99872,0.146063
858,-1.86535,0.112574
860,-2.01131,0.111264
862,-2.07895,0.104361
864,-2.07895,0.104361
866,-2.07895,0.104361
868,-2.00329,0.115325
870,-1.96736,0.125834
872,-1.98633,0.117019
874,-1.90631,0.119502
876,-1.98067,0.0871393
878,-2.0103,0.0942526
880,-1.8849,0.110363
882,-1.89574,0.103804
884,-1.94331,0.108838
886,-1.96222,0.116811
888,-2.02369,0.142946
890,-1.95666,0.120609
892,-1.95932,0.111505
894,-2.06888,0.0922415
896,-1.99217,0.102386
898,-2.03776,0.111792
900,-2.03188,0.0962053
902,-1.98193,0.0983148
904,-2.0075,0.0950458
906,-2.02235,0.10309
908,-2.07309,0.0949894
910,-2.06924,0.101014
912,-2.07312,0.101309
914,-1.95414,0.0995455
916,-2.05959,0.102454
918,-2.02602,0.112001
920,-2.02602,0.112001
922,-1.97078,0.114032
924,-2.04064,0.111873
926,-1.98626,0.0934472
928,-2.06667,0.0995104
930,-1.98731,0.104066
932,-2.04744,0.102528
934,-2.00609,0.108541
936,-2.00609,0.108541
938,-2.04154,0.0918057
940,-1.9563,0.126909
942,-2.02754,0.126029
944,-2.02754,0.126029
946,-2.03606,0.121971
948,-1.99506,0.119935
950,-1.98978,0.11044
952,-1.98978,0.11044
954,-1.96749,0.124946
956,-2.00099,0.0907478
958,-1.97449,0.118903
960,-1.97601,0.104192
962,-2.05618,0.11064
964,-1.91608,0.12713
966,-1.9503,0.1354
968,-2.11159,0.122962
970,-2.03902,0.112233
972,-2.06201,0.118827
974,-2.02015,0.113715
976,-1.97633,0.150688
978,-1.88701,0.14007
980,-1.9794,0.154031
982,-1.95557,0.156454
984,-1.91653,0.113485
986,-1.88793,0.116749
988,-1.99891,0.109922
990,-2.0028,0.10275
992,-2.03556,0.107118
994,-2.12922,0.102675
996,-2.02425,0.124454
998,-1.98042,0.151335
1000,-1.98042,0.151335
1002,-2.07447,0.117813
1004,-2.01422,0.123113
1006,-2.13185,0.116936
1008,-2.07017,0.0967117
1010,-2.09887,0.105751
1012,-2.09887,0.105751
1014,-2.02159,0.117856
1016,-2.07791,0.117944
1018,-2.04389,0.0803641
1020,-2.02772,0.127815
1022,-1.94823,0.127093
1024,-2.03657,0.124043
1026,-1.97062,0.104319
1028,-1.96505,0.101167
1030,-1.98942,0.0868513
1032,-1.92629,0.100874
1034,-2.0731,0.101248
1036,-1.98129,0.119853
1038,-2.00667,0.11848
1040,-2.12634,0.104495
1042,-2.12634,0.104495
1044,-2.05381,0.10646
1046,-1.97321,0.0939709
1048,-1.97568,0.126094
1050,-2.02355,0.123998
1052,-2.11056,0.0884771
1054,-1.98691,0.0968973
1056,-2.02529,0.129978
1058,-2.04109,0.106992
1060,-1.97049,0.10187
