MDTU,S_B
2,0.475637
4,0.495499
6,0.516372
8,0.521268
10,0.582489
12,0.552162
14,0.552162
16,0.55113
18,0.541905
20,0.520774
22,0.520774
24,0.550383
26,0.550383
28,0.524272
30,0.552688
32,0.539209
34,0.536479
36,0.536479
38,0.587767
40,0.566234
42,0.557246
44,0.519561
46,0.529834
48,0.547065
50,0.529688
52,0.560446
54,0.564098
56,0.535856
58,0.530756
60,0.539196
62,0.548883
64,0.56592
66,0.583196
68,0.558212
70,0.568008
72,0.524941
74,0.534441
76,0.533171
78,0.553588
80,0.553588
82,0.517032
84,0.493527
86,0.547556
88,0.541123
90,0.55037
92,0.556153
94,0.555511
96,0.52879
98,0.5624
100,0.522613
102,0.564361
104,0.552347
106,0.498784
108,0.539638
110,0.583921
112,0.583921
114,0.5492
116,0.551198
118,0.558036
120,0.544759
122,0.562401
124,0.547102
126,0.557372
128,0.551624
130,0.524193
132,0.549732
134,0.536963
136,0.545823
138,0.551407
140,0.537721
142,0.585438
144,0.539354
146,0.547547
148,0.54377
150,0.554588
152,0.533406
154,0.532339
156,0.52294
158,0.53391
160,0.538168
162,0.569998
164,0.565945
166,0.565945
168,0.565945
170,0.572576
172,0.553533
174,0.553533
176,0.520468
178,0.517728
180,0.532016
182,0.542061
184,0.555327
186,0.555327
188,0.557807
190,0.557807
192,0.53014
194,0.53369
196,0.53369
198,0.53369
200,0.538822
202,0.540783
204,0.518426
206,0.530544
208,0.556368
210,0.556368
212,0.556368
214,0.582631
216,0.582631
218,0.582631
220,0.582631
222,0.582631
224,0.582631
226,0.608704
228,0.586275
230,0.55413
232,0.531686
234,0.588725
236,0.588725
238,0.588725
240,0.564489
242,0.545748
244,0.529887
246,0.525191
248,0.520062
250,0.553875
252,0.539716
254,0.532774
256,0.54717
258,0.537386
260,0.53013
262,0.53013
264,0.54707
266,0.580291
268,0.577392
270,0.57096
272,0.549095
274,0.569921
276,0.542304
278,0.542304
280,0.540272
282,0.579066
284,0.579066
286,0.555617
288,0.550186
290,0.57082
292,0.57082
294,0.574972
296,0.574972
298,0.56738
300,0.563869
302,0.563869
304,0.552423
306,0.51555
308,0.53202
310,0.547382
312,0.5293
314,0.52088
316,0.541316
318,0.574824
320,0.539896
322,0.559138
324,0.53668
326,0.507152
328,0.530854
330,0.560285
332,0.560285
334,0.560285
336,0.520409
338,0.539469
340,0.570263
342,0.572728
344,0.522383
346,0.560792
348,0.570839
350,0.56229
352,0.546784
354,0.560399
356,0.523917
358,0.502488
360,0.519789
362,0.517739
364,0.550397
366,0.539727
368,0.532712
370,0.532712
372,0.532712
374,0.558589
376,0.558589
378,0.554582
380,0.562287
382,0.562287
384,0.579656
386,0.55186
388,0.535198
390,0.543659
392,0.543659
394,0.519177
396,0.517289
398,0.562379
400,0.573785
402,0.573785
404,0.589313
406,0.578217
408,0.588707
410,0.588707
412,0.557959
414,0.531431
416,0.557358
418,0.551399
420,0.533392
422,0.533392
424,0.545869
426,0.590406
428,0.597695
430,0.597695
432,0.562991
434,0.543006
436,0.53372
438,0.529078
440,0.516838
442,0.517652
444,0.515798
446,0.529059
448,0.54467
450,0.546142
452,0.529283
454,0.539548
456,0.531202
458,0.561682
460,0.536611
462,0.548159
464,0.550588
466,0.507484
468,0.514158
470,0.514627
472,0.521344
474,0.531486
476,0.562401
478,0.552889
480,0.567029
482,0.545511
484,0.521022
486,0.558801
488,0.517618
490,0.541204
492,0.528779
494,0.529203
496,0.557044
498,0.559992
500,0.559992
502,0.559992
504,0.559992
506,0.555094
508,0.576658
510,0.576658
512,0.557546
514,0.557546
516,0.539151
518,0.539151
520,0.539153
522,0.539153
524,0.539153
526,0.539153
528,0.520045
530,0.520045
532,0.55725
534,0.536591
536,0.53171
538,0.538916
540,0.558458
542,0.548738
544,0.574739
546,0.558912
548,0.54803
550,0.563538
552,0.536299
554,0.545891
556,0.532854
558,0.543838
560,0.529241
562,0.511994
564,0.511951
566,0.518091
568,0.520289
570,0.525547
572,0.525547
574,0.570019
576,0.579096
578,0.542883
580,0.529768
582,0.540803
584,0.558155
586,0.561885
588,0.553296
590,0.519887
592,0.534351
594,0.553316
596,0.552366
598,0.573384
600,0.573384
602,0.533148
604,0.531149
606,0.531149
608,0.527898
610,0.528298
612,0.531606
614,0.528017
616,0.534673
618,0.547372
620,0.612349
622,0.570952
624,0.570952
626,0.521034
628,0.530583
630,0.541971
632,0.565096
634,0.558608
636,0.554671
638,0.547149
640,0.543952
642,0.559619
644,0.514665
646,0.531068
648,0.540772
650,0.540772
652,0.563759
654,0.558161
656,0.576481
658,0.526636
660,0.532705
662,0.514115
664,0.515555
666,0.535242
668,0.54715
670,0.566045
672,0.585874
674,0.552307
676,0.540024
678,0.565892
680,0.570704
682,0.564712
684,0.565548
686,0.565548
688,0.553345
690,0.545169
692,0.524905
694,0.575167
696,0.542794
698,0.570031
700,0.527947
702,0.527947
704,0.533796
706,0.538363
708,0.523676
710,0.529527
712,0.528572
714,0.53862
716,0.558407
718,0.536663
720,0.536663
722,0.530737
724,0.530737
726,0.545875
728,0.560943
730,0.563031
732,0.563031
734,0.53206
736,0.525637
738,0.525637
740,0.518342
742,0.524918
744,0.546089
746,0.553396
748,0.553396
750,0.551511
752,0.551511
754,0.557161
756,0.567271
758,0.567271
760,0.548724
762,0.536229
764,0.53792
766,0.555372
768,0.543352
770,0.551826
772,0.536104
774,0.569212
776,0.569212
778,0.551378
780,0.527125
782,0.529086
784,0.49825
786,0.552451
788,0.514445
790,0.511697
792,0.515447
794,0.514929
796,0.514929
798,0.532486
800,0.541925
802,0.527816
804,0.538987
806,0.549411
808,0.562417
810,0.525551
812,0.564476
814,0.552117
816,0.539406
818,0.541518
820,0.550527
822,0.561095
824,0.557145
826,0.56408
828,0.548647
830,0.533279
832,0.52726
834,0.543286
836,0.537584
838,0.546982
840,0.551079
842,0.538018
844,0.539285
846,0.532768
848,0.522963
850,0.552625
852,0.540736
854,0.561161
856,0.561161
858,0.567874
860,0.519949
862,0.531175
864,0.535494
866,0.535494
868,0.510451
870,0.550286
872,0.550286
874,0.529717
876,0.490998
878,0.533562
880,0.552391
882,0.5403
884,0.543381
886,0.562319
888,0.558819
890,0.577815
892,0.569491
894,0.582254
896,0.582254
898,0.582254
