ReTr(Lx),ImTr(Lx)
0.0242405,0.0066719
-0.00129101,-0.000206744
0.0016903,-0.00079297
0.000243515,0.00353795
5.76172e-05,-0.000120306
-0.000199635,-0.000442367
-0.000199635,-0.000442367
-0.0028632,-0.000728682
0.0027063,0.00454913
0.00327532,0.00211349
0.00327532,0.00211349
0.0025825,0.00144122
0.0025825,0.00144122
-0.000752805,0.00058785
0.0010875,-0.000384915
0.000746985,0.00106949
0.000144305,0.00205
0.000144305,0.00205
-0.000463888,-0.00177943
-7.7812e-05,0.00290943
-0.00336605,0.00184595
-0.0020741,0.00152862
0.000946763,0.00362963
0.000697018,0.0023932
0.00241713,0.00130973
-0.00454917,-0.00741975
-0.00162891,0.000803037
-0.00375648,0.000589737
0.00121181,0.00226851
-0.00133866,0.00334907
-0.000410355,0.000742797
0.00205566,0.0040879
0.000533608,-0.002892
0.0039691,-0.000495303
-0.0010478,0.00297922
0.00146977,0.000965505
-0.00172834,0.00143563
0.00252293,0.00053971
0.000789155,0.0114738
0.000789155,0.0114738
-0.000431665,-0.000188054
-0.00225513,0.00103145
0.000880245,0.00123141
0.00153922,0.000512987
0.00153427,-0.00111571
-0.00490318,-0.000758665
0.00195943,-0.00187131
0.00136024,-0.00464393
-0.00394265,1.17474e-05
-0.00152608,-0.00401257
0.00203873,0.003777
-0.00300043,0.00731317
0.00675883,0.000627463
0.0101341,-0.00181049
-0.00109806,0.00278633
-0.00109806,0.00278633
0.000279465,-0.00053154
-0.00134747,-0.000866887
-0.00929602,-0.005718
0.00496267,-0.000218146
-0.00111418,0.00181104
-0.00226194,0.000840885
0.00253302,0.000564175
0.00219262,-0.0012188
-0.00196833,0.00238906
-0.0010222,-0.00349553
0.00239647,0.0025404
-0.00123175,-0.00518497
-0.00792235,-0.000535805
0.001451,0.00768565
0.00507403,-0.00437002
-0.00082538,-0.0019962
-0.00430722,0.00414917
-0.00223587,0.000455593
-0.00537582,0.0041411
-0.000596577,0.00327255
-0.00238247,-0.00111876
-0.000627657,0.00213887
0.000572693,-0.00077032
0.00232268,0.000835722
-0.00136754,-0.0015907
2.41274e-05,0.00393805
2.41274e-05,0.00393805
2.41274e-05,0.00393805
-0.00490365,0.00434688
-0.0029587,0.000369788
-0.0029587,0.000369788
0.0033701,0.00126024
-0.00057658,0.0037494
0.0023397,0.000491502
0.0038816,-0.0026863
-0.00200674,0.000662638
-0.00200674,0.000662638
0.00403995,0.00142629
0.00403995,0.00142629
-0.000940755,-0.003789
-0.00171798,-0.00282685
-0.00171798,-0.00282685
-0.00171798,-0.00282685
-6.61263e-06,0.0012988
-0.00136296,0.00160691
-0.00122152,-0.00144845
0.00061023,0.00111172
-0.00265972,-0.000366895
-0.00265972,-0.000366895
-0.00265972,-0.000366895
-0.00168224,0.00430245
-0.00168224,0.00430245
-0.00168224,0.00430245
-0.00168224,0.00430245
-0.00168224,0.00430245
-0.00168224,0.00430245
0.000550447,0.00129308
0.0020883,0.00225871
-4.5553e-05,-0.00255165
0.000590695,0.00307995
0.00120451,-0.00717963
0.00120451,-0.00717963
0.00120451,-0.00717963
-0.000608278,-0.00503085
0.00059779,0.00324493
0.0069194,-0.00131722
-0.0040774,-0.00264007
-0.000486057,-0.00103217
0.000770518,-0.00624708
-0.00231899,0.00202104
7.47915e-05,0.00346918
0.00317435,0.00164306
0.00217424,-0.000517483
0.0006809,-0.00051766
0.0006809,-0.00051766
0.00152851,0.00164107
-0.00164837,-0.00983437
-0.00215833,-0.000168179
-0.00337517,0.0026616
0.0040372,-0.000385688
-0.0025098,-0.0032259
-0.00166792,0.0035735
-0.00166792,0.0035735
-0.0072924,0.000220695
0.00300822,-0.0023325
0.00300822,-0.0023325
0.0008275,-0.00653333
0.00208511,-0.00573847
0.00308018,0.004491
0.00308018,0.004491
0.00285567,-0.00584055
0.00285567,-0.00584055
-0.0017969,0.00035621
-0.000907392,-0.00937892
-0.000907392,-0.00937892
-0.00641762,-0.0041258
0.00388437,-0.00232251
0.00258482,-0.00373282
-0.00129958,0.0041649
-0.00200306,-0.00495755
-0.00043431,-0.0026606
0.00136418,-0.0010394
0.00183667,0.000181931
-0.000294512,-0.00199932
-0.00157548,0.000256043
-0.00137294,-0.00334272
-0.00255225,-0.000815995
0.00218274,0.000717235
