MDTU,ssplaq,stplaq
2,0.829131,0.533843
4,0.676836,0.360298
6,0.749004,0.373842
8,0.923951,0.472658
10,0.95411,0.480802
12,1.00352,0.50225
14,1.00352,0.50225
16,0.84346,0.429372
18,1.03578,0.538563
20,0.983298,0.529926
22,0.983298,0.529926
24,1.02983,0.549978
26,1.02983,0.549978
28,1.28042,0.639035
30,1.39251,0.72826
32,1.40208,0.776468
34,1.2501,0.745214
36,1.2501,0.745214
38,1.29987,0.682106
40,1.18412,0.644041
42,1.24193,0.681769
44,1.2564,0.595946
46,0.994367,0.581489
48,1.04353,0.561594
50,1.03403,0.554253
52,1.2088,0.640226
54,1.27069,0.625102
56,1.13567,0.594834
58,1.03944,0.588675
60,1.25347,0.617151
62,1.27709,0.656694
64,1.5,0.73109
66,1.48849,0.700569
68,1.29871,0.692689
70,1.26345,0.641049
72,1.35789,0.72808
74,1.3871,0.694907
76,1.48781,0.735481
78,1.70719,0.813167
80,1.70719,0.813167
82,1.63415,0.927032
84,1.64301,0.882364
86,1.62451,0.868384
88,2.10724,1.09203
90,1.77824,0.893298
92,1.65129,0.868729
94,1.56108,0.797114
96,1.56453,0.774333
98,1.75304,0.967142
100,1.71655,0.914591
102,1.81488,0.904143
104,1.91932,0.955623
106,1.99132,0.949194
108,1.99217,0.980835
110,1.74676,0.91641
112,1.74676,0.91641
114,2.0556,1.07644
116,2.04888,1.04293
118,1.53229,0.783286
120,1.98324,0.934828
122,2.14636,1.047
124,1.97007,0.96542
126,1.94819,0.951386
128,1.83625,0.943229
130,1.80693,0.997716
132,2.23193,1.21138
134,2.33719,1.37819
136,2.62862,1.25285
138,2.93914,1.42885
140,2.90632,1.42001
142,3.11964,1.64259
144,3.51611,1.71407
146,3.1764,1.49736
148,3.02675,1.57763
150,3.09776,1.58897
152,2.89441,1.49401
154,2.73161,1.4534
156,2.77611,1.55589
158,3.15851,1.66867
160,3.31387,1.74297
162,3.65306,1.73411
164,3.75593,1.86585
166,3.75593,1.86585
168,3.75593,1.86585
170,3.76046,1.90783
172,3.86603,1.97317
174,3.86603,1.97317
176,3.61069,1.85731
178,3.49176,1.63221
180,3.67198,1.86694
182,3.50568,1.82177
184,3.32228,1.75996
186,3.32228,1.75996
188,3.83059,1.8552
190,3.83059,1.8552
192,3.61045,1.76168
194,3.39814,1.68933
196,3.39814,1.68933
198,3.39814,1.68933
200,3.56701,1.82896
202,3.48891,1.79098
204,3.51603,1.59162
206,3.57588,1.69438
208,3.8387,1.79269
210,3.8387,1.79269
212,3.8387,1.79269
214,4.22501,2.10769
216,4.22501,2.10769
218,4.22501,2.10769
220,4.22501,2.10769
222,4.22501,2.10769
224,4.22501,2.10769
226,4.65863,2.29021
228,4.30791,2.10208
230,3.82838,2.02717
232,3.38226,1.7735
234,3.90715,2.05108
236,3.90715,2.05108
238,3.90715,2.05108
240,4.29042,2.16427
242,3.8716,1.92226
244,3.85982,1.95508
246,3.82315,1.89697
248,3.33119,1.64947
250,3.7652,1.56689
252,2.89754,1.44167
254,2.90033,1.44028
256,2.85383,1.43221
258,2.52621,1.26553
260,2.78942,1.3236
262,2.78942,1.3236
264,2.51819,1.26443
266,2.75904,1.28898
268,2.53649,1.2676
270,2.65953,1.36803
272,2.89851,1.48208
274,3.20147,1.41076
276,2.83634,1.43118
278,2.83634,1.43118
280,2.72771,1.38916
282,2.81463,1.40457
284,2.81463,1.40457
286,2.4653,1.23458
288,2.42781,1.27449
290,2.35463,1.27017
292,2.35463,1.27017
294,2.37397,1.25267
296,2.37397,1.25267
298,2.22678,1.13538
300,2.08416,1.07377
302,2.08416,1.07377
304,2.11061,1.07962
306,1.79562,0.897245
308,1.58387,0.75713
310,1.85256,0.897988
312,1.69667,0.93744
314,1.80651,0.940144
316,1.54561,0.803746
318,1.74444,0.936867
320,1.71291,0.916227
322,1.87017,0.938372
324,1.81276,0.899035
326,1.73609,0.925796
328,1.80498,0.964777
330,1.89842,0.852231
332,1.89842,0.852231
334,1.89842,0.852231
336,1.99599,0.950784
338,1.66594,0.958856
340,1.73728,0.869829
342,1.87661,0.909555
344,1.73153,0.815082
346,1.53163,0.815777
348,1.41747,0.686758
350,1.52578,0.808575
352,1.32654,0.740062
354,1.52928,0.75219
356,1.30384,0.655714
358,1.29407,0.611171
360,1.69938,0.823284
362,1.61213,0.776976
364,1.38818,0.74184
366,1.53634,0.781449
368,1.50875,0.829745
370,1.50875,0.829745
372,1.50875,0.829745
374,1.74534,0.930119
376,1.74534,0.930119
378,1.82375,0.961309
380,2.11452,1.0336
382,2.11452,1.0336
384,2.2904,1.04862
386,1.84278,0.946941
388,2.04806,1.02506
390,1.76311,0.893032
392,1.76311,0.893032
394,1.71392,0.863518
396,1.64775,0.806607
398,1.78003,0.91733
400,1.84395,0.975789
402,1.84395,0.975789
404,1.83125,0.91601
406,2.1196,1.03023
408,2.08281,1.01991
410,2.08281,1.01991
412,1.93166,0.994518
414,2.1462,1.19519
416,2.44679,1.19674
418,2.43157,1.26908
420,2.33367,1.29016
422,2.33367,1.29016
424,2.54564,1.27259
426,2.49798,1.32389
428,2.57402,1.43413
430,2.57402,1.43413
432,2.35035,1.23982
434,2.43985,1.2164
436,2.2718,1.09096
438,2.14381,1.06595
440,2.06009,1.00541
