MDTU,min_min,min_max,max_min,max_max
2,-3.84551,0.140443,-0.125085,0.70718
4,-4.97443,0.16518,-0.227195,0.942836
6,-6.27439,0.334144,-0.196245,1.0445
8,-4.88621,0.439868,-0.466928,1.02354
10,-4.7071,0.289447,-0.325524,0.964901
12,-5.9112,0.407154,-0.282255,1.00203
14,-5.9112,0.407154,-0.282255,1.00203
16,-5.68849,0.338195,-0.427904,1.0008
18,-3.97655,0.445211,-0.240571,1.03236
20,-4.49261,0.347946,-0.34386,1.10907
22,-4.49261,0.347946,-0.34386,1.10907
24,-3.95198,0.478573,-0.322318,1.06389
26,-3.95198,0.478573,-0.322318,1.06389
28,-4.12475,0.502459,-0.435892,1.18659
30,-3.99889,0.563241,-0.345336,1.02472
32,-5.36942,0.710978,-0.348456,1.17221
34,-4.47702,0.498471,-0.410807,1.17439
36,-4.47702,0.498471,-0.410807,1.17439
38,-4.62602,0.493815,-0.257693,1.09798
40,-3.95307,0.445347,-0.281648,1.1613
42,-4.38164,0.427791,-0.386292,1.06577
44,-5.12497,0.596816,-0.224931,1.12488
46,-3.81589,0.354085,-0.422449,1.00633
48,-5.85322,0.428768,-0.315198,1.14155
50,-4.27557,0.430179,-0.431056,1.08517
52,-3.98188,0.485374,-0.343324,1.08122
54,-4.90371,0.448762,-0.390269,1.02012
56,-4.29155,0.578177,-0.304857,1.18333
58,-4.45216,0.392891,-0.336867,1.02021
60,-4.80929,0.529242,-0.433598,1.12095
62,-4.45992,0.478531,-0.392956,1.06412
64,-3.73756,0.68881,-0.375545,1.1847
66,-3.695,0.657781,-0.373756,1.12553
68,-4.87563,0.485008,-0.269768,1.13123
70,-4.00703,0.4593,-0.328735,1.08537
72,-4.23573,0.671637,-0.464957,1.18776
74,-5.03134,0.577576,-0.292508,1.3017
76,-4.97002,0.586195,-0.345404,1.16376
78,-5.54843,0.632324,-0.23043,1.18384
80,-5.54843,0.632324,-0.23043,1.18384
82,-3.54988,0.614219,-0.31945,1.19261
84,-4.19429,0.694443,-0.329756,1.17622
86,-4.2155,0.725674,-0.277682,1.25016
88,-3.74459,0.710573,-0.267295,1.15212
90,-4.3432,0.672579,-0.289316,1.18526
92,-4.5974,0.582121,-0.311497,1.15479
94,-4.3327,0.603792,-0.34495,1.20962
96,-4.53609,0.611102,-0.433373,1.29079
98,-4.46458,0.615743,-0.314845,1.24016
100,-4.29845,0.588249,-0.274594,1.17503
102,-3.92224,0.72733,-0.512233,1.31149
104,-3.78479,0.813279,-0.420092,1.25625
106,-4.11451,0.698819,-0.441508,1.19623
108,-5.67667,0.680473,-0.308738,1.18862
110,-4.66094,0.649086,-0.4671,1.25612
112,-4.66094,0.649086,-0.4671,1.25612
114,-4.31168,0.785001,-0.349751,1.26825
116,-4.56856,0.711124,-0.392445,1.23208
118,-5.06991,0.617649,-0.481895,1.1405
120,-4.03645,0.687801,-0.236171,1.17869
122,-4.70326,0.78965,-0.383876,1.273
124,-3.61648,0.693538,-0.275909,1.2459
126,-3.93285,0.720164,-0.427627,1.32659
128,-3.95369,0.700744,-0.326199,1.14919
130,-4.55857,0.794912,-0.312334,1.31064
132,-4.25532,0.76696,-0.316549,1.23335
134,-4.04392,0.824697,-0.276387,1.2786
136,-3.78321,0.817127,-0.313559,1.28909
138,-4.68069,0.889723,-0.378115,1.30722
140,-3.86282,0.895717,-0.336061,1.27441
142,-4.5613,0.902967,-0.264895,1.34741
144,-4.42404,0.982504,-0.402543,1.45142
146,-5.15662,0.979307,-0.324022,1.34858
148,-4.24858,0.955144,-0.246969,1.425
150,-3.91312,0.993383,-0.374834,1.35993
152,-4.3156,0.8549,-0.449292,1.32687
154,-4.22306,0.865686,-0.3512,1.3461
156,-4.47963,0.978873,-0.341729,1.30985
158,-4.33038,1.01972,-0.278006,1.39495
160,-4.39333,1.06835,-0.371705,1.37123
162,-4.36001,0.976197,-0.238703,1.42365
164,-3.69243,1.04319,-0.411088,1.47653
166,-3.69243,1.04319,-0.411088,1.47653
168,-3.69243,1.04319,-0.411088,1.47653
170,-4.22088,1.02295,-0.359354,1.42284
172,-5.28037,1.06335,-0.291988,1.47303
174,-5.28037,1.06335,-0.291988,1.47303
176,-4.79861,1.05402,-0.342077,1.45663
178,-3.68027,0.973055,-0.327871,1.3702
180,-4.11759,1.03545,-0.295868,1.40062
182,-3.60663,0.948113,-0.436408,1.44879
184,-4.98346,1.02525,-0.262808,1.43264
186,-4.98346,1.02525,-0.262808,1.43264
188,-4.20259,1.03893,-0.408276,1.43811
190,-4.20259,1.03893,-0.408276,1.43811
192,-4.1267,1.04629,-0.503989,1.389
194,-4.30046,1.01354,-0.535983,1.41051
196,-4.30046,1.01354,-0.535983,1.41051
198,-4.30046,1.01354,-0.535983,1.41051
200,-4.15684,1.06543,-0.444727,1.43746
202,-4.58458,0.981358,-0.427039,1.43021
204,-5.37397,1.07698,-0.406809,1.36207
206,-5.48759,1.01646,-0.413974,1.38879
208,-4.27932,1.04942,-0.378844,1.46519
210,-4.27932,1.04942,-0.378844,1.46519
212,-4.27932,1.04942,-0.378844,1.46519
214,-5.31064,1.05727,-0.507683,1.43547
216,-5.31064,1.05727,-0.507683,1.43547
218,-5.31064,1.05727,-0.507683,1.43547
220,-5.31064,1.05727,-0.507683,1.43547
222,-5.31064,1.05727,-0.507683,1.43547
224,-5.31064,1.05727,-0.507683,1.43547
