MDTU,link
2,1
4,1
6,1
8,1
10,1
12,1
14,1
16,1
18,1
20,1
22,1
24,1
26,1
28,1
30,1
32,2.33574
34,3.06582
36,3.83242
38,3.72141
40,3.59161
42,5.6316
44,5.67688
46,7.27597
48,7.06907
50,5.87308
52,5.11735
54,3.6904
56,3.78324
58,3.78324
60,3.25012
62,2.13014
64,1.96086
66,2.33701
68,2.67201
70,1.78058
72,0.975178
74,1.42349
76,1.90785
78,2.35798
80,2.35798
82,2.00303
84,1.43974
86,1.1656
88,0.408588
90,0.342011
92,0.342011
94,0.342011
96,0.415025
98,0.505335
100,0.505335
102,0.505335
104,0.505335
106,0.852937
108,0.852937
110,0.852937
112,0.589691
114,0.51041
116,0.630033
118,0.630033
120,0.630033
122,0.506143
124,0.393732
126,0.333245
128,0.333245
130,0.333245
132,0.726215
134,0.726215
136,0.898591
138,1.53409
140,1.06574
142,0.607445
144,0.704678
146,1.19914
148,1.89028
150,1.46251
152,1.46251
154,1.46251
156,2.26482
158,2.26482
160,1.38567
162,2.31119
164,2.31119
166,2.31119
168,2.31119
170,2.73237
172,4.50628
174,5.11923
176,4.50493
178,5.1133
180,5.73586
182,4.49253
184,4.87647
186,3.7686
188,2.83911
190,4.73978
192,3.6712
194,3.32953
196,5.42859
198,5.91392
200,5.55811
202,5.13892
204,3.83113
206,5.00755
208,5.74337
210,5.52894
212,5.89792
214,6.2416
216,7.14049
218,7.14049
220,7.14049
222,6.30282
224,6.30282
226,6.30282
228,6.30282
230,6.30282
232,6.30282
234,6.30282
236,5.25416
238,5.25416
240,4.16937
242,4.10818
244,3.80048
246,4.78245
248,8.33897
250,9.60576
252,11.0534
254,12.2618
256,15.1222
258,15.0203
260,15.1153
262,20.5155
264,16.5368
266,14.1308
268,14.9545
270,14.6103
272,14.6103
274,16.3098
276,12.6305
278,12.6305
280,10.3779
282,11.0762
284,8.8181
286,8.2177
288,6.36635
290,4.83207
292,4.89648
294,4.64116
296,5.45379
298,5.88148
300,5.95171
302,8.49099
304,9.47196
306,9.47196
308,9.47196
310,9.47196
312,9.94932
314,9.94932
316,9.94932
318,9.94932
320,9.94932
322,9.94932
324,8.79572
326,8.79572
328,10.8546
330,10.8229
332,10.6808
334,10.6808
336,13.1101
338,14.9091
340,16.3717
342,21.4893
344,22.1707
346,21.5094
348,19.8742
350,21.7936
352,22.4241
354,22.4241
356,22.8954
358,22.8954
360,25.6743
362,27.257
364,31.362
366,33.5417
368,32.0636
370,37.0064
372,39.5727
374,39.5727
376,39.5727
378,43.1767
380,43.1767
382,47.8371
384,46.3131
386,42.7135
388,43.4103
390,35.7924
392,33.7248
394,33.7248
396,36.5042
398,34.3443
400,37.5974
402,35.7113
404,43.4524
406,45.9077
408,45.9077
410,47.7298
412,43.3124
414,36.942
416,41.4311
418,39.4262
420,39.5726
422,42.0667
424,43.309
426,40.7775
428,37.8813
430,35.1739
432,32.1485
434,32.1485
436,29.421
438,29.421
440,35.0159
442,35.3588
444,35.3588
446,38.576
448,39.1675
450,44.9887
452,43.5268
454,44.3717
456,49.9865
458,51.9276
460,47.9275
462,55.3536
464,63.2265
466,64.2209
468,59.9918
470,59.7433
472,55.9691
474,56.1895
476,58.3859
478,53.1233
480,53.1233
482,52.8661
484,49.2071
486,43.6045
488,44.3514
490,44.7827
492,43.7322
494,37.5991
496,32.5523
498,33.6966
500,31.595
502,25.9024
504,25.9024
506,24.7126
508,25.1817
510,25.5175
512,24.935
514,24.935
516,24.935
518,27.6008
520,27.6008
522,22.8998
524,19.4262
526,18.5113
528,19.3225
530,19.3225
532,17.8985
534,17.8985
536,23.2096
538,24.6258
540,24.6258
542,23.8046
544,21.1076
546,19.168
548,21.5015
550,21.4693
552,18.1287
554,18.3662
556,19.8775
558,20.845
560,18.407
562,18.407
564,16.9483
566,17.7114
568,15.3887
570,16.4335
572,17.2802
574,21.1739
576,21.1739
578,19.1479
580,19.1479
582,20.698
584,17.8618
586,15.5881
588,15.2808
590,16.5099
592,17.4248
594,17.4248
596,17.217
598,16.7774
600,18.8979
602,21.0339
604,15.1825
606,15.361
608,15.8218
610,14.7124
612,14.7124
614,12.9932
616,12.5521
618,10.8352
620,11.2528
622,11.2528
624,11.5809
626,12.7677
628,15.3333
630,16.1979
632,17.6543
634,19.8718
636,18.9386
638,18.9386
640,16.29
642,19.4948
644,23.1831
646,24.2252
648,22.2805
650,23.0772
652,25.2034
654,25.2034
656,25.2034
658,23.091
660,22.5176
662,30.1866
664,30.7121
666,36.0538
668,34.6965
670,36.0526
672,33.8483
674,34.3428
676,36.004
678,36.1645
680,41.219
682,46.0928
684,46.0411
686,43.887
688,48.0648
690,49.5898
692,53.2734
694,48.1076
696,51.1481
698,50.5888
700,52.6363
702,47.3203
704,47.5696
706,53.0773
708,47.8449
710,45.9639
712,43.9517
714,45.2625
716,42.216
718,43.5789
720,44.0417
722,39.216
724,37.3574
