MDTU,S_B
2,0
4,0
6,0
8,0
10,0
12,0
14,0
16,0
18,0
20,0
22,0
24,0
26,0
28,0
30,0
32,0.636696
34,0.551759
36,0.474275
38,0.439478
40,0.465594
42,0.411267
44,0.472804
46,0.554059
48,0.550204
50,0.578594
52,0.619129
54,0.458472
56,0.445264
58,0.445264
60,0.480274
62,0.695421
64,0.539836
66,0.610583
68,0.498537
70,0.341937
72,0.432559
74,0.448265
76,0.576737
78,0.715906
80,0.715906
82,0.624633
84,0.520235
86,0.661806
88,0.550623
90,0.493217
92,0.493217
94,0.493217
96,0.592641
98,0.616717
100,0.616717
102,0.616717
104,0.616717
106,0.467778
108,0.467778
110,0.467778
112,0.436221
114,0.629905
116,0.60451
118,0.60451
120,0.60451
122,0.51534
124,0.57819
126,0.609935
128,0.609935
130,0.609935
132,0.535936
134,0.535936
136,0.507138
138,0.44921
140,0.374469
142,0.567098
144,0.491116
146,0.506962
148,0.6125
150,0.646719
152,0.646719
154,0.646719
156,0.742575
158,0.742575
160,0.575318
162,0.736742
164,0.736742
166,0.736742
168,0.736742
170,0.635376
172,0.57135
174,0.433386
176,0.524378
178,0.488344
180,0.497581
182,0.520047
184,0.493217
186,0.63081
188,0.516285
190,0.601592
192,0.503556
194,0.443511
196,0.416928
198,0.409895
200,0.510184
202,0.541448
204,0.503302
206,0.535517
208,0.559327
210,0.49732
212,0.544991
214,0.526832
216,0.524543
218,0.524543
220,0.524543
222,0.585767
224,0.585767
226,0.585767
228,0.585767
230,0.585767
232,0.585767
234,0.585767
236,0.519609
238,0.519609
240,0.479599
242,0.559857
244,0.595728
246,0.544389
248,0.527484
250,0.579496
252,0.550105
254,0.51436
256,0.509691
258,0.528339
260,0.465357
262,0.374303
264,0.495401
266,0.517527
268,0.553285
270,0.43045
272,0.43045
274,0.404919
276,0.479561
278,0.479561
280,0.559634
282,0.526259
284,0.541379
286,0.492684
288,0.469555
290,0.581345
292,0.513913
294,0.475274
296,0.450935
298,0.582332
300,0.518183
302,0.597281
304,0.595429
306,0.595429
308,0.595429
310,0.595429
312,0.705071
314,0.705071
316,0.705071
318,0.705071
320,0.705071
322,0.705071
324,0.476961
326,0.476961
328,0.516295
330,0.451274
332,0.600794
334,0.600794
336,0.561628
338,0.565397
340,0.455003
342,0.542424
344,0.504493
346,0.471639
348,0.489729
350,0.496253
352,0.600955
354,0.600955
356,0.54302
358,0.54302
360,0.501847
362,0.498249
364,0.562412
366,0.526992
368,0.431217
370,0.508846
372,0.678542
374,0.678542
376,0.678542
378,0.639321
380,0.639321
382,0.452628
384,0.568189
386,0.555168
388,0.499772
390,0.500802
392,0.456108
394,0.456108
396,0.513949
398,0.456603
400,0.566742
402,0.58689
404,0.462483
406,0.59594
408,0.59594
410,0.543055
412,0.497722
414,0.642429
416,0.663598
418,0.609105
420,0.562201
422,0.486484
424,0.696395
426,0.653225
428,0.452187
430,0.426097
432,0.718347
434,0.718347
436,0.603112
438,0.603112
440,0.522369
442,0.57443
444,0.57443
446,0.610677
448,0.579276
450,0.448175
452,0.450955
454,0.429076
456,0.599766
458,0.619692
460,0.52548
462,0.442151
464,0.475961
466,0.621843
468,0.487899
470,0.471794
472,0.478172
474,0.390063
476,0.531145
478,0.483866
480,0.483866
482,0.492949
484,0.515731
486,0.597841
488,0.573704
490,0.598062
492,0.58258
494,0.578673
496,0.598672
498,0.509538
500,0.490878
502,0.495266
504,0.495266
506,0.54747
508,0.599194
510,0.605478
512,0.512314
514,0.512314
516,0.512314
518,0.465244
520,0.465244
522,0.555714
524,0.591388
526,0.600258
528,0.59508
530,0.59508
532,0.56189
534,0.56189
536,0.491989
538,0.658998
540,0.658998
542,0.474374
544,0.518218
546,0.54464
548,0.486292
550,0.452028
552,0.563596
554,0.593376
556,0.574646
558,0.507323
560,0.486814
562,0.486814
564,0.433377
566,0.613356
568,0.480815
570,0.658057
572,0.644659
574,0.506637
576,0.506637
578,0.583554
580,0.583554
582,0.595688
584,0.670979
586,0.531133
588,0.513063
590,0.496863
592,0.721107
594,0.721107
596,0.566916
598,0.55965
600,0.589639
602,0.423405
604,0.466478
606,0.53721
608,0.683868
610,0.530671
612,0.530671
614,0.507053
616,0.63218
618,0.43713
620,0.550842
622,0.550842
624,0.602558
626,0.477026
628,0.622685
630,0.531412
632,0.607396
634,0.53312
636,0.594473
638,0.594473
640,0.531103
642,0.493542
644,0.577871
646,0.598966
648,0.560195
650,0.654035
652,0.555055
654,0.555055
656,0.555055
658,0.393561
660,0.453543
662,0.557756
664,0.480773
666,0.422727
668,0.604021
670,0.572303
672,0.757853
674,0.46106
676,0.399626
678,0.544995
680,0.485458
682,0.474987
684,0.544029
686,0.5656
688,0.584571
690,0.531764
692,0.495886
694,0.486284
696,0.392617
698,0.446713
700,0.465766
702,0.528592
704,0.451725
706,0.364641
708,0.401623
710,0.469008
712,0.467477
714,0.583039
716,0.670651
718,0.570884
720,0.499966
722,0.526398
724,0.438656
726,0.580489
728,0.557166
730,0.58802
732,0.443841
734,0.443841
736,0.427593
738,0.461896
740,0.409188
742,0.535904
744,0.535904
746,0.496729
748,0.496729
750,0.518889
752,0.548763
754,0.548763
756,0.446781
758,0.459655
760,0.634908
762,0.455806
764,0.596464
766,0.518141
768,0.556128
770,0.588271
772,0.504925
774,0.513676
776,0.537413
778,0.537413
780,0.475683
782,0.585025
784,0.607004
786,0.607004
788,0.475327
790,0.475327
792,0.475327
794,0.585919
796,0.479995
798,0.614935
800,0.468659
802,0.468659
804,0.547034
806,0.509897
808,0.391469
810,0.548123
812,0.624535
814,0.584089
816,0.485224
818,0.504679
820,0.522087
822,0.499884
824,0.543691
826,0.568577
828,0.568577
830,0.528212
832,0.540095
834,0.509722
836,0.548189
838,0.595021
840,0.439804
842,0.566296
844,0.610221
846,0.569899
848,0.516239
850,0.479477
852,0.723896
854,0.534233
856,0.719714
858,0.804912
860,0.614085
862,0.656395
864,0.565057
866,0.514229
868,0.506423
870,0.510409
872,0.530568
874,0.475877
876,0.521448
878,0.556261
880,0.556261
882,0.556261
884,0.556261
886,0.556261
888,0.556261
890,0.616482
892,0.609195
894,0.609195
896,0.647059
898,0.585124
900,0.455973
902,0.506835
904,0.556383
906,0.556383
908,0.556383
910,0.556383
912,0.559437
914,0.559437
916,0.528881
918,0.577341
920,0.577341
922,0.508029
924,0.521082
926,0.521082
928,0.521082
930,0.521082
932,0.554141
934,0.530612
936,0.528687
938,0.607392
940,0.573627
942,0.573627
944,0.597731
946,0.655733
948,0.655733
950,0.741366
952,0.478635
954,0.478635
956,0.476895
958,0.485765
960,0.425366
962,0.46104
964,0.520716
966,0.47743
968,0.56247
970,0.516418
972,0.471116
974,0.450069
976,0.527872
978,0.593317
980,0.48652
982,0.425391
984,0.489211
986,0.426392
988,0.479443
990,0.629279
992,0.56178
994,0.587354
996,0.620049
998,0.62586
1000,0.62586
1002,0.508529
1004,0.411015
1006,0.508177
1008,0.481979
1010,0.445574
1012,0.531511
1014,0.65594
1016,0.65594
1018,0.558577
1020,0.485987
1022,0.542745
1024,0.654309
1026,0.667798
1028,0.579357
1030,0.631581
1032,0.567574
1034,0.567574
1036,0.608605
1038,0.608605
1040,0.608605
1042,0.608605
1044,0.608605
1046,0.568214
1048,0.568214
1050,0.520697
1052,0.527444
1054,0.454273
1056,0.649624
1058,0.649624
1060,0.460311
1062,0.495013
1064,0.645072
1066,0.645072
1068,0.548987
1070,0.616464
1072,0.511464
1074,0.511464
1076,0.574602
1078,0.521034
1080,0.450777
1082,0.450777
1084,0.450777
1086,0.571666
1088,0.504626
1090,0.544235
1092,0.553322
1094,0.628503
1096,0.628503
1098,0.425709
1100,0.447031
1102,0.589942
1104,0.589942
1106,0.589942
1108,0.589942
1110,0.517864
1112,0.517864
1114,0.517864
1116,0.517864
1118,0.618073
1120,0.672266
1122,0.604705
1124,0.500239
1126,0.483664
1128,0.483664
1130,0.483664
1132,0.421121
1134,0.417407
1136,0.339022
1138,0.499837
1140,0.51055
1142,0.53752
1144,0.551151
1146,0.446082
1148,0.508496
1150,0.478316
1152,0.539877
1154,0.59276
1156,0.801953
1158,0.575629
1160,0.575629
1162,0.575629
1164,0.756446
1166,0.692188
1168,0.617925
1170,0.510356
1172,0.46459
1174,0.491194
1176,0.512361
1178,0.644323
1180,0.505343
1182,0.58291
1184,0.58291
1186,0.567505
1188,0.659188
1190,0.57514
1192,0.46713
1194,0.523548
1196,0.613969
1198,0.586782
1200,0.567996
1202,0.531904
1204,0.566604
1206,0.566604
1208,0.594091
1210,0.418272
1212,0.553567
1214,0.618476
1216,0.618476
1218,0.585851
1220,0.586004
1222,0.505373
1224,0.421346
1226,0.493878
1228,0.552099
1230,0.548207
1232,0.49288
1234,0.524093
1236,0.521941
1238,0.541962
1240,0.48422
1242,0.394293
1244,0.524354
1246,0.524354
1248,0.524354
1250,0.592615
1252,0.528836
1254,0.45862
1256,0.561881
1258,0.465571
1260,0.610234
1262,0.610234
1264,0.516059
1266,0.453816
1268,0.621502
1270,0.520775
1272,0.429645
1274,0.580446
1276,0.484111
1278,0.386892
1280,0.456943
1282,0.581351
1284,0.444974
1286,0.434038
1288,0.500169
1290,0.579939
1292,0.576355
1294,0.576355
1296,0.576355
1298,0.542498
1300,0.542498
1302,0.454846
1304,0.537109
1306,0.537109
1308,0.551377
1310,0.641843
1312,0.641843
1314,0.641843
1316,0.641843
1318,0.641843
1320,0.641843
1322,0.538251
1324,0.548322
1326,0.548322
1328,0.553405
1330,0.481645
1332,0.503843
1334,0.54897
1336,0.603223
1338,0.54743
1340,0.506819
1342,0.597813
1344,0.447703
1346,0.476331
1348,0.573387
1350,0.630136
1352,0.685444
1354,0.685444
1356,0.617055
1358,0.522357
1360,0.786213
1362,0.786213
1364,0.625666
1366,0.544655
1368,0.509874
1370,0.43906
1372,0.43906
1374,0.43906
1376,0.531008
1378,0.510125
1380,0.558029
1382,0.49285
1384,0.471445
1386,0.453868
1388,0.444319
1390,0.401286
1392,0.559309
1394,0.610088
1396,0.396721
1398,0.507691
1400,0.61371
1402,0.498092
1404,0.592651
1406,0.773578
1408,0.645019
1410,0.645019
1412,0.536951
1414,0.543303
1416,0.632755
1418,0.544799
1420,0.564523
1422,0.564523
1424,0.514443
1426,0.494195
1428,0.620132
1430,0.620132
1432,0.511818
1434,0.549942
1436,0.587664
1438,0.587664
1440,0.577288
1442,0.484917
1444,0.455691
1446,0.531885
1448,0.60164
1450,0.621792
1452,0.543008
1454,0.587456
1456,0.659856
1458,0.659856
1460,0.585205
1462,0.532051
1464,0.532051
1466,0.588777
1468,0.577395
1470,0.44357
1472,0.582112
1474,0.560241
1476,0.560241
1478,0.459092
1480,0.459092
1482,0.459092
1484,0.471921
1486,0.529281
1488,0.529281
1490,0.568901
1492,0.638296
1494,0.596977
1496,0.465194
1498,0.465194
1500,0.400001
1502,0.3947
1504,0.476924
1506,0.470995
1508,0.502149
1510,0.581034
1512,0.570349
1514,0.619606
1516,0.510707
1518,0.349344
1520,0.369088
1522,0.505321
1524,0.505321
1526,0.505321
1528,0.488167
1530,0.507673
1532,0.469823
1534,0.466101
1536,0.541699
1538,0.46749
1540,0.404128
1542,0.538157
1544,0.43999
1546,0.618064
1548,0.573561
1550,0.530194
1552,0.448467
1554,0.406531
1556,0.524013
1558,0.456304
1560,0.509009
1562,0.541485
1564,0.446288
1566,0.436794
1568,0.432254
1570,0.485733
1572,0.463838
1574,0.502201
1576,0.419015
1578,0.419015
1580,0.425522
1582,0.425522
1584,0.425522
1586,0.497724
1588,0.441967
1590,0.457586
1592,0.483226
1594,0.549514
1596,0.590209
1598,0.590209
1600,0.546656
1602,0.56996
1604,0.392439
1606,0.52626
1608,0.540929
1610,0.479599
1612,0.485519
1614,0.650707
1616,0.650707
1618,0.650707
1620,0.650707
1622,0.468561
1624,0.472773
1626,0.434789
1628,0.57437
1630,0.52117
1632,0.634266
1634,0.554313
1636,0.547707
1638,0.518689
1640,0.558635
1642,0.542222
1644,0.589875
1646,0.589875
1648,0.589875
1650,0.51283
1652,0.53076
1654,0.53076
1656,0.53076
1658,0.524152
1660,0.520827
1662,0.45472
1664,0.608692
1666,0.504438
1668,0.36121
1670,0.36121
1672,0.60223
1674,0.610484
1676,0.610484
1678,0.610484
1680,0.610484
1682,0.610484
1684,0.610484
1686,0.610484
1688,0.610484
1690,0.610484
1692,0.610484
1694,0.610484
1696,0.610484
1698,0.610484
1700,0.610484
1702,0.731934
1704,0.645408
1706,0.564851
1708,0.597493
1710,0.421918
1712,0.486624
1714,0.74588
1716,0.74588
1718,0.557274
1720,0.619757
1722,0.570104
1724,0.650674
1726,0.532765
1728,0.532765
1730,0.532765
1732,0.532765
1734,0.597915
1736,0.48827
1738,0.438019
1740,0.508638
1742,0.606534
1744,0.538166
1746,0.576003
1748,0.468317
1750,0.505258
1752,0.61903
1754,0.61903
1756,0.61903
1758,0.568136
1760,0.597069
1762,0.478154
1764,0.483254
1766,0.483254
1768,0.483254
1770,0.560829
1772,0.476661
1774,0.442582
1776,0.547618
1778,0.603136
1780,0.540615
1782,0.523857
1784,0.523857
1786,0.523857
1788,0.495731
1790,0.574465
1792,0.528108
1794,0.52532
1796,0.466346
1798,0.555061
1800,0.539209
1802,0.463623
1804,0.540811
1806,0.505902
1808,0.401091
1810,0.598339
1812,0.539177
1814,0.520252
1816,0.473869
1818,0.474912
1820,0.487524
1822,0.487524
1824,0.545218
1826,0.525257
1828,0.537312
1830,0.569575
1832,0.621378
1834,0.594137
1836,0.418368
1838,0.615716
1840,0.492342
1842,0.423078
1844,0.481011
1846,0.491499
1848,0.501873
1850,0.501873
1852,0.589847
1854,0.564875
1856,0.564875
1858,0.54519
1860,0.389841
1862,0.509418
1864,0.489261
1866,0.439744
1868,0.4995
1870,0.648923
1872,0.595698
