t,deltaS
1,2.433
2,1.815
3,1.502
4,2.017
5,2.266
6,1.158
7,2.014
8,1.87
9,1.73
10,1.768
11,2.04
12,2.638
13,2.35
14,2.297
15,2.135
16,1.934
17,0.9673
18,-0.13
19,-0.4491
20,-0.08241
21,0.6291
22,-0.4543
23,0.01218
24,0.1962
25,-0.7392
26,0.3607
27,0.2556
28,-0.4994
29,0.9847
30,0.7232
31,-0.05179
32,0.4175
33,-0.2891
34,0.4815
35,0.4798
36,-0.5837
37,0.07202
38,-0.3062
39,-1.151
40,0.841
41,0.916
42,0.3681
43,-0.5399
44,-0.7331
45,-0.01793
46,1.093
47,0.611
48,-0.515
49,0.02182
50,0.7415
51,0.6604
52,0.8621
53,-0.173
54,1.047
55,0.4084
56,0.8325
57,-0.8031
58,0.05483
59,1.094
60,0.8762
61,0.2747
62,-0.7327
63,0.001434
64,0.6605
65,1.097
66,0.4238
67,0.2237
68,0.3526
69,0.6011
70,-0.05613
71,-0.18
72,-0.3791
73,0.2843
74,-0.3972
75,-0.9489
76,0.8026
77,0.8823
78,-0.6919
79,1.233
80,0.9983
81,-1.381
82,0.642
83,1.172
84,0.8516
85,0.4945
86,0.4363
87,0.4677
88,-0.4959
89,-0.02484
90,-0.6191
91,-0.05697
92,0.1694
93,-0.01574
94,0.1647
95,-0.2979
96,0.4276
97,-0.2558
98,0.4157
99,-0.6753
100,0.007251
101,-0.08823
102,-0.5085
103,-0.01276
104,0.7773
105,-0.445
106,-0.2832
107,-0.314
108,-0.2153
109,0.4233
110,0.7139
111,-0.7694
112,1.232
113,0.9291
114,0.8839
115,2.064
116,1.261
117,2.291
118,0.4902
119,1.146
120,-0.1939
121,0.3163
122,0.4333
123,0.03207
124,-0.1555
125,-0.3508
126,-0.06241
127,0.1929
128,0.02224
129,0.3896
130,0.2862
131,0.4348
132,-0.2106
133,-0.2903
134,-0.2699
135,0.4835
136,0.3095
137,0.134
138,0.4664
139,0.6342
140,0.009173
141,-0.07992
142,-0.239
143,0.7675
144,-0.2054
145,-0.3067
146,0.5014
147,0.08174
148,0.01421
149,-0.6327
150,0.4304
151,-0.1732
152,-0.2797
153,0.6234
154,0.42
155,0.2578
156,-0.2378
157,0.9406
158,0.8819
159,0.2939
160,0.4257
161,1.433
162,0.7063
163,0.4784
164,-0.09963
165,0.7759
166,-0.6792
167,0.801
168,-0.1901
169,-0.3959
170,0.283
171,0.1756
172,-0.04618
173,0.2331
174,0.0008036
175,-0.8628
176,-0.01495
177,1.004
178,-0.04452
179,0.3858
180,0.7904
181,-0.2826
182,-0.3524
183,0.2661
184,-0.07862
185,0.3898
186,-1.062
187,0.8825
188,0.827
189,-0.1379
190,0.5968
191,0.6957
192,-0.1305
193,0.2023
194,-0.1148
