MDTU,|det-1|^2,1-Re(det),Im(det)
2,0,0,0
4,0,0,0
6,0,0,0
8,0,0,0
10,0,0,0
12,0,0,0
14,0,0,0
16,0,0,0
18,0,0,0
20,0,0,0
22,0,0,0
24,0,0,0
26,0,0,0
28,0,0,0
30,0,0,0
32,0.963931,0.981564,-0.00170241
34,1.00005,1.00003,-1.48807e-05
36,0.999982,0.999991,-2.35192e-05
38,1,1,1.09303e-05
40,0.999963,0.999982,2.44092e-05
42,0.99998,0.99999,-7.65909e-06
44,1.00004,1.00002,-1.66337e-05
46,0.999984,0.999992,1.41015e-05
48,1.00001,1,-3.36088e-06
50,0.999992,0.999996,1.37042e-06
52,1.00002,1.00001,2.32836e-05
54,1.00001,1.00001,-2.89946e-06
56,0.999966,0.999983,1.24176e-06
58,0.999966,0.999983,1.24176e-06
60,1,1,1.43703e-06
62,0.999969,0.999984,7.46621e-06
64,0.999995,0.999998,9.04272e-06
66,0.999998,0.999999,-3.20721e-05
68,1.00006,1.00003,2.6554e-05
70,0.999999,1,-6.99686e-07
72,1,1,-2.46344e-07
74,1.00003,1.00001,-9.2854e-06
76,1.00004,1.00002,-4.39672e-06
78,0.999984,0.999992,1.34363e-05
80,0.999984,0.999992,1.34363e-05
82,1.00001,1,-1.98168e-06
84,0.999995,0.999997,1.32926e-05
86,1.00001,1,8.60544e-06
88,0.999993,0.999996,3.82205e-06
90,1.00003,1.00002,6.71138e-05
92,1.00003,1.00002,6.71138e-05
94,1.00003,1.00002,6.71138e-05
96,1.00001,1,2.01925e-05
98,1.00002,1.00001,9.73486e-06
100,1.00002,1.00001,9.73486e-06
102,1.00002,1.00001,9.73486e-06
104,1.00002,1.00001,9.73486e-06
106,1.00001,1.00001,-4.51462e-07
108,1.00001,1.00001,-4.51462e-07
110,1.00001,1.00001,-4.51462e-07
112,0.99998,0.99999,2.78685e-06
114,1,1,-2.82597e-06
116,1.00002,1.00001,-6.1798e-06
118,1.00002,1.00001,-6.1798e-06
120,1.00002,1.00001,-6.1798e-06
122,1.00003,1.00001,-1.75404e-05
124,1.00002,1.00001,-6.10181e-06
126,1.00002,1.00001,1.43214e-05
128,1.00002,1.00001,1.43214e-05
130,1.00002,1.00001,1.43214e-05
132,1.00003,1.00001,3.42838e-05
134,1.00003,1.00001,3.42838e-05
136,0.99999,0.999995,-1.38674e-05
138,1.00003,1.00002,3.6843e-06
140,1,1,-8.09059e-07
142,0.999999,0.999999,1.73186e-07
144,0.999991,0.999996,2.96886e-06
146,1.00003,1.00001,-2.33722e-06
148,0.999911,0.999956,-6.07522e-06
150,0.999984,0.999992,2.17211e-06
152,0.999984,0.999992,2.17211e-06
154,0.999984,0.999992,2.17211e-06
156,1.00004,1.00002,-1.34416e-05
158,1.00004,1.00002,-1.34416e-05
160,0.999972,0.999986,-3.31645e-05
162,0.999982,0.999991,-2.09716e-05
164,0.999982,0.999991,-2.09716e-05
166,0.999982,0.999991,-2.09716e-05
168,0.999982,0.999991,-2.09716e-05
170,1.00003,1.00002,2.90004e-06
172,1.00002,1.00001,-1.00155e-05
174,1,1,-9.04685e-06
176,1.00001,1,-5.69576e-06
178,1.00001,1.00001,2.06599e-07
180,0.999998,0.999999,1.03769e-06
182,1.00001,1,-6.15058e-06
184,0.999998,0.999999,-7.07799e-06
186,1.00002,1.00001,-2.35798e-05
188,1.00004,1.00002,-4.63401e-05
190,1.00004,1.00002,-3.12334e-06
192,1,1,3.56744e-05
194,1,1,-1.22307e-05
196,1.00001,1.00001,1.57665e-05
198,0.999982,0.999991,1.05719e-05
200,1.00003,1.00002,1.28677e-05
202,0.999967,0.999984,1.77675e-05
204,0.999976,0.999988,1.61431e-05
206,0.999999,0.999999,1.66015e-05
208,0.999961,0.999981,2.30228e-05
210,1.00001,1.00001,-2.52905e-06
212,1.00001,1.00001,2.68492e-05
214,0.999927,0.999964,-1.13118e-05
216,0.999992,0.999996,-6.91789e-06
218,0.999992,0.999996,-6.91789e-06
220,0.999992,0.999996,-6.91789e-06
222,1.00001,1.00001,4.06478e-06
224,1.00001,1.00001,4.06478e-06
226,1.00001,1.00001,4.06478e-06
228,1.00001,1.00001,4.06478e-06
230,1.00001,1.00001,4.06478e-06
232,1.00001,1.00001,4.06478e-06
234,1.00001,1.00001,4.06478e-06
236,0.99997,0.999985,-6.41838e-07
238,0.99997,0.999985,-6.41838e-07
240,0.999965,0.999983,1.39248e-05
242,1.00002,1.00001,-1.43114e-05
244,1,1,1.01394e-05
246,1.00006,1.00003,-1.38719e-05
248,0.999963,0.999982,1.65127e-06
250,1.00003,1.00001,3.33928e-05
252,0.999975,0.999987,-1.84818e-06
254,1.00002,1.00001,8.60032e-06
256,0.999993,0.999996,-4.95447e-06
258,1.00002,1.00001,-1.68423e-05
260,1,1,-1.58651e-06
262,1,1,4.02001e-06
264,1.00001,1.00001,-1.59551e-05
266,1.00003,1.00001,2.24727e-06
268,1.00001,1,-4.22193e-07
270,1.00001,1.00001,-5.5752e-06
272,1.00001,1.00001,-5.5752e-06
274,1.00002,1.00001,-9.71202e-07
276,1.00001,1,-2.40909e-06
278,1.00001,1,-2.40909e-06
280,1.00002,1.00001,-6.96244e-06
282,0.999996,0.999998,-1.46296e-05
284,1.00001,1.00001,4.39361e-07
286,1.00004,1.00002,1.10368e-05
288,1.00003,1.00001,2.05118e-05
290,0.999966,0.999983,6.29461e-05
292,1.00001,1,-1.12052e-05
294,1.00001,1,-6.25163e-06
296,0.999972,0.999986,-7.47167e-06
298,1.00005,1.00003,1.27051e-05
300,0.999992,0.999996,5.68735e-06
302,0.999919,0.999959,-4.12839e-05
304,1.00003,1.00001,7.9967e-06
306,1.00003,1.00001,7.9967e-06
308,1.00003,1.00001,7.9967e-06
310,1.00003,1.00001,7.9967e-06
312,1.00008,1.00004,-3.54222e-06
314,1.00008,1.00004,-3.54222e-06
316,1.00008,1.00004,-3.54222e-06
318,1.00008,1.00004,-3.54222e-06
320,1.00008,1.00004,-3.54222e-06
322,1.00008,1.00004,-3.54222e-06
324,1.00001,1,-7.16551e-06
326,1.00001,1,-7.16551e-06
328,1.00003,1.00001,-4.99115e-06
