MDTU,energy
2,21.3333
4,21.3333
6,21.3333
8,21.3333
10,21.3333
12,21.3333
14,21.3333
16,21.3333
18,21.3333
20,21.3333
22,21.3333
24,21.3333
26,21.3333
28,21.3333
30,21.3333
32,7.7505
34,9.56247
36,11.2155
38,11.9578
40,11.4007
42,12.5596
44,11.2469
46,9.51341
48,9.59564
50,8.99
52,8.12525
54,11.5526
56,11.8344
58,11.8344
60,11.0875
62,6.49768
64,9.81683
66,8.30757
68,10.6979
70,14.0387
72,12.1054
74,11.7703
76,9.0296
78,6.06067
80,6.06067
82,8.00784
84,10.235
86,7.2148
88,9.58672
90,10.8114
92,10.8114
94,10.8114
96,8.69032
98,8.17671
100,8.17671
102,8.17671
104,8.17671
106,11.3541
108,11.3541
110,11.3541
112,12.0273
114,7.89535
116,8.43713
118,8.43713
120,8.43713
122,10.3394
124,8.9986
126,8.3214
128,8.3214
130,8.3214
132,9.90004
134,9.90004
136,10.5144
138,11.7502
140,13.3447
142,9.23524
144,10.8562
146,10.5181
148,8.26667
150,7.53667
152,7.53667
154,7.53667
156,5.49173
158,5.49173
160,9.05989
162,5.61617
164,5.61617
166,5.61617
168,5.61617
170,7.77865
172,9.14454
174,12.0878
176,10.1466
178,10.9153
180,10.7183
182,10.239
184,10.8114
186,7.87605
188,10.3192
190,8.49938
192,10.5908
194,11.8718
196,12.4389
198,12.5889
200,10.4494
202,9.78244
204,10.5962
206,9.90897
208,9.40102
210,10.7238
212,9.70687
214,10.0942
216,10.1431
218,10.1431
220,10.1431
222,8.83698
224,8.83698
226,8.83698
228,8.83698
230,8.83698
232,8.83698
234,8.83698
236,10.2483
238,10.2483
240,11.1019
242,9.38971
244,8.62448
246,9.7197
248,10.0803
250,8.97074
252,9.59776
254,10.3603
256,10.4599
258,10.0621
260,11.4057
262,13.3482
264,10.7648
266,10.2928
268,9.52992
270,12.1504
272,12.1504
274,12.6951
276,11.1027
278,11.1027
280,9.39447
282,10.1065
284,9.78392
286,10.8227
288,11.3162
290,8.9313
292,10.3699
294,11.1942
296,11.7134
298,8.91024
300,10.2788
302,8.59133
304,8.63084
306,8.63084
308,8.63084
310,8.63084
312,6.29182
314,6.29182
316,6.29182
318,6.29182
320,6.29182
322,6.29182
324,11.1582
326,11.1582
328,10.319
330,11.7061
332,8.51639
334,8.51639
336,9.35195
338,9.27153
340,11.6266
342,9.76162
344,10.5708
346,11.2717
348,10.8858
350,10.7466
352,8.51296
354,8.51296
356,9.74891
358,9.74891
360,10.6273
362,10.704
364,9.33521
366,10.0908
368,12.134
370,10.478
372,6.85776
374,6.85776
376,6.85776
378,7.69449
380,7.69449
382,11.6773
384,9.21197
386,9.48975
388,10.6715
390,10.6495
392,11.603
394,11.603
396,10.3691
398,11.5925
400,9.24284
402,8.81302
404,11.467
406,8.61995
408,8.61995
410,9.74816
412,10.7153
414,7.62819
416,7.17658
418,8.33909
420,9.3397
422,10.955
424,6.4769
426,7.39787
428,11.6867
430,12.2433
432,6.00859
434,6.00859
436,8.46693
438,8.46693
440,10.1895
442,9.07883
444,9.07883
446,8.30556
448,8.97545
450,11.7723
452,11.713
454,12.1797
456,8.53833
458,8.11324
460,10.1231
462,11.9008
464,11.1795
466,8.06735
468,10.9248
470,11.2684
472,11.1323
474,13.012
476,10.0023
478,11.0109
480,11.0109
482,10.8171
484,10.3311
486,8.5794
488,9.09431
490,8.57468
492,8.90497
494,8.98832
496,8.56167
498,10.4632
500,10.8613
502,10.7677
504,10.7677
506,9.65398
508,8.55054
510,8.41647
512,10.404
514,10.404
516,10.404
518,11.4081
520,11.4081
522,9.47811
524,8.71706
526,8.52783
528,8.63829
530,8.63829
532,9.34634
534,9.34634
536,10.8376
538,7.27472
540,7.27472
542,11.2133
544,10.278
546,9.71434
548,10.9591
550,11.6901
552,9.30995
554,8.67464
556,9.07421
558,10.5104
560,10.948
562,10.948
564,12.0879
566,8.2484
568,11.0759
570,7.29479
572,7.58061
574,10.5251
576,10.5251
578,8.88418
580,8.88418
582,8.62533
584,7.01912
586,10.0025
588,10.388
590,10.7336
592,5.94973
594,5.94973
596,9.23913
598,9.39414
600,8.75436
602,12.3007
604,11.3818
606,9.87285
608,6.74415
610,10.0123
612,10.0123
614,10.5162
616,7.84683
618,12.0079
620,9.58203
622,9.58203
624,8.47876
626,11.1568
628,8.04939
630,9.99654
632,8.37556
634,9.9601
636,8.65124
638,8.65124
640,10.0031
642,10.8044
644,9.00543
646,8.5554
648,9.3825
650,7.38059
652,9.49217
654,9.49217
656,9.49217
658,12.9374
660,11.6577
662,9.43455
664,11.0768
666,12.3152
668,8.44756
670,9.1242
672,5.16581
674,11.4974
676,12.808
678,9.70678
680,10.9769
682,11.2003
684,9.72737
686,9.2672
688,8.86249
690,9.98903
692,10.7544
694,10.9593
696,12.9575
698,11.8034
700,11.397
702,10.0567
704,11.6965
706,13.5543
708,12.7654
710,11.3278
712,11.3605
714,8.89516
716,7.02611
718,9.15448
720,10.6674
722,10.1035
724,11.9753
726,8.94957
728,9.44713
730,8.7889
732,11.8647
734,11.8647
736,12.2114
738,11.4796
740,12.604
742,9.90071
744,9.90071
746,10.7364
748,10.7364
750,10.2637
752,9.62639
754,9.62639
756,11.802
758,11.5274
760,7.78863
762,11.6095
764,8.60877
766,10.2797
768,9.46928
770,8.78356
772,10.5616
774,10.3749
776,9.86852
778,9.86852
780,11.1854
782,8.8528
784,8.38391
786,8.38391
788,11.193
790,11.193
792,11.193
794,8.83373
796,11.0935
798,8.21472
800,11.3353
802,11.3353
804,9.66328
806,10.4555
808,12.982
810,9.64004
812,8.00991
814,8.87277
816,10.9819
818,10.5669
820,10.1955
822,10.6691
824,9.7346
826,9.20369
828,9.20369
830,10.0648
832,9.81131
834,10.4593
836,9.63864
838,8.63956
840,11.9508
842,9.25234
844,8.31528
846,9.17548
848,10.3202
850,11.1045
852,5.89021
854,9.93636
856,5.97944
858,4.16188
860,8.23286
862,7.33024
864,9.27879
866,10.3631
868,10.5297
870,10.4446
872,10.0146
874,11.1813
876,10.2091
878,9.46643
880,9.46643
882,9.46643
884,9.46643
886,9.46643
888,9.46643
890,8.18172
892,8.33717
894,8.33717
896,7.52941
898,8.8507
900,11.6059
902,10.5209
904,9.46383
906,9.46383
908,9.46383
910,9.46383
912,9.39868
914,9.39868
916,10.0505
918,9.01672
920,9.01672
922,10.4954
924,10.2169
926,10.2169
928,10.2169
930,10.2169
932,9.51166
934,10.0136
936,10.0547
938,8.37564
940,9.09596
942,9.09596
944,8.58175
946,7.34437
