t,e^(-dS)
1,0.0877731
2,0.162838
3,0.222684
4,0.133054
5,0.103726
6,0.314114
7,0.133454
8,0.154124
9,0.177284
10,0.170674
11,0.130029
12,0.0715041
13,0.0953692
14,0.10056
15,0.118245
16,0.144569
17,0.380108
18,1.13883
19,1.5669
20,1.0859
21,0.533071
22,1.57507
23,0.987894
24,0.821848
25,2.09426
26,0.697188
27,0.774452
28,1.64773
29,0.373551
30,0.485197
31,1.05315
32,0.658691
33,1.33523
34,0.617856
35,0.618907
36,1.79266
37,0.930512
38,1.35825
39,3.16135
40,0.431279
41,0.400116
42,0.692048
43,1.71584
44,2.08152
45,1.01809
46,0.335209
47,0.542808
48,1.67364
49,0.978416
50,0.476399
51,0.516645
52,0.422274
53,1.18887
54,0.350989
55,0.664713
56,0.434961
57,2.23245
58,0.946646
59,0.334874
60,0.416362
61,0.7598
62,2.08069
63,0.998567
64,0.516593
65,0.333871
66,0.654555
67,0.799555
68,0.702858
69,0.548208
70,1.05774
71,1.19722
72,1.46097
73,0.752541
74,1.48765
75,2.58287
76,0.448162
77,0.41383
78,1.99751
79,0.291417
80,0.368505
81,3.97888
82,0.526239
83,0.309747
84,0.426732
85,0.609876
86,0.646424
87,0.626441
88,1.64198
89,1.02515
90,1.85726
91,1.05862
92,0.844171
93,1.01586
94,0.848148
95,1.34703
96,0.652072
97,1.29149
98,0.659878
99,1.96462
100,0.992775
101,1.09224
102,1.6628
103,1.01284
104,0.459645
105,1.56049
106,1.32737
107,1.36889
108,1.24023
109,0.654882
110,0.489731
111,2.15847
112,0.291709
113,0.394909
114,0.413168
115,0.126945
116,0.283371
117,0.101165
118,0.612504
119,0.317906
120,1.21397
121,0.728841
122,0.648366
123,0.968439
124,1.16824
125,1.4202
126,1.0644
127,0.824564
128,0.978005
129,0.677328
130,0.751112
131,0.647394
132,1.23442
133,1.33683
134,1.30983
135,0.616621
136,0.733814
137,0.87459
138,0.627256
139,0.53036
140,0.990869
141,1.0832
142,1.26998
143,0.464172
144,1.22802
145,1.35893
146,0.605682
147,0.921512
148,0.98589
149,1.88269
150,0.650249
151,1.1891
152,1.32273
153,0.536119
154,0.657047
155,0.77275
156,1.26846
157,0.390394
158,0.413996
159,0.745351
160,0.653312
161,0.238592
162,0.493467
163,0.619774
164,1.10476
165,0.460289
166,1.9723
167,0.44888
168,1.20937
169,1.48572
170,0.75352
171,0.838953
172,1.04726
173,0.792074
174,0.999197
175,2.36979
176,1.01506
177,0.366411
178,1.04553
179,0.679906
180,0.453663
181,1.32657
182,1.42248
183,0.766362
184,1.08179
185,0.677192
186,2.89215
187,0.413747
188,0.437359
189,1.14786
190,0.550571
191,0.498725
192,1.1394
193,0.81685
194,1.12165
195,1.19566
196,1.52211
197,0.662854
198,0.707866
199,1.33003
200,1.12513
201,1.06786
202,0.568076
203,1.9517
204,0.586373
205,0.573498
206,1.26706
207,2.15782
208,1.43075
209,0.807106
210,0.671998
211,0.780984
212,2.6261
213,0.942009
214,1.0586
215,1.36971
216,1.09203
217,0.535851
218,0.888074
219,0.567735
220,0.997736
221,0.73374
222,0.648366
223,1.34447
224,0.632105
225,0.944698
226,0.983999
227,2.00311
228,1.63788
229,0.831603
230,0.893061
231,1.0695
232,1.0328
233,1.2084
234,1.04962
235,0.637246
236,1.14305
237,1.18388
238,1.10345
239,0.817013
240,0.669115
241,0.62444
242,1.60898
243,0.907583
244,1.43491
245,1.07999
246,0.663584
247,2.25511
248,0.777478
249,0.360235
250,0.928013
251,1.22238
252,0.842822
253,1.53895
254,1.09709
255,0.866061
256,1.33603
257,0.799075
258,0.508342
259,0.724191
260,0.614406
261,0.812207
262,1.16079
263,1.23491
264,1.6974
265,0.534406
266,1.23467
267,0.51587
268,0.412962
269,1.02902
270,0.52142
271,1.00001
272,0.778256
273,1.25873
274,0.964052
275,0.93258
276,2.01718
277,1.66996
278,0.7781
