t,G,F1,F2,F3
1,0.5246,0,null,null
2,0.5372,0,null,null
3,0.5186,0,null,null
4,0.4951,0,null,null
5,0.544,0,null,null
6,0.5175,0,null,null
7,0.5334,0,null,null
8,0.5145,0,null,null
9,0.4879,0,null,null
10,0.4804,0,null,null
11,0.5008,0,null,null
12,0.5501,0,null,null
13,0.497,0,null,null
14,0.5198,0,null,null
15,0.4964,0,null,null
16,0.5104,0,null,null
17,0.5445,0,null,null
18,0.6106,0,null,null
19,0.6177,0,null,null
20,0.6048,0,null,null
21,0.6096,0,null,null
22,0.5845,0,null,null
23,0.6183,0,null,null
24,0.6057,0,null,null
25,0.5953,0,null,null
26,0.6026,0,null,null
27,0.6279,0,null,null
28,0.6519,0,null,null
29,0.6785,0,null,null
30,0.6467,0,null,null
31,0.6464,0,null,null
32,0.6264,0,null,null
33,0.6457,0,null,null
34,0.6272,0,null,null
35,0.6048,0,null,null
36,0.5864,0,null,null
37,0.6484,0,null,null
38,0.5976,0,null,null
39,0.6217,0,null,null
40,0.6559,0,null,null
41,0.6668,0,null,null
42,0.6535,0,null,null
43,0.6557,0,null,null
44,0.6303,0,null,null
45,0.6516,0,null,null
46,0.6249,0,null,null
47,0.6473,0,null,null
48,0.6241,0,null,null
49,0.6515,0,null,null
50,0.6642,0,null,null
51,0.6572,0,null,null
52,0.6225,0,null,null
53,0.6715,0,null,null
54,0.6712,0,null,null
55,0.6544,0,null,null
56,0.6267,0,null,null
57,0.6111,0,null,null
58,0.6081,0,null,null
59,0.6285,0,null,null
60,0.6096,0,null,null
61,0.6525,0,null,null
62,0.6524,0,null,null
63,0.6456,0,null,null
64,0.6479,0,null,null
65,0.6384,0,null,null
66,0.6608,0,null,null
67,0.6318,0,null,null
68,0.6165,0,null,null
69,0.6319,0,null,null
70,0.6214,0,null,null
71,0.6317,0,null,null
72,0.6311,0,null,null
73,0.6449,0,null,null
74,0.6182,0,null,null
75,0.628,0,null,null
76,0.6646,0,null,null
77,0.6337,0,null,null
78,0.6893,0,null,null
79,0.6406,0,null,null
80,0.6713,0,null,null
81,0.6326,0,null,null
82,0.6576,0,null,null
83,0.6411,0,null,null
84,0.6607,0,null,null
85,0.6598,0,null,null
86,0.6403,0,null,null
87,0.6152,0,null,null
88,0.5812,0,null,null
89,0.6476,0,null,null
90,0.6413,0,null,null
91,0.6741,0,null,null
92,0.5828,0,null,null
93,0.6318,0,null,null
94,0.6474,0,null,null
95,0.6417,0,null,null
96,0.6066,0,null,null
97,0.6193,0,null,null
98,0.6094,0,null,null
99,0.6021,0,null,null
100,0.5796,0,null,null
101,0.5891,0,null,null
102,0.6339,0,null,null
103,0.6438,0,null,null
104,0.6119,0,null,null
105,0.5956,0,null,null
106,0.6112,0,null,null
107,0.6202,0,null,null
108,0.6873,0,null,null
109,0.7131,0,null,null
110,0.6789,0,null,null
111,0.6606,0,null,null
112,0.6637,0,null,null
113,0.6691,0,null,null
114,0.6084,0,null,null
115,0.5989,0,null,null
116,0.6136,0,null,null
117,0.6328,0,null,null
118,0.6331,0,null,null
119,0.599,0,null,null
120,0.6333,0,null,null
121,0.6558,0,null,null
122,0.6279,0,null,null
123,0.6249,0,null,null
124,0.5959,0,null,null
125,0.6176,0,null,null
126,0.6083,0,null,null
127,0.6179,0,null,null
128,0.6264,0,null,null
129,0.5954,0,null,null
130,0.5898,0,null,null
131,0.675,0,null,null
132,0.6373,0,null,null
133,0.6125,0,null,null
134,0.6612,0,null,null
135,0.6115,0,null,null
136,0.6395,0,null,null
137,0.6163,0,null,null
138,0.5943,0,null,null
139,0.5951,0,null,null
140,0.6214,0,null,null
141,0.6541,0,null,null
142,0.6759,0,null,null
143,0.6042,0,null,null
144,0.6372,0,null,null
145,0.6203,0,null,null
146,0.631,0,null,null
147,0.6208,0,null,null
148,0.6215,0,null,null
149,0.626,0,null,null
150,0.6064,0,null,null
151,0.6715,0,null,null
152,0.6417,0,null,null
153,0.6257,0,null,null
154,0.6713,0,null,null
155,0.6938,0,null,null
156,0.6492,0,null,null
157,0.6417,0,null,null
158,0.6516,0,null,null
159,0.6534,0,null,null
160,0.6608,0,null,null
161,0.604,0,null,null
162,0.6763,0,null,null
163,0.5938,0,null,null
164,0.6388,0,null,null
165,0.6152,0,null,null
166,0.6116,0,null,null
167,0.5764,0,null,null
168,0.6206,0,null,null
169,0.6665,0,null,null
170,0.6637,0,null,null
171,0.6463,0,null,null
172,0.6124,0,null,null
173,0.5636,0,null,null
174,0.5829,0,null,null
175,0.636,0,null,null
176,0.6403,0,null,null
177,0.5882,0,null,null
178,0.6269,0,null,null
179,0.5838,0,null,null
180,0.6189,0,null,null
181,0.6075,0,null,null
182,0.6006,0,null,null
183,0.654,0,null,null
184,0.5885,0,null,null
185,0.5952,0,null,null
186,0.6192,0,null,null
187,0.6496,0,null,null
188,0.6331,0,null,null
189,0.6482,0,null,null
190,0.6284,0,null,null
191,0.6277,0,null,null
192,0.5905,0,null,null
