ReTr(Lx),ImTr(Lx)
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0.0777895,-0.00949775
0.00769435,-0.00321679
0.00378745,0.00289929
-0.00211607,0.000860995
0.000784875,-0.000393432
-0.0037639,0.00080901
0.002962,-0.00503335
-0.00351109,-0.00427771
-0.001991,0.00390703
-0.00195588,-0.00271783
-0.00226934,0.0056278
-0.00327474,0.00223031
0.00228555,-0.00343964
0.00228555,-0.00343964
-0.00076481,-0.0013882
-0.00212291,-0.00222272
-0.0087882,-0.00196976
-0.00231337,0.00431312
0.00061291,0.00099954
-0.00615905,0.00595835
-0.00528165,-0.0050752
-0.0106374,0.00509635
-0.0162733,0.00066517
0.0032934,0.0138826
0.0032934,0.0138826
-0.000382167,-0.00143125
0.00344538,-0.000915355
0.00174705,0.00057223
0.00202638,0.0061701
0.00135455,-0.00113889
0.00135455,-0.00113889
0.00135455,-0.00113889
0.00209691,0.000686245
-0.00649385,0.0108469
-0.00649385,0.0108469
-0.00649385,0.0108469
-0.00649385,0.0108469
-0.00228177,0.00337559
-0.00228177,0.00337559
-0.00228177,0.00337559
-0.000300034,0.00074109
-0.00891465,-0.006912
-2.71599e-06,0.00482641
-2.71599e-06,0.00482641
-2.71599e-06,0.00482641
-0.00594135,0.0010458
0.000663635,-0.0054748
0.00183373,0.00332702
0.00183373,0.00332702
0.00183373,0.00332702
0.00358455,0.00196657
0.00358455,0.00196657
-0.00126369,-0.00144429
0.00159834,0.00118354
0.00226736,0.000215078
0.00215964,0.00212999
0.000593405,0.00158967
0.0078912,0.00113587
0.00177129,0.00064596
-0.00836355,-0.0071002
-0.00836355,-0.0071002
-0.00836355,-0.0071002
-0.00089869,0.00930175
-0.00089869,0.00930175
0.00691745,0.00010505
0.00086388,0.000893985
0.00086388,0.000893985
0.00086388,0.000893985
0.00086388,0.000893985
-0.0015336,-0.00223345
0.00117992,-0.00239358
-0.00052996,-0.00101964
-0.00163555,0.00275652
0.00103816,-0.00578185
-0.000960315,-0.00470746
0.00188075,-0.00047044
0.00827345,-0.00381934
0.0063353,0.000391513
0.00428682,-0.0179079
0.0041395,-0.0115834
0.00459347,-0.0055167
-0.000192593,6.0817e-05
-0.000995805,-0.00385672
-0.00127037,0.00321283
0.00253879,0.00452625
-0.00277217,-0.000302193
-0.00228175,0.00070337
-0.0036756,0.00284306
0.00102384,0.001054
-0.00057143,-0.00069346
1.13248e-05,-0.0055241
0.000432371,-0.00406486
-0.0026749,-0.00363197
-0.0026749,-0.00363197
-0.0026749,-0.00363197
0.00183866,0.000178323
0.00183866,0.000178323
0.00183866,0.000178323
0.00183866,0.000178323
0.00183866,0.000178323
0.00183866,0.000178323
0.00183866,0.000178323
0.0013147,-0.00181452
0.0013147,-0.00181452
0.00163035,-0.0066101
0.000442892,0.00365557
-0.00519985,0.00567325
0.00203617,-0.0057429
0.0111202,0.00201793
-0.00101966,0.00308859
-0.00656765,-0.0150628
-0.00173508,-0.00465477
0.0101729,-0.00247693
-0.0079103,-0.000251148
0.00136812,0.00328996
0.00172367,0.00363964
-0.000373998,0.00173876
0.00306034,-0.0032015
0.00077688,0.0098494
0.00256194,-0.00485233
0.00256194,-0.00485233
-0.00075051,0.000915615
0.00267109,-0.000444335
0.00267109,-0.000444335
-0.00333106,-0.000161986
-0.000275588,0.000808685
0.0057927,-3.11955e-05
-0.00447359,0.00363833
-0.00306419,-0.00218444
0.000756215,0.00201145
0.00304676,-0.001849
-0.000861385,-0.00235959
0.000245504,0.0072207
0.00102482,0.00309748
0.00283221,0.00241608
0.00170422,0.00221823
-0.00018472,-0.00143308
-0.00018472,-0.00143308
-0.00018472,-0.00143308
-0.00018472,-0.00143308
0.00109961,-0.000477284
0.00109961,-0.000477284
0.00109961,-0.000477284
0.00109961,-0.000477284
0.00109961,-0.000477284
0.00109961,-0.000477284
0.00240638,0.0015962
