MDTU,|Tr(Lx)|
2,1
4,1
6,1
8,1
10,1
12,1
14,1
16,1
18,1
20,1
22,1
24,1
26,1
28,1
30,1
32,0.0783672
34,0.00833971
36,0.00476977
38,0.00228453
40,0.000877962
42,0.00384986
44,0.00584021
46,0.00553413
48,0.00438509
50,0.00334844
52,0.00606812
54,0.0039621
56,0.00412976
58,0.00412976
60,0.00158494
62,0.00307363
64,0.00900624
66,0.00489435
68,0.00117249
70,0.00856947
72,0.00732485
74,0.0117953
76,0.0162869
78,0.0142679
80,0.0142679
82,0.00148139
84,0.0035649
86,0.00183837
88,0.00649433
90,0.00176971
92,0.00176971
94,0.00176971
96,0.00220635
98,0.0126422
100,0.0126422
102,0.0126422
104,0.0126422
106,0.00407444
108,0.00407444
110,0.00407444
112,0.000799522
114,0.0112804
116,0.00482641
118,0.00482641
120,0.00482641
122,0.00603269
124,0.00551488
126,0.0037989
128,0.0037989
130,0.0037989
132,0.00408857
134,0.00408857
136,0.00191909
138,0.00198883
140,0.00227754
142,0.0030333
144,0.00169681
146,0.00797253
148,0.0018854
150,0.010971
152,0.010971
154,0.010971
156,0.00934506
158,0.00934506
160,0.00691825
162,0.00124318
164,0.00124318
166,0.00124318
168,0.00124318
170,0.00270929
172,0.0026686
174,0.00114914
176,0.00320522
178,0.00587431
180,0.00480441
182,0.00193869
184,0.00911248
186,0.00634739
188,0.0184138
190,0.0123008
192,0.00717871
194,0.000201968
196,0.0039832
198,0.00345487
200,0.00518965
202,0.00278859
204,0.0023877
206,0.00464683
208,0.00146941
210,0.000898565
212,0.00552411
214,0.00408779
216,0.00451068
218,0.00451068
220,0.00451068
222,0.00184728
224,0.00184728
226,0.00184728
228,0.00184728
230,0.00184728
232,0.00184728
234,0.00184728
236,0.00224074
238,0.00224074
240,0.00680819
242,0.0036823
244,0.00769573
246,0.00609319
248,0.0113018
250,0.00325256
252,0.0164323
254,0.00496764
256,0.0104701
258,0.00791429
260,0.00356309
262,0.00402716
264,0.00177853
266,0.00442892
268,0.00987999
270,0.00548713
272,0.00548713
274,0.0011839
276,0.00270779
278,0.00270779
280,0.003335
282,0.000854354
284,0.00579278
286,0.00576632
288,0.00376311
290,0.0021489
292,0.00356393
294,0.00251191
296,0.00722487
298,0.00326261
300,0.00372275
302,0.00279731
304,0.00144494
306,0.00144494
308,0.00144494
310,0.00144494
312,0.00119873
314,0.00119873
316,0.00119873
318,0.00119873
320,0.00119873
322,0.00119873
324,0.00288765
326,0.00288765
328,0.00647061
330,0.00277757
332,0.000653252
334,0.000653252
336,0.0103089
338,0.00862205
340,0.00324398
342,0.00744367
344,0.00294642
346,0.00141548
348,0.00785166
350,0.0038825
352,0.00165504
354,0.00165504
356,0.00155866
358,0.00155866
360,0.00142985
362,0.00293
364,0.00220704
366,0.0149707
368,0.00269782
370,0.00801135
372,0.00658309
374,0.00658309
376,0.00658309
378,0.00107821
380,0.00107821
382,0.00860968
384,0.00627078
386,0.00200448
388,0.00540045
390,0.00377429
392,0.00220087
394,0.00220087
396,0.00138636
398,0.00254989
400,0.00514409
402,0.00587468
404,0.00702979
406,0.00580615
408,0.00580615
410,0.00429715
412,0.00819067
414,0.00329142
416,0.00146632
418,0.00370882
420,0.00521866
422,0.00355416
424,0.0120578
426,0.00365268
428,0.00196458
430,0.00366755
432,0.0116133
434,0.0116133
436,0.00901126
438,0.00901126
440,0.00540638
442,0.00164004
444,0.00164004
446,0.00592087
448,0.00642331
450,0.00532472
452,0.009669
454,0.0120511
456,0.0064231
458,0.00851757
460,0.00257633
462,0.00660829
464,0.00562234
466,0.0110437
468,0.000884033
470,0.00424629
472,0.00288468
474,0.00305168
476,0.00306891
478,0.00408269
480,0.00408269
482,0.00631327
484,0.00264828
486,0.00391883
488,0.00558453
490,0.0169107
492,0.00385706
494,0.00757444
496,0.00766169
498,0.00871087
500,0.00813972
502,0.00288596
504,0.00288596
506,0.0023938
508,0.00216307
510,0.00213356
512,0.00102268
514,0.00102268
516,0.00102268
518,0.00498514
520,0.00498514
522,0.00645209
524,0.00336246
526,0.0102413
528,0.00158944
530,0.00158944
532,0.00592645
534,0.00592645
536,0.00598564
538,0.00195011
540,0.00195011
542,0.00610057
544,0.00495397
546,0.000401073
548,0.00487056
550,0.00425888
552,0.0110283
554,0.00894109
556,0.00631037
558,0.00313432
560,0.00333899
562,0.00333899
564,0.000947109
566,0.00421576
568,0.0017596
570,0.00628971
572,0.0058187
574,0.00131583
576,0.00131583
578,0.00650237
580,0.00650237
582,0.00704619
584,0.0060764
586,0.00385482
588,0.00170573
590,0.00966624
592,0.0106692
594,0.0106692
596,0.0109577
598,0.00139311
600,0.000926809
602,0.00637749
604,0.00392686
606,0.00327117
608,0.0126555
610,0.00603341
612,0.00603341
614,0.00679151
616,0.000892497
618,0.003931
620,0.00742451
622,0.00742451
624,0.00970234
626,0.00286002
628,0.00430915
630,0.00373129
