MDTU,|Tr(Lx)|
2,1,1,1,1
4,1,1,1,1
6,1,1,1,1
8,1,1,1,1
10,1,1,1,1
12,1,1,1,1
14,1,1,1,1
16,1,1,1,1
18,1,1,1,1
20,1,1,1,1
22,1,1,1,1
24,1,1,1,1
26,1,1,1,1
28,1,1,1,1
30,1,1,1,1
32,0.457174
34,0.111304
36,0.335332
38,0.114026
40,0.0572239
42,0.265269
44,0.0810303
46,0.382946
48,0.100089
50,0.0927728
52,0.449141
54,0.118225
56,0.157261
58,0.157261
60,0.211905
62,0.379979
64,0.119686
66,0.0542647
68,0.39371
70,0.277091
72,0.256408
74,0.413704
76,0.305747
78,0.303608
80,0.303608
82,0.213364
84,0.367203
86,0.196361
88,0.255543
90,0.246962
92,0.246962
94,0.246962
96,0.293719
98,0.348824
100,0.348824
102,0.348824
104,0.348824
106,0.0617842
108,0.0617842
110,0.0617842
112,0.0981192
114,0.261422
116,0.0830673
118,0.0830673
120,0.0830673
122,0.451472
124,0.328894
126,0.175963
128,0.175963
130,0.175963
132,0.209467
134,0.209467
136,0.165146
138,0.0532391
140,0.314211
142,0.11657
144,0.033481
146,0.346961
148,0.119368
150,0.271748
152,0.271748
154,0.271748
156,0.4242
158,0.4242
160,0.185128
162,0.0489316
164,0.0489316
166,0.0489316
168,0.0489316
170,0.202707
172,0.179242
174,0.141223
176,0.176011
178,0.389066
180,0.281452
182,0.307564
184,0.188647
186,0.117973
188,0.0932367
190,0.294275
192,0.194567
194,0.129691
196,0.0758587
198,0.1828
200,0.199828
202,0.126451
204,0.115869
206,0.308923
208,0.316448
210,0.130587
212,0.272033
214,0.188583
216,0.475822
218,0.475822
220,0.475822
222,0.166757
224,0.166757
226,0.166757
228,0.166757
230,0.166757
232,0.166757
234,0.166757
236,0.204817
238,0.204817
240,0.272606
242,0.148499
244,0.085798
246,0.271219
248,0.34655
250,0.0867204
252,0.412906
254,0.108968
256,0.0906984
258,0.387447
260,0.25564
262,0.339931
264,0.117649
266,0.176531
268,0.191638
270,0.198468
272,0.198468
274,0.0782916
276,0.140811
278,0.140811
280,0.270015
282,0.0478392
284,0.174825
286,0.186327
288,0.202286
290,0.114609
292,0.313934
294,0.138306
296,0.185371
298,0.160483
300,0.365436
302,0.0784864
304,0.255786
306,0.255786
308,0.255786
310,0.255786
312,0.16072
314,0.16072
316,0.16072
318,0.16072
320,0.16072
322,0.16072
324,0.324519
326,0.324519
328,0.38869
330,0.258634
332,0.237036
334,0.237036
336,0.468362
338,0.143481
340,0.369722
342,0.155739
344,0.112347
346,0.135245
348,0.151504
350,0.0711158
352,0.344246
354,0.344246
356,0.231463
358,0.231463
360,0.288611
362,0.273822
364,0.123144
366,0.136598
368,0.121905
370,0.101741
372,0.193634
374,0.193634
376,0.193634
378,0.212828
380,0.212828
382,0.177249
384,0.232176
386,0.127262
388,0.339351
390,0.33944
392,0.34598
394,0.34598
396,0.0541859
398,0.0857747
400,0.428943
402,0.264746
404,0.100562
406,0.0312906
408,0.0312906
410,0.349678
412,0.155304
414,0.237066
416,0.140544
418,0.281902
420,0.345333
422,0.301922
424,0.147382
426,0.156851
428,0.0824758
430,0.0272702
432,0.181245
434,0.181245
436,0.0982285
438,0.0982285
440,0.367391
442,0.281142
444,0.281142
446,0.196224
448,0.168585
450,0.0739936
452,0.201307
454,0.312462
456,0.18714
458,0.256317
460,0.27476
462,0.355391
464,0.119357
466,0.422416
468,0.11623
470,0.104276
472,0.280616
474,0.0472782
476,0.163255
478,0.04319
480,0.04319
482,0.331385
484,0.212977
486,0.425134
488,0.109907
490,0.384169
492,0.352192
494,0.163149
496,0.38237
498,0.00503316
500,0.242238
502,0.195694
504,0.195694
506,0.320332
508,0.126773
510,0.229412
512,0.131712
514,0.131712
516,0.131712
518,0.221341
520,0.221341
522,0.235582
524,0.165718
526,0.157612
528,0.149766
530,0.149766
532,0.531942
534,0.531942
536,0.0820501
538,0.216841
540,0.216841
542,0.35163
544,0.328662
546,0.316468
548,0.260931
550,0.597226
552,0.353618
554,0.213691
556,0.386205
558,0.0868502
560,0.251956
562,0.251956
564,0.0406849
566,0.223385
568,0.27073
570,0.207999
572,0.329855
574,0.164366
576,0.164366
578,0.0564747
580,0.0564747
582,0.380064
584,0.353587
586,0.418675
588,0.190567
590,0.456526
592,0.0560533
594,0.0560533
596,0.550106
598,0.294824
600,0.0583283
602,0.594013
604,0.086795
606,0.0586066
608,0.313344
610,0.244065
612,0.244065
614,0.339459
616,0.116803
618,0.123072
620,0.423022
622,0.423022
624,0.237887
626,0.346773
628,0.0419558
630,0.145987
632,0.153714
634,0.133153
636,0.163982
638,0.163982
640,0.315743
642,0.399159
644,0.199611
646,0.165824
648,0.0689143
650,0.267027
652,0.120697
654,0.120697
656,0.120697
658,0.0849727
660,0.193492
662,0.496174
664,0.169153
666,0.278265
668,0.227763
670,0.0824251
672,0.128668
674,0.345142
676,0.345129
678,0.119755
680,0.249015
682,0.0526477
684,0.358193
686,0.273417
688,0.0571507
690,0.182247
692,0.0623123
694,0.438217
696,0.144943
698,0.294912
700,0.0957541
702,0.4316
704,0.234788
706,0.2359
708,0.209262
710,0.344436
712,0.115058
714,0.247737
716,0.139597
718,0.160127
720,0.221316
722,0.190869
724,0.233867
726,0.220567
728,0.112214
730,0.379667
732,0.294497
734,0.294497
736,0.383684
738,0.182225
740,0.424707
742,0.431668
744,0.431668
746,0.260108
748,0.260108
750,0.575751
752,0.30568
754,0.30568
756,0.0979143
758,0.445426
760,0.255893
762,0.134614
764,0.424181
766,0.330638
768,0.444081
770,0.0877535
772,0.0792878
774,0.250461
776,0.258541
778,0.258541
780,0.328772
782,0.173908
784,0.415144
786,0.415144
788,0.332285
790,0.332285
792,0.332285
794,0.261195
796,0.188103
798,0.41768
800,0.136877
802,0.136877
804,0.239982
806,0.240955
808,0.232401
810,0.483112
812,0.248506
814,0.0276162
816,0.215098
818,0.247744
820,0.0939318
822,0.293552
824,0.322967
826,0.0455
828,0.0455
830,0.1704
832,0.131041
834,0.216648
836,0.135643
838,0.208752
840,0.278022
842,0.0343882
844,0.181627
846,0.281484
848,0.260821
850,0.436899
852,0.241655
854,0.0464447
856,0.192592
858,0.515111
860,0.281477
862,0.258807
864,0.169939
866,0.205877
868,0.284752
870,0.53272
872,0.0581678
874,0.0226701
876,0.28874
878,0.0854765
880,0.0854765
882,0.0854765
884,0.0854765
886,0.0854765
888,0.0854765
890,0.092354
892,0.0371953
894,0.0371953
896,0.297186
898,0.198928
900,0.154316
902,0.287003
904,0.351127
906,0.351127
908,0.351127
910,0.351127
912,0.221226
914,0.221226
916,0.222531
918,0.128669
920,0.128669
922,0.452281
924,0.0687277
926,0.0687277
928,0.0687277
930,0.0687277
932,0.366635
934,0.30956
936,0.0705405
938,0.375524
940,0.225503
942,0.225503
944,0.313648
946,0.176046
948,0.176046
950,0.423395
952,0.378117
954,0.378117
956,0.154231
958,0.189981
960,0.221003
962,0.0508623
964,0.195925
966,0.246181
968,0.282072
970,0.27878
972,0.324574
974,0.0854715
976,0.0441793
978,0.254283
980,0.0601985
982,0.22227
984,0.179049
986,0.249017
988,0.153086
990,0.301907
992,0.169325
994,0.289098
996,0.16832
998,0.324203
1000,0.324203
1002,0.206918
1004,0.0622242
1006,0.343496
1008,0.242656
1010,0.165107
1012,0.346477
1014,0.0878394
1016,0.0878394
1018,0.399401
1020,0.128293
1022,0.412551
1024,0.24355
1026,0.0235909
1028,0.12168
1030,0.0427047
1032,0.239879
1034,0.239879
1036,0.216783
1038,0.216783
1040,0.216783
1042,0.216783
1044,0.216783
1046,0.163602
1048,0.163602
1050,0.154103
1052,0.0860382
1054,0.284769
1056,0.253624
1058,0.253624
1060,0.0175272
1062,0.195509
1064,0.381738
1066,0.381738
1068,0.27835
1070,0.163134
1072,0.155186
1074,0.155186
1076,0.230055
1078,0.269466
1080,0.254219
1082,0.254219
1084,0.254219
1086,0.28789
1088,0.0345333
1090,0.182205
1092,0.202518
1094,0.121197
1096,0.121197
1098,0.231732
1100,0.126458
1102,0.224001
1104,0.224001
1106,0.224001
1108,0.224001
1110,0.0581476
1112,0.0581476
1114,0.0581476
1116,0.0581476
1118,0.168923
1120,0.106364
1122,0.0420868
1124,0.172189
1126,0.378351
1128,0.378351
1130,0.378351
1132,0.151893
1134,0.178268
1136,0.249372
1138,0.172859
1140,0.323319
1142,0.407968
1144,0.21752
1146,0.239348
1148,0.346548
1150,0.179263
1152,0.112457
1154,0.320172
1156,0.26327
1158,0.213707
1160,0.213707
1162,0.213707
1164,0.184216
1166,0.345725
1168,0.28313
1170,0.282033
1172,0.169553
1174,0.241759
1176,0.176116
1178,0.276817
1180,0.203543
1182,0.153764
1184,0.153764
1186,0.102618
1188,0.193884
1190,0.0869093
1192,0.255363
1194,0.191126
1196,0.0259698
1198,0.176948
1200,0.104026
1202,0.172775
1204,0.13678
1206,0.13678
1208,0.215689
1210,0.122597
1212,0.0991757
1214,0.220173
1216,0.220173
1218,0.16724
1220,0.262478
1222,0.0538697
1224,0.145155
1226,0.249998
1228,0.260823
1230,0.225451
1232,0.201202
1234,0.170362
1236,0.0516686
1238,0.163442
1240,0.146267
1242,0.141678
1244,0.188838
1246,0.188838
1248,0.188838
1250,0.01242
1252,0.222067
1254,0.216796
1256,0.262792
1258,0.152188
1260,0.247192
1262,0.247192
1264,0.32787
1266,0.221241
1268,0.0747966
1270,0.253059
1272,0.410681
1274,0.51345
1276,0.280152
1278,0.257382
1280,0.186698
1282,0.0387703
1284,0.547752
1286,0.0833959
1288,0.100695
1290,0.418836
1292,0.365112
1294,0.365112
1296,0.365112
1298,0.215652
1300,0.215652
1302,0.382236
1304,0.189566
1306,0.189566
1308,0.491154
1310,0.279983
1312,0.279983
1314,0.279983
1316,0.279983
1318,0.279983
1320,0.279983
1322,0.0336061
1324,0.397196
1326,0.397196
1328,0.11286
1330,0.283228
1332,0.358898
1334,0.10841
1336,0.237198
1338,0.113604
1340,0.310415
1342,0.242644
1344,0.207436
1346,0.184232
1348,0.262597
1350,0.292735
1352,0.0744175
1354,0.0744175
1356,0.104024
1358,0.412112
1360,0.214049
1362,0.214049
1364,0.474091
1366,0.340443
1368,0.320993
1370,0.446738
1372,0.446738
1374,0.446738
1376,0.247961
1378,0.166816
1380,0.248894
1382,0.094751
1384,0.0783421
1386,0.181312
1388,0.234874
1390,0.296098
1392,0.14519
1394,0.164741
1396,0.162521
1398,0.255154
1400,0.075822
1402,0.234067
1404,0.219329
1406,0.45729
1408,0.225782
1410,0.225782
1412,0.0832425
1414,0.22011
1416,0.213527
1418,0.357344
1420,0.119887
1422,0.119887
1424,0.208847
1426,0.249749
1428,0.12588
1430,0.12588
1432,0.181335
1434,0.188784
1436,0.417364
1438,0.417364
1440,0.285945
1442,0.323672
1444,0.197246
1446,0.0537666
1448,0.182608
1450,0.229469
1452,0.211182
1454,0.367062
1456,0.112545
1458,0.112545
1460,0.08513
1462,0.382259
1464,0.382259
1466,0.12348
1468,0.27925
