ReTr(Lx),ImTr(Lx)
0.453869,0.0548675
0.0433453,-0.102517
0.1241,0.311524
-0.097744,0.05872
-0.055155,0.0152481
-0.101077,0.245257
0.0122302,0.080102
-0.296438,-0.242431
-0.05602,-0.0829435
0.092622,0.00528695
0.158588,0.420211
0.084586,0.0825975
0.0774515,-0.136866
0.0774515,-0.136866
-0.171238,-0.124825
-0.364233,0.108254
0.0944065,-0.073568
-0.0240908,0.048624
-0.060223,0.389076
-0.040257,0.274151
-0.0265938,-0.255026
-0.249844,0.329741
-0.276564,-0.130359
0.237613,0.188992
0.237613,0.188992
0.144579,0.156912
0.363115,-0.054643
0.195083,0.0223669
0.255427,-0.00771
0.245429,0.0274699
0.245429,0.0274699
0.245429,0.0274699
-0.152358,0.251113
-0.345857,0.0454048
-0.345857,0.0454048
-0.345857,0.0454048
-0.345857,0.0454048
0.0326773,-0.0524355
0.0326773,-0.0524355
0.0326773,-0.0524355
-0.079063,-0.058107
-0.226482,-0.130566
0.0313657,0.076918
0.0313657,0.076918
0.0313657,0.076918
-0.445518,0.0730775
-0.0258973,0.327873
0.175516,0.0125241
0.175516,0.0125241
0.175516,0.0125241
0.186996,0.094387
0.186996,0.094387
-0.087462,-0.140084
0.0386304,0.0366346
0.312997,0.0275924
0.112363,0.0310378
-0.0264887,0.0204775
0.23762,-0.252821
-0.09746,-0.068922
-0.187373,-0.196821
-0.187373,-0.196821
-0.187373,-0.196821
-0.105086,0.410977
-0.105086,0.410977
0.0399142,-0.180774
0.0125223,0.0473022
0.0125223,0.0473022
0.0125223,0.0473022
0.0125223,0.0473022
0.160508,0.123803
-0.0877595,-0.156288
0.00229132,-0.141204
-0.042538,0.170793
0.367937,0.126468
0.0269467,-0.28016
-0.306715,0.0228387
0.035288,-0.185317
0.1178,0.0063983
0.093063,0.00568785
-0.0460894,-0.290643
0.125644,-0.14856
-0.054356,-0.11775
-0.05609,-0.051073
0.0520295,-0.175239
0.181838,0.082863
0.0427975,0.118988
-0.0626565,-0.097467
0.00260102,0.308912
0.0248795,-0.315468
-0.129286,-0.018388
-0.198539,0.18597
-0.153535,0.109501
-0.186501,-0.437749
-0.186501,-0.437749
-0.186501,-0.437749
-0.0208691,0.165446
-0.0208691,0.165446
-0.0208691,0.165446
-0.0208691,0.165446
-0.0208691,0.165446
-0.0208691,0.165446
-0.0208691,0.165446
0.100776,0.178309
0.100776,0.178309
0.120349,-0.244601
0.0204835,0.147079
-0.0811435,0.0278751
0.0466599,-0.267175
0.270368,0.21679
-0.0659405,0.056323
0.0572215,-0.408922
0.0973855,0.0488881
0.07072,0.056788
-0.384877,0.0445501
-0.195844,0.164307
-0.113618,0.320381
0.081956,0.0844065
-0.0110446,-0.176185
0.041009,0.187198
0.198017,-0.013377
0.198017,-0.013377
-0.0752985,-0.021441
-0.118861,-0.0754975
-0.118861,-0.0754975
-0.260337,0.071646
-0.0388057,-0.0279769
0.157034,0.0768385
-0.153542,-0.105559
-0.118049,-0.164268
0.0731315,0.088244
0.310418,0.0468544
-0.103421,0.091829
0.0252883,0.183638
0.087075,0.134806
0.15034,0.333078
0.078303,0.0053628
-0.0318546,0.253795
-0.0318546,0.253795
-0.0318546,0.253795
-0.0318546,0.253795
-0.0609445,0.148717
-0.0609445,0.148717
-0.0609445,0.148717
-0.0609445,0.148717
-0.0609445,0.148717
-0.0609445,0.148717
0.191206,0.262207
0.191206,0.262207
-0.0916465,0.377731
0.067236,-0.249742
0.234941,0.0314388
0.234941,0.0314388
-0.41864,-0.210008
0.124546,0.0712405
-0.361673,0.0767235
-0.0422894,-0.149887
0.0366607,0.106197
0.121734,0.058924
-0.134769,-0.069215
0.0474055,0.053011
0.0447639,0.341324
0.0447639,0.341324
0.183763,-0.140735
0.183763,-0.140735
-0.148868,-0.247254
-0.258893,-0.0891765
-0.082793,-0.0911585
0.13247,-0.0333241
-0.107787,0.0569445
-0.094669,0.0372703
-0.144143,-0.129295
-0.144143,-0.129295
-0.144143,-0.129295
0.166994,0.131942
0.166994,0.131942
0.173332,0.0370584
-0.151936,-0.17556
0.0359326,-0.122083
-0.0165807,-0.338946
0.129368,-0.313821
-0.0520695,0.342039
-0.0520695,0.342039
0.0420367,-0.034191
-0.0046326,0.0856495
-0.308943,-0.297568
-0.264652,0.00707185
0.066754,0.07521
-0.0292284,-0.0111713
-0.0292284,-0.0111713
-0.336035,0.0967205
0.077152,0.134785
0.00805605,-0.236929
-0.136147,0.0348806
-0.256617,-0.11669
0.0344887,-0.343606
0.218787,-0.20806
-0.0165068,-0.146454
0.110363,-0.111455
0.0263093,0.078167
-0.0233438,0.014097
-0.120123,0.13572
-0.120123,0.13572
0.0914255,-0.0359196
0.0914255,-0.0359196
-0.122703,-0.346295
0.217345,-0.178331
0.217345,-0.178331
