MDTU,ssplaq,stplaq
2,1,1
4,1,1
6,1,1
8,1,1
10,1,1
12,1,1
14,1,1
16,1,1
18,1,1
20,1,1
22,1,1
24,1,1
26,1,1
28,1,1
30,1,1
32,0.817429,0.802008
34,0.535659,0.284615
36,0.585687,0.285956
38,0.432581,0.323801
40,0.494632,0.279626
42,0.637718,0.431357
44,0.846038,0.400002
46,1.17143,0.492907
48,0.97271,0.406617
50,0.888425,0.240232
52,0.71946,0.367305
54,0.461695,0.195977
56,0.507009,0.164409
58,0.507009,0.164409
60,0.381572,0.172108
62,0.358208,0.153227
64,0.261701,0.0916285
66,0.422852,0.167673
68,0.362561,0.188534
70,0.182317,0.089068
72,0.112203,0.0429885
74,0.170374,0.0756721
76,0.272803,0.134721
78,0.408937,0.144173
80,0.408937,0.144173
82,0.270024,0.137168
84,0.150401,0.0694008
86,0.108128,0.0434125
88,0.0147635,0.0160333
90,0.0128806,0.00295185
92,0.0128806,0.00295185
94,0.0128806,0.00295185
96,0.0142463,0.00744656
98,0.0525957,0.0242698
100,0.0525957,0.0242698
102,0.0525957,0.0242698
104,0.0525957,0.0242698
106,0.0728822,0.0354538
108,0.0728822,0.0354538
110,0.0728822,0.0354538
112,0.0511423,0.0165746
114,0.0160666,0.0112775
116,0.0620896,0.0150112
118,0.0620896,0.0150112
120,0.0620896,0.0150112
122,0.0370013,0.0108169
124,0.0212842,0.0110676
126,0.00603312,0.00675159
128,0.00603312,0.00675159
130,0.00603312,0.00675159
132,0.068571,0.0210401
134,0.068571,0.0210401
136,0.0496594,0.0348374
138,0.133303,0.0582594
140,0.131516,0.0464041
142,0.0323067,0.0270639
144,0.0340093,0.0239545
146,0.109982,0.0461047
148,0.238138,0.135189
150,0.164829,0.0887492
152,0.164829,0.0887492
154,0.164829,0.0887492
156,0.323413,0.113213
158,0.323413,0.113213
160,0.194794,0.0702592
162,0.277542,0.16163
164,0.277542,0.16163
166,0.277542,0.16163
168,0.277542,0.16163
170,0.360507,0.170779
172,0.485109,0.321052
174,0.586148,0.292948
176,0.563912,0.2333
178,0.785702,0.227206
180,0.635529,0.357559
182,0.577043,0.251137
184,0.795286,0.356999
186,0.725634,0.213242
188,0.488104,0.191577
190,0.720806,0.306593
192,0.486475,0.283197
194,0.516372,0.184376
196,0.651552,0.422595
198,0.729609,0.477574
200,0.684339,0.455717
202,0.668098,0.412876
204,0.597044,0.221765
206,0.64736,0.37996
208,0.789117,0.430695
210,0.689567,0.347064
212,0.769289,0.533127
214,0.864703,0.475987
216,0.836374,0.391996
218,0.836374,0.391996
220,0.836374,0.391996
222,0.99761,0.383903
224,0.99761,0.383903
226,0.99761,0.383903
228,0.99761,0.383903
