ReTr(L),ImTr(L)
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0.220588,0.0501455
-0.010697,-0.00235196
-0.00306377,-0.00580022
0.000375151,0.0025707
-0.000360198,0.00217081
-0.00365572,0.000150747
-0.000388334,0.000964367
0.00415586,0.00237778
-0.00216762,0.000404323
-0.000310922,0.00113503
-0.00315087,-0.000516476
-0.00261009,0.00111528
0.00141938,0.00149623
0.00141938,0.00149623
0.000565217,-0.00100195
-0.00426336,-0.00413613
-0.00244446,-0.000233034
0.00416189,0.000967313
-0.00204881,-0.00498698
0.000357439,-0.00228097
-0.00218481,-0.00187127
-0.00408859,0.00146548
0.00370432,-0.00296598
-0.00266249,0.00444034
-0.00266249,0.00444034
0.00229379,0.00146879
-0.000894388,-0.00659611
-0.00029495,0.000773174
0.00258256,0.00606837
0.00199833,0.000801373
0.00199833,0.000801373
0.00199833,0.000801373
-0.00197568,-0.00415368
0.00553002,0.00408624
0.00553002,0.00408624
0.00553002,0.00408624
0.00553002,0.00408624
-0.00107144,-0.00340408
-0.00107144,-0.00340408
-0.00107144,-0.00340408
0.000517689,7.78075e-06
-0.000674837,-0.00349595
0.0029675,-0.00143598
0.0029675,-0.00143598
0.0029675,-0.00143598
-0.0011463,0.000240493
0.00328412,0.00373684
0.000239028,0.000441115
0.000239028,0.000441115
0.000239028,0.000441115
-0.00398635,0.00793387
-0.00398635,0.00793387
0.00197054,-0.00145828
0.00412193,-0.000304235
-0.00523497,-0.00398776
-0.00397409,0.00812691
-0.00143261,-0.000832513
-0.00165365,0.00058874
-0.00515369,0.0115333
-0.00408133,0.00347703
-0.00408133,0.00347703
-0.00408133,0.00347703
-0.00168244,0.00239233
-0.00168244,0.00239233
-0.000760083,0.00497411
0.0106579,-0.00606773
0.0106579,-0.00606773
0.0106579,-0.00606773
0.0106579,-0.00606773
0.00774758,0.00332284
-0.00523724,-0.00480554
0.00106701,-0.000927638
0.00250245,0.00103561
0.0010319,0.00132049
0.00226892,-0.00507981
-0.00249763,0.00339706
-0.000314388,-0.000367836
-0.00252879,0.00158824
0.00462501,-0.0100005
-0.00532548,8.87564e-05
-0.000247126,-0.00171312
-0.00309572,0.00248476
-0.00344016,0.00392195
0.00163216,0.00594687
0.00551823,0.00176934
0.0088312,-0.00188537
0.00286024,-0.0038156
0.00344847,0.00131197
-0.00138248,0.00300914
-0.00390531,0.00196277
0.00659277,-0.00021909
-0.00119264,-0.00017821
-0.00385571,0.0024648
-0.00385571,0.0024648
-0.00385571,0.0024648
-0.00518529,-0.000986577
-0.00518529,-0.000986577
-0.00518529,-0.000986577
-0.00518529,-0.000986577
-0.00518529,-0.000986577
-0.00518529,-0.000986577
-0.00518529,-0.000986577
0.0025754,0.00474442
0.0025754,0.00474442
-0.000334673,-0.00990808
-0.003152,-0.00103845
-0.00307752,0.000105918
-0.00214255,0.00246643
0.0040445,-0.0032156
-4.94164e-05,4.24012e-07
0.00236876,0.00052146
0.00169624,-0.00476546
-0.00363582,0.00892275
-0.00668551,0.017561
-0.000894397,0.00242724
-0.000296597,0.00117117
-0.00113237,0.00210758
0.00615977,0.00596326
0.00287344,0.00243085
0.00269297,0.00138949
0.00269297,0.00138949
-0.0036137,0.00307496
-0.00195785,0.00239987
-0.00195785,0.00239987
-0.00262218,-0.000940549
-0.000146027,-0.0050132
-0.0023728,0.000352827
-0.0041599,0.00898745
0.00541895,-0.00194515
-0.00387634,0.00172255
0.00141776,0.00247629
-0.00123528,0.00258678
0.00148808,0.0051174
-0.00176701,0.00127462
-0.00139746,0.000300681
-0.00186708,0.000416215
0.0116356,0.00396675
0.0116356,0.00396675
0.0116356,0.00396675
0.0116356,0.00396675
0.00176261,0.00313204
0.00176261,0.00313204
0.00176261,0.00313204
0.00176261,0.00313204
0.00176261,0.00313204
0.00176261,0.00313204
-0.00745535,0.00167145
-0.00745535,0.00167145
