MDTU,|Tr(L)|,ReTr(L),ImTr(L)
2,1,1,0
4,1,1,0
6,1,1,0
8,1,1,0
10,1,1,0
12,1,1,0
14,1,1,0
16,1,1,0
18,1,1,0
20,1,1,0
22,1,1,0
24,1,1,0
26,1,1,0
28,1,1,0
30,1,1,0
32,0.226216,0.220588,0.0501455
34,0.0109525,-0.010697,-0.00235196
36,0.00655967,-0.00306377,-0.00580022
38,0.00259793,0.000375151,0.0025707
40,0.00220049,-0.000360198,0.00217081
42,0.00365882,-0.00365572,0.000150747
44,0.00103962,-0.000388334,0.000964367
46,0.00478801,0.00415586,0.00237778
48,0.00220501,-0.00216762,0.000404323
50,0.00117685,-0.000310922,0.00113503
52,0.00319292,-0.00315087,-0.000516476
54,0.00283839,-0.00261009,0.00111528
56,0.00206236,0.00141938,0.00149623
58,0.00206236,0.00141938,0.00149623
60,0.00115038,0.000565217,-0.00100195
62,0.00594002,-0.00426336,-0.00413613
64,0.00245554,-0.00244446,-0.000233034
66,0.00427282,0.00416189,0.000967313
68,0.00539143,-0.00204881,-0.00498698
70,0.00230881,0.000357439,-0.00228097
72,0.00287664,-0.00218481,-0.00187127
74,0.00434329,-0.00408859,0.00146548
76,0.00474542,0.00370432,-0.00296598
78,0.0051774,-0.00266249,0.00444034
80,0.0051774,-0.00266249,0.00444034
82,0.00272375,0.00229379,0.00146879
84,0.00665647,-0.000894388,-0.00659611
86,0.000827522,-0.00029495,0.000773174
88,0.00659505,0.00258256,0.00606837
90,0.00215303,0.00199833,0.000801373
92,0.00215303,0.00199833,0.000801373
94,0.00215303,0.00199833,0.000801373
96,0.00459961,-0.00197568,-0.00415368
98,0.00687593,0.00553002,0.00408624
100,0.00687593,0.00553002,0.00408624
102,0.00687593,0.00553002,0.00408624
104,0.00687593,0.00553002,0.00408624
106,0.00356872,-0.00107144,-0.00340408
108,0.00356872,-0.00107144,-0.00340408
110,0.00356872,-0.00107144,-0.00340408
112,0.000517747,0.000517689,7.78075e-06
114,0.00356049,-0.000674837,-0.00349595
116,0.00329668,0.0029675,-0.00143598
118,0.00329668,0.0029675,-0.00143598
120,0.00329668,0.0029675,-0.00143598
122,0.00117126,-0.0011463,0.000240493
124,0.00497488,0.00328412,0.00373684
126,0.000501714,0.000239028,0.000441115
128,0.000501714,0.000239028,0.000441115
130,0.000501714,0.000239028,0.000441115
132,0.00887904,-0.00398635,0.00793387
134,0.00887904,-0.00398635,0.00793387
136,0.00245145,0.00197054,-0.00145828
138,0.00413314,0.00412193,-0.000304235
140,0.00658082,-0.00523497,-0.00398776
142,0.00904655,-0.00397409,0.00812691
144,0.00165694,-0.00143261,-0.000832513
146,0.00175532,-0.00165365,0.00058874
148,0.0126324,-0.00515369,0.0115333
150,0.00536162,-0.00408133,0.00347703
152,0.00536162,-0.00408133,0.00347703
154,0.00536162,-0.00408133,0.00347703
156,0.0029247,-0.00168244,0.00239233
158,0.0029247,-0.00168244,0.00239233
160,0.00503185,-0.000760083,0.00497411
162,0.0122641,0.0106579,-0.00606773
164,0.0122641,0.0106579,-0.00606773
166,0.0122641,0.0106579,-0.00606773
168,0.0122641,0.0106579,-0.00606773
170,0.00843008,0.00774758,0.00332284
172,0.00710787,-0.00523724,-0.00480554
174,0.00141387,0.00106701,-0.000927638
176,0.00270827,0.00250245,0.00103561
178,0.00167586,0.0010319,0.00132049
180,0.0055635,0.00226892,-0.00507981
182,0.00421641,-0.00249763,0.00339706
184,0.000483884,-0.000314388,-0.000367836
186,0.00298618,-0.00252879,0.00158824
188,0.0110182,0.00462501,-0.0100005
190,0.00532622,-0.00532548,8.87564e-05
192,0.00173085,-0.000247126,-0.00171312
194,0.00396957,-0.00309572,0.00248476
196,0.00521693,-0.00344016,0.00392195
198,0.00616678,0.00163216,0.00594687
200,0.00579495,0.00551823,0.00176934
202,0.00903021,0.0088312,-0.00188537
204,0.00476862,0.00286024,-0.0038156
206,0.00368961,0.00344847,0.00131197
208,0.00331152,-0.00138248,0.00300914
210,0.0043708,-0.00390531,0.00196277
212,0.00659641,0.00659277,-0.00021909
214,0.00120588,-0.00119264,-0.00017821
216,0.00457621,-0.00385571,0.0024648
218,0.00457621,-0.00385571,0.0024648
220,0.00457621,-0.00385571,0.0024648
222,0.00527832,-0.00518529,-0.000986577
224,0.00527832,-0.00518529,-0.000986577
226,0.00527832,-0.00518529,-0.000986577
228,0.00527832,-0.00518529,-0.000986577
230,0.00527832,-0.00518529,-0.000986577
232,0.00527832,-0.00518529,-0.000986577
234,0.00527832,-0.00518529,-0.000986577
236,0.00539835,0.0025754,0.00474442
238,0.00539835,0.0025754,0.00474442
