MDTU,|Tr(L)|,ReTr(L),ImTr(L)
2,1,1,0
4,1,1,0
6,1,1,0
8,1,1,0
10,1,1,0
12,1,1,0
14,1,1,0
16,1,1,0
18,1,1,0
20,1,1,0
22,1,1,0
24,1,1,0
26,1,1,0
28,1,1,0
30,1,1,0
32,0.549928,0.42281,0.351643
34,0.215517,-0.215455,0.0051654
36,0.208003,-0.125634,-0.165775
38,0.188185,-0.0957025,0.162032
40,0.225265,0.095862,0.203849
42,0.143559,-0.140655,-0.0287275
44,0.237936,0.182705,0.152421
46,0.118708,0.085494,-0.0823555
48,0.245244,-0.22468,0.0983035
50,0.258898,-0.242547,0.0905465
52,0.119955,-0.114103,0.037008
54,0.139296,-0.0164261,0.138324
56,0.494056,0.331382,0.366439
58,0.494056,0.331382,0.366439
60,0.231686,0.196734,-0.122369
62,0.261657,-0.180745,0.189197
64,0.355253,-0.341342,0.0984395
66,0.150158,0.126461,-0.0809635
68,0.0383609,-0.00159064,0.0383279
70,0.34792,-0.087233,-0.336807
72,0.257111,0.257105,-0.00175361
74,0.148265,-0.0495806,0.139729
76,0.10658,0.0116874,-0.105938
78,0.164671,-0.0629295,0.152172
80,0.164671,-0.0629295,0.152172
82,0.239574,-0.121276,0.206611
84,0.0856362,-0.000335152,-0.0856355
86,0.12483,-0.120816,0.0313976
88,0.210132,-0.0291639,0.208098
90,0.150297,-0.132756,-0.0704635
92,0.150297,-0.132756,-0.0704635
94,0.150297,-0.132756,-0.0704635
96,0.334982,0.0706985,-0.327437
98,0.374876,0.36843,-0.069217
100,0.374876,0.36843,-0.069217
102,0.374876,0.36843,-0.069217
104,0.374876,0.36843,-0.069217
106,0.269842,-0.243668,-0.115932
108,0.269842,-0.243668,-0.115932
110,0.269842,-0.243668,-0.115932
112,0.185823,0.160933,-0.0929015
114,0.200209,-0.0442722,-0.195252
116,0.258108,0.257755,0.0134912
118,0.258108,0.257755,0.0134912
120,0.258108,0.257755,0.0134912
122,0.206843,-0.10239,0.179723
124,0.194852,0.108702,0.161713
126,0.0679417,0.0205147,0.0647705
128,0.0679417,0.0205147,0.0647705
130,0.0679417,0.0205147,0.0647705
132,0.238823,-0.0400494,0.235441
134,0.238823,-0.0400494,0.235441
136,0.238757,0.228558,-0.0690345
138,0.0941981,-0.08622,-0.0379393
140,0.256246,-0.122589,-0.22502
142,0.247795,-0.184699,0.165192
144,0.149608,-0.139009,-0.05531
146,0.104702,0.006807,0.10448
148,0.358462,-0.053873,0.354391
150,0.437104,-0.24295,0.363367
152,0.437104,-0.24295,0.363367
154,0.437104,-0.24295,0.363367
156,0.257317,-0.05095,0.252223
158,0.257317,-0.05095,0.252223
160,0.186145,0.0283881,0.183968
162,0.197464,0.166363,-0.106373
164,0.197464,0.166363,-0.106373
166,0.197464,0.166363,-0.106373
168,0.197464,0.166363,-0.106373
170,0.210347,-0.110646,-0.178895
172,0.460453,-0.225761,-0.401309
174,0.197413,0.148178,-0.130442
176,0.159951,-0.0789055,0.139134
178,0.0542082,0.0432317,0.0327038
180,0.158364,-0.133626,-0.0849895
182,0.201545,-0.0535385,0.194304
184,0.244056,-0.244027,0.0037627
186,0.316041,-0.305932,-0.079297
188,0.539083,0.269278,-0.467012
190,0.326046,-0.314262,-0.0868665
192,0.380854,-0.139831,-0.354255
194,0.202653,-0.0531065,0.195571
196,0.0684616,-0.0658935,-0.0185751
198,0.194077,0.186683,0.053061
200,0.143605,-0.0172011,0.142571
202,0.146216,-0.0220935,-0.144538
204,0.12164,-0.118653,0.026789
206,0.0907745,-0.084078,0.0342183
208,0.206894,-0.00365455,0.206862
210,0.0732964,-0.058828,-0.0437222
212,0.308542,0.264962,-0.158092
214,0.239253,0.234592,-0.0469951
216,0.377147,-0.306054,0.220388
218,0.377147,-0.306054,0.220388
220,0.377147,-0.306054,0.220388
222,0.139459,-0.11922,0.0723565
224,0.139459,-0.11922,0.0723565
226,0.139459,-0.11922,0.0723565
228,0.139459,-0.11922,0.0723565
230,0.139459,-0.11922,0.0723565
232,0.139459,-0.11922,0.0723565
234,0.139459,-0.11922,0.0723565
236,0.327738,0.324997,0.0422949
238,0.327738,0.324997,0.0422949
240,0.179585,-0.0988775,-0.149913
242,0.195644,-0.1905,0.0445679
244,0.469527,-0.253771,-0.395039
246,0.131044,-0.110673,0.070171
248,0.438305,0.312268,-0.307571
250,0.0760755,-0.0397175,0.0648845
252,0.0639201,0.0525205,-0.0364332
254,0.219993,-0.06951,-0.208723
256,0.45546,0.27534,0.362812
258,0.291497,-0.245635,0.156953
260,0.263023,0.160625,0.208281
262,0.427128,-0.174446,0.389881
