ReTr(L),ImTr(L)
0.42281,0.351643
-0.215455,0.0051654
-0.125634,-0.165775
-0.0957025,0.162032
0.095862,0.203849
-0.140655,-0.0287275
0.182705,0.152421
0.085494,-0.0823555
-0.22468,0.0983035
-0.242547,0.0905465
-0.114103,0.037008
-0.0164261,0.138324
0.331382,0.366439
0.331382,0.366439
0.196734,-0.122369
-0.180745,0.189197
-0.341342,0.0984395
0.126461,-0.0809635
-0.00159064,0.0383279
-0.087233,-0.336807
0.257105,-0.00175361
-0.0495806,0.139729
0.0116874,-0.105938
-0.0629295,0.152172
-0.0629295,0.152172
-0.121276,0.206611
-0.000335152,-0.0856355
-0.120816,0.0313976
-0.0291639,0.208098
-0.132756,-0.0704635
-0.132756,-0.0704635
-0.132756,-0.0704635
0.0706985,-0.327437
0.36843,-0.069217
0.36843,-0.069217
0.36843,-0.069217
0.36843,-0.069217
-0.243668,-0.115932
-0.243668,-0.115932
-0.243668,-0.115932
0.160933,-0.0929015
-0.0442722,-0.195252
0.257755,0.0134912
0.257755,0.0134912
0.257755,0.0134912
-0.10239,0.179723
0.108702,0.161713
0.0205147,0.0647705
0.0205147,0.0647705
0.0205147,0.0647705
-0.0400494,0.235441
-0.0400494,0.235441
0.228558,-0.0690345
-0.08622,-0.0379393
-0.122589,-0.22502
-0.184699,0.165192
-0.139009,-0.05531
0.006807,0.10448
-0.053873,0.354391
-0.24295,0.363367
-0.24295,0.363367
-0.24295,0.363367
-0.05095,0.252223
-0.05095,0.252223
0.0283881,0.183968
0.166363,-0.106373
0.166363,-0.106373
0.166363,-0.106373
0.166363,-0.106373
-0.110646,-0.178895
-0.225761,-0.401309
0.148178,-0.130442
-0.0789055,0.139134
0.0432317,0.0327038
-0.133626,-0.0849895
-0.0535385,0.194304
-0.244027,0.0037627
-0.305932,-0.079297
0.269278,-0.467012
-0.314262,-0.0868665
-0.139831,-0.354255
-0.0531065,0.195571
-0.0658935,-0.0185751
0.186683,0.053061
-0.0172011,0.142571
-0.0220935,-0.144538
-0.118653,0.026789
-0.084078,0.0342183
-0.00365455,0.206862
-0.058828,-0.0437222
0.264962,-0.158092
0.234592,-0.0469951
-0.306054,0.220388
-0.306054,0.220388
-0.306054,0.220388
-0.11922,0.0723565
-0.11922,0.0723565
-0.11922,0.0723565
-0.11922,0.0723565
-0.11922,0.0723565
-0.11922,0.0723565
-0.11922,0.0723565
0.324997,0.0422949
0.324997,0.0422949
-0.0988775,-0.149913
-0.1905,0.0445679
-0.253771,-0.395039
-0.110673,0.070171
0.312268,-0.307571
-0.0397175,0.0648845
0.0525205,-0.0364332
-0.06951,-0.208723
0.27534,0.362812
-0.245635,0.156953
0.160625,0.208281
-0.174446,0.389881
-0.0517735,0.153512
0.116043,-0.0214976
0.349444,0.228887
0.164148,0.112956
0.164148,0.112956
-0.412401,-0.0668485
0.132206,-0.10493
0.132206,-0.10493
0.00113016,-0.269861
0.304121,-0.10876
-0.231124,0.0050508
-0.10425,0.135072
0.315354,0.0101464
-0.139464,0.278157
-0.0191766,0.243302
0.0435524,0.152343
0.0348699,0.266626
0.0432503,0.22502
0.0175054,0.164367
-0.199571,0.181439
0.258487,-0.00334998
0.258487,-0.00334998
0.258487,-0.00334998
0.258487,-0.00334998
-0.0780545,0.192215
-0.0780545,0.192215
-0.0780545,0.192215
-0.0780545,0.192215
-0.0780545,0.192215
-0.0780545,0.192215
0.0678885,-0.008927
0.0678885,-0.008927
0.080008,0.0370682
0.0842505,-0.338927
0.0180587,-0.00315862
0.0180587,-0.00315862
-0.00451285,0.176015
0.0749775,0.192189
0.193046,0.20933
-0.123202,0.460447
0.164031,-0.106487
0.112358,-0.0681055
0.15155,0.1102
-0.427387,-0.245233
0.087356,-0.232692
0.087356,-0.232692
-0.180491,0.0494187
-0.180491,0.0494187
0.000607715,0.173668
-0.295225,0.236377
-0.0302086,0.161807
-0.196069,0.245063
-0.0267297,-0.228159
-0.0297412,-0.270378
-0.0907275,0.181484
-0.0907275,0.181484
-0.0907275,0.181484
0.0135838,-0.139917
0.0135838,-0.139917
0.0958335,-0.0628245
-0.236016,-0.0343412
-0.16027,0.0232791
0.077114,-0.13562
0.205364,0.067754
0.00427271,0.104636
0.00427271,0.104636
-0.190693,-0.0174612
-0.386881,-0.146931
0.131156,-0.158021
0.203036,-0.147523
0.0907425,0.11146
0.113517,-0.0363224
0.113517,-0.0363224
0.0695265,0.270969
0.090209,0.136894
0.355179,0.15059
0.098488,0.176828
0.172013,-0.211753
-0.384024,-0.344726
0.0272189,0.086939
0.00278301,-0.219629
0.0641715,0.107346
-0.0103102,-0.0651705
-0.088182,-0.214082
-0.145142,0.067623
-0.145142,0.067623
0.060966,-0.253293
0.060966,-0.253293
0.194704,0.0315532
0.226493,0.190261
0.226493,0.190261
0.0858295,-0.175988
0.225326,0.022199
-0.278291,0.0082951
0.0670085,-0.158075
0.202515,0.057862
-0.179651,-0.190061
-0.106804,0.0935485
-0.0368038,0.074591
0.31986,-0.354552
-0.061031,-0.134334
-0.213178,0.21573
-0.162509,-0.263274
-0.144573,0.144066
-0.037136,0.236741
0.219328,0.092119
0.319209,0.0253173
0.009943,0.235237
0.009943,0.235237
0.219687,-0.172329
-0.254609,0.0269042
-0.0705225,-0.178752
-0.0457781,0.0341468
-0.0285281,-0.0210557
0.143549,-0.0245244
-0.129777,0.102527
0.199045,-0.10027
-0.135085,0.323353
0.0139254,0.080172
-0.168959,0.261718
-0.168959,0.261718
0.177953,0.00604555
0.195031,-0.168634
0.0712465,-0.361038
-0.138549,0.194224
-0.138549,0.194224
-0.138549,0.194224
0.099077,-0.387143
0.099077,-0.387143
-0.0478888,-0.0412418
0.264599,-0.139226
0.052666,0.106843
0.31055,-0.1778
0.31055,-0.1778
0.0760855,0.0080582
0.0760855,0.0080582
-0.141167,0.269683
-0.0381873,0.176675
-0.0381873,0.176675
-0.0407825,-0.220704
0.0646145,-0.330209
0.393271,-0.227242
0.564285,-0.0686895
-0.045525,-0.00200864
-0.133601,0.110285
-0.0601125,-0.126071
0.144953,0.212641
-0.307432,-0.102779
-0.0151419,-0.40297
-0.0151419,-0.40297
0.177319,0.0321349
0.097689,0.0174677
-0.0150376,-0.082645
-0.0838245,-0.146289
0.240345,-0.181386
0.147259,-0.174583
0.147259,-0.174583
