MDTU,min_min,min_max,max_min,max_max
2,0,0,0,0
4,0,0,0,0
6,0,0,0,0
8,0,0,0,0
10,0,0,0,0
12,0,0,0,0
14,0,0,0,0
16,0,0,0,0
18,0,0,0,0
20,0,0,0,0
22,0,0,0,0
24,0,0,0,0
26,0,0,0,0
28,0,0,0,0
30,0,0,0,0
32,-1.86939,0.415633,-0.636181,0.680845
34,-2.70495,0.677598,-1.07738,0.938801
36,-5.09148,0.75016,-1.83656,0.916466
38,-3.6156,0.74548,-1.69403,1.0061
40,-3.56792,0.863884,-1.40907,1.01928
42,-3.2056,1.03253,-1.24558,1.17941
44,-3.97871,0.974348,-1.58025,1.13571
46,-3.3666,1.06747,-1.34882,1.19489
48,-4.05295,1.16259,-1.48217,1.28985
50,-3.50406,0.952412,-1.54698,1.16084
52,-3.0612,0.948315,-1.66025,1.19351
54,-3.87455,0.878516,-1.98755,0.970757
56,-3.76504,0.683143,-1.6862,1.0831
58,-3.76504,0.683143,-1.6862,1.0831
60,-4.37554,0.742058,-1.73968,0.924504
62,-4.25789,0.419929,-1.38659,0.752876
64,-3.87626,0.683315,-1.76815,0.785825
66,-3.22137,0.506211,-1.76931,0.781963
68,-3.52163,0.510548,-1.52375,0.849373
70,-5.19402,0.419405,-1.70186,0.850362
72,-3.90412,0.0801769,-1.30778,0.533987
74,-3.19579,0.191745,-1.50415,0.615918
76,-3.29105,0.432722,-1.58997,0.889787
78,-4.35567,0.530482,-1.56814,0.900152
80,-4.35567,0.530482,-1.56814,0.900152
82,-4.02853,0.432833,-1.56322,0.852526
84,-4.4955,0.224345,-1.63579,0.736857
86,-4.27159,0.15889,-1.64029,0.602315
88,-3.72137,-0.369824,-1.298,0.28647
90,-3.48854,-0.496538,-1.40008,0.163179
92,-3.48854,-0.496538,-1.40008,0.163179
94,-3.48854,-0.496538,-1.40008,0.163179
96,-3.04006,-0.180626,-1.36084,0.390008
98,-4.10948,-0.0481124,-1.34265,0.382358
100,-4.10948,-0.0481124,-1.34265,0.382358
102,-4.10948,-0.0481124,-1.34265,0.382358
104,-4.10948,-0.0481124,-1.34265,0.382358
106,-4.08138,0.273062,-1.6857,0.531485
108,-4.08138,0.273062,-1.6857,0.531485
110,-4.08138,0.273062,-1.6857,0.531485
112,-3.2124,-0.136803,-1.34527,0.456973
114,-3.27591,-0.467559,-1.46386,0.323707
116,-3.04017,-0.357215,-1.74217,0.39842
118,-3.04017,-0.357215,-1.74217,0.39842
120,-3.04017,-0.357215,-1.74217,0.39842
122,-4.14011,-0.178142,-2.505,0.535818
124,-3.46703,-0.579083,-1.57516,0.393632
126,-3.07227,-0.555964,-1.58858,0.219396
128,-3.07227,-0.555964,-1.58858,0.219396
130,-3.07227,-0.555964,-1.58858,0.219396
132,-3.00856,-0.145716,-1.33679,0.564076
134,-3.00856,-0.145716,-1.33679,0.564076
136,-3.18693,0.216584,-1.47943,0.564591
138,-5.61791,0.425328,-1.94357,0.663475
140,-3.61644,0.239278,-1.74349,0.554505
142,-4.24256,-0.205742,-1.64347,0.495552
144,-4.58576,0.0126352,-1.65661,0.54358
146,-3.67804,-0.0848553,-1.23435,0.754043
148,-2.98202,0.525595,-1.29975,0.855063
150,-3.46493,0.246913,-1.47481,0.673291
152,-3.46493,0.246913,-1.47481,0.673291
154,-3.46493,0.246913,-1.47481,0.673291
156,-3.25569,0.451757,-1.28605,0.982435
158,-3.25569,0.451757,-1.28605,0.982435
160,-3.41107,0.376439,-1.60151,0.655727
162,-4.48687,0.534454,-1.47403,0.895582
164,-4.48687,0.534454,-1.47403,0.895582
166,-4.48687,0.534454,-1.47403,0.895582
168,-4.48687,0.534454,-1.47403,0.895582
170,-2.79584,0.634557,-1.43399,0.843527
172,-3.64993,0.779849,-1.46523,1.17664
174,-6.17381,0.903772,-1.76701,1.09408
176,-2.76364,0.912647,-1.35391,1.10814
178,-4.17101,0.920874,-1.64123,1.11818
180,-4.02853,1.08737,-1.44549,1.15801
182,-3.9366,0.845206,-1.48658,1.0833
184,-4.03939,0.947589,-1.46307,1.01192
186,-4.06309,0.764933,-1.8276,0.947396
188,-3.69603,0.574173,-1.65582,0.830853
190,-3.57664,0.961523,-1.61275,1.14476
192,-3.38994,0.671984,-1.29804,1.05566
194,-3.03666,0.694016,-1.86896,0.871397
196,-3.68672,0.907232,-1.35387,1.03674
198,-4.34901,0.859344,-1.49744,1.11726
200,-3.34194,0.96618,-1.20436,1.09701
202,-3.37839,0.936057,-1.30302,1.09814
204,-4.42625,0.714313,-1.34053,0.97829
206,-3.2887,0.859027,-1.30539,1.13141
208,-3.53754,0.976066,-1.49366,1.19911
210,-3.01655,0.894833,-1.65022,1.15673
212,-3.21251,1.09231,-1.11,1.22398
214,-3.85167,0.951359,-1.5808,1.10079
216,-4.37651,1.03658,-1.55291,1.31019
218,-4.37651,1.03658,-1.55291,1.31019
220,-4.37651,1.03658,-1.55291,1.31019
222,-4.68088,1.03926,-1.47966,1.21681
224,-4.68088,1.03926,-1.47966,1.21681
226,-4.68088,1.03926,-1.47966,1.21681
228,-4.68088,1.03926,-1.47966,1.21681
230,-4.68088,1.03926,-1.47966,1.21681
232,-4.68088,1.03926,-1.47966,1.21681
234,-4.68088,1.03926,-1.47966,1.21681
236,-3.57562,0.893892,-1.42383,1.18361
238,-3.57562,0.893892,-1.42383,1.18361
240,-4.61989,0.974445,-1.6813,1.06457
242,-3.55248,0.814685,-1.66764,1.12814
244,-3.80789,0.922416,-1.55143,0.982171
246,-4.02059,0.92995,-1.49405,1.09927
248,-2.98232,1.19991,-1.33722,1.35459
250,-4.54422,1.22519,-1.23837,1.2996
252,-4.53572,1.30731,-1.67577,1.44345
254,-3.43724,1.2965,-1.30486,1.42928
256,-4.37092,1.39505,-1.30852,1.5646
258,-3.55877,1.44657,-1.75371,1.56076
260,-4.53868,1.45695,-1.61964,1.52734
262,-3.86646,1.61628,-1.33989,1.68123
264,-3.31311,1.51055,-1.56664,1.58387
266,-4.4218,1.41168,-1.48525,1.58143
268,-3.3223,1.42847,-1.28163,1.54952
