MDTU,min_ave,max_ave
2,0,0
4,0,0
6,0,0
8,0,0
10,0,0
12,0,0
14,0,0
16,0,0
18,0,0
20,0,0
22,0,0
24,0,0
26,0,0
28,0,0
30,0,0
32,-0.429262,0.0582538
34,-1.03,-0.153243
36,-1.23023,-0.206826
38,-1.23479,-0.237145
40,-1.13732,-0.240502
42,-1.07592,-0.192982
44,-0.991043,-0.18517
46,-0.891127,-0.142642
48,-1.13056,-0.172532
50,-1.08982,-0.225187
52,-1.12695,-0.233525
54,-1.33562,-0.33522
56,-1.20584,-0.312749
58,-1.20584,-0.312749
60,-1.3781,-0.327686
62,-1.28824,-0.287443
64,-1.44854,-0.37895
66,-1.21197,-0.294323
68,-1.11779,-0.300558
70,-1.4737,-0.464427
72,-1.53632,-0.496942
74,-1.35245,-0.428757
76,-1.26431,-0.350401
78,-1.32344,-0.282334
80,-1.32344,-0.282334
82,-1.43968,-0.313269
84,-1.52169,-0.462647
86,-1.54723,-0.490829
88,-1.902,-0.60613
90,-1.80442,-0.649015
92,-1.80442,-0.649015
94,-1.80442,-0.649015
96,-1.72602,-0.554661
98,-1.67596,-0.520258
100,-1.67596,-0.520258
102,-1.67596,-0.520258
104,-1.67596,-0.520258
106,-1.63907,-0.512613
108,-1.63907,-0.512613
110,-1.63907,-0.512613
112,-1.63883,-0.572019
114,-1.69927,-0.591486
116,-1.68557,-0.528204
118,-1.68557,-0.528204
120,-1.68557,-0.528204
122,-1.78485,-0.637325
124,-1.81098,-0.59838
126,-1.75498,-0.577375
128,-1.75498,-0.577375
130,-1.75498,-0.577375
132,-1.57323,-0.536167
134,-1.57323,-0.536167
136,-1.58599,-0.563658
138,-1.54753,-0.490586
140,-1.46005,-0.505464
142,-1.70056,-0.558722
144,-1.69041,-0.607291
146,-1.4939,-0.432732
148,-1.32401,-0.321445
150,-1.33327,-0.36114
152,-1.33327,-0.36114
154,-1.33327,-0.36114
156,-1.223,-0.311384
158,-1.223,-0.311384
160,-1.32949,-0.392994
162,-1.29077,-0.274395
164,-1.29077,-0.274395
166,-1.29077,-0.274395
168,-1.29077,-0.274395
170,-1.19967,-0.298865
172,-1.11322,-0.262065
174,-1.26903,-0.252355
176,-1.16517,-0.254939
178,-1.25195,-0.282312
180,-1.28154,-0.231175
182,-1.28152,-0.235098
184,-1.14094,-0.179408
186,-1.17518,-0.191316
188,-1.14583,-0.265202
190,-1.12681,-0.221503
192,-1.18079,-0.243988
194,-1.11936,-0.294448
196,-1.08951,-0.206545
198,-1.08812,-0.176959
200,-1.06537,-0.176363
202,-1.02857,-0.18018
204,-1.23139,-0.246505
206,-1.07383,-0.180978
208,-1.00358,-0.180254
210,-1.06582,-0.21157
212,-1.13425,-0.135739
214,-1.00552,-0.158618
216,-1.15104,-0.18812
218,-1.15104,-0.18812
220,-1.15104,-0.18812
222,-1.11461,-0.183052
224,-1.11461,-0.183052
226,-1.11461,-0.183052
228,-1.11461,-0.183052
230,-1.11461,-0.183052
232,-1.11461,-0.183052
234,-1.11461,-0.183052
236,-1.06511,-0.213968
238,-1.06511,-0.213968
240,-1.26232,-0.263976
242,-1.19031,-0.260976
244,-1.18491,-0.236954
246,-1.14642,-0.215798
248,-0.982508,-0.0771514
250,-1.01703,-0.0349852
252,-0.935073,-0.0514463
254,-0.958584,-0.0442387
256,-0.998417,0.0399271
258,-0.78926,0.0411073
260,-0.971337,-0.041637
262,-0.957928,-0.0237237
264,-0.873448,-0.0774815
266,-1.10547,-0.09318
268,-0.886449,0.00601892
270,-0.919663,-0.0918037
272,-0.919663,-0.0918037
274,-0.947887,-0.143404
276,-1.07468,-0.105686
278,-1.07468,-0.105686
280,-0.991256,-0.0954478
282,-0.946315,-0.076718
284,-1.15525,-0.194726
286,-0.979255,-0.146484
288,-1.03209,-0.181247
290,-1.09585,-0.202809
292,-1.23853,-0.218784
294,-1.14123,-0.238143
296,-1.01521,-0.232593
298,-1.21567,-0.192831
300,-1.05321,-0.169923
302,-0.941736,-0.0967415
304,-1.07515,-0.122368
306,-1.07515,-0.122368
308,-1.07515,-0.122368
310,-1.07515,-0.122368
312,-1.01701,-0.0700579
314,-1.01701,-0.0700579
316,-1.01701,-0.0700579
318,-1.01701,-0.0700579
320,-1.01701,-0.0700579
322,-1.01701,-0.0700579
324,-1.00734,-0.127678
326,-1.00734,-0.127678
328,-1.02293,-0.126074
330,-1.06766,-0.157372
332,-1.15907,-0.10244
334,-1.15907,-0.10244
336,-0.989059,-0.0551414
338,-0.935069,-0.0505923
340,-0.862306,-0.0116615
342,-0.873278,0.0348192
344,-0.897697,0.0342167
346,-0.92956,0.0107362
348,-0.73612,0.0261913
350,-0.835652,0.0567863
352,-0.667304,0.0866141
354,-0.667304,0.0866141
356,-0.774182,0.0589528
358,-0.774182,0.0589528
360,-0.875025,0.0447537
362,-0.767562,0.0797715
364,-0.625109,0.0985116
366,-0.656147,0.100592
368,-0.783124,0.0852304
370,-0.762979,0.14769
372,-0.726445,0.142526
374,-0.726445,0.142526
376,-0.726445,0.142526
378,-0.729507,0.156113
380,-0.729507,0.156113
382,-0.590494,0.152545
384,-0.755799,0.190211
386,-0.538617,0.157674
388,-0.709793,0.159107
390,-0.974428,0.0334562
392,-0.836195,0.034276
394,-0.836195,0.034276
396,-0.837318,0.0377683
398,-0.903796,0.0711697
400,-0.666558,0.148554
402,-0.773022,0.164402
404,-0.675277,0.158384
406,-0.562545,0.184114
408,-0.562545,0.184114
410,-0.558934,0.143128
412,-0.789298,0.16361
414,-0.658603,0.19059
416,-0.735277,0.118932
418,-0.712715,0.124049
420,-0.637985,0.129631
422,-0.843173,0.139267
424,-0.620471,0.220069
426,-0.647156,0.166705
428,-0.700636,0.119306
430,-0.705254,0.0910131
432,-0.591188,0.205786
434,-0.591188,0.205786
436,-0.772244,0.11026
438,-0.772244,0.11026
440,-0.716218,0.118259
442,-0.703058,0.106033
444,-0.703058,0.106033
446,-0.757563,0.111261
448,-0.670957,0.158312
450,-0.6914,0.155465
452,-0.720974,0.145737
454,-0.702788,0.139343
456,-0.516281,0.176381
458,-0.595875,0.237464
460,-0.741591,0.138172
462,-0.698656,0.151739
464,-0.613863,0.182876
466,-0.651894,0.257711
