MDTU,min_width,max_width
2,0,0
4,0,0
6,0,0
8,0,0
10,0,0
12,0,0
14,0,0
16,0,0
18,0,0
20,0,0
22,0,0
24,0,0
26,0,0
28,0,0
30,0,0
32,0.593992,0.361338
34,1.06585,0.610488
36,1.39303,0.736303
38,1.31717,0.7479
40,1.23539,0.716126
42,1.36077,0.828847
44,1.33351,0.841628
46,1.31084,0.896352
48,1.52914,0.891185
50,1.38779,0.87348
52,1.35623,0.861088
54,1.37163,0.8249
56,1.28619,0.823853
58,1.28619,0.823853
60,1.36763,0.775718
62,1.16688,0.626902
64,1.20125,0.681243
66,1.09896,0.668275
68,1.06804,0.714071
70,1.26255,0.690564
72,0.946502,0.517413
74,0.992514,0.607382
76,1.06305,0.637809
78,1.22335,0.635161
80,1.22335,0.635161
82,1.162,0.638928
84,1.11625,0.621377
86,0.992717,0.599948
88,0.676344,0.388079
90,0.75055,0.351119
92,0.75055,0.351119
94,0.75055,0.351119
96,0.580058,0.379435
98,0.710913,0.385216
100,0.710913,0.385216
102,0.710913,0.385216
104,0.710913,0.385216
106,0.85685,0.490585
108,0.85685,0.490585
110,0.85685,0.490585
112,0.755847,0.430916
114,0.661854,0.435828
116,0.697513,0.48254
118,0.697513,0.48254
120,0.697513,0.48254
122,0.822756,0.47974
124,0.676846,0.391846
126,0.591783,0.351982
128,0.591783,0.351982
130,0.591783,0.351982
132,0.7445,0.475645
134,0.7445,0.475645
136,0.839141,0.547379
138,1.22157,0.647857
140,0.935627,0.534416
142,0.811924,0.44651
144,0.935746,0.530256
146,0.876597,0.565235
148,0.995216,0.583931
150,0.934005,0.561005
152,0.934005,0.561005
154,0.934005,0.561005
156,1.03005,0.665519
158,1.03005,0.665519
160,0.964057,0.534172
162,1.1894,0.642062
164,1.1894,0.642062
166,1.1894,0.642062
168,1.1894,0.642062
170,1.07777,0.718062
172,1.2685,0.841621
174,1.57191,0.860886
176,1.26335,0.817705
178,1.45097,0.8828
180,1.49529,0.873332
182,1.42002,0.809843
184,1.41477,0.788356
186,1.32148,0.72541
188,1.16433,0.685168
190,1.38992,0.817439
192,1.25186,0.746909
194,1.18682,0.767863
196,1.39058,0.836868
198,1.42301,0.854805
200,1.3172,0.836742
202,1.29775,0.814101
204,1.34382,0.763612
206,1.28947,0.785657
208,1.32538,0.836061
210,1.31064,0.860379
212,1.4161,0.819448
214,1.34011,0.86651
216,1.50939,0.921605
218,1.50939,0.921605
220,1.50939,0.921605
222,1.482,0.877452
224,1.482,0.877452
226,1.482,0.877452
228,1.482,0.877452
230,1.482,0.877452
232,1.482,0.877452
234,1.482,0.877452
236,1.30527,0.847578
238,1.30527,0.847578
240,1.46512,0.815739
242,1.35763,0.802369
244,1.31197,0.740319
246,1.39906,0.817593
248,1.45406,0.881198
250,1.55686,0.892278
252,1.5899,0.959283
254,1.57211,0.99319
256,1.74106,0.994574
258,1.53382,1.00229
260,1.71603,1.05704
262,1.78112,1.13346
264,1.62033,1.11091
266,1.74216,1.08323
268,1.6079,1.01374
270,1.64991,1.06423
272,1.64991,1.06423
274,1.66621,1.1546
276,1.67397,1.05963
278,1.67397,1.05963
280,1.55084,0.959708
282,1.54097,0.990636
284,1.65594,1.00432
286,1.43983,0.960534
288,1.45137,0.863214
290,1.33248,0.813382
292,1.42577,0.848653
294,1.34137,0.818088
296,1.28649,0.85002
298,1.48954,0.854303
300,1.32384,0.851263
302,1.39903,0.903076
304,1.52409,0.973782
306,1.52409,0.973782
308,1.52409,0.973782
310,1.52409,0.973782
312,1.54573,0.938347
314,1.54573,0.938347
316,1.54573,0.938347
318,1.54573,0.938347
320,1.54573,0.938347
322,1.54573,0.938347
324,1.47827,0.945403
326,1.47827,0.945403
328,1.57302,1.01418
330,1.64951,1.03759
332,1.63252,1.01543
334,1.63252,1.01543
336,1.67402,1.02194
338,1.63111,1.05771
340,1.60843,1.06499
342,1.78748,1.13787
344,1.76116,1.13457
346,1.76825,1.15018
348,1.59319,1.10472
350,1.72513,1.10666
352,1.61954,1.0888
354,1.61954,1.0888
356,1.67428,1.12099
358,1.67428,1.12099
360,1.86638,1.18075
362,1.73606,1.17989
364,1.67167,1.2002
366,1.73818,1.22263
368,1.81555,1.22077
370,1.8788,1.21755
372,1.84242,1.25874
374,1.84242,1.25874
376,1.84242,1.25874
378,1.96596,1.26748
380,1.96596,1.26748
382,1.80381,1.30715
384,1.9715,1.26492
386,1.71092,1.26173
388,1.85377,1.26475
390,2.16099,1.30411
392,1.89267,1.26988
394,1.89267,1.26988
396,1.96841,1.29848
398,1.97903,1.24584
400,1.79956,1.22328
402,1.8791,1.20555
404,1.83707,1.26822
406,1.78041,1.27098
408,1.78041,1.27098
410,1.78063,1.31308
412,1.96983,1.26462
414,1.78419,1.18063
416,1.9104,1.28954
418,1.88203,1.27283
420,1.82827,1.25534
422,1.96341,1.27726
424,1.81296,1.21299
426,1.79217,1.24153
428,1.83421,1.23953
430,1.77757,1.23458
432,1.67094,1.131
434,1.67094,1.131
436,1.80311,1.18854
438,1.80311,1.18854
440,1.78884,1.22096
442,1.80012,1.24067
444,1.80012,1.24067
446,1.857,1.27899
448,1.8009,1.2379
450,1.8914,1.28286
452,1.87932,1.27385
454,1.84709,1.2985
456,1.78658,1.30724
458,1.89398,1.27721
460,1.93114,1.31322
462,1.91682,1.35789
464,1.91731,1.37706
466,1.97314,1.33059
468,1.91634,1.39415
470,2.05556,1.40558
472,1.95031,1.37268
474,1.96115,1.35232
476,1.88991,1.34717
478,2.02883,1.34628
480,2.02883,1.34628
482,1.95104,1.31747
484,1.95812,1.30857
486,1.77184,1.28152
488,1.90755,1.32739
490,1.87222,1.25345
492,1.82442,1.26458
494,1.80681,1.2043
496,1.84347,1.22329
498,1.83473,1.21339
500,1.88314,1.21208
502,1.74334,1.2267
504,1.74334,1.2267
506,1.67865,1.13907
508,1.7418,1.16988
510,1.77521,1.17792
512,1.75745,1.19
514,1.75745,1.19
516,1.75745,1.19
518,1.79074,1.22563
520,1.79074,1.22563
522,1.66722,1.14862
524,1.8076,1.09748
526,1.75738,1.08246
528,1.67819,1.07226
530,1.67819,1.07226
532,1.63436,1.0302
534,1.63436,1.0302
536,1.91082,1.12849
