MDTU,plaq,Re(det),Im(det),link
2,0,0,0,1
4,0,0,0,1
6,0,0,0,1
8,0,0,0,1
10,0,0,0,1
12,0,0,0,1
14,0,0,0,1
16,0,0,0,1
18,0,0,0,1
20,0,0,0,1
22,0,0,0,1
24,0,0,0,1
26,0,0,0,1
28,0,0,0,1
30,0,0,0,1
32,0.0944381,0.0163084,0.013969,1.11573
34,0.0157839,0.000165738,0.000138129,1.15651
36,0.0149974,2.97377e-05,8.89994e-05,1.38428
38,0.00700029,2.78801e-05,2.57344e-05,1.3407
40,0.0283636,6.83463e-05,8.12935e-05,1.30033
42,0.00821667,3.0388e-05,2.10748e-05,1.96992
44,0.0079076,7.14171e-05,3.76405e-05,1.99199
46,0.0141723,3.13994e-05,6.53492e-05,2.5257
48,0.0121314,4.6403e-05,3.44215e-05,2.44463
50,0.0107918,1.77926e-05,1.43079e-05,2.04384
52,0.0118755,6.08076e-05,4.67628e-05,1.80159
54,0.00799468,1.78447e-05,1.85134e-05,1.30912
56,0.00743928,4.56555e-05,4.88424e-05,1.34582
58,0.00743928,4.56555e-05,4.88424e-05,1.34582
60,0.0122122,5.24307e-06,1.15182e-05,1.16631
62,0.0214202,8.39085e-05,0.000121044,0.82638
64,0.00959934,3.0075e-05,2.62694e-05,0.753395
66,0.0235167,8.26278e-05,6.44317e-05,0.892611
68,0.0115909,8.93338e-05,0.000126832,0.994472
70,0.00746608,1.02135e-05,6.6196e-06,0.671495
72,0.00948762,1.48238e-05,8.69907e-06,0.416803
74,0.00930183,2.90259e-05,4.53485e-05,0.569533
76,0.00824764,5.52709e-05,2.46883e-05,0.74433
78,0.016302,2.47653e-05,4.10566e-05,0.903055
80,0.016302,2.47653e-05,4.10566e-05,0.903055
82,0.01045,1.50504e-05,1.23226e-05,0.774001
84,0.0116902,3.21142e-05,3.8069e-05,0.563731
86,0.00883666,3.35484e-05,3.21546e-05,0.474289
88,0.018366,3.09034e-05,3.40259e-05,0.229524
90,0.00972546,7.47059e-05,0.000268485,0.206617
92,0.00972546,7.47059e-05,0.000268485,0.206617
94,0.00972546,7.47059e-05,0.000268485,0.206617
96,0.0165939,4.66632e-05,5.52188e-05,0.249922
98,0.0206644,5.36946e-05,7.95698e-05,0.280663
100,0.0206644,5.36946e-05,7.95698e-05,0.280663
102,0.0206644,5.36946e-05,7.95698e-05,0.280663
104,0.0206644,5.36946e-05,7.95698e-05,0.280663
106,0.016248,2.11378e-05,3.09644e-05,0.370837
108,0.016248,2.11378e-05,3.09644e-05,0.370837
110,0.016248,2.11378e-05,3.09644e-05,0.370837
112,0.0199915,2.28277e-05,3.31692e-05,0.281903
114,0.0119621,2.69338e-05,2.43501e-05,0.259036
116,0.0116645,1.81717e-05,2.55616e-05,0.308906
118,0.0116645,1.81717e-05,2.55616e-05,0.308906
120,0.0116645,1.81717e-05,2.55616e-05,0.308906
122,0.00836292,7.59661e-05,3.17663e-05,0.2564
124,0.0101973,3.35546e-05,2.90454e-05,0.229944
126,0.0180846,3.68309e-05,4.13526e-05,0.224904
128,0.0180846,3.68309e-05,4.13526e-05,0.224904
130,0.0180846,3.68309e-05,4.13526e-05,0.224904
132,0.0253296,4.1869e-05,0.000118821,0.330268
134,0.0253296,4.1869e-05,0.000118821,0.330268
136,0.00694345,1.5454e-05,2.9307e-05,0.375024
138,0.00447104,5.215e-05,5.94564e-06,0.585827
140,0.00664282,1.81014e-05,2.24894e-05,0.440894
142,0.00831974,1.51183e-05,8.62607e-06,0.290864
144,0.0106508,2.0622e-05,3.11968e-05,0.317102
146,0.0107645,3.20842e-05,1.85633e-05,0.487818
148,0.0181363,7.13758e-05,2.99737e-05,0.732948
150,0.0136958,3.96998e-05,4.65621e-05,0.592459
152,0.0136958,3.96998e-05,4.65621e-05,0.592459
154,0.0136958,3.96998e-05,4.65621e-05,0.592459
156,0.0125332,2.36862e-05,2.89604e-05,0.856193
158,0.0125332,2.36862e-05,2.89604e-05,0.856193
160,0.00861305,5.34437e-05,7.51397e-05,0.565093
162,0.0172187,3.44912e-05,0.000121989,0.888866
