t,|deltaS|
1,3.061
2,5.031
3,2.854
4,0.2744
5,0.6591
6,1.434
7,0.4157
8,0.2092
9,0.3847
10,0.2197
11,0.8969
12,0.3152
13,0.3435
14,0.8586
15,0.1737
16,0.7568
17,1.081
18,0.5053
19,0.6376
20,1.171
21,0.4922
22,0.6188
23,0.5093
24,0.9233
25,0.5285
26,0.4717
27,0.3667
28,0.8791
29,1.215
30,0.01404
31,0.2635
32,0.1379
33,0.144
34,0.4963
35,0.4866
36,0.04924
37,0.657
38,0.3464
39,1.153
40,1.164
41,1.099
42,0.4256
43,1.016
44,0.1149
45,0.08848
46,1.167
47,0.3557
48,0.1494
49,0.7769
50,1.105
51,0.2398
52,0.09188
53,0.08337
54,0.3198
55,0.2635
56,1.056
57,0.02062
58,0.3543
59,0.7346
60,0.01065
61,0.5992
62,0.1273
63,0.2202
64,0.7717
65,0.01516
66,0.3545
67,0.2535
68,0.1176
69,0.2231
70,0.1815
71,0.5574
72,1.519
73,0.3999
74,0.453
75,0.4573
76,0.4143
77,0.1499
78,0.4551
79,0.6774
80,0.6544
81,0.6767
82,0.1318
83,0.3367
84,1.151
85,0.3496
86,0.4401
87,0.2224
88,0.3228
89,0.9773
90,1.016
91,0.8661
92,0.3842
93,0.1488
94,0.1644
95,0.2151
96,0.07819
97,0.6047
98,1.035
99,0.1027
100,0.2308
101,0.6107
102,0.4514
103,0.3291
104,0.3015
105,0.1399
106,0.411
107,0.4268
108,1.277
109,0.4368
110,0.5202
111,0.1543
112,0.03744
113,0.5904
114,0.7076
115,0.5006
116,0.7102
117,0.5207
118,0.2045
119,0.219
120,0.1927
121,0.02901
122,2.25
123,0.8882
124,1.121
125,1.267
126,0.05974
127,0.5427
128,0.7233
129,0.02749
130,0.08681
131,0.5221
132,0.2554
133,0.1984
134,0.1744
135,0.4205
136,0.8496
137,0.9375
138,1.794
139,0.9224
140,1.091
141,0.5804
142,0.2062
143,0.08953
144,0.3128
145,1.063
146,0.03982
147,1.06
148,0.3396
149,0.9268
150,0.004859
151,0.1008
152,0.8542
153,0.8093
154,0.8379
155,0.3224
156,0.3396
157,1.171
158,0.7137
159,1.69
160,1.468
161,1.446
162,1.022
163,0.8871
164,0.3449
165,0.4086
166,0.07642
167,0.4702
168,0.4202
169,0.004993
170,0.07392
171,1.203
172,0.475
173,0.1858
174,0.4175
175,0.1998
176,0.4674
177,0.9156
178,0.03167
179,0.5971
180,0.3374
181,0.5839
182,0.2781
183,1.473
184,0.1957
185,0.4521
186,1.74
187,0.5477
188,1.086
189,0.8253
190,0.02298
191,0.464
192,0.3328
193,0.1559
194,0.07615
195,0.2719
196,0.6345
197,1.013
198,0.7557
199,0.6736
200,0.2411
201,0.3287
202,0.2998
203,0.7736
204,0.3188
205,0.1831
206,0.4222
207,0.9545
208,0.5908
209,0.007306
210,0.01147
211,0.04316
212,0.5871
213,0.6014
214,0.226
215,0.06165
216,0.1859
217,0.7183
218,0.5137
219,0.2409
220,0.1327
221,0.701
222,0.1444
223,0.4062
224,0.2254
225,0.2853
226,0.1344
227,0.2005
228,0.3507
229,0.6882
230,0.5814
231,0.207
232,0.06707
233,0.0246
234,1.091
235,1.745
236,0.07222
237,0.08351
238,0.7388
239,0.5869
240,0.02999
241,0.1857
242,0.04397
243,0.2663
244,1.041
245,0.1522
246,0.3242
247,0.3811
248,0.9853
249,1.071
250,1.523
251,0.2758
252,1.956
253,0.3041
254,0.2204
255,0.5532
256,0.1799
257,0.9503
258,0.3692
259,0.3828
260,0.5112
261,1.545
262,0.442
263,0.2602
264,0.8597
265,1.614
266,0.9796
267,0.923
268,0.2677
269,0.2943
270,0.6213
271,0.04323
272,0.2527
273,0.2658
274,0.9009
275,1.17
276,0.3576
277,0.288
278,1.065
279,0.1645
280,0.7301
281,0.9282
282,0.902
283,0.2665
284,0.9242
285,1.028
286,0.2587
287,0.957
288,0.06182
289,0.3688
290,0.9786
291,0.238
292,0.6082
293,1.092
294,0.2128
295,0.5816
296,0.7526
297,0.5189
298,0.1918
299,0.4308
300,0.2208
301,0.3527
302,0.2691
303,0.7254
304,0.2075
305,0.5172
306,0.3298
307,0.7716
308,0.8279
309,0.1497
310,0.5946
311,0.2712
312,0.143
313,0.5341
314,0.6859
315,0.3377
316,0.4404
317,0.4473
318,0.09012
319,0.9416
320,0.1609
321,0.3423
322,0.1106
323,0.1041
324,1.103
325,0.8051
326,1.075
327,0.6802
328,0.1598
329,0.1543
330,0.7436
331,0.2342
332,0.226
333,0.1767
334,0.3159
335,1.129
336,0.1611
337,0.429
338,0.3706
339,0.135
340,0.7257
341,0.1541
342,0.2992
343,0.3029
344,0.2562
345,1.406
346,0.3843
347,0.3695
348,1.068
349,0.1141
350,0.232
351,1.156
352,0.6385
353,0.1366
354,1.104
355,0.8492
356,1.125
357,0.2161
358,0.8914
359,0.1537
360,1.131
361,0.8523
362,0.4735
363,0.06821
364,0.2278
365,0.09718
366,0.4827
367,0.494
368,0.1138
369,0.2297
370,0.1683
371,0.7102
372,0.1602
373,0.1676
374,0.2602
375,0.1642
376,0.4592
377,0.555
378,0.4522
379,0.6366
380,0.5842
381,0.2436
382,0.3315
383,0.4652
384,1.084
385,0.7164
386,0.6558
387,0.8767
388,0.4557
389,1.176
390,0.02311
391,0.3281
392,0.1377
393,0.03604
394,0.6702
395,0.8899
396,0.4547
397,0.6114
398,0.3467
399,0.1109
400,0.473
401,1.845
402,0.2151
403,0.4656
404,0.1629
405,0.1391
406,0.4336
407,0.2438
408,0.3823
409,0.4924
410,1.183
411,0.2778
412,0.7855
413,0.04889
414,0.1094
415,0.8314
416,1.064
417,1.427
418,0.1604
419,0.2579
420,0.5105
421,0.8932
422,0.5175
423,1.005
424,0.1924
425,0.07568
426,0.6639
427,0.3977
428,0.1531
429,0.5668
430,0.3341
431,0.698
432,0.03007
433,0.3042
434,0.1869
435,0.8648
436,1.023
437,0.5802
438,0.8316
439,0.1574
440,0.04678
441,0.1178
442,0.3184
443,1.556
444,0.2438
445,0.5404
446,0.8132
447,0.3797
448,1.45
449,0.4475
450,0.3964
451,0.8233
452,0.4681
453,0.9261
454,0.7994
455,0.5072
456,0.2726
457,0.06447
458,0.4563
459,1.369
460,0.2809
461,0.5221
462,0.3063
463,1.101
464,0.6152
465,0.7555
466,1.233
467,0.1594
468,1.293
469,0.4038
470,0.8865
471,0.2324
472,0.01867
473,0.4273
474,0.03827
475,0.8595
476,0.3904
477,0.7414
478,0.4515
479,0.6858
480,0.02543
481,0.763
482,0.5332
483,0.5143
484,0.677
485,0.5875
486,0.6024
487,0.3471
488,0.4595
489,1.076
490,0.2172
491,0.3483
492,0.1061
493,1.446
494,1.026
495,0.6012
496,0.1472
497,0.2411
498,0.299
499,1.031
500,0.6984
501,0.575
502,0.1427
503,0.5917
504,0.3978
505,0.303
506,0.1538
507,0.3036
508,0.9106
509,0.8966
510,0.06198
511,0.6779
512,0.4467
513,1.115
514,0.5931
515,0.4355
516,0.1951
517,0.5701
518,0.2649
519,0.3775
520,0.2293
521,0.3787
522,0.09932
523,1.193
524,0.9055
525,0.5888
526,1.58
527,0.02147
528,0.7923
529,0.3978
530,0.2558
531,0.2742
532,0.4714
533,0.06191
534,0.6399
535,0.1787
536,0.04191
537,0.2284
538,0.65
539,0.1451
540,0.1266
541,0.5066
542,1.066
543,0.4876
544,1.376
545,1.103
546,0.8377
547,1.436
548,0.4445
549,0.3675
550,0.9407
551,0.9911
552,1.131
553,0.6777
554,0.9551
555,0.02102
556,0.7913
557,0.5766
558,0.3315
559,0.487
560,0.2636
561,0.7471
562,1.365
563,0.05927
564,0.3263
565,0.7086
566,0.9026
567,0.3941
568,0.1777
569,0.2349
570,0.612
571,0.6079
572,0.6409
573,0.1474
574,0.903
575,0.6459
576,0.8071
577,0.1095
578,0.04955
579,1.38
580,1.026
581,0.1963
582,0.7626
583,0.1839
584,0.3803
585,0.9195
586,0.1347
587,0.2266
588,0.1944
589,0.03398
590,1.036
591,0.2913
592,0.4167
593,0.2724
594,0.4597
595,0.4055
596,0.5937
597,0.8598
598,0.7673
599,0.8593
600,1.577
601,0.7003
602,1.047
603,0.2428
604,0.4033
605,0.8381
606,0.6021
607,0.2744
608,0.07518
609,0.6969
610,0.5567
611,2.117
612,0.9047
613,0.7592
614,0.823
615,0.6728
616,0.09591
617,0.7836
618,0.01308
619,0.4737
620,0.2486
621,0.1613
622,0.1065
623,0.6662
624,0.4293
625,0.711
626,0.6001
627,0.7443
628,0.6502
629,0.3201
630,0.5159
631,0.09408
632,0.1763
633,0.6872
634,0.8515
635,0.6503
636,0.9322
637,0.6668
638,0.7162
639,1.356
640,0.1451
641,1.838
642,0.1126
643,1.153
644,1.51
645,0.03414
646,1.672
647,0.3674
648,1.214
649,0.377
650,0.6414
651,0.5841
652,1.006
653,0.6572
654,0.2028
655,0.2251
656,0.1866
657,0.3777
658,0.3681
659,1.075
660,0.6118
661,0.6408
662,0.6372
663,0.06972
664,0.06658
665,1.067
666,0.1179
667,0.08548
668,1.706
669,1.51
670,0.4261
671,1.088
