MDTU,|Tr(Lx)|
2,0.0297136
4,0.109002
6,0.0700699
8,0.0705956
10,0.0574315
12,0.0115178
14,0.0115178
16,0.0457853
18,0.070555
20,0.070555
22,0.070555
24,0.0455306
26,0.0455306
28,0.0455306
30,0.161279
32,0.0319135
34,0.0634713
36,0.0634713
38,0.0634713
40,0.0634713
42,0.112936
44,0.00497338
46,0.00497338
48,0.112224
50,0.0426734
52,0.120076
54,0.0560331
56,0.10353
58,0.0314685
60,0.0700903
62,0.0906159
64,0.0315087
66,0.0611074
68,0.0396912
70,0.0469312
72,0.0862751
74,0.0842675
76,0.0842675
78,0.0842675
80,0.0842675
82,0.0721324
84,0.0823487
86,0.118483
88,0.0999603
90,0.0284408
92,0.0284408
94,0.0284408
96,0.149842
98,0.0164684
100,0.0570009
102,0.0297735
104,0.0321374
106,0.0507017
108,0.0816366
110,0.0427808
112,0.0519202
114,0.0175935
116,0.0504585
118,0.0538545
120,0.0212556
122,0.0472818
124,0.065732
126,0.0644397
128,0.0751857
130,0.0549746
132,0.0951087
134,0.0340633
136,0.00861511
138,0.0221301
140,0.0345067
142,0.041779
144,0.00717105
146,0.0624454
148,0.108475
150,0.0521148
152,0.0922714
154,0.0893867
156,0.0893867
158,0.0553825
160,0.0269788
162,0.0694529
164,0.0168899
166,0.0168899
168,0.0168899
170,0.133267
172,0.0717232
174,0.0530372
176,0.0515719
178,0.0802991
180,0.0802991
182,0.125549
184,0.0373026
186,0.123045
188,0.0261192
190,0.0258886
192,0.0795231
194,0.075886
196,0.075886
198,0.0157139
200,0.0309472
202,0.0505575
204,0.0720368
206,0.0494489
208,0.131046
210,0.131046
212,0.00898193
214,0.00898193
216,0.00898193
218,0.00898193
220,0.00898193
222,0.0403338
224,0.0615145
226,0.0357365
228,0.0580674
230,0.044164
232,0.0503626
234,0.0503626
236,0.0503626
238,0.0639208
240,0.0839597
242,0.0786084
244,0.0386509
246,0.0386509
248,0.0386509
250,0.0865975
252,0.0358908
254,0.0845599
256,0.10354
258,0.146738
260,0.0424011
262,0.0549242
264,0.0404325
266,0.0685431
268,0.0382395
270,0.0487323
272,0.0256649
274,0.059547
276,0.059547
278,0.059547
280,0.059547
282,0.0838846
284,0.0838846
286,0.101465
