ReTr(Lx),ImTr(Lx)
-0.0190229,0.022826
-0.0201122,-0.107131
-0.070002,0.00308296
-0.0696744,-0.0113672
0.0365406,-0.0443076
0.00420778,-0.0107217
0.00420778,-0.0107217
0.0168139,0.0425862
0.0557714,-0.0432152
0.0557714,-0.0432152
0.0557714,-0.0432152
0.0248684,-0.0381392
0.0248684,-0.0381392
0.0248684,-0.0381392
-0.0643834,0.14787
0.023086,0.0220342
0.0405472,0.0488316
0.0405472,0.0488316
0.0405472,0.0488316
0.0405472,0.0488316
-0.013693,0.112102
-0.00156024,-0.0047223
-0.00156024,-0.0047223
-0.0037738,0.112161
-0.0268854,0.033139
0.116609,-0.028645
-0.0491668,-0.0268762
0.102138,0.0169166
0.021753,-0.0227392
-0.0626106,0.031505
0.0742542,-0.051938
-0.0235124,-0.0209754
0.0382778,0.0476332
0.00864522,-0.0387382
-0.046563,-0.00586712
-0.0494024,-0.0707304
-0.0386818,0.0748648
-0.0386818,0.0748648
-0.0386818,0.0748648
-0.0386818,0.0748648
-0.0526356,0.0493212
0.0724456,-0.0391528
-0.113262,0.0347868
-0.0796956,0.060338
0.000157011,0.0284404
0.000157011,0.0284404
0.000157011,0.0284404
0.0425192,-0.143683
-0.00846,0.0141293
0.0352724,-0.0447768
0.028676,-0.00800916
0.031583,-0.00594366
0.0408752,-0.029998
-0.0580476,0.0574022
-0.0128668,-0.0408
0.00638076,-0.0515266
0.0083779,0.0154707
-0.0198538,0.0463884
-0.0473166,-0.0257186
9.93424e-05,-0.0212554
0.0472352,-0.00209852
0.0553136,0.035512
-0.0634206,0.0114147
0.055247,-0.0509966
-0.0201734,-0.0511394
-0.028596,-0.090708
0.0179903,-0.028925
0.00790092,-0.00343446
0.0194571,0.0105435
-0.00586382,0.0340048
0.024923,-0.033531
-0.00710226,0.00099087
0.0156278,-0.0604582
0.0526936,0.0948172
-0.0509966,0.010738
-0.0792228,0.047305
-0.0886782,0.011232
-0.0886782,0.011232
0.0462838,0.0304144
0.0261602,-0.00659548
-0.0168856,0.067369
-0.00983338,0.0137322
-0.00983338,0.0137322
-0.00983338,0.0137322
0.0802036,0.106431
0.0694384,-0.0179592
0.0503414,0.0166938
-0.0515084,0.00255838
0.0497576,-0.0630248
0.0497576,-0.0630248
0.071274,0.103357
0.0372916,0.000907278
0.0375518,-0.117174
-0.000576724,-0.0261128
-0.00391394,-0.025591
0.00208316,-0.0794958
0.0585572,-0.0482674
0.0585572,-0.0482674
0.00310918,-0.0154033
0.0235994,-0.02002
0.00824328,0.049881
-0.0719932,-0.00250688
0.00227828,0.0493964
-0.101148,0.0833198
-0.101148,0.0833198
