MDTU,|Tr(L)|,ReTr(L),ImTr(L)
2,0.0154943,-0.0150592,0.00364595
4,0.00258507,-0.00223109,0.00130569
6,0.0017419,0.00152229,-0.000846666
8,0.00516821,0.00364659,0.00366235
10,0.0018655,-0.00177687,-0.000568193
12,0.00254422,0.0023819,0.000894204
14,0.00254422,0.0023819,0.000894204
16,0.00250609,0.000863413,0.00235266
18,0.00331084,4.18037e-05,-0.00331057
20,0.00331084,4.18037e-05,-0.00331057
22,0.00331084,4.18037e-05,-0.00331057
24,0.00957407,-0.00212843,-0.00933449
26,0.00957407,-0.00212843,-0.00933449
28,0.00957407,-0.00212843,-0.00933449
30,0.00181331,0.000338965,-0.00178135
32,0.00280573,-0.000217876,0.00279725
34,0.00281806,-0.000759935,-0.00271366
36,0.00281806,-0.000759935,-0.00271366
38,0.00281806,-0.000759935,-0.00271366
40,0.00281806,-0.000759935,-0.00271366
42,0.00355678,-0.00180621,0.00306403
44,0.00292134,-0.000867564,-0.00278955
46,0.00292134,-0.000867564,-0.00278955
48,0.00561174,0.00505551,-0.00243586
50,0.011536,-0.00715073,-0.00905245
52,0.00314628,0.00133402,0.00284946
54,0.00219044,0.00052069,0.00212766
56,0.00208732,0.000319327,-0.00206275
58,0.00220929,0.00220907,-3.09701e-05
60,0.00462904,0.00439931,-0.00144016
62,0.00300763,-0.00269747,0.00133023
64,0.00149372,0.0014762,-0.000228069
66,0.0058614,-0.00214056,-0.00545656
68,0.00307729,-0.00299784,0.00069472
70,0.00227513,-0.00142558,0.00177312
72,0.00674127,0.000855302,0.00668679
74,0.00219246,0.000354596,-0.00216359
76,0.00219246,0.000354596,-0.00216359
78,0.00219246,0.000354596,-0.00216359
80,0.00219246,0.000354596,-0.00216359
82,0.0025123,0.00142,-0.0020725
84,0.00163347,0.00153883,0.000547947
86,0.00411242,-0.00255494,0.00322247
88,0.0026975,-0.00101348,0.00249988
90,0.00351389,-0.0011828,-0.00330884
92,0.00351389,-0.0011828,-0.00330884
94,0.00351389,-0.0011828,-0.00330884
96,0.00342518,-0.00271479,0.00208848
98,0.00268447,-0.00263962,0.000488675
100,0.00419904,0.00177087,-0.00380736
102,0.0043466,-0.00432693,-0.000413026
104,0.00552918,0.00219127,0.00507643
106,0.00351174,-0.00282702,0.00208334
108,0.00384498,0.00382902,-0.000349983
110,0.00118645,-0.00109587,-0.000454695
112,0.00539133,0.00295227,0.00451116
114,0.00550582,0.00548084,0.000523915
116,0.00351648,0.00350515,0.00028208
118,0.00355331,0.00307169,0.00178628
120,0.00163347,-0.00126118,-0.0010381
122,0.00369267,-0.00366434,-0.000456572
124,0.00402415,0.00159181,0.00369594
126,0.00288581,-0.0022383,-0.00182152
128,0.00569096,-0.00350915,-0.00448028
130,0.00118419,0.0010836,0.00047761
132,0.00295183,0.00124678,-0.0026756
134,0.00390153,-0.00389838,-0.000156746
136,0.00800335,0.00101919,-0.00793819
138,0.00160686,0.00131686,-0.000920801
140,0.00340604,-0.00144695,0.00308341
142,0.00316378,-0.00253135,0.00189783
144,0.00317187,0.00298661,0.00106813
146,0.00461603,0.000999675,0.00450649
148,0.00236672,0.00236618,-5.07033e-05
150,0.00238649,-0.00150839,-0.00184936
152,0.00167841,0.00140624,0.000916267
154,0.00142986,-0.00135183,-0.000465893
156,0.00142986,-0.00135183,-0.000465893
158,0.00192899,0.00187379,0.000458137
160,0.00216424,-0.00118997,0.00180773
162,0.00653821,0.0065376,-8.91002e-05
164,0.00609547,-0.00225314,0.00566376
166,0.00609547,-0.00225314,0.00566376
168,0.00609547,-0.00225314,0.00566376
170,0.00118318,4.79182e-05,0.00118221
172,0.00465031,0.00415066,0.002097
174,0.00339788,-0.00304847,0.00150082
176,0.00140566,0.00043503,0.00133665
178,0.000299411,-0.000298305,2.57185e-05
180,0.000299411,-0.000298305,2.57185e-05
182,0.00498273,0.00106428,-0.00486774
184,0.000956847,-0.000411311,-0.000863932
186,0.0020724,0.0019429,0.000721096
188,0.00197778,-6.24997e-05,-0.00197679
190,0.00249106,0.00244814,-0.000460443
192,0.00369631,0.000538461,0.00365688
194,0.00641742,0.00452634,0.00454923
196,0.00641742,0.00452634,0.00454923
198,0.00272248,0.00270641,0.000295436
200,0.00180024,0.00179427,-0.00014657
202,0.00296986,-0.00285137,-0.000830527
204,0.00109256,0.00102919,0.000366678
206,0.00281088,0.00269047,-0.000813884
208,0.00996863,-0.00993105,-0.00086475
210,0.00996863,-0.00993105,-0.00086475
212,0.00385819,0.00276667,-0.00268909
214,0.00385819,0.00276667,-0.00268909
216,0.00385819,0.00276667,-0.00268909
218,0.00385819,0.00276667,-0.00268909
220,0.00385819,0.00276667,-0.00268909
222,0.0011096,-0.000822631,-0.000744647
224,0.00444784,-0.00396716,-0.00201119
226,0.00470042,0.00469709,0.000177067
228,0.00422947,0.00196703,0.00374423
230,0.00637518,-0.0053594,0.0034525
232,0.00475203,-0.00407012,0.00245274
234,0.00475203,-0.00407012,0.00245274
236,0.00475203,-0.00407012,0.00245274
238,0.0057962,-0.00543775,0.00200671
240,0.00311807,0.00249378,-0.00187174
242,0.0034668,-0.0021994,-0.0026798
244,0.00208426,-0.00150967,0.00143701
246,0.00208426,-0.00150967,0.00143701
248,0.00208426,-0.00150967,0.00143701
250,0.00516501,-0.00248196,0.0045296
252,0.00392325,0.00391141,-0.000304474
254,0.00303654,-0.00162535,0.00256492
256,0.000772214,0.000666539,0.000389923
258,0.00175288,-0.000224498,0.00173844
260,0.00402537,0.00227755,0.0033191
262,0.00378608,0.00223357,0.00305705
264,0.00500394,0.00462558,-0.00190878
266,0.00365145,0.0005442,0.00361067
268,0.000343232,0.000230639,0.000254193
270,0.00303147,0.000611593,0.00296914
272,0.00319578,-0.00319577,7.90205e-06
274,0.0025966,-0.000737356,-0.00248971
276,0.0025966,-0.000737356,-0.00248971
278,0.0025966,-0.000737356,-0.00248971
280,0.0025966,-0.000737356,-0.00248971
282,0.00210895,-0.00201191,0.000632396
284,0.00210895,-0.00201191,0.000632396
286,0.00217312,-0.00132982,0.00171873
288,0.00256197,-0.00154136,-0.00204644
290,0.00256197,-0.00154136,-0.00204644
292,0.00099515,0.000955631,0.000277656
294,0.00099515,0.000955631,0.000277656
296,0.00099515,0.000955631,0.000277656
298,0.00464254,-0.00450691,-0.00111395
300,0.00183861,9.98523e-05,-0.00183589
302,0.00519905,-0.00514544,0.000744688
304,0.00678332,-0.00630845,-0.00249336
306,0.000604955,0.00015867,-0.000583776
308,0.00759981,0.00173557,0.00739898
310,0.00152511,0.00146226,-0.000433318
312,0.00201965,0.00186429,-0.000776796
314,0.00201965,0.00186429,-0.000776796
316,0.00281391,-0.00167625,0.00226015
318,0.00213727,6.27547e-05,0.00213635
320,0.00213727,6.27547e-05,0.00213635
322,0.00213727,6.27547e-05,0.00213635
324,0.00213727,6.27547e-05,0.00213635
326,0.00308493,0.00303075,0.000575627
328,0.00500449,0.00198,0.00459615
330,0.000918511,0.000354817,0.000847211
332,0.00552856,-0.00478726,-0.00276534
334,0.00424881,0.0036895,0.00210712
336,0.000922403,0.000895467,0.000221286
338,0.00309904,0.00282824,0.00126692
340,0.00518233,-0.0026278,-0.00446668
342,0.00518233,-0.0026278,-0.00446668
344,0.000378355,1.4794e-07,-0.000378355
346,0.00150839,0.0014957,0.000195316
348,0.003463,-0.00278499,-0.00205819
350,0.00375094,0.000829319,-0.00365811
352,0.00303679,0.00139464,0.00269761
354,0.00303679,0.00139464,0.00269761
356,0.00324609,-0.00307751,-0.00103249
358,0.00205338,-0.00202,-0.000368773
360,0.00398348,0.000833568,0.00389528
362,0.00398348,0.000833568,0.00389528
364,0.00259742,-0.000223358,-0.0025878
366,0.00437235,0.00388591,0.00200429
368,0.00274323,0.000647385,-0.00266575
370,0.00274323,0.000647385,-0.00266575
372,0.00274323,0.000647385,-0.00266575
374,0.00308259,-0.00286343,0.00114156
376,0.00589578,-0.00536453,-0.00244582
378,0.00589578,-0.00536453,-0.00244582
380,0.00221473,-0.000228638,0.0022029
382,0.00682492,-0.00680053,0.00057644
384,0.000728553,-0.00017537,-0.000707131
386,0.00677475,0.00655346,-0.00171738
388,0.00177314,0.00175962,-0.000218549
390,0.0012401,0.00114099,0.000485798
392,0.00631208,0.00367993,0.00512841
394,0.00223837,0.00198604,0.00103245
396,0.00214939,0.00214061,-0.000194168
398,0.00522924,0.00332466,0.00403628
400,0.00130335,0.000550352,0.00118146
402,0.00130335,0.000550352,0.00118146
404,0.000670613,-1.55318e-06,0.000670611
406,0.000670613,-1.55318e-06,0.000670611
408,0.000670613,-1.55318e-06,0.000670611
410,0.00472462,-0.00452132,-0.00137102
