MDTU,min_width,max_width
2,0.764744,0.153142
4,0.772361,0.207215
6,0.903,0.219381
8,0.888943,0.24223
10,1.00954,0.266969
12,0.976579,0.266299
14,0.976579,0.266299
16,0.96853,0.250968
18,0.776166,0.235449
20,0.776166,0.235449
22,0.776166,0.235449
24,0.808761,0.228385
26,0.808761,0.228385
28,0.808761,0.228385
30,0.852368,0.236469
32,0.905385,0.207123
34,0.734864,0.21502
36,0.734864,0.21502
38,0.734864,0.21502
40,0.734864,0.21502
42,0.773514,0.216456
44,0.917803,0.219334
46,0.917803,0.219334
48,0.817138,0.230106
50,0.851674,0.237922
52,0.796037,0.249022
54,0.76696,0.222096
56,0.818878,0.217351
58,0.846764,0.204281
60,0.812692,0.220546
62,0.835295,0.211185
64,0.802069,0.21322
66,0.737938,0.21398
68,0.805554,0.224944
70,0.835146,0.239728
72,0.837077,0.242446
74,0.733948,0.201757
76,0.733948,0.201757
78,0.733948,0.201757
80,0.733948,0.201757
82,0.768646,0.19962
84,0.814846,0.205309
86,0.767039,0.219023
88,0.786219,0.221621
90,0.868595,0.24637
92,0.868595,0.24637
94,0.868595,0.24637
96,0.85733,0.234362
98,0.762747,0.217845
100,0.848744,0.23803
102,0.805973,0.239283
104,0.79932,0.221261
106,0.780098,0.220312
108,0.773218,0.198623
110,0.734641,0.187162
112,0.761369,0.205331
114,0.924003,0.218422
116,0.841133,0.18944
118,0.637144,0.188099
120,0.848982,0.205163
122,0.730172,0.196547
124,0.799682,0.183076
126,0.720668,0.185891
128,0.78524,0.188286
130,0.715961,0.174706
132,0.774307,0.191945
134,0.945227,0.230959
136,0.923622,0.240602
138,1.01204,0.251916
140,0.990644,0.248263
142,0.832206,0.245463
144,0.934694,0.235119
146,0.989968,0.261489
148,0.912896,0.258229
150,0.996542,0.255833
152,0.904714,0.263741
154,0.955805,0.279514
156,0.955805,0.279514
158,1.01428,0.299515
160,1.06198,0.305681
162,1.17677,0.318089
164,1.16588,0.29438
166,1.16588,0.29438
168,1.16588,0.29438
170,0.971181,0.301243
172,1.00911,0.250454
174,0.876925,0.235633
176,0.952464,0.252832
178,0.923851,0.262983
180,0.923851,0.262983
182,0.798806,0.211357
184,0.823668,0.222772
186,0.927438,0.244726
188,0.90514,0.249249
190,0.966473,0.276734
192,0.993807,0.291014
194,0.874419,0.257532
196,0.874419,0.257532
198,0.882062,0.248161
200,0.951122,0.225341
202,0.951505,0.221821
204,0.771085,0.224967
206,0.748865,0.222062
208,0.77951,0.202331
210,0.77951,0.202331
212,0.823737,0.214053
214,0.823737,0.214053
216,0.823737,0.214053
218,0.823737,0.214053
220,0.823737,0.214053
222,0.834817,0.191845
224,0.755754,0.190855
226,0.816831,0.18527
228,0.813845,0.209666
230,0.760915,0.172234
232,0.690777,0.186238
234,0.690777,0.186238
236,0.690777,0.186238
238,0.837201,0.217476
240,0.912727,0.245586
242,0.851406,0.223295
244,0.77309,0.206481
246,0.77309,0.206481
248,0.77309,0.206481
250,0.817437,0.200394
252,0.839608,0.204935
254,0.793122,0.205476
256,0.802625,0.210838
258,0.741866,0.211789
260,0.790456,0.198893
262,0.706511,0.189245
264,0.677033,0.179083
266,0.743179,0.179773
268,0.703559,0.164581
270,0.646468,0.149524
272,0.629109,0.164047
274,0.68546,0.179551
276,0.68546,0.179551
278,0.68546,0.179551
280,0.68546,0.179551
282,0.786941,0.178215
284,0.786941,0.178215
286,0.695113,0.199911
288,0.821771,0.202163
290,0.821771,0.202163
292,0.794447,0.215766
294,0.794447,0.215766
296,0.794447,0.215766
298,0.785445,0.218695
300,0.754536,0.191801
302,0.781117,0.212302
304,0.821102,0.206929
306,0.757464,0.197627
308,0.927171,0.220954
310,0.725074,0.184745
312,0.81969,0.213403
314,0.81969,0.213403
316,0.770874,0.212237
318,0.721525,0.198057
320,0.721525,0.198057
322,0.721525,0.198057
324,0.721525,0.198057
326,0.766228,0.213454
328,0.869696,0.217115
330,0.809178,0.186745
332,0.739451,0.186925
334,0.742826,0.189341
336,0.695625,0.1925
338,0.671663,0.167251
340,0.791148,0.179357
342,0.791148,0.179357
344,0.802585,0.215551
346,0.760067,0.201782
348,0.826415,0.203423
350,0.785639,0.211828
352,0.858745,0.234213
354,0.858745,0.234213
356,0.810642,0.204099
358,0.805946,0.225255
360,0.978325,0.243676
362,0.978325,0.243676
364,0.97022,0.231189
366,0.879375,0.237559
368,0.931264,0.246822
370,0.931264,0.246822
372,0.931264,0.246822
374,0.916055,0.282724
376,1.02244,0.280097
378,1.02244,0.280097
380,0.99626,0.26914
382,0.921885,0.281034
384,1.02716,0.291468
386,1.05869,0.299081
388,1.06384,0.302068
390,1.05308,0.294075
392,1.00466,0.299653
394,1.07705,0.313173
396,1.05929,0.314788
398,1.03955,0.325898
400,1.09635,0.312183
402,1.09635,0.312183
404,1.15249,0.340139
406,1.15249,0.340139
408,1.15249,0.340139
410,1.1934,0.375667
412,1.21913,0.372645
414,1.21913,0.372645
416,1.21913,0.372645
418,1.26062,0.377331
420,1.21357,0.410955
422,1.22908,0.38409
424,1.14319,0.352458
426,1.10342,0.335755
428,1.20529,0.349859
430,1.20529,0.349859
432,1.13171,0.326431
434,1.13171,0.326431
436,1.20436,0.347991
438,1.09368,0.325139
440,1.09741,0.314364
442,0.950349,0.296742
444,0.947066,0.29597
446,1.04289,0.278355
448,1.03897,0.286228
450,1.08376,0.310392
452,0.981903,0.303142
454,1.14162,0.313432
456,1.05874,0.316503
458,0.980098,0.288953
460,0.980098,0.288953
462,0.927957,0.280368
464,1.02082,0.290472
466,1.03468,0.288794
468,0.97996,0.302187
470,0.97996,0.302187
472,0.934631,0.270367
