MDTU,link
2,0.577033
4,0.687916
6,0.690336
8,0.591496
10,0.564507
12,0.614604
14,0.614604
16,0.599283
18,0.590431
20,0.588766
22,0.593729
24,0.565373
26,0.565373
28,0.59124
30,0.547451
32,0.548229
34,0.551374
36,0.568784
38,0.568784
40,0.602316
42,0.582336
44,0.547274
46,0.530122
48,0.575288
50,0.546178
52,0.597491
54,0.578547
56,0.621959
58,0.595822
60,0.595822
62,0.544251
64,0.554264
66,0.553018
68,0.639013
70,0.589469
72,0.561529
74,0.561529
76,0.558686
78,0.59911
80,0.590025
82,0.550716
84,0.542929
86,0.549119
88,0.544407
90,0.532094
92,0.541308
94,0.541308
96,0.56502
98,0.549274
100,0.534543
102,0.544523
104,0.516542
106,0.523739
108,0.539818
110,0.502947
112,0.502947
114,0.502947
116,0.546756
118,0.546032
120,0.525649
122,0.572605
124,0.555312
126,0.574086
128,0.556644
130,0.536721
132,0.547417
134,0.559633
136,0.537948
138,0.524023
140,0.54925
142,0.551172
144,0.554163
146,0.557503
148,0.544559
150,0.537567
152,0.541698
154,0.579533
156,0.579533
158,0.56971
160,0.555489
162,0.55117
164,0.525854
166,0.538995
168,0.538995
170,0.561717
172,0.536936
174,0.558894
176,0.558894
178,0.545579
180,0.545579
182,0.550159
184,0.544207
186,0.567625
188,0.595374
190,0.595013
192,0.591821
194,0.642043
196,0.642043
198,0.640862
200,0.640862
202,0.593797
204,0.541188
206,0.519304
208,0.545429
210,0.558408
212,0.552611
214,0.525261
216,0.525261
218,0.525261
220,0.537174
222,0.535517
224,0.532463
226,0.556167
228,0.546194
230,0.542168
232,0.541466
234,0.541466
236,0.541466
238,0.556943
240,0.55099
242,0.583743
244,0.583743
246,0.583743
248,0.583743
250,0.605283
252,0.554863
254,0.560206
256,0.585373
258,0.562809
260,0.556143
262,0.54198
264,0.571174
266,0.590677
268,0.595451
270,0.59747
272,0.61666
274,0.619503
276,0.563509
278,0.563509
280,0.563509
282,0.54422
284,0.615669
286,0.6106
288,0.540477
290,0.546767
292,0.573072
294,0.573072
296,0.573072
298,0.596633
300,0.559804
302,0.600471
304,0.594594
306,0.566624
308,0.551589
310,0.544751
312,0.556809
314,0.527655
316,0.516682
318,0.553614
320,0.553614
322,0.566024
324,0.550022
326,0.551074
328,0.563591
330,0.557862
332,0.538057
334,0.538057
336,0.587537
338,0.587537
340,0.544268
342,0.59965
344,0.643076
346,0.591696
348,0.591696
350,0.584174
352,0.554399
