t,file
1,0-1000
2,0-1000
3,0-1000
4,0-1000
5,0-1000
6,0-1000
7,0-1000
8,0-1000
9,0-1000
10,0-1000
11,0-1000
12,0-1000
13,0-1000
14,0-1000
15,0-1000
16,0-1000
17,0-1000
18,0-1000
19,0-1000
20,0-1000
21,0-1000
22,0-1000
23,0-1000
24,0-1000
25,0-1000
26,0-1000
27,0-1000
28,0-1000
29,0-1000
30,0-1000
31,0-1000
32,0-1000
33,0-1000
34,0-1000
35,0-1000
36,0-1000
37,0-1000
38,0-1000
39,0-1000
40,0-1000
41,0-1000
42,0-1000
43,0-1000
44,0-1000
45,0-1000
46,0-1000
47,0-1000
48,0-1000
49,0-1000
50,0-1000
51,0-1000
52,0-1000
53,0-1000
54,0-1000
55,0-1000
56,0-1000
57,0-1000
58,0-1000
59,0-1000
60,0-1000
61,0-1000
62,0-1000
63,0-1000
64,0-1000
65,0-1000
66,0-1000
67,0-1000
68,0-1000
69,0-1000
70,0-1000
71,0-1000
72,0-1000
73,0-1000
74,0-1000
75,0-1000
76,0-1000
77,0-1000
78,0-1000
79,0-1000
80,0-1000
81,0-1000
82,0-1000
83,0-1000
84,0-1000
85,0-1000
86,0-1000
87,0-1000
88,0-1000
89,0-1000
90,0-1000
91,0-1000
92,0-1000
93,0-1000
94,0-1000
95,0-1000
96,0-1000
97,0-1000
98,0-1000
99,0-1000
100,0-1000
101,0-1000
102,0-1000
103,0-1000
104,0-1000
105,0-1000
106,0-1000
107,0-1000
108,0-1000
109,0-1000
110,0-1000
111,0-1000
112,0-1000
113,0-1000
114,0-1000
115,0-1000
116,0-1000
117,0-1000
118,0-1000
119,0-1000
120,0-1000
121,0-1000
122,0-1000
123,0-1000
124,0-1000
125,0-1000
126,0-1000
127,0-1000
128,0-1000
129,0-1000
130,0-1000
131,0-1000
132,0-1000
133,0-1000
134,0-1000
135,0-1000
136,0-1000
137,0-1000
138,0-1000
139,0-1000
140,0-1000
141,0-1000
142,0-1000
143,0-1000
144,0-1000
145,0-1000
146,0-1000
147,0-1000
148,0-1000
149,0-1000
150,0-1000
151,0-1000
