MDTU,|Tr(Lx)|
2,0.00148486
4,0.000752004
6,0.00228341
8,0.00546413
10,0.00411184
12,0.0010928
14,0.0010928
16,0.00620511
18,0.00142987
20,0.00173255
22,0.00235361
24,0.00391103
26,0.00391103
28,0.00109274
30,0.000258076
32,0.00746234
34,0.00450878
36,0.00417178
38,0.00417178
40,0.00243646
42,0.000564395
44,0.00139977
46,0.00309524
48,0.00250951
50,0.00104984
52,0.00309314
54,0.00728869
56,0.00111671
58,0.00477448
60,0.00477448
62,0.00465681
64,0.00703111
66,0.0025492
68,0.00317378
70,0.00252433
72,0.00394348
74,0.00394348
76,0.00209765
78,0.00206421
80,0.00441117
82,0.00287695
84,0.000377738
86,0.00311843
88,0.00581226
90,0.00381379
92,0.00390307
94,0.00390307
96,0.00122849
98,0.0053837
100,0.00582334
102,0.00395924
104,0.00428093
106,0.00502407
108,0.00466371
110,0.00277713
112,0.00277713
114,0.00277713
116,0.00282894
118,0.00401789
120,0.00436448
122,0.00499871
124,0.00475106
126,0.00354456
128,0.00118607
130,0.00165224
132,0.00906333
134,0.00328388
136,0.0047036
138,0.00504111
140,0.00375709
142,0.00279694
144,0.00316559
146,0.00106246
148,0.00485341
150,0.00424258
152,0.00445055
154,0.00351553
156,0.00351553
158,0.00487217
160,0.00458101
162,0.00336164
164,0.00391308
166,0.00346366
168,0.00346366
170,0.000730146
172,0.00100344
174,0.00311417
176,0.00311417
178,0.00284516
180,0.00284516
182,0.00360239
184,0.00134994
186,0.00150367
188,0.00167744
190,0.00194079
192,0.00313183
194,0.000438718
196,0.000438718
198,0.00239476
200,0.00239476
202,0.00153623
204,0.000591153
206,0.00424449
208,0.00267277
210,0.00303654
212,0.00312359
214,0.00488267
216,0.00488267
218,0.00488267
220,0.00168222
222,0.00593536
224,0.00215239
226,0.00195539
228,0.00104603
230,0.00281628
232,0.00246692
234,0.00246692
236,0.00246692
238,0.00138415
240,0.00426065
242,0.00530105
244,0.00530105
246,0.00530105
248,0.00530105
250,0.00212668
252,0.00418562
254,0.00934814
256,0.000835628
258,0.00479875
260,0.00287611
