MDTU,ssplaq,stplaq
2,0.149432,0.103058
4,0.135472,0.0903557
6,0.12529,0.0745333
8,0.0743443,0.0471061
10,0.0433215,0.034377
12,0.0738277,0.0542331
14,0.0738277,0.0542331
16,0.0673558,0.0491229
18,0.0609131,0.0491287
20,0.0632127,0.0464674
22,0.0584767,0.0471603
24,0.0542582,0.0359514
26,0.0542582,0.0359514
28,0.0722524,0.0449184
30,0.0366345,0.0334039
32,0.0486011,0.0340997
34,0.0510945,0.0395209
36,0.0603496,0.0417044
38,0.0603496,0.0417044
40,0.067444,0.0508373
42,0.0555018,0.0407316
44,0.0439153,0.0355352
46,0.0368252,0.0299712
48,0.0521861,0.0382817
50,0.04667,0.0378604
52,0.056116,0.0384199
54,0.0695352,0.0392652
56,0.0825541,0.0503013
58,0.062905,0.0454616
60,0.062905,0.0454616
62,0.053978,0.038769
64,0.0500125,0.0441557
66,0.0509238,0.0361416
68,0.0977937,0.0608983
70,0.0511944,0.0400813
72,0.0435344,0.0370446
74,0.0435344,0.0370446
76,0.0474068,0.0350229
78,0.0700502,0.0473802
80,0.0530647,0.0369926
82,0.0465262,0.0319821
84,0.0389817,0.0400465
86,0.0480921,0.031433
88,0.0467599,0.0336812
90,0.0298252,0.0274077
92,0.0453188,0.0316231
94,0.0453188,0.0316231
96,0.0475003,0.0315385
98,0.0429192,0.0260666
100,0.0329671,0.0289446
102,0.0366187,0.0351959
104,0.0361385,0.0287223
106,0.0343557,0.028054
108,0.035952,0.0344318
110,0.0417575,0.0292515
112,0.0417575,0.0292515
114,0.0417575,0.0292515
116,0.042315,0.036371
118,0.0468056,0.0330623
120,0.0343499,0.0334777
122,0.0597609,0.0391316
124,0.0430379,0.0369781
126,0.0625646,0.0455526
128,0.0426068,0.038431
130,0.042218,0.0304956
132,0.0355677,0.0346326
134,0.047785,0.0360314
136,0.039859,0.0319825
138,0.0390274,0.0252632
140,0.0517724,0.0386742
142,0.0378308,0.0298538
144,0.0404802,0.0343451
146,0.04403,0.0317931
148,0.0409068,0.031322
150,0.033151,0.0305798
152,0.0388711,0.0291786
154,0.0513446,0.0412927
156,0.0513446,0.0412927
158,0.0608308,0.0387965
160,0.0445288,0.0385369
162,0.0444659,0.036585
164,0.0338406,0.0331918
166,0.0436639,0.0270464
168,0.0436639,0.0270464
170,0.0430768,0.0305525
172,0.0401623,0.0378573
174,0.0299114,0.0257442
176,0.0299114,0.0257442
178,0.0436152,0.0311456
180,0.0436152,0.0311456
182,0.0410597,0.0311595
184,0.0384624,0.0271461
186,0.0485,0.0341586
188,0.061646,0.0440937
190,0.063797,0.0464553
192,0.0643316,0.0436997
194,0.101953,0.0609831
196,0.101953,0.0609831
198,0.101636,0.0602848
200,0.101636,0.0602848
202,0.0692779,0.0394765
204,0.0351666,0.0314662
206,0.0374501,0.0328288
208,0.0420667,0.0263779
210,0.0450454,0.0357937
212,0.0484847,0.0367365
214,0.0337004,0.024464
216,0.0337004,0.024464
218,0.0337004,0.024464
220,0.0349717,0.0334061
222,0.0396759,0.0383621
224,0.0450118,0.0351026
226,0.0504714,0.0392291
228,0.0430279,0.0348393
230,0.0395677,0.0359145
232,0.0386587,0.0374778
234,0.0386587,0.0374778
236,0.0386587,0.0374778
238,0.0391664,0.0300664
240,0.0410325,0.0327671
242,0.0513377,0.0408528
244,0.0513377,0.0408528
246,0.0513377,0.0408528
248,0.0513377,0.0408528
250,0.0533741,0.0344411
252,0.045848,0.0357604
254,0.0477824,0.0374279
256,0.0499115,0.0354005
258,0.0408673,0.0394192
260,0.0473704,0.0379845
262,0.0445632,0.0267939
264,0.049364,0.0388128
266,0.0623201,0.0438822
268,0.0557926,0.0394232
270,0.0632892,0.0486768
272,0.0670827,0.0458421
274,0.0705141,0.0479345
276,0.0564953,0.0379191
278,0.0564953,0.0379191
280,0.0564953,0.0379191
282,0.0472382,0.035606
284,0.0862495,0.0535642
286,0.0713621,0.0471557
288,0.053719,0.0393441
290,0.0487929,0.0365
292,0.0634732,0.0413082
294,0.0634732,0.0413082
296,0.0634732,0.0413082
298,0.075657,0.0444119
300,0.0572328,0.0363652
302,0.0797453,0.0495381
304,0.0746563,0.0418113
306,0.052592,0.0391579
308,0.0400844,0.0328262
310,0.0457083,0.0275143
312,0.0426757,0.0374163
314,0.0396738,0.0270864
316,0.0343912,0.0272127
318,0.0479689,0.0331919
320,0.0479689,0.0331919
322,0.054851,0.042202
324,0.037611,0.032731
326,0.0408473,0.0309283
328,0.0517806,0.0284744
330,0.0374645,0.0346626
332,0.041985,0.0296787
334,0.041985,0.0296787
336,0.0599633,0.0403067
338,0.0599633,0.0403067
340,0.0441479,0.0378254
342,0.0683457,0.0499003
344,0.0949618,0.0589578
346,0.0759813,0.0489601
348,0.0759813,0.0489601
350,0.0604568,0.0460223
352,0.0558876,0.0391476
354,0.0561809,0.0421303
356,0.057716,0.0384273
358,0.0509242,0.0384971
360,0.0509242,0.0384971
362,0.0509242,0.0384971
364,0.0509242,0.0384971
366,0.0509242,0.0384971
368,0.0938606,0.0598584
370,0.0713972,0.0482292
372,0.0713972,0.0482292
374,0.0713972,0.0482292
376,0.0713972,0.0482292
378,0.0702033,0.0472041
380,0.0604886,0.0455377
382,0.0604886,0.0455377
384,0.0499047,0.0362445
386,0.0551565,0.0398752
388,0.0624398,0.0489334
390,0.0646678,0.0549673
392,0.0626389,0.0529289
394,0.0878857,0.0541229
396,0.0798629,0.0471633
398,0.0791803,0.0517235
400,0.0791803,0.0517235
402,0.0791803,0.0517235
404,0.0769489,0.0432867
406,0.0564027,0.033253
408,0.0564027,0.033253
410,0.0715732,0.0561815
412,0.0570596,0.0521946
414,0.0450397,0.0389481
416,0.0404495,0.0338173
418,0.0355638,0.0290537
420,0.0423628,0.0309338
422,0.0582507,0.0445035
424,0.0437265,0.0322758
426,0.0470729,0.0371189
428,0.0526257,0.0404681
430,0.039715,0.0353193
432,0.0482661,0.0388365
434,0.0535916,0.0377249
436,0.0535916,0.0377249
438,0.0542016,0.0414738
440,0.0409833,0.0342291
442,0.0501894,0.0352363
444,0.0685985,0.0534171
446,0.0608053,0.0389358
448,0.0804958,0.0530388
450,0.0804958,0.0530388
452,0.0871235,0.0517477
454,0.0871235,0.0517477
456,0.0478546,0.0381841
458,0.0446644,0.0371655
460,0.0446644,0.0371655
462,0.0446644,0.0371655
464,0.0569443,0.0407028
466,0.0561294,0.0322667
468,0.0655482,0.0426632
470,0.0445437,0.0352165
472,0.0433114,0.038572
474,0.0473822,0.038978
476,0.0379204,0.0239556
478,0.0368369,0.0250826
480,0.0378472,0.0299695
482,0.041566,0.031994
484,0.0369665,0.0313575
486,0.032367,0.0262842
488,0.0546189,0.038931
490,0.0516888,0.0387423
492,0.0393437,0.0312206
494,0.0477419,0.0359155
496,0.0766957,0.0527976
498,0.0592315,0.037883
500,0.0324466,0.0306019
502,0.0467632,0.0333711
504,0.0467632,0.0333711
506,0.0561205,0.0432728
508,0.0549971,0.0461676
510,0.0757577,0.0443331
512,0.0757577,0.0443331
514,0.0757577,0.0443331
516,0.032693,0.029902
518,0.0336864,0.0273094
520,0.0378282,0.0339899
522,0.0467279,0.0350937
524,0.0467279,0.0350937
526,0.0700111,0.0490723
528,0.0700111,0.0490723
530,0.0700111,0.0490723
532,0.038981,0.0327026
534,0.040666,0.0405811
536,0.0729272,0.0442866
538,0.0786473,0.0465657
540,0.0847799,0.0538535
542,0.0676165,0.0469439
544,0.0664664,0.0469217
546,0.0664664,0.0469217
548,0.0664664,0.0469217
550,0.0626071,0.0457901
552,0.058185,0.0507679
554,0.0814357,0.0510582
556,0.0757624,0.0499526
558,0.0715371,0.0528676
560,0.0542289,0.0387424
562,0.05259,0.0407161
564,0.05259,0.0407161
566,0.05259,0.0407161
568,0.0381928,0.0347684
570,0.0463144,0.0366798
572,0.0463144,0.0366798
574,0.0494092,0.0365636
576,0.051289,0.0380792
578,0.0589989,0.0448958
580,0.0589989,0.0448958
582,0.063881,0.0422019
584,0.063881,0.0422019
586,0.063881,0.0422019
588,0.0434113,0.0335506
590,0.0680571,0.0415797
592,0.0486388,0.0348984
594,0.0596891,0.0430932
596,0.0567959,0.0397765
598,0.0608253,0.0364978
600,0.0608253,0.0364978
602,0.0410027,0.0261539
604,0.0399169,0.0344583
606,0.0399169,0.0344583
608,0.0625248,0.0446942
610,0.0595691,0.0478976
612,0.0608303,0.0474739
614,0.0697902,0.0394132
616,0.0776922,0.0503257
618,0.0458756,0.0346664
620,0.0484313,0.0314804
622,0.03199,0.0294017
624,0.0579946,0.0382908
626,0.0479996,0.0391451
628,0.0525631,0.0385574
630,0.0739856,0.0486272
632,0.0739856,0.0486272
634,0.0617308,0.0399066
636,0.0644349,0.049674
638,0.0644349,0.049674
640,0.0415263,0.0330049
642,0.0359922,0.03062
644,0.0419221,0.0309733
646,0.0351363,0.0336282
648,0.0479532,0.0324794
650,0.0666433,0.0428062
652,0.0516216,0.0400838
654,0.0724414,0.0484868
656,0.054106,0.0348101
658,0.0357649,0.0276596
660,0.040092,0.030792
662,0.0359437,0.0303451
664,0.037024,0.0296775
666,0.0440044,0.0350811
668,0.0380466,0.0274485
670,0.0443862,0.0306802
672,0.0367025,0.0292679
674,0.039289,0.029548
676,0.0453087,0.0343849
678,0.0524173,0.0311673
680,0.0632544,0.0407505
682,0.0620101,0.0419177
684,0.0633309,0.0424457
686,0.0633309,0.0424457
688,0.071936,0.0490117
690,0.0582512,0.040413
692,0.0608598,0.0413491
694,0.0845808,0.0558038
696,0.0748149,0.0507231
698,0.0748149,0.0507231
700,0.0527902,0.0444123
702,0.0527902,0.0444123
704,0.0527902,0.0444123
706,0.0515954,0.0429832
708,0.0515954,0.0429832
710,0.0515954,0.0429832
712,0.0593833,0.0447899
714,0.0510556,0.0374823
716,0.0573556,0.0440775
718,0.0418227,0.0357188
720,0.045312,0.0322097
722,0.0433252,0.0344471
724,0.0433252,0.0344471
726,0.0658457,0.0464442
728,0.0733172,0.0504568
730,0.0732896,0.0480445
732,0.0732896,0.0480445
734,0.0565138,0.0413157
736,0.0856151,0.0524259
738,0.0856151,0.0524259
740,0.039898,0.0299933
742,0.058368,0.038762
744,0.0741215,0.0423029
746,0.0497547,0.0294735
748,0.0483169,0.0329565
750,0.0542794,0.0411553
752,0.0362749,0.0310097
754,0.0417391,0.0336843
756,0.040373,0.0311537
758,0.0426546,0.0370592
760,0.0578225,0.0471098
762,0.0455341,0.0330351
764,0.0492967,0.0358269
766,0.0347271,0.0349853
768,0.0347271,0.0349853
770,0.0584117,0.0362892
772,0.0508793,0.0348274
774,0.0400515,0.0294445
776,0.0400515,0.0294445
778,0.0523548,0.0371519
780,0.0692033,0.0503727
782,0.0691884,0.0457084
784,0.0704499,0.047481
786,0.090203,0.0653208
788,0.0837326,0.0528759
790,0.0638003,0.0471295
792,0.0541436,0.0381633
794,0.0703989,0.0494346
796,0.0687061,0.0445248
798,0.0687061,0.0445248
800,0.0687061,0.0445248
802,0.0650862,0.0461611
804,0.0650862,0.0461611
806,0.0650862,0.0461611
808,0.0545754,0.0406389
810,0.0545754,0.0406389
