MDTU,|Tr(L)|,ReTr(L),ImTr(L)
2,0.002285,0.00163298,0.00159831
4,0.00405202,-0.000368759,-0.0040352
6,0.00227735,0.000866831,-0.00210593
8,0.00627067,0.00574238,0.00251921
10,0.00496626,-0.00040936,-0.00494936
12,0.00782841,0.0064296,0.00446591
14,0.00782841,0.0064296,0.00446591
16,0.00279094,0.00237659,-0.00146328
18,0.00354481,0.000978757,-0.00340701
20,0.00361352,-0.00301578,-0.00199063
22,0.00552239,0.00398786,0.00382017
24,0.00267741,-9.7045e-05,0.00267565
26,0.00267741,-9.7045e-05,0.00267565
28,0.00120655,-0.00119014,-0.000198297
30,0.0035996,-0.00359836,-9.42357e-05
32,0.00115868,-0.000995111,0.000593541
34,0.0023509,-0.001698,-0.0016259
36,0.00665543,0.00359482,0.00560106
38,0.00665543,0.00359482,0.00560106
40,0.0037225,0.0017777,0.0032706
42,0.000951548,-0.000944048,-0.000119236
44,0.00351996,-0.00340781,-0.000881471
46,0.000474705,-9.65901e-05,0.000464774
48,0.00226731,-0.00174893,0.00144289
50,0.00266247,-0.000133679,-0.00265911
52,0.00615444,-0.00013386,-0.00615298
54,0.00111003,0.00110218,0.000131775
56,0.00480667,-0.00142555,0.00459041
58,0.00318419,-0.00129828,-0.0029075
60,0.00318419,-0.00129828,-0.0029075
62,0.00607361,0.00596642,0.00113606
64,0.00219875,0.000718515,0.00207804
66,0.00533639,-0.00347431,0.00405045
68,0.00205154,-0.00135852,-0.00153728
70,0.00451324,0.00398242,-0.0021236
72,0.00786256,0.00550781,-0.00561104
74,0.00786256,0.00550781,-0.00561104
76,0.00583838,-0.00239374,0.00532511
78,0.00429049,0.00149312,-0.0040223
80,0.00297482,-0.000203471,-0.00296786
82,0.0011194,-0.00106173,-0.000354661
84,0.000767457,6.88277e-05,0.000764365
86,0.00208474,-0.00173731,0.00115235
88,0.00228131,0.00194045,0.0011996
90,0.00419933,-0.00319819,0.0027214
92,0.00236637,0.000520794,0.00230835
94,0.00236637,0.000520794,0.00230835
96,0.00301578,0.00117858,-0.00277594
98,0.00221976,-0.00126018,-0.00182737
100,0.000871171,0.00017967,0.000852442
102,0.00122377,0.00111146,0.000512126
104,0.00265371,0.000228561,0.00264384
106,0.00406052,-0.00232511,-0.00332892
108,0.00157381,-0.00156754,0.00014034
110,0.0025521,0.00131686,-0.00218612
112,0.0025521,0.00131686,-0.00218612
114,0.0025521,0.00131686,-0.00218612
116,0.000577921,0.000204163,-0.000540658
118,0.00446383,-0.00269929,0.00355522
120,0.00329307,0.00103908,-0.00312484
