MDTU,link
2,1.39413
4,1.77651
6,2.26904
8,2.11588
10,1.80708
12,1.99263
14,1.78509
16,2.0836
18,2.21782
20,2.21782
22,2.14996
24,2.04006
26,2.04006
28,2.04006
30,1.81605
32,1.64145
34,1.82576
36,1.82576
38,1.61245
40,1.61245
42,1.61245
44,1.88061
46,1.94952
48,1.63395
50,1.75111
52,1.92601
54,1.9834
56,2.20217
58,2.2286
60,2.32461
62,2.12233
64,2.12233
66,1.99617
68,2.56967
70,2.44028
72,2.10457
74,1.95203
76,2.19332
78,2.10449
80,2.10449
82,2.24166
84,2.46709
86,2.22701
88,2.27051
90,2.36913
92,2.09021
94,2.09021
96,2.10073
98,2.11953
100,2.00302
102,2.09372
104,2.27656
106,2.21842
108,2.17355
110,2.33062
112,2.33062
114,2.22184
116,2.46879
118,2.39507
120,2.46217
122,2.66086
124,2.64521
126,2.7406
128,2.63754
130,2.52781
132,2.45512
134,2.11509
136,2.15689
138,2.30609
140,2.14027
142,2.45027
144,2.55037
146,2.78306
148,2.58134
150,2.47072
152,2.59443
154,2.86494
156,3.25387
158,3.47066
160,3.3151
162,3.06981
164,2.84608
166,2.99037
168,2.99037
170,3.18699
172,3.30813
174,3.17547
176,2.93607
178,2.77075
180,2.77075
182,2.49735
184,2.4925
186,2.28
188,2.07723
190,1.73228
192,1.65348
194,1.30792
196,1.28716
198,1.12647
200,1.2741
202,1.34161
204,1.42212
206,1.48944
208,1.41662
210,1.41662
212,1.29159
214,1.34768
216,1.34768
218,1.32553
220,1.32553
222,1.24007
224,1.19009
226,1.08599
228,1.15009
230,1.15009
232,1.25295
234,1.19682
236,1.19682
238,1.19764
240,1.21956
242,1.18312
244,1.18312
246,1.16215
248,1.12326
250,1.19977
252,1.48028
254,1.45428
256,1.62725
258,1.55302
260,1.56522
262,1.3955
264,1.31109
266,1.2352
268,1.41848
270,1.6694
272,1.8034
274,2.02187
276,1.94043
278,1.94043
280,1.94043
282,1.82154
284,2.10887
286,2.24329
288,2.03379
290,2.07467
292,2.1681
294,1.79599
296,1.79599
298,2.01593
300,1.74958
302,2.02547
304,1.924
306,1.50897
308,1.60865
310,1.59549
312,1.66984
314,1.64493
316,1.5859
318,1.53226
320,1.53226
322,1.54501
324,1.59621
326,1.67578
328,1.71266
330,1.73525
332,1.74494
334,1.74494
336,1.81323
338,1.70303
340,1.68319
342,1.8404
344,2.25259
346,2.15092
348,2.15092
350,1.93487
352,1.68906
354,1.6042
356,1.43023
358,1.62482
360,1.59676
362,1.57383
364,1.70471
366,1.71622
368,1.82501
370,1.68067
372,1.80292
374,1.83297
376,1.92977
378,2.03141
380,2.07488
382,2.10039
384,2.14949
386,2.18883
388,2.10423
390,2.34482
392,2.34482
394,2.24411
396,2.14172
398,2.164
400,2.22593
402,2.14538
404,1.90716
406,2.11559
408,1.95748
410,1.95748
412,1.91923
414,1.84621
416,1.7849
418,1.96235
420,2.16156
422,2.16156
424,2.21239
426,2.39254
428,2.57254
430,2.27982
432,2.16497
434,2.05902
