t,deltaS
1,-2.536
2,-5.18
3,-2.307
4,-0.981
5,0.03181
6,-1.013
7,-0.4726
8,0.1237
9,-0.02795
10,1.213
11,-0.175
12,-0.004536
13,0.5703
14,1.127
15,0.6376
16,-1.147
17,-0.5536
18,1.58
19,0.01301
20,0.8781
21,0.5798
22,0.5189
23,-0.7235
24,-0.151
25,0.08891
26,0.9749
27,-0.5045
28,-0.06304
29,-0.2489
30,-0.3533
31,-0.1492
32,0.8697
33,0.00205
34,0.1825
35,0.04213
36,0.04108
37,0.2722
38,-0.2794
39,-0.2127
40,0.4693
41,-0.06395
42,1.157
43,0.051
44,-0.07062
45,-0.7915
46,-0.4279
47,1.122
48,0.283
49,0.6644
50,-0.1974
51,0.2842
52,-0.2493
53,-0.3407
54,0.4384
55,0.1945
56,0.3087
57,0.1906
58,0.08449
59,-0.5924
60,0.5813
61,-0.6692
62,-0.2983
63,0.6995
64,-0.9981
65,0.2359
66,0.4758
67,-0.1389
68,0.566
69,-0.07388
70,0.357
71,-0.6327
72,-0.2016
73,1.02
74,0.7583
75,-0.09006
76,-0.4574
77,0.1516
78,-0.6148
79,0.5393
80,-0.01981
81,0.4585
82,0.5425
83,-0.66
84,0.9479
85,-0.3053
86,0.06573
87,0.3266
88,-0.3384
89,0.4301
90,0.3509
91,-0.8417
92,0.03491
93,0.08716
94,0.9019
95,-0.9365
96,0.4376
97,0.03358
98,-0.1765
99,-0.009558
100,-0.07148
101,0.07128
102,0.02031
103,-0.0594
104,-0.4268
105,0.2796
106,-0.5243
107,0.1654
108,0.4245
109,0.2277
110,0.5214
111,0.6263
112,-0.8805
113,0.5851
114,0.1129
115,1.349
116,0.7551
117,-0.03907
118,0.5304
119,-1.371
120,0.554
121,-0.2456
122,0.5594
123,-0.7894
124,0.874
125,0.1601
126,0.412
127,-0.3384
128,0.0194
129,-0.5189
130,-0.0377
131,-0.5307
132,0.4062
133,-0.1087
134,0.6259
135,-0.02891
136,-0.1418
137,-0.1907
138,-0.1856
139,0.6131
140,0.918
141,0.3008
142,0.02954
143,-0.03776
144,0.4582
145,0.5558
146,-0.4325
147,-0.02129
148,0.2759
149,0.0399
150,-0.4328
151,0.2494
152,-0.3318
153,0.6106
154,-1.362
155,0.8704
156,0.6178
157,0.1381
158,0.1092
159,-1.013
160,0.8365
161,0.2353
162,-0.889
163,1.241
164,0.7927
165,-0.9618
166,-0.8599
167,0.4339
168,1.049
169,-0.4456
170,0.0444
171,0.08255
172,-0.3264
173,0.1962
174,0.9424
175,0.04788
176,0.4258
177,0.1761
178,0.05816
179,-0.7093
180,0.5159
181,0.2305
182,0.1927
183,-0.2084
184,0.04383
185,0.1278
186,-0.1961
187,0.4886
188,0.0322
189,0.6227
190,-0.4519
191,-0.1181
192,-0.5292
193,0.3616
194,0.01658
195,-0.2335
196,0.2082
197,0.3961
198,-0.5908
199,0.7826
200,-0.32
201,-0.4673
202,0.5152
203,0.2249
204,-0.4999
205,0.4007
206,0.6507
207,-0.2473
208,-0.1004
209,-0.7571
210,0.305
211,0.46
212,0.0482
213,0.2854
214,-0.448
215,-0.0656
216,-0.1203
217,-0.5503
218,0.2808
219,0.3331
220,0.5644
221,-0.423
222,0.3112
223,0.005976
224,0.06832
225,0.3388
226,-0.1552
227,-0.4074
228,0.9956
229,-0.7427
230,0.4051
231,0.1069
232,-0.6911
233,-0.2352
234,0.6692
235,0.3399
236,0.379
237,-0.5925
238,0.3375
239,0.6301
240,-1.137
241,0.3495
242,0.002226
243,-0.1346
244,0.2606
245,-0.7231
246,0.1536
247,-0.3028
248,0.4724
249,-0.7787
250,0.2624
251,-0.1762
252,0.475
253,0.04536
254,0.5988
255,0.006752
256,0.7544
257,0.03265
258,0.6113
259,-0.6657
260,-0.2248
261,-0.3947
262,1.036
263,-0.2797
264,0.4589
265,0.5275
266,0.5402
267,-0.0768
268,0.5296
269,0.5985
270,0.09969
271,0.644
272,-0.842
273,0.103
274,-0.4969
275,0.246
276,0.06506
277,0.1029
278,-0.3713
279,0.2927
280,-0.4471
281,-0.355
282,0.2424
283,-0.2366
284,-0.01679
285,0.5202
286,-0.2377
287,-0.4872
288,0.8296
289,-0.6871
290,-0.2776
291,-0.9483
292,0.08282
293,0.4401
294,0.7747
295,-0.2186
296,0.2718
297,0.3505
298,-0.1016
299,-0.2245
300,-0.2271
301,-0.2288
302,0.9061
303,-0.1209
304,0.3399
305,0.3797
306,-0.3526
307,-0.6341
308,0.7166
309,0.06598
310,-0.194
311,-0.6274
312,-0.0738
313,-0.4468
314,0.526
315,0.5682
316,-0.4984
317,0.2842
318,0.1085
319,0.8361
320,-0.3667
321,0.8722
322,-0.2221
323,0.6108
324,0.371
325,0.6637
326,0.7628
327,-0.399
328,0.05015
329,0.2878
330,0.4399
331,-1.059
332,0.3315
333,-0.2951
334,0.09638
335,-0.1175
336,-0.2757
337,0.5536
338,0.5319
339,0.7065
340,0.1804
341,-1.526
342,0.3799
343,0.711
344,-0.38
345,1.499
346,0.9198
347,0.9719
348,0.5486
349,1.046
350,0.09092
351,0.09114
352,-0.3449
353,-0.1304
354,-0.2617
355,-0.4028
356,0.8181
357,0.02707
358,0.08436
359,-0.1618
360,-0.2496
361,0.2499
362,-0.7364
363,0.05843
364,0.4571
365,-0.1728
366,0.1887
367,-0.1817
368,0.498
369,-0.4047
370,0.4323
371,-0.2762
372,-0.03275
373,1.1
374,-0.3591
375,-0.2417
376,-0.2674
377,0.5858
378,-0.001364
379,-0.255
380,0.4951
381,0.1595
382,-0.2521
383,-0.4445
384,0.0109
385,0.2096
386,-0.4547
387,0.8649
388,-0.09762
389,1.435
390,-0.731
391,0.2365
392,0.527
393,-0.2911
394,0.08724
395,-0.8473
396,0.2604
397,0.5584
398,0.2013
399,0.5974
400,-0.6096
401,1.205
402,0.2559
403,-0.1685
404,-0.5452
405,0.241
406,0.5671
407,-0.2854
408,0.5766
409,-0.03758
410,0.2489
411,0.3312
412,-0.2589
413,0.6414
414,-0.4885
415,-0.3304
416,1.157
417,0.3164
418,-0.3352
419,0.2504
420,-0.5756
421,0.3948
422,0.878
423,0.2541
424,-0.3366
425,0.898
426,0.7071
427,0.432
428,-0.07096
429,-0.05353
430,0.2986
431,-0.8205
432,0.0116
433,-0.6609
434,-0.1623
435,-0.2161
436,-0.2803
437,-0.1328
438,0.6395
439,-0.324
440,0.9265
441,0.5524
442,0.01863
443,0.5321
444,0.399
445,0.2865
446,-0.3306
447,0.09531
448,-0.6899
449,-0.05561
450,0.2594
451,-0.1607
452,0.3419
453,0.07125
454,0.29
455,0.3913
456,-0.1858
457,0.2143
458,0.02374
459,-0.8887
460,-0.6137
461,1.085
462,0.7618
463,0.8082
464,-0.01887
465,-0.6882
466,0.4121
467,0.3384
468,-0.5656
469,1.153
470,0.6276
471,0.5461
472,0.04427
473,0.6926
474,0.01034
475,-0.3323
476,-0.3864
477,1.145
478,0.3349
479,-0.4884
480,0.1397
481,-0.701
482,0.7895
483,-0.3984
484,-0.07729
485,0.3188
486,-0.6303
487,1.84
488,-1.052
489,-0.2475
490,-0.531
491,-0.4066
492,0.5332
493,0.6498
494,-0.2806
495,0.5173
496,-0.01149
497,0.1829
498,0.05064
499,-0.07407
500,0.1168
501,0.09196
502,0.6547
503,0.02817
504,1.004
505,0.3818
506,-0.3747
507,-0.6935
508,0.6639
509,0.01002
510,0.1967
511,-0.007643
512,-0.601
513,0.6015
514,0.4809
515,0.2795
516,-0.7661
517,0.2249
518,0.5814
519,0.08533
520,-0.3216
521,0.1951
522,0.8614
523,0.08229
524,-0.6035
525,0.3078
526,0.8334
527,-0.8302
528,0.4714
529,-0.0528
530,1.465
531,0.651
532,1.254
533,0.3799
534,-0.4851
535,0.3381
536,0.6379
537,0.4564
538,0.2628
539,-0.6636
540,0.3694
541,-0.5517
542,0.9168
543,0.5313
544,0.7196
545,0.6575
546,-0.6042
547,-0.2281
548,0.235
549,0.2316
550,-0.6255
551,0.1608
552,0.6205
553,0.1725
554,0.2208
555,-0.2632
556,0.009308
557,-0.7586
558,-0.03076
559,0.5151
