MDTU,|det-1|^2,1-Re(det),Im(det)
2,1,1,7.56327e-10
4,1,1,-3.87059e-10
6,1,1,-3.1278e-10
8,1,1,2.14756e-10
10,1,1,7.87951e-10
12,1,1,-1.94736e-09
14,1,1,-4.99764e-09
16,1,1,1.64664e-10
18,1,1,1.68695e-09
20,1,1,1.68695e-09
22,1,1,8.67922e-11
24,1,1,9.60822e-10
26,1,1,9.60822e-10
28,1,1,9.60822e-10
30,1,1,-2.33819e-09
32,1,1,-1.93177e-09
34,1,1,-3.72709e-09
36,1,1,-3.72709e-09
38,1,1,2.03044e-09
40,1,1,2.03044e-09
42,1,1,2.03044e-09
44,1,1,-2.59999e-09
46,1,1,-2.91374e-10
48,1,1,8.58835e-10
50,1,1,3.82158e-10
52,1,1,-5.21818e-10
54,1,1,-1.78532e-09
56,1,1,-9.02015e-11
58,1,1,3.477e-10
60,1,1,-1.33348e-11
62,1,1,1.45567e-09
64,1,1,1.45567e-09
66,1,1,-2.13173e-09
68,1,1,-2.85068e-09
70,1,1,1.58515e-09
72,1,1,6.3675e-10
74,1,1,3.62033e-09
76,1,1,-2.97105e-09
78,1,1,-7.72688e-10
80,1,1,-7.72688e-10
82,1,1,-1.47258e-09
84,1,1,-4.62608e-10
86,1,1,-2.71583e-10
88,1,1,-2.65528e-09
90,1,1,-3.43681e-09
92,1,1,2.97408e-11
94,1,1,2.97408e-11
96,1,1,-1.57292e-09
98,1,1,2.06228e-10
100,1,1,-1.12302e-09
102,1,1,-1.94565e-09
104,1,1,-2.56371e-10
106,1,1,-1.2799e-09
108,1,1,-9.3841e-10
110,1,1,-9.16137e-10
112,1,1,-9.16137e-10
114,1,1,8.53301e-10
116,1,1,-2.8862e-09
118,1,1,7.2736e-10
120,1,1,4.0351e-10
122,1,1,1.85523e-09
124,1,1,1.13653e-09
126,1,1,1.90231e-09
128,1,1,-1.67119e-09
130,1,1,-9.90796e-10
132,1,1,-5.19295e-10
134,1,1,3.62197e-10
136,1,1,4.76426e-10
138,1,1,-1.2573e-10
140,1,1,9.92286e-10
142,1,1,-3.90572e-10
144,1,1,-1.69884e-09
146,1,1,-3.96752e-10
148,1,1,-7.84923e-10
150,1,1,7.64375e-10
152,1,1,9.80947e-10
154,1,1,-3.89882e-09
156,1,1,-7.79491e-10
158,1,1,-4.42487e-09
160,1,1,-3.34628e-10
162,1,1,1.03334e-09
164,1,1,-8.79935e-10
166,1,1,-2.02614e-10
168,1,1,-2.02614e-10
170,1,1,-2.17476e-09
172,1,1,-1.86213e-09
174,1,1,-1.5468e-10
176,1,1,-2.38435e-09
178,1,1,2.53687e-09
180,1,1,2.53687e-09
182,1,1,-2.06066e-09
184,1,1,-2.52685e-10
186,1,1,-6.94371e-10
188,1,1,-3.47034e-10
190,1,1,-1.04553e-09
192,1,1,-3.48909e-10
194,1,1,-9.55689e-10
196,1,1,6.90271e-10
198,1,1,4.75565e-10
200,1,1,6.66825e-09
202,1,1,-6.57217e-11
204,1,1,4.32833e-10
206,1,1,-5.83911e-11
208,1,1,-9.84241e-10
210,1,1,-9.84241e-10
212,1,1,7.01856e-10
214,1,1,8.70581e-10
216,1,1,8.70581e-10
218,1,1,1.56321e-11
220,1,1,1.56321e-11
