MDTU,energy
2,1.70811
4,1.52915
6,1.42569
8,1.39014
10,1.40967
12,1.32128
14,1.3461
16,1.36715
18,1.39725
20,1.39725
22,1.35333
24,1.34234
26,1.34234
28,1.34234
30,1.43247
32,1.38959
34,1.30711
36,1.30711
38,1.33802
40,1.33802
42,1.33802
44,1.39524
46,1.34103
48,1.38732
50,1.33292
52,1.39918
54,1.33459
56,1.37303
58,1.33725
60,1.33281
62,1.39163
64,1.39163
66,1.3453
68,1.34631
70,1.37512
72,1.34129
74,1.35835
76,1.32124
78,1.33209
80,1.33209
82,1.39083
84,1.38789
86,1.35116
88,1.36897
90,1.33415
92,1.32855
94,1.32855
96,1.33842
98,1.36365
100,1.39321
102,1.36149
104,1.35333
106,1.32889
108,1.3487
110,1.32739
112,1.32739
114,1.33177
116,1.33958
118,1.36555
120,1.40871
122,1.35478
124,1.31952
126,1.39099
128,1.38833
130,1.39648
132,1.39555
134,1.36318
136,1.37814
138,1.39792
140,1.40311
142,1.28621
144,1.30898
146,1.3424
148,1.38671
150,1.34281
152,1.32628
154,1.36886
156,1.34632
158,1.37392
160,1.33284
162,1.35264
164,1.44874
166,1.41179
168,1.41179
170,1.36494
172,1.36716
174,1.42489
176,1.37071
178,1.37871
180,1.37871
182,1.33477
184,1.37838
186,1.37675
188,1.4334
190,1.39387
192,1.37138
194,1.38131
196,1.39061
198,1.33304
200,1.36704
202,1.39251
204,1.34682
206,1.4077
208,1.39196
210,1.39196
212,1.28522
214,1.3021
216,1.3021
218,1.36234
220,1.36234
222,1.3622
224,1.31042
226,1.35609
228,1.35226
230,1.35226
232,1.36655
234,1.38439
236,1.38439
238,1.33889
240,1.37844
242,1.30776
244,1.30776
246,1.32638
248,1.36053
250,1.30628
252,1.36818
254,1.39878
256,1.35363
258,1.34359
260,1.39742
262,1.35071
264,1.367
266,1.31007
268,1.3742
270,1.36423
272,1.41772
274,1.35409
276,1.36731
278,1.36731
280,1.36731
282,1.36311
284,1.37663
286,1.34381
288,1.37757
290,1.41548
292,1.3391
294,1.37282
296,1.37282
298,1.33958
300,1.35995
302,1.35431
304,1.37987
306,1.33924
308,1.28779
310,1.33513
312,1.33608
314,1.36734
316,1.34296
318,1.35518
320,1.35518
322,1.28493
324,1.28597
326,1.38502
328,1.36019
330,1.39156
332,1.33626
334,1.33626
336,1.34371
338,1.34861
340,1.36785
342,1.36338
344,1.34798
346,1.42745
348,1.42745
350,1.31014
352,1.37666
354,1.40053
356,1.38075
358,1.31877
360,1.38162
362,1.3529
364,1.37305
366,1.39911
368,1.33406
370,1.38438
372,1.35303
374,1.35962
376,1.34704
378,1.41082
380,1.35461
382,1.40355
384,1.38547
386,1.40412
388,1.29086
390,1.32922
392,1.32922
394,1.40355
396,1.35335
398,1.36316
400,1.347
402,1.39411
404,1.36045
406,1.35258
408,1.37534
410,1.37534
412,1.38544
414,1.34463
416,1.39253
418,1.30113
420,1.29252
422,1.29252
424,1.44538
426,1.36121
428,1.3572
430,1.34435
432,1.29467
434,1.29827
436,1.33468
438,1.32015
440,1.38192
442,1.3551
444,1.3551
446,1.35254
448,1.36911
450,1.35651
452,1.38821
454,1.35217
456,1.3546
458,1.31319
460,1.31319
462,1.37703
464,1.31425
466,1.35714
468,1.3757
470,1.3978
472,1.41609
474,1.36226
476,1.3688
478,1.3688
480,1.36095
482,1.36095
484,1.35239
486,1.341
488,1.39521
490,1.39436
492,1.40434
494,1.3678
496,1.3678
