t,e^(-dS)
1,12.6291
2,177.683
3,10.0442
4,2.66712
5,0.968691
6,2.75385
7,1.60416
8,0.883645
9,1.02834
10,0.297304
11,1.19125
12,1.00455
13,0.565356
14,0.324004
15,0.528559
16,3.14873
17,1.7395
18,0.205975
19,0.987074
20,0.415572
21,0.56001
22,0.595175
23,2.06164
24,1.163
25,0.914928
26,0.37723
27,1.65616
28,1.06507
29,1.28261
30,1.42376
31,1.16091
32,0.419077
33,0.997952
34,0.833185
35,0.958745
36,0.959752
37,0.761702
38,1.32234
39,1.23701
40,0.62544
41,1.06604
42,0.314428
43,0.950279
44,1.07317
45,2.2067
46,1.53403
47,0.325628
48,0.75352
49,0.514582
50,1.21823
51,0.752616
52,1.28313
53,1.40593
54,0.645068
55,0.823246
56,0.734401
57,0.826463
58,0.918981
59,1.80832
60,0.559171
61,1.95267
62,1.34757
63,0.496834
64,2.71312
65,0.78986
66,0.621388
67,1.14901
68,0.567792
69,1.07668
70,0.699772
71,1.88269
72,1.22336
73,0.360595
74,0.468462
75,1.09424
76,1.57996
77,0.859332
78,1.84929
79,0.583156
80,1.02001
81,0.632231
82,0.581293
83,1.93479
84,0.387554
85,1.35703
86,0.936384
87,0.721372
88,1.4027
89,0.650444
90,0.704054
91,2.32031
92,0.965692
93,0.91653
94,0.405798
95,2.55104
96,0.645584
97,0.966978
98,1.19303
99,1.0096
100,1.0741
101,0.931201
102,0.979895
103,1.0612
104,1.53235
105,0.756086
106,1.68928
107,0.847555
108,0.654097
109,0.796363
110,0.593689
111,0.534566
112,2.41211
113,0.55705
114,0.89324
115,0.2595
116,0.469964
117,1.03984
118,0.58837
119,3.93929
120,0.574647
121,1.27839
122,0.571552
123,2.20207
124,0.417279
125,0.852059
126,0.662324
127,1.4027
128,0.980787
129,1.68018
130,1.03842
131,1.70012
132,0.666177
133,1.11483
134,0.53478
135,1.02933
136,1.15235
137,1.2101
138,1.20394
139,0.541669
140,0.399317
141,0.740226
142,0.970892
143,1.03848
144,0.632421
145,0.573613
146,1.54111
147,1.02152
148,0.758889
149,0.960886
150,1.54157
151,0.779268
152,1.39347
153,0.543025
154,3.90399
155,0.418784
156,0.539129
157,0.871012
158,0.896551
159,2.75385
160,0.433224
161,0.790334
162,2.4327
163,0.289095
164,0.452621
165,2.6164
166,2.36292
167,0.647977
168,0.350288
169,1.56143
170,0.956571
171,0.920765
172,1.38597
173,0.821848
174,0.389691
175,0.953248
