MDTU,|Tr(Lx)|
2,0.00358162
4,0.00371809
6,0.000967267
8,0.00478811
10,0.0036173
12,0.00453392
14,0.00421398
16,0.00343502
18,0.00116364
20,0.00116364
22,0.00482632
24,0.00583539
26,0.00583539
28,0.00583539
30,0.00219274
32,0.00273457
34,0.00352048
36,0.00352048
38,0.00346279
40,0.00346279
42,0.00346279
44,0.0020619
46,0.00285374
48,0.00235308
50,0.00132037
52,0.00216871
54,0.00299998
56,0.00334313
58,0.00118934
60,0.00312067
62,0.0038147
64,0.0038147
66,0.000802073
68,0.00278939
70,0.00176111
72,0.0032489
74,0.00677363
76,0.00366416
78,0.00107023
80,0.00107023
82,0.00424458
84,0.00131123
86,0.00171458
88,0.00362197
90,0.00206906
92,0.00224321
94,0.00224321
96,0.00250543
98,0.0040175
100,0.00223583
102,0.00322059
104,0.00766629
106,0.00217454
108,0.00109734
110,0.00390565
112,0.00390565
114,0.00328161
116,0.00321856
118,0.00138695
120,0.00137174
122,0.00159052
124,0.00297877
126,0.00432829
128,0.00195053
130,0.000899499
132,0.000596443
134,0.00287636
136,0.00248068
138,0.00194784
140,0.00378147
142,0.00714645
144,0.00194129
146,0.00260504
148,0.00153852
150,0.00209731
152,0.00215551
154,0.007266
156,0.00179629
158,0.000868246
160,0.00379679
162,0.00489886
164,0.00166115
166,0.00170083
168,0.00170083
170,0.00462484
172,0.00245452
174,0.00296285
176,0.00260518
178,0.00043519
180,0.00043519
182,0.00169486
184,0.00190391
186,0.000842747
188,0.00113806
190,0.00168865
192,0.00382593
194,0.00239641
196,0.0010512
198,0.00926656
200,0.00970898
202,0.00196064
204,0.0059428
206,0.00259415
208,0.00613241
210,0.00613241
212,0.00284459
214,0.000339442
216,0.000339442
218,0.000214392
220,0.000214392
222,0.00215096
224,0.00542911
226,0.00171529
228,0.00475747
230,0.00475747
232,0.00139345
234,0.000314376
236,0.000314376
238,0.00367389
240,0.00201589
242,0.00213294
244,0.00213294
246,0.00338318
248,0.00129413
250,0.00133617
252,0.00514521
254,0.000827485
256,0.00381331
258,0.00348003
260,0.00409445
262,0.00407493
264,0.00277187
266,0.00334149
268,0.00109434
270,0.00437509
272,0.000505115
274,0.00377474
276,0.00169025
278,0.00169025
280,0.00169025
282,0.00615613
284,0.000970386
286,0.00448229
288,0.00183335
290,0.00202283
292,0.0022182
294,0.00291095
296,0.00291095
298,0.000364628
300,0.0023148
302,0.00224004
304,0.00414775
306,0.00736256
308,0.00162492
310,0.00154015
312,0.00301975
314,0.00193679
316,0.00113732
318,0.00502557
320,0.00502557
322,0.00338225
324,0.00211307
326,0.0047577
328,0.000938185
330,0.00141964
332,0.00295482
334,0.00295482
336,0.00164392
338,0.00450126
340,0.0018598
342,0.00221977
344,0.000801834
346,0.00100278
348,0.00100278
350,0.00186919
352,0.0036771
354,0.00507631
356,0.003872
358,0.00365482
360,0.00176565
362,0.00429939
364,0.00139463
366,0.00283709
368,0.00649443
370,0.00252446
372,0.00321793
374,0.00168342
376,0.00333398
378,0.00147083
380,0.00466831
382,0.00202121
384,0.00166245
386,0.00274719
388,0.00414351
390,0.00617895
392,0.00617895
394,0.00365333
396,0.00203808
398,0.00433952
400,0.00398138
402,0.00398892
404,0.00522216
406,0.00420306
408,0.0040785
410,0.0040785
412,0.00134749
414,0.00255428
416,0.00509291
418,0.00285325
420,0.00104528
422,0.00104528
424,0.00357654
426,0.00536707
428,0.0051437
430,0.00810604
432,0.00067732
434,0.00315694
436,0.0026378
438,0.00182632
440,0.00207982
442,0.0011062
444,0.0011062
446,0.00583869
448,0.00433125
450,0.00563282
452,0.00140174
454,0.0047423
456,0.00566522
458,0.0060609
460,0.0060609
462,0.0013826
464,0.00163312
466,0.00730253
468,0.00150625
470,0.0057312
472,0.00315307
474,0.00261422
476,0.000470867
478,0.000470867
480,0.00402803
482,0.00402803
484,0.000742868
486,0.00199267
488,0.00185802
490,0.00174218
492,8.12627e-05
494,0.00275192
496,0.00275192
498,0.00403264
500,0.0027919
502,0.00328713
504,0.00328713
506,0.00183445
508,0.00181552
510,0.00361239
512,0.00361239
514,0.00127043
516,0.000393233
518,0.000817877
520,0.00231556
