ReTr(L),ImTr(L)
0.00227347,-0.00401921
0.0027732,0.00110183
0.00269629,-9.73468e-05
0.0033851,-0.00386499
0.00165163,-0.000214861
-0.00233781,-0.000137473
0.00202772,8.16397e-05
-0.000365866,0.00215181
0.000728122,-0.00172459
0.000728122,-0.00172459
0.00412654,-0.00105539
-0.000674267,0.00128333
-0.000674267,0.00128333
-0.000674267,0.00128333
-0.00173265,-0.00160382
0.00123782,0.000206109
0.000969681,0.00379784
0.000969681,0.00379784
0.00043249,-0.00456394
0.00043249,-0.00456394
0.00043249,-0.00456394
-0.00485127,0.00115521
0.000460534,-0.000797025
-0.000197565,-0.000722144
-0.00132493,0.00270558
0.00225461,0.00165484
-0.00108261,-0.00124161
0.000511319,0.00025436
0.00318718,0.000172753
0.00268179,0.00160139
0.000675824,-7.48485e-05
0.000675824,-7.48485e-05
-0.000259708,-0.00105608
-0.00083239,-0.000191887
2.94545e-05,-0.000619148
-0.00178212,0.000744401
-0.00236541,0.000943183
-0.00156783,-0.00134509
-0.00218078,0.000356996
-0.00218078,0.000356996
0.00469922,0.00133454
-0.0026234,-0.00121818
-0.000974994,0.000607991
-0.00361456,0.000842445
0.000132776,0.000744106
-0.00126082,0.00231144
-0.00126082,0.00231144
-0.000181604,5.8534e-05
0.00069344,0.00031459
0.00119479,-0.00058311
-0.00252729,-0.00276355
-3.49354e-05,0.00203504
0.00256093,-0.00203608
-0.0038234,0.000867175
0.00327389,0.00163132
0.00327389,0.00163132
0.000155888,0.00147572
-0.00019189,0.00107349
0.00145448,-0.00154145
0.000535089,0.000535659
-0.000920067,-0.00278396
-0.00413784,-0.00475595
-0.0030868,-0.00120696
-0.00328339,-0.000133994
6.80244e-05,2.94009e-05
0.00240532,-0.0011358
-0.00252512,0.000591391
-0.000688699,0.00195434
0.00204173,0.00244204
0.000465209,0.00234022
0.00164223,-0.000493766
-0.00334499,-0.00550007
0.000395185,-0.00107429
0.00118604,0.000623899
0.000725333,0.00157113
0.00190546,-0.0018305
0.000843893,-0.000137506
-0.00105537,0.000447243
-0.000810117,7.9595e-05
0.000720083,-0.00168385
-0.00115389,-0.00188574
0.000363702,-0.000239821
-0.00241562,-0.000381788
-0.00241562,-0.000381788
0.0035393,0.000714467
0.00119222,-0.000415728
0.00147889,-0.000383009
0.00216887,-0.00510722
0.000886864,0.00160712
0.000886864,0.00160712
-0.00196562,0.00138381
0.00239913,0.00101826
0.000556061,-0.00490161
0.00224285,0.00242571
0.00190559,-0.00139606
0.000155823,0.000366643
-0.00354985,-0.000483112
0.000485157,0.000911719
-0.00280066,-0.00149813
0.00374831,0.000563592
0.00182465,-0.00313186
0.00077923,-0.000411894
0.000263443,0.000971556
-0.00299587,0.00264492
-0.00299587,0.00264492
