MDTU,|Tr(L)|,ReTr(L),ImTr(L)
2,0.0306296,-0.029711,-0.00744522
4,0.062512,0.00483968,0.0623243
6,0.0603895,0.052269,-0.0302463
8,0.0808967,0.0206667,-0.0782123
10,0.0783131,-0.074778,-0.0232635
12,0.0760331,0.033884,-0.0680655
14,0.0920643,0.0641282,-0.0660562
16,0.0320946,0.0125445,-0.0295415
18,0.0804942,0.0764412,0.0252202
20,0.0804942,0.0764412,0.0252202
22,0.0397826,0.0397633,-0.00123667
24,0.0532818,-0.0126482,-0.0517588
26,0.0532818,-0.0126482,-0.0517588
28,0.0532818,-0.0126482,-0.0517588
30,0.0153382,-0.0136711,-0.0069541
32,0.0363174,-0.0316823,-0.0177533
34,0.0357988,0.027847,-0.0224967
36,0.0357988,0.027847,-0.0224967
38,0.0274541,-0.0120124,0.0246867
40,0.0274541,-0.0120124,0.0246867
42,0.0274541,-0.0120124,0.0246867
44,0.0547468,-0.0545602,-0.00451697
46,0.0388126,0.0366573,-0.0127536
48,0.00794332,-0.0043691,0.0066338
50,0.0346284,0.0297582,0.0177082
52,0.0097421,0.00534828,0.00814275
54,0.0792605,-0.00944132,-0.0786962
56,0.0665015,-0.0529083,0.0402885
58,0.0267682,-0.0166895,-0.0209283
60,0.0212662,0.0187397,0.0100538
62,0.105835,-0.00174247,-0.105821
64,0.105835,-0.00174247,-0.105821
66,0.0469483,-0.0455658,0.0113093
68,0.0236726,-0.0236638,-0.000644002
70,0.0406269,0.0405022,0.00318075
72,0.063575,0.0381745,0.0508378
74,0.0511077,-0.033131,0.0389145
76,0.072157,0.00453865,-0.0720142
78,0.119994,0.116441,0.0289813
80,0.119994,0.116441,0.0289813
82,0.0630442,-0.0166628,0.0608023
84,0.0363893,0.00818773,-0.0354562
86,0.0288031,-0.0279628,-0.00690622
88,0.0834395,0.0808538,0.0206108
90,0.107276,-0.0965777,0.0466995
92,0.0477246,-0.031466,-0.0358822
94,0.0477246,-0.031466,-0.0358822
96,0.028785,0.0162824,0.0237373
98,0.0679104,-0.00462585,-0.0677527
100,0.0329667,-0.031464,0.00983957
102,0.048959,-0.0418923,0.025338
104,0.0137031,-0.0136129,0.0015701
106,0.0266683,0.00787045,-0.0254805
108,0.0666445,0.0547097,0.0380572
110,0.0935829,0.0933705,-0.00630218
112,0.0935829,0.0933705,-0.00630218
114,0.0724418,-0.0213432,0.0692263
116,0.0272843,-0.0248825,-0.0111934
118,0.00705067,-0.00116908,-0.00695307
120,0.0341051,-0.0184648,-0.0286742
122,0.0207328,0.015299,0.0139925
124,0.0556379,-0.0154275,-0.0534562
126,0.0893334,-0.0366813,-0.0814552
128,0.0613483,-0.0539067,0.0292862
130,0.0676068,-0.0343057,0.0582563
132,0.0972588,0.0926773,-0.029499
134,0.0879631,-0.0325338,0.0817255
136,0.0260195,0.0196583,0.017046
138,0.0551868,0.0243388,0.0495298
140,0.0515366,0.0366422,-0.0362405
142,0.043142,0.0190992,0.038684
144,0.0948364,0.0944353,0.0087122
146,0.0676705,-0.0350668,-0.0578758
148,0.0934844,0.0931575,-0.00781112
150,0.039565,-0.0379057,-0.0113381
152,0.0775364,0.04034,-0.0662162
154,0.00533393,-0.00458718,-0.00272187
156,0.0638325,0.001,0.0638247
158,0.0106758,0.00432485,-0.00976058
160,0.0648774,0.0544062,0.0353418
162,0.0673922,0.0436063,0.0513828
164,0.0848244,-0.0261617,-0.0806892
166,0.0883475,-0.0083814,-0.087949
168,0.0883475,-0.0083814,-0.087949
170,0.0317309,0.0232352,0.0216097
172,0.0245535,0.0208093,-0.0130324
174,0.0779173,-0.0306443,-0.0716382
176,0.0440598,0.028766,-0.0333733
178,0.0862197,0.0404607,-0.0761365
180,0.0862197,0.0404607,-0.0761365
182,0.101904,-0.0896143,0.0485157
184,0.064435,0.0168562,0.0621912
186,0.0646659,0.0482812,0.0430187
188,0.0593278,0.0528277,-0.0270005
190,0.0527478,0.0302215,-0.0432318
192,0.0590017,0.01744,0.0563653
194,0.0124349,0.00268663,0.0121412
196,0.109014,0.000920908,0.10901
198,0.00520663,0.00294827,-0.00429147
200,0.0421557,0.038293,-0.017628
202,0.0206702,-0.020292,-0.00393588
204,0.0584745,-0.030517,0.0498797
206,0.0156456,-0.0142187,0.00652795
208,0.0531764,-0.0470925,-0.0246987
210,0.0531764,-0.0470925,-0.0246987
212,0.0695863,-0.056781,0.0402265
214,0.0541746,-0.0495428,0.0219178
216,0.0541746,-0.0495428,0.0219178
218,0.034712,-0.0343932,-0.00469375
220,0.034712,-0.0343932,-0.00469375
222,0.0333989,-0.0106704,-0.0316485
224,0.066407,0.0252212,0.0614312
226,0.0871391,-0.00247172,-0.087104
228,0.0347588,0.0293682,-0.0185927
230,0.0347588,0.0293682,-0.0185927
232,0.0252797,0.0211612,0.01383
234,0.0688024,-0.068126,0.00962368
236,0.0688024,-0.068126,0.00962368
238,0.0623082,0.0524912,-0.0335707
240,0.0606933,-0.0313965,0.0519417
242,0.0510419,0.0507607,-0.00535065
244,0.0510419,0.0507607,-0.00535065
246,0.0633197,-0.0379463,0.0506898
248,0.0824505,-0.00693638,-0.0821582
250,0.118763,-0.108472,0.0483572
252,0.0607242,0.00622172,-0.0604047
254,0.0577302,-0.057164,0.0080658
256,0.0364152,-0.0287425,0.0223592
258,0.0453767,0.0431683,0.0139835
260,0.0556201,-0.0552118,-0.00672657
262,0.0476827,-0.00900442,0.0468248
264,0.032048,0.0145636,-0.0285478
266,0.0405354,0.0237717,0.0328333
268,0.0747729,0.0279952,-0.0693343
270,0.0409597,-0.00998155,0.0397248
272,0.0851918,-0.0776783,0.0349817
274,0.0455319,0.0393245,0.0229508
276,0.0308291,0.0027317,0.0307078
278,0.0308291,0.0027317,0.0307078
280,0.0308291,0.0027317,0.0307078
282,0.00875592,0.00726625,-0.00488547
284,0.111625,0.0913232,-0.0641883
286,0.0919589,-0.0440567,-0.0807183
288,0.0430892,0.00500252,-0.0427978
290,0.0175943,0.0163145,-0.00658772
292,0.011912,-0.00486268,0.0108743
294,0.0188948,0.0135496,-0.013169
296,0.0188948,0.0135496,-0.013169
298,0.0541248,0.040801,-0.0355637
300,0.0599928,-0.0597373,-0.00553053
302,0.0592442,-0.0589117,-0.00626823
304,0.0607212,-0.00105455,0.060712
306,0.084235,-0.0842255,-0.00126252
308,0.0263144,0.0169568,-0.0201225
310,0.0131542,-0.0120898,0.00518375
312,0.0873678,0.0718485,-0.0497083
314,0.0430417,-0.0361225,-0.0234042
316,0.0886866,0.02081,0.0862105
318,0.0196077,0.0170218,-0.0097324
320,0.0196077,0.0170218,-0.0097324
322,0.0741401,-0.0642995,-0.0369098
324,0.0859314,-0.0781957,-0.0356322
326,0.052762,0.00497447,0.052527
328,0.0153593,0.0108084,-0.0109127
330,0.0489102,-0.0414608,-0.0259462
332,0.0391354,-0.0368355,-0.0132183
334,0.0391354,-0.0368355,-0.0132183
336,0.0747263,-0.0209795,-0.0717208
338,0.0529041,-0.0508527,0.0145893
340,0.0241463,-0.0164437,-0.0176818
342,0.0790588,0.078346,-0.0105922
344,0.0417814,0.0269373,-0.0319385
346,0.0107203,0.00198983,0.0105341
348,0.0107203,0.00198983,0.0105341
350,0.133822,-0.079917,-0.107339
352,0.0716108,-0.0278595,-0.0659693
354,0.0584598,0.048204,0.0330745
356,0.0639186,0.0135238,-0.0624715
358,0.0467879,0.0465553,-0.00465935
360,0.0435271,0.000779183,0.0435202
362,0.0137647,0.00235912,-0.013561
364,0.0432771,0.0394327,0.0178317
366,0.0842303,-0.0633023,-0.0555658
368,0.0778136,0.0162668,-0.0760943
370,0.054555,0.0163499,0.0520473
372,0.0689588,-0.0558292,-0.0404773
374,0.0307444,0.0105154,0.0288902
376,0.0328443,-0.0299572,0.0134654
378,0.0209487,0.0199248,0.00646905
380,0.0825792,-0.00208565,0.0825528
382,0.0547345,-0.0350893,-0.0420072
384,0.0631607,-0.0621822,0.0110748
386,0.0422101,-0.0191992,-0.037591
388,0.116427,0.0898108,0.0740893
390,0.0937043,-0.0516012,0.0782165
392,0.0937043,-0.0516012,0.0782165
394,0.0513187,0.0263343,-0.0440467
396,0.0845424,-0.0480313,0.069573
398,0.0886211,-0.0806573,0.0367165
400,0.0563459,0.00498953,-0.0561245
402,0.0560787,0.0235447,0.0508967
404,0.0802861,-0.0066909,-0.0800068
406,0.0551314,-0.0524938,-0.0168485
408,0.0302304,0.0199377,-0.0227237
410,0.0302304,0.0199377,-0.0227237
412,0.0589201,0.0504987,-0.0303557
414,0.0835016,0.0834235,0.0036111
416,0.0285402,0.028503,-0.00145593
418,0.0763555,-0.00225182,0.0763223
420,0.0760127,-0.0498602,0.057375
422,0.0760127,-0.0498602,0.057375
424,0.0143959,0.0138695,0.00385712
426,0.0496675,0.034846,-0.0353923
428,0.0535508,-0.036109,-0.0395453
430,0.0575022,0.0503502,-0.0277733
432,0.0067412,-0.00375375,-0.00559938
434,0.0743006,-0.0611298,-0.0422342
436,0.0354347,-0.0142454,0.0324452
438,0.0195473,-0.0191595,0.00387455
440,0.0808829,-0.00187432,-0.0808612
442,0.0299013,-0.0271627,0.0125012
444,0.0299013,-0.0271627,0.0125012
446,0.0355648,0.0175163,-0.0309522
448,0.0837138,0.0814905,-0.0191648
450,0.116239,-0.0948573,0.0671827
452,0.0812605,0.0810697,-0.00556618
454,0.0460722,-0.0458853,-0.00414548
456,0.0403813,0.01698,-0.0366378
458,0.0240873,-0.0128001,0.0204048
460,0.0240873,-0.0128001,0.0204048
462,0.0471216,-0.0117039,-0.045645
464,0.0205086,-0.0148384,-0.014157
466,0.0841846,-0.0102615,0.0835568
468,0.068904,-0.0500193,-0.0473902
470,0.0689694,-0.0628007,-0.0285105
472,0.0330531,0.0200057,-0.0263112
474,0.0359092,-0.0285213,-0.0218175
476,0.0465064,-0.0020497,-0.0464612
478,0.0465064,-0.0020497,-0.0464612
480,0.0489496,0.0202097,0.0445828
482,0.0489496,0.0202097,0.0445828
484,0.030454,0.0272925,0.0135116
486,0.0285717,-0.0189877,-0.0213497
488,0.051317,0.0337857,0.038626
490,0.0638916,0.0631875,-0.00945953
492,0.054915,0.0214133,-0.050568
494,0.101403,0.10119,0.00656993
496,0.101403,0.10119,0.00656993
498,0.0916908,0.0901235,0.0168808
500,0.0778869,-0.0693717,-0.035411
502,0.0342433,-0.0323987,0.0110875
504,0.0342433,-0.0323987,0.0110875
506,0.0666564,-0.0506223,0.0433642
508,0.0307354,-0.03069,-0.00166923
510,0.0412223,0.0250118,-0.0327672
512,0.0412223,0.0250118,-0.0327672
514,0.0617065,-0.00602025,0.0614122
516,0.0113824,0.00203403,0.0111992
518,0.053604,-0.00620923,0.0532432
520,0.121721,-0.112162,0.0472825
522,0.0805237,-0.039644,-0.0700887
524,0.0805237,-0.039644,-0.0700887
526,0.0353154,-0.0330813,0.0123614
528,0.0353154,-0.0330813,0.0123614
530,0.0353154,-0.0330813,0.0123614
532,0.0675941,0.0420055,-0.0529575
534,0.0462578,-0.030941,-0.0343867
