ReTr(L),ImTr(L)
-0.029711,-0.00744522
0.00483968,0.0623243
0.052269,-0.0302463
0.0206667,-0.0782123
-0.074778,-0.0232635
0.033884,-0.0680655
0.0641282,-0.0660562
0.0125445,-0.0295415
0.0764412,0.0252202
0.0764412,0.0252202
0.0397633,-0.00123667
-0.0126482,-0.0517588
-0.0126482,-0.0517588
-0.0126482,-0.0517588
-0.0136711,-0.0069541
-0.0316823,-0.0177533
0.027847,-0.0224967
0.027847,-0.0224967
-0.0120124,0.0246867
-0.0120124,0.0246867
-0.0120124,0.0246867
-0.0545602,-0.00451697
0.0366573,-0.0127536
-0.0043691,0.0066338
0.0297582,0.0177082
0.00534828,0.00814275
-0.00944132,-0.0786962
-0.0529083,0.0402885
-0.0166895,-0.0209283
0.0187397,0.0100538
-0.00174247,-0.105821
-0.00174247,-0.105821
-0.0455658,0.0113093
-0.0236638,-0.000644002
0.0405022,0.00318075
0.0381745,0.0508378
-0.033131,0.0389145
0.00453865,-0.0720142
0.116441,0.0289813
0.116441,0.0289813
-0.0166628,0.0608023
0.00818773,-0.0354562
-0.0279628,-0.00690622
0.0808538,0.0206108
-0.0965777,0.0466995
-0.031466,-0.0358822
-0.031466,-0.0358822
0.0162824,0.0237373
-0.00462585,-0.0677527
-0.031464,0.00983957
-0.0418923,0.025338
-0.0136129,0.0015701
0.00787045,-0.0254805
0.0547097,0.0380572
0.0933705,-0.00630218
0.0933705,-0.00630218
-0.0213432,0.0692263
-0.0248825,-0.0111934
-0.00116908,-0.00695307
-0.0184648,-0.0286742
0.015299,0.0139925
-0.0154275,-0.0534562
-0.0366813,-0.0814552
-0.0539067,0.0292862
-0.0343057,0.0582563
0.0926773,-0.029499
-0.0325338,0.0817255
0.0196583,0.017046
0.0243388,0.0495298
0.0366422,-0.0362405
0.0190992,0.038684
0.0944353,0.0087122
-0.0350668,-0.0578758
0.0931575,-0.00781112
-0.0379057,-0.0113381
0.04034,-0.0662162
-0.00458718,-0.00272187
0.001,0.0638247
0.00432485,-0.00976058
0.0544062,0.0353418
0.0436063,0.0513828
-0.0261617,-0.0806892
-0.0083814,-0.087949
-0.0083814,-0.087949
0.0232352,0.0216097
0.0208093,-0.0130324
-0.0306443,-0.0716382
0.028766,-0.0333733
0.0404607,-0.0761365
0.0404607,-0.0761365
-0.0896143,0.0485157
0.0168562,0.0621912
0.0482812,0.0430187
0.0528277,-0.0270005
0.0302215,-0.0432318
0.01744,0.0563653
0.00268663,0.0121412
0.000920908,0.10901
0.00294827,-0.00429147
0.038293,-0.017628
-0.020292,-0.00393588
-0.030517,0.0498797
-0.0142187,0.00652795
-0.0470925,-0.0246987
-0.0470925,-0.0246987
-0.056781,0.0402265
-0.0495428,0.0219178
-0.0495428,0.0219178
-0.0343932,-0.00469375
-0.0343932,-0.00469375
-0.0106704,-0.0316485
0.0252212,0.0614312
-0.00247172,-0.087104
0.0293682,-0.0185927
0.0293682,-0.0185927
0.0211612,0.01383
-0.068126,0.00962368
-0.068126,0.00962368
0.0524912,-0.0335707
-0.0313965,0.0519417
0.0507607,-0.00535065
0.0507607,-0.00535065
-0.0379463,0.0506898
-0.00693638,-0.0821582
-0.108472,0.0483572
0.00622172,-0.0604047
-0.057164,0.0080658
-0.0287425,0.0223592
0.0431683,0.0139835
-0.0552118,-0.00672657
-0.00900442,0.0468248
0.0145636,-0.0285478
0.0237717,0.0328333
0.0279952,-0.0693343
-0.00998155,0.0397248
-0.0776783,0.0349817
0.0393245,0.0229508
0.0027317,0.0307078
0.0027317,0.0307078
0.0027317,0.0307078
0.00726625,-0.00488547
0.0913232,-0.0641883
-0.0440567,-0.0807183
0.00500252,-0.0427978
0.0163145,-0.00658772
-0.00486268,0.0108743
0.0135496,-0.013169
0.0135496,-0.013169
0.040801,-0.0355637
-0.0597373,-0.00553053
-0.0589117,-0.00626823
-0.00105455,0.060712
-0.0842255,-0.00126252
0.0169568,-0.0201225
-0.0120898,0.00518375
0.0718485,-0.0497083
-0.0361225,-0.0234042
0.02081,0.0862105
0.0170218,-0.0097324
0.0170218,-0.0097324
-0.0642995,-0.0369098
-0.0781957,-0.0356322
0.00497447,0.052527
0.0108084,-0.0109127
-0.0414608,-0.0259462
-0.0368355,-0.0132183
-0.0368355,-0.0132183
-0.0209795,-0.0717208
-0.0508527,0.0145893
-0.0164437,-0.0176818
0.078346,-0.0105922
0.0269373,-0.0319385
0.00198983,0.0105341
0.00198983,0.0105341
-0.079917,-0.107339
-0.0278595,-0.0659693
0.048204,0.0330745
0.0135238,-0.0624715
