MDTU,min_ave,max_ave
2,-1.8013,0.287127
4,-1.94275,0.315452
6,-1.69956,0.345347
8,-1.84297,0.334378
10,-1.86522,0.320304
12,-1.78674,0.325893
14,-1.86286,0.321566
16,-1.80516,0.332184
18,-1.7546,0.346637
20,-1.7546,0.346637
22,-1.83897,0.34945
24,-1.87393,0.338946
26,-1.87393,0.338946
28,-1.87393,0.338946
30,-1.83247,0.299754
32,-1.97571,0.297776
34,-1.83456,0.326386
36,-1.83456,0.326386
38,-1.87559,0.309606
40,-1.87559,0.309606
42,-1.87559,0.309606
44,-1.87501,0.322962
46,-1.88211,0.336898
48,-1.9919,0.297313
50,-1.88304,0.315694
52,-1.89276,0.324552
54,-1.81191,0.336199
56,-1.77208,0.346936
58,-1.83734,0.345284
60,-1.78906,0.354828
62,-1.8054,0.335682
64,-1.8054,0.335682
66,-1.85479,0.344268
68,-1.73145,0.373018
70,-1.8042,0.357569
72,-1.87787,0.33811
74,-1.83938,0.329332
76,-1.7706,0.349719
78,-1.79103,0.334963
80,-1.79103,0.334963
82,-1.76675,0.34099
84,-1.75505,0.358789
86,-1.8132,0.352905
88,-1.72243,0.348658
90,-1.77039,0.361613
92,-1.82546,0.334515
94,-1.82546,0.334515
96,-1.83534,0.342116
98,-1.74761,0.341426
100,-1.84479,0.334856
102,-1.8295,0.333982
104,-1.75541,0.355079
106,-1.81201,0.337756
108,-1.80853,0.341466
110,-1.79235,0.359511
112,-1.79235,0.359511
114,-1.80412,0.350313
116,-1.74441,0.357557
118,-1.7709,0.357891
120,-1.79396,0.360321
122,-1.75637,0.370788
124,-1.81231,0.374672
126,-1.6629,0.373763
128,-1.74299,0.363579
130,-1.79666,0.348599
132,-1.71162,0.351484
134,-1.77544,0.332757
136,-1.79227,0.343184
138,-1.7838,0.341291
140,-1.81015,0.323171
142,-1.75076,0.363256
144,-1.72956,0.368631
146,-1.69608,0.379018
148,-1.77281,0.363948
150,-1.7547,0.361017
152,-1.69072,0.375973
154,-1.68748,0.37701
156,-1.67017,0.405678
158,-1.62682,0.406117
160,-1.67576,0.402499
162,-1.62458,0.384075
164,-1.74785,0.369579
166,-1.6716,0.378437
168,-1.6716,0.378437
170,-1.61873,0.38799
172,-1.65163,0.400609
174,-1.70294,0.392208
176,-1.66413,0.38396
178,-1.69246,0.365748
180,-1.69246,0.365748
182,-1.73461,0.365619
184,-1.75077,0.356267
186,-1.85088,0.347802
188,-1.83193,0.328572
190,-1.89563,0.318156
192,-1.9144,0.318707
194,-2.03745,0.275718
196,-2.09355,0.271628
198,-2.14578,0.259291
200,-1.97972,0.278262
202,-2.05224,0.272424
204,-2.05922,0.295369
206,-1.93061,0.288934
208,-2.01399,0.299108
210,-2.01399,0.299108
212,-2.14858,0.28533
214,-2.08014,0.28943
216,-2.08014,0.28943
218,-2.07988,0.271756
220,-2.07988,0.271756
222,-2.10703,0.272334
224,-2.04154,0.279549
226,-2.20647,0.25918
228,-2.02135,0.262056
230,-2.02135,0.262056
232,-2.02919,0.268245
234,-2.05409,0.259247
236,-2.05409,0.259247
238,-2.13841,0.27637
240,-2.06396,0.264018
242,-2.17695,0.270828
244,-2.17695,0.270828
246,-2.17656,0.274279
248,-2.16412,0.260048
250,-2.04353,0.271274
252,-1.93378,0.298137
254,-1.9601,0.289279
256,-1.95404,0.300818
258,-1.91162,0.302758
260,-1.89849,0.301557
262,-1.99481,0.285715
264,-2.04734,0.292585
266,-1.99612,0.280408
268,-1.99975,0.293867
270,-1.89081,0.315638
272,-1.83409,0.309065
274,-1.83323,0.339357
276,-1.7954,0.326673
278,-1.7954,0.326673
280,-1.7954,0.326673
282,-1.8353,0.312682
284,-1.80463,0.336646
286,-1.86085,0.352244
288,-1.78509,0.329089
290,-1.80441,0.33221
292,-1.81863,0.346965
294,-1.97876,0.317405
296,-1.97876,0.317405
298,-1.82881,0.330793
300,-1.91949,0.318768
302,-1.82129,0.332477
304,-1.83687,0.324793
306,-2.0393,0.293491
308,-1.92498,0.310855
310,-1.98526,0.309666
312,-1.94131,0.301444
314,-1.99979,0.300748
316,-1.98921,0.300495
318,-1.90331,0.297763
320,-1.90331,0.297763
322,-1.8739,0.302626
324,-1.91825,0.309482
326,-1.90881,0.307377
328,-1.93612,0.317871
330,-1.92431,0.311739
332,-1.88337,0.318993
334,-1.88337,0.318993
336,-1.85127,0.324785
338,-1.92684,0.315032
340,-1.97593,0.318748
342,-1.85915,0.326706
344,-1.77,0.349607
346,-1.73978,0.330607
348,-1.73978,0.330607
350,-1.85162,0.329777
352,-1.92443,0.315226
354,-1.90678,0.309929
356,-1.94806,0.287548
358,-1.89674,0.30715
360,-1.96655,0.299795
362,-1.96045,0.308717
364,-1.97097,0.322875
