MDTU,plaq,Re(det),Im(det),link
2,0.187017,3.61054e-08,3.11292e-08,0.809293
4,0.133871,8.03582e-09,5.12433e-09,0.91353
6,0.137966,5.24315e-09,9.86502e-09,1.07798
8,0.162623,4.5325e-09,4.64251e-09,1.0238
10,0.148445,4.69269e-09,8.90206e-09,0.923572
12,0.1578,1.36842e-08,1.14184e-08,0.988036
14,0.151015,3.47084e-08,2.71899e-08,0.918808
16,0.139788,4.97516e-09,7.34218e-09,1.01236
18,0.165228,1.59775e-08,7.92378e-09,1.05511
20,0.165228,1.59775e-08,7.92378e-09,1.05511
22,0.177561,7.65518e-09,7.68973e-09,1.04097
24,0.156375,8.87391e-09,1.64935e-08,1.00796
26,0.156375,8.87391e-09,1.64935e-08,1.00796
28,0.156375,8.87391e-09,1.64935e-08,1.00796
30,0.17094,1.08967e-08,8.85246e-09,0.918999
32,0.175099,7.78741e-09,9.7402e-09,0.866559
34,0.17176,3.52174e-08,2.42302e-08,0.933151
36,0.17176,3.52174e-08,2.42302e-08,0.933151
38,0.18734,1.47899e-08,1.50164e-08,0.860984
40,0.18734,1.47899e-08,1.50164e-08,0.860984
42,0.18734,1.47899e-08,1.50164e-08,0.860984
44,0.159174,1.32448e-08,2.16463e-08,0.947649
46,0.152734,6.13018e-09,7.25207e-09,0.978496
48,0.163982,3.92775e-09,5.31407e-09,0.864433
50,0.162866,7.12729e-09,5.35886e-09,0.906648
52,0.166523,6.62179e-09,8.3198e-09,0.964189
54,0.159416,7.4379e-09,1.51882e-08,0.989929
56,0.13343,1.7447e-08,1.18008e-08,1.05345
58,0.152196,5.1941e-08,1.24723e-08,1.06211
60,0.154202,8.0176e-09,5.87767e-09,1.10093
62,0.15347,6.99084e-09,1.14565e-08,1.02628
64,0.15347,6.99084e-09,1.14565e-08,1.02628
66,0.171519,9.58114e-09,9.80713e-09,0.991194
68,0.179322,2.04287e-08,1.43047e-08,1.18234
70,0.182472,8.81691e-09,9.35715e-09,1.13278
72,0.195557,5.5112e-09,7.13012e-09,1.02511
74,0.147895,8.94549e-09,3.0112e-08,0.970071
76,0.167121,1.39865e-08,1.69626e-08,1.06074
78,0.186033,8.14736e-09,1.0798e-08,1.02659
80,0.186033,8.14736e-09,1.0798e-08,1.02659
82,0.154348,7.61238e-09,9.20264e-09,1.06488
84,0.117441,3.28435e-09,4.92718e-09,1.14252
86,0.182069,8.91857e-09,1.25884e-08,1.06894
88,0.159952,5.51233e-08,6.46079e-08,1.08048
90,0.142373,9.7871e-09,1.17977e-08,1.11181
92,0.169278,8.40279e-09,2.58648e-08,1.01449
94,0.169278,8.40279e-09,2.58648e-08,1.01449
96,0.154647,7.57804e-09,1.05418e-08,1.02432
98,0.170971,1.35822e-08,1.3346e-08,1.02554
100,0.16434,2.36105e-08,1.16121e-08,0.991872
102,0.160552,9.06248e-09,1.50835e-08,1.01733
104,0.139017,4.76249e-09,7.49353e-09,1.08013
106,0.170779,1.20685e-08,9.69333e-09,1.05974
108,0.143954,6.76559e-09,9.53365e-09,1.04339
110,0.135653,5.99248e-09,9.18092e-09,1.1036
112,0.135653,5.99248e-09,9.18092e-09,1.1036
114,0.182244,2.7006e-08,6.60049e-09,1.06873
116,0.176371,8.18633e-08,3.478e-08,1.14863
118,0.178151,1.06531e-08,1.23223e-08,1.12785
120,0.162677,4.59322e-09,5.65231e-09,1.14534
122,0.179427,1.64828e-08,1.06882e-08,1.21105
124,0.155166,6.12899e-09,8.32368e-09,1.20277
126,0.157175,1.18477e-08,1.25e-08,1.23284
128,0.165001,8.16519e-09,9.42157e-09,1.19588
130,0.149569,7.67131e-09,1.02165e-08,1.15453
132,0.154534,7.95258e-09,1.5199e-08,1.1334
134,0.147022,8.29891e-09,1.60409e-08,1.02202
136,0.135225,1.15278e-08,4.52142e-09,1.03836
138,0.166695,7.35504e-09,5.66356e-09,1.08536
140,0.143142,8.00879e-09,6.15383e-09,1.02503
142,0.160613,8.50731e-09,8.61437e-09,1.14452
144,0.172865,8.91769e-09,1.45945e-08,1.17609
146,0.161911,1.95323e-08,1.32689e-08,1.25468
148,0.138836,4.794e-09,3.83701e-09,1.17833
150,0.138282,1.13917e-08,1.00219e-08,1.15215
152,0.1872,8.82511e-09,6.48222e-09,1.19869
154,0.182346,1.52172e-08,1.23371e-08,1.27971
156,0.196887,3.62798e-09,5.83025e-09,1.41453
158,0.180793,2.2612e-08,2.89878e-08,1.48486
160,0.172342,2.31597e-08,1.09596e-08,1.43518
162,0.16618,9.34219e-09,1.08725e-08,1.34673
164,0.16817,5.8178e-09,6.08319e-09,1.26302
166,0.143056,7.10801e-09,5.68194e-09,1.31094
168,0.143056,7.10801e-09,5.68194e-09,1.31094
170,0.131084,1.99528e-08,1.06692e-08,1.38386
172,0.155252,1.29639e-08,1.10529e-08,1.42914
174,0.163396,1.13771e-08,8.00648e-09,1.38104
176,0.151145,1.18212e-08,1.84107e-08,1.30196
178,0.162958,5.92963e-09,1.29078e-08,1.24061
180,0.162958,5.92963e-09,1.29078e-08,1.24061
182,0.184688,1.06259e-08,8.62635e-09,1.15847
184,0.165982,1.10561e-08,1.18174e-08,1.15229
186,0.145903,7.47837e-09,3.68115e-09,1.08023
188,0.140588,4.27645e-09,8.06954e-09,1.00451
