MDTU,link
2,1.21492
4,1.32607
6,1.22931
8,1.29118
10,1.10971
12,1.02331
14,1.02331
16,1.05392
18,0.9791
20,0.8967
22,0.8967
24,0.81039
26,0.71451
28,0.724886
30,0.703593
32,0.721855
34,0.720962
36,0.751188
38,0.751188
40,0.740028
42,0.717716
44,0.60512
46,0.60512
48,0.654333
50,0.606954
52,0.613958
54,0.573441
56,0.554167
58,0.564427
60,0.564427
62,0.623202
64,0.573825
66,0.579127
68,0.588927
70,0.625529
72,0.609666
74,0.636413
76,0.602721
78,0.630835
80,0.630835
82,0.670243
84,0.645279
86,0.593891
88,0.576219
90,0.599561
92,0.599561
94,0.599561
96,0.597989
98,0.588732
100,0.707119
102,0.708719
104,0.627192
106,0.596609
108,0.627093
110,0.638407
112,0.593859
114,0.674128
116,0.696924
118,0.593
120,0.578407
122,0.616836
124,0.648148
126,0.673519
128,0.632415
130,0.582938
132,0.540105
134,0.531533
136,0.519968
138,0.526697
140,0.558721
142,0.571772
144,0.567918
146,0.583915
148,0.587365
150,0.619706
152,0.662942
154,0.683548
156,0.683548
158,0.616844
160,0.631498
162,0.611833
164,0.599423
166,0.599423
168,0.669832
170,0.745589
172,0.698972
174,0.654765
176,0.654765
178,0.62225
180,0.584341
182,0.568656
184,0.568164
186,0.568164
188,0.544131
190,0.521488
192,0.532752
194,0.491481
196,0.51159
198,0.567436
200,0.567436
202,0.581899
204,0.579629
206,0.579629
208,0.571662
210,0.582552
212,0.582552
214,0.57398
216,0.569329
218,0.584913
220,0.584913
222,0.604675
224,0.574721
226,0.591092
228,0.598298
230,0.573667
232,0.587952
234,0.579927
236,0.579927
238,0.581535
240,0.597674
242,0.602749
244,0.602749
246,0.645762
248,0.612186
250,0.615634
252,0.629546
254,0.629546
256,0.633217
258,0.576506
260,0.566617
262,0.570253
264,0.572713
266,0.569865
268,0.561516
270,0.52992
272,0.528195
274,0.528195
276,0.527214
278,0.561532
280,0.561532
282,0.5626
284,0.543556
286,0.548691
288,0.586285
290,0.543387
292,0.543387
294,0.565237
296,0.565237
298,0.53749
300,0.541752
302,0.525664
304,0.521399
306,0.519274
308,0.508859
310,0.548617
312,0.569789
314,0.542719
316,0.567655
318,0.648437
320,0.648437
322,0.645707
324,0.706448
326,0.758673
328,0.797861
330,0.800719
332,0.686389
334,0.686389
336,0.664745
338,0.664745
340,0.666636
342,0.640755
344,0.666117
346,0.626083
348,0.626083
350,0.596452
352,0.567422
354,0.621947
356,0.621947
358,0.617204
360,0.687174
362,0.66336
364,0.596586
366,0.676969
368,0.739177
370,0.716786
372,0.653864
374,0.653864
376,0.653864
378,0.670455
380,0.670455
382,0.670455
384,0.591153
386,0.654897
388,0.606593
390,0.587467
392,0.587467
394,0.587467
396,0.575595
398,0.599192
400,0.579783
402,0.602262
404,0.593038
406,0.602635
408,0.606149
410,0.606149
412,0.652167
414,0.652167
416,0.652167
418,0.652167
420,0.599116
422,0.599116
424,0.595065
426,0.595065
428,0.588388
430,0.605663
432,0.607968
434,0.588629
436,0.568628
438,0.527438
440,0.54704
442,0.539214
444,0.55216
446,0.515964
448,0.515964
450,0.551807
452,0.572557
454,0.584255
456,0.586315
458,0.550518
460,0.550518
462,0.546037
464,0.530503
466,0.560654
468,0.569501
470,0.551473
472,0.551473
474,0.565871
476,0.580463
478,0.604518
480,0.742063
482,0.742063
484,0.635567
486,0.661496
488,0.606201
490,0.566156
492,0.594684
494,0.633495
496,0.633495
498,0.610275
500,0.658234
502,0.700688
504,0.698482
506,0.698482
508,0.678961
510,0.639661
512,0.639661
514,0.604288
516,0.627802
518,0.627802
520,0.567127
522,0.636675
524,0.677518
526,0.677518
528,0.661198
530,0.594361
532,0.584164
534,0.602746
536,0.603064
538,0.640954
540,0.631218
542,0.577496
544,0.576794
546,0.576794
548,0.588637
550,0.643337
552,0.649084
554,0.669748
556,0.658143
558,0.628155
560,0.685154
562,0.793067
564,0.78063
566,0.78063
568,0.728565
570,0.687877
572,0.743103
574,0.768462
576,0.776868
578,0.759468
580,0.745659
582,0.769953
584,0.769953
586,0.769953
588,0.805406
590,0.749165
592,0.799627
594,0.78007
596,0.685582
598,0.711139
600,0.711796
602,0.725653
604,0.725653
606,0.705728
608,0.649883
610,0.721009
612,0.766087
614,0.754898
616,0.734408
618,0.728956
620,0.734618
622,0.922285
624,1.01799
626,0.995967
628,0.993269
630,1.16149
632,1.16149
634,1.11517
636,1.04284
638,0.990853
640,0.877523
642,0.877523
644,0.821212
646,0.768949
648,0.731448
650,0.731448
652,0.729704
654,0.704853
656,0.760413
658,0.908825
660,0.9028
662,0.833179
664,0.96965
666,1.05197
668,0.889356
670,0.889356
672,0.873468
674,0.856182
676,0.723683
678,0.736994
680,0.663648
682,0.630561
684,0.630561
686,0.630561
688,0.616878
690,0.715825
692,0.924159
694,0.924159
696,0.92023
698,0.92023
700,0.888746
702,0.888746
704,0.891188
706,0.812621
708,0.804768
710,0.995992
712,0.809139
714,0.809139
716,0.924604
718,0.921627
720,1.06357
722,0.934147
724,0.934147
726,0.902748
728,0.862704
730,1.05578
732,0.962519
734,0.877872
736,0.767754
738,0.73705
740,0.649951
742,0.739902
744,0.718299
746,0.61179
748,0.61179
750,0.659142
752,0.737612
754,0.737612
756,0.674751
758,0.674751
760,0.674751
762,0.640508
764,0.640508
766,0.68545
768,0.68545
770,0.68545
772,0.68545
774,0.68545
776,0.68545
778,0.641328
780,0.668087
782,0.64417
784,0.639777
786,0.660187
788,0.635646
790,0.675203
792,0.642382
794,0.64871
796,0.633007
798,0.65812
800,0.650479
802,0.592959
804,0.567421
806,0.567421
808,0.536927
810,0.573248
812,0.530076
814,0.533132
816,0.532963
818,0.54971
820,0.54971
822,0.522923
824,0.520691
826,0.561948
828,0.560679
830,0.601527
832,0.569378
834,0.562422
836,0.553602
838,0.553602
840,0.547424
842,0.547424
844,0.528361
846,0.517872
848,0.550367
850,0.590223
852,0.588441
854,0.599872
856,0.584813
858,0.588897
860,0.563647
862,0.544456
864,0.544456
866,0.544456
868,0.537676
870,0.566477
872,0.566477
874,0.56833
876,0.579004
878,0.545988
880,0.570439
882,0.605225
884,0.657118
886,0.702786
888,0.708677
890,0.705445
892,0.663295
894,0.668887
896,0.680565
898,0.622082
900,0.599773
902,0.656446
904,0.652076
906,0.652076
908,0.618005
910,0.652164
912,0.639374
914,0.741971
916,0.745269
918,0.889232
920,0.861249
922,0.876579
924,0.996553
926,1.11327
928,1.11343
930,0.994382
932,0.976596
934,0.920249
936,0.920249
938,0.920249
940,0.920249
942,0.920249
944,0.920249
946,0.825234
948,0.77012
950,0.733426
952,0.700211
954,0.589769
956,0.618398
958,0.60302
960,0.59135
962,0.612353
964,0.612353
966,0.612353
968,0.612353
970,0.644775
972,0.644775
974,0.584944
976,0.550035
978,0.559942
980,0.554394
982,0.61743
984,0.61743
986,0.557626
988,0.603423
990,0.603423
992,0.603423
994,0.626966
996,0.621945
998,0.603587
1000,0.646402
1002,0.669073
1004,0.707826
1006,0.746683
1008,0.719508
1010,0.686248
1012,0.621254
1014,0.617996
1016,0.587712
1018,0.599801
1020,0.59592
1022,0.69011
1024,0.688985
1026,0.774688
1028,0.782651
1030,0.701936
1032,0.768631
1034,0.726597
1036,0.680756
1038,0.713688
1040,0.680063
1042,0.680063
1044,0.628687
1046,0.58686
1048,0.608044
1050,0.621786
1052,0.620001
1054,0.615725
1056,0.615725
1058,0.615114
1060,0.607784
1062,0.569728
1064,0.553503
1066,0.546846
1068,0.546846
1070,0.546846
1072,0.546846
1074,0.546846
1076,0.546846
1078,0.546846
1080,0.569739
1082,0.569739
1084,0.576682
1086,0.551877
1088,0.551877
1090,0.539062
1092,0.568466
1094,0.557616
1096,0.574177
1098,0.569789
1100,0.569789
1102,0.557285
1104,0.542839
1106,0.550456
1108,0.550456
1110,0.550456
1112,0.550456
1114,0.528513
1116,0.539907
1118,0.547391
1120,0.517442
1122,0.517649
1124,0.532939
1126,0.53693
1128,0.588981
1130,0.61473
1132,0.732605
1134,0.732605
1136,0.674778
1138,0.746889
1140,0.746889
1142,0.770279
1144,0.870578
1146,0.870578
1148,0.769976
1150,0.689279
1152,0.689279
1154,0.652462
1156,0.616857
1158,0.593929
1160,0.637597
1162,0.649148
1164,0.683515
1166,0.619042
1168,0.659086
1170,0.650335
1172,0.68937
1174,0.743965
1176,0.732119
1178,0.811426
1180,0.793453
1182,0.847015
1184,0.763745
1186,0.714483
1188,0.691868
1190,0.650815
1192,0.650815
1194,0.589201
1196,0.648995
1198,0.590331
1200,0.57573
1202,0.553312
1204,0.547726
1206,0.544609
1208,0.603769
1210,0.587099
1212,0.620636
1214,0.595969
1216,0.61833
1218,0.61833
1220,0.61833
1222,0.587542
1224,0.595791
1226,0.550094
1228,0.556953
1230,0.559793
1232,0.554041
1234,0.521165
1236,0.51398
1238,0.521511
1240,0.521511
1242,0.509389
1244,0.548154
1246,0.565189
1248,0.570938
1250,0.586655
1252,0.540406
1254,0.540406
1256,0.567183
1258,0.567183
1260,0.59333
1262,0.590197
1264,0.578543
1266,0.578543
1268,0.607842
1270,0.631974
1272,0.612591
1274,0.612591
1276,0.595042
1278,0.584902
1280,0.589899
1282,0.599326
1284,0.616008
1286,0.574639
1288,0.612735
1290,0.696073
1292,0.710934
1294,0.648105
1296,0.673037
1298,0.748069
1300,0.713241
1302,0.713241
1304,0.664655
1306,0.664655
1308,0.634331
1310,0.634331
1312,0.634331
1314,0.634331
1316,0.569039
1318,0.649588
1320,0.649588
1322,0.621114
1324,0.61322
1326,0.61322
1328,0.61322
1330,0.621339
1332,0.575313
1334,0.575313
1336,0.578635
1338,0.615802
1340,0.72753
1342,0.829276
1344,0.796729
1346,0.785433
1348,0.758416
1350,0.833795
1352,0.815833
1354,0.780354
1356,0.635317
1358,0.575959
1360,0.627781
1362,0.649126
1364,0.561665
1366,0.562553
1368,0.578021
1370,0.578021
1372,0.577591
1374,0.577591
1376,0.577591
1378,0.603818
1380,0.571646
1382,0.571646
1384,0.571646
1386,0.571646
1388,0.563962
1390,0.563962
1392,0.567704
1394,0.614245
1396,0.623873
1398,0.575751
1400,0.551667
1402,0.545164
1404,0.554417
1406,0.594875
1408,0.583925
1410,0.600024
1412,0.641815
1414,0.584427
1416,0.561727
1418,0.555089
1420,0.553695
1422,0.584293
1424,0.704687
1426,0.760669
1428,0.760669
1430,0.79123
1432,0.781093
1434,0.787828
1436,0.659231
1438,0.611655
1440,0.562596
1442,0.573297
1444,0.649778
1446,0.6025
1448,0.604295
1450,0.607953
1452,0.627526
1454,0.689648
1456,0.700877
1458,0.734152
1460,0.696571
1462,0.718792
1464,0.709444
1466,0.707256
1468,0.596252
1470,0.58033
1472,0.55962
1474,0.55962
1476,0.55962
1478,0.605801
1480,0.601841
1482,0.6072
1484,0.633788
1486,0.625504
1488,0.593511
1490,0.618576
1492,0.618576
1494,0.590978
1496,0.590978
1498,0.576369
1500,0.576889
1502,0.567208
1504,0.583789
1506,0.616688
1508,0.596706
1510,0.56547
1512,0.639242
1514,0.613852
1516,0.636884
1518,0.636757
1520,0.563395
1522,0.563395
1524,0.593724
1526,0.599803
1528,0.641596
1530,0.657798
1532,0.621925
1534,0.599712
1536,0.621727
1538,0.578562
1540,0.528404
1542,0.538169
1544,0.591902
1546,0.657117
1548,0.657117
