t,deltaS
1,-5.106
2,-5.726
3,-2.905
4,-0.2877
5,-0.7422
6,-0.4055
7,0.3715
8,-0.2719
9,0.6565
10,0.04352
11,0.6843
12,0.5132
13,-0.6026
14,-0.243
15,0.3626
16,0.2738
17,0.2383
18,-0.1556
19,0.09074
20,0.2279
21,-0.1695
22,-0.5924
23,0.6026
24,0.7301
25,-0.7306
26,-0.4177
27,0.3836
28,-0.06354
29,-0.162
30,0.3228
31,0.2073
32,0.01617
33,-0.3433
34,-0.2281
35,-0.009671
36,-0.2317
37,-0.4179
38,-0.08856
39,-0.3158
40,0.4946
41,0.7651
42,-0.09819
43,0.6598
44,-0.9459
45,0.4968
46,1.079
47,0.3731
48,0.07695
49,0.6166
50,-0.1958
51,1.386
52,-0.5543
53,-0.4693
54,0.03983
55,-0.0108
56,0.1538
57,-0.02487
58,-0.2436
59,-0.07654
60,-0.4041
61,0.3686
62,-0.33
63,0.7219
64,-0.2806
65,-1.033
66,0.9167
67,-0.6152
68,0.4546
69,-0.1412
70,-0.01124
71,0.3015
72,-0.3379
73,-0.4119
74,-0.1498
75,0.7343
76,0.08054
77,-1.059
78,0.8997
79,0.2212
80,0.5257
81,0.3833
82,-0.01813
83,0.09606
84,-0.5668
85,-0.6312
86,0.3419
87,-0.8242
88,0.5038
89,0.6848
90,-0.1833
91,1.095
92,0.1694
93,0.6413
94,-0.4923
95,-0.2965
96,0.5596
97,0.1646
98,-0.04155
99,-0.2894
100,0.3217
101,-0.1036
102,0.2948
103,0.4365
104,0.2666
105,-0.5914
106,0.09892
107,-0.5271
108,-0.3517
109,0.02478
110,0.2698
111,0.0509
112,-0.3626
113,-0.3172
114,1.028
115,-0.6459
116,-0.6852
117,-0.06978
118,0.5811
119,-0.04027
120,0.6588
121,-0.8794
122,0.6677
123,0.261
124,-0.2534
125,-0.02998
126,0.9353
127,0.7946
128,-0.9229
129,0.7605
130,0.6143
131,-0.3009
132,-0.1023
133,-0.1116
134,0.3194
135,-1.144
136,-0.6453
137,1.239
138,1.025
139,-0.4243
140,0.7938
141,0.5277
142,-0.14
143,0.4613
144,-0.9008
145,0.2544
146,0.3951
147,-0.5636
148,0.2911
149,-0.8512
150,0.3526
151,-0.494
152,0.5208
153,0.8439
154,0.1319
155,0.5229
156,-0.5573
157,0.04014
158,0.6843
159,0.2091
160,0.2326
161,-0.124
162,-0.639
163,0.2028
164,-0.55
165,0.7576
166,-0.5415
167,0.1523
168,-0.2338
169,0.1852
170,0.4047
171,-0.1706
172,0.04476
173,-0.3945
174,0.449
175,1.295
176,-0.6471
177,-0.678
178,0.9841
179,0.385
180,0.1721
181,-0.313
182,0.6576
183,0.8023
184,-0.1726
185,-0.1285
186,-0.4255
187,0.863
188,0.5444
189,-0.5799
190,0.6434
191,0.7686
192,-0.02672
193,0.4064
194,-0.1926
195,0.1694
196,0.09365
197,0.8679
198,0.04092
199,0.5196
200,-0.3216
201,0.06847
202,0.1183
203,0.4428
204,-0.532
205,0.3214
206,-0.1383
207,1.21
208,0.7979
209,1.171
210,-0.05302
211,0.3961
212,-0.1865
213,0.4805
214,0.5155
215,-0.03369
216,0.5079
217,-0.1703
218,0.2317
219,0.6526
220,-0.887
221,-0.365
222,0.06717
223,-0.02124
224,0.8849
225,0.3839
226,0.1536
227,-0.4055
228,0.2618
229,-0.3839
230,1.217
231,0.06912
232,0.05594
233,-0.5515
234,0.09045
235,-0.09267
236,0.5794
237,0.06137
238,0.3979
239,0.215
240,-0.8994
241,0.3279
242,0.1513
243,0.3434
244,0.1449
245,-0.2365
246,0.475
247,-0.1286
248,0.6047
249,0.0524
250,0.4031
251,-0.2946
252,-0.4124
253,1.166
254,0.5433
255,-0.4922
256,1.177
257,0.3761
258,0.04918
259,0.9627
260,-0.002394
261,-0.007325
262,-0.2339
263,0.2542
264,0.1797
265,-0.04555
266,0.2627
267,-0.6383
268,0.868
269,-0.03483
270,0.4428
271,0.1117
272,-0.07131
273,0.5119
274,-0.2892
275,-0.03731
276,-0.2878
277,0.2579
278,-0.1807
279,0.2477
280,0.05533
281,-0.9354
282,0.3063
283,0.3575
284,0.296
285,0.3726
286,-0.1187
287,-0.9903
288,1.038
289,0.3849
290,-1.09
291,-0.5407
292,1.292
293,0.602
294,1.866
295,-1.066
296,0.9285
297,-0.2375
298,-0.5981
299,-0.02217
300,-0.04506
301,0.04209
302,0.5986
303,-0.03466
304,1.225
305,-0.5142
306,-0.2657
307,0.04193
308,-0.2001
309,0.1958
310,-0.04938
311,-0.2226
312,-0.2207
313,0.07649
314,-0.1975
315,0.07369
316,0.5457
317,0.5682
318,0.3883
319,0.2106
320,-0.4565
321,0.1796
322,0.2305
323,-0.1139
324,0.08228
325,0.6118
326,-0.5463
327,0.3523
328,0.1767
329,-0.77
330,0.4819
331,-0.6913
332,-0.02582
333,0.1339
334,0.3073
335,1.01
336,0.07409
337,0.1844
338,-0.566
339,0.2915
340,-0.4001
341,-0.4938
342,0.8925
343,0.5542
344,0.5091
345,0.7006
346,-0.2213
347,0.6891
348,0.3043
349,1.14
350,0.2535
351,0.1984
352,0.2408
353,0.3128
354,-0.07895
355,-0.0949
356,0.4401
357,0.3425
358,0.2104
359,-0.3084
360,-0.2504
361,-0.518
362,0.5301
363,0.3745
364,0.1837
365,0.3451
366,0.1914
367,-0.5658
368,0.7949
369,-0.5733
370,-0.08764
371,-0.954
372,0.2834
373,0.2246
374,0.5781
375,0.1261
376,-0.6558
377,0.4765
378,0.0709
379,1.067
380,1.083
381,0.03864
382,0.707
383,0.4078
384,1.175
385,0.3649
386,0.7656
387,0.3097
388,0.3865
389,0.2894
390,-0.6711
391,0.04948
392,0.5677
393,-0.7607
394,-0.6727
395,0.9881
396,0.4253
397,0.003273
398,0.1941
399,0.08954
400,-0.05672
401,0.1812
402,-0.5819
403,0.3923
404,0.01431
405,-0.1344
406,-0.1108
407,-0.4052
408,-0.08923
409,0.4673
410,0.8314
411,0.03345
412,0.4177
413,0.2414
414,-0.5313
415,-0.2732
416,0.4206
417,-0.09622
418,0.2486
419,0.2273
420,0.2255
421,0.3588
422,-0.07763
423,-0.2993
424,0.003762
425,0.04874
426,-0.4781
427,0.2804
428,-0.008032
429,-1.022
430,0.3668
431,-0.05093
432,0.4971
433,0.5558
434,0.431
435,-0.6532
436,0.1537
437,-0.5584
438,-0.09352
439,0.4236
440,-0.04563
441,-0.5018
442,-0.5073
443,0.06551
444,-0.47
445,-0.05859
446,-0.08871
447,-0.5398
448,-0.1849
449,0.1032
450,0.9238
451,-0.7819
452,-0.3268
453,1.199
454,0.5759
455,0.3999
456,-0.01278
457,-0.4799
458,0.3909
459,0.5199
460,-0.8211
461,-0.02518
462,0.02734
463,0.243
464,0.05702
465,-0.1511
466,-0.6189
467,-0.6647
468,0.7697
469,0.6144
470,1.025
471,1.016
472,0.7369
473,-0.3358
474,0.6991
475,0.4269
476,0.1007
477,0.3609
478,-0.734
479,-0.3059
480,0.1632
481,-0.4954
482,0.9023
483,0.9005
484,0.7778
485,0.03494
486,0.4508
487,1.001
488,-0.7283
489,0.9532
490,-0.4772
491,-0.1791
492,0.8344
493,0.1537
494,-0.3337
495,0.4951
496,0.2943
497,0.4298
498,-0.6018
499,0.7174
500,0.05703
501,0.08438
502,0.08508
503,-0.5869
504,0.3907
505,-0.124
506,-0.09965
507,0.4874
508,-0.7911
509,0.05206
510,0.8266
511,-0.3267
512,0.3124
513,-0.7551
514,-0.1159
515,1.036
516,-0.5467
517,-0.1685
518,-0.2687
519,0.2771
520,0.3886
521,0.4785
522,-0.108
523,0.2392
524,-0.1608
525,-0.6856
526,1.068
527,0.05058
528,0.3512
529,-0.9317
530,-0.1692
531,0.5044
532,0.2347
533,-0.7585
534,1.4
535,0.7448
536,1.672
537,1.755
538,0.4164
539,1.985
540,0.2014
541,1.067
542,0.5308
543,-0.009915
544,0.8129
545,-0.3334
546,0.221
547,0.2544
548,0.1955
549,-0.7087
550,1.246
551,0.4367
552,0.3343
553,0.1751
554,0.9662
555,0.3644
556,1.047
557,0.3947
558,0.03701
559,-0.1264
560,0.04085
561,0.3473
562,0.1967
563,0.09898
564,-0.3254
565,0.5917
566,-0.3447
567,0.2666
568,-0.3385
569,-0.07395
570,0.1748
571,0.1825
572,-0.5891
573,0.1134
574,-0.09694
575,-0.1106
576,1.485
577,0.4058
578,0.2167
579,-0.1354
580,1.118
581,-1.01
582,0.21
583,-0.6566
584,0.1897
585,0.7882
586,-0.2935
587,-0.07019
588,-0.1986
589,0.1647
590,0.23
591,0.3493
592,-0.2285
593,0.5407
594,0.02106
595,-0.7976
596,1.369
597,-0.4643
598,0.1836
599,-0.6644
600,1.338
601,-0.179
602,-0.478
603,-0.2169
604,0.1237
605,0.1504
606,-0.1025
607,-0.326
608,-0.3748
609,1.229
610,0.5178
611,0.3797
612,-0.06662
613,0.02463
614,0.234
615,-0.2124
616,-0.06514
617,0.09406
618,0.5438
619,-1.511
620,1.181
621,0.7089
622,-0.296
623,0.2203
624,0.06262
625,0.1398
626,0.26
627,0.1364
628,-0.9702
629,1.45
630,0.3972
631,-0.01309
632,0.08216
633,0.2875
634,0.02322
635,0.1714
636,0.003874
637,0.3532
638,0.3796
639,-0.5517
640,0.6019
641,0.1777
642,-0.83
643,0.1506
644,-0.4372
645,-0.1457
646,0.1412
647,0.1299
648,-0.1845
649,0.5113
650,-0.5307
651,0.6999
652,-0.3572
653,0.4758
654,0.06859
655,1.014
656,0.5789
657,0.5415
658,0.2525
659,-0.2468
660,0.4519
661,-0.1387
662,-0.02593
663,0.2171
664,0.4797
665,0.0648
666,-0.8044
667,1.429
668,1.311
669,0.2938
670,-0.4041
671,-0.3829
672,0.03961
673,0.1488
674,-0.06321
675,-0.6776
676,0.5031
677,0.4334
678,-0.3822
679,0.149
680,-0.05062
681,-0.3896
682,0.02473
683,-0.228
684,-0.2983
685,1.429
686,-0.2561
687,0.3002
688,0.4701
689,0.121
690,-0.6354
691,0.7307
692,0.7011
693,0.8309
