t,e^(-dS)
1,165.009
2,306.74
3,18.2652
4,1.33336
5,2.10055
6,1.50005
7,0.689699
8,1.31246
9,0.518663
10,0.957413
11,0.504443
12,0.598577
13,1.82686
14,1.27507
15,0.695865
16,0.760484
17,0.787966
18,1.16836
19,0.913255
20,0.796204
21,1.18471
22,1.80832
23,0.547387
24,0.481861
25,2.07633
26,1.51847
27,0.681404
28,1.0656
29,1.17586
30,0.724119
31,0.812776
32,0.98396
33,1.40959
34,1.25621
35,1.00972
36,1.26074
37,1.51877
38,1.0926
39,1.37136
40,0.609815
41,0.465287
42,1.10317
43,0.516955
44,2.57513
45,0.608475
46,0.339935
47,0.688596
48,0.925936
49,0.539777
50,1.21628
51,0.250074
52,1.74072
53,1.59887
54,0.960953
55,1.01086
56,0.857443
57,1.02518
58,1.27583
59,1.07955
60,1.49795
61,0.691702
62,1.39097
63,0.485828
64,1.32392
65,2.80948
66,0.399836
67,1.85003
68,0.634702
69,1.15165
70,1.0113
71,0.739708
72,1.402
73,1.50968
74,1.1616
75,0.479841
76,0.922618
77,2.88349
78,0.406692
79,0.801556
80,0.591141
81,0.681608
82,1.0183
83,0.90841
84,1.76262
85,1.87987
86,0.710419
87,2.28006
88,0.60423
89,0.504191
90,1.20117
91,0.33454
92,0.844171
93,0.526607
94,1.63607
95,1.34514
96,0.571438
97,0.848233
98,1.04243
99,1.33563
100,0.724916
101,1.10916
102,0.744681
103,0.646294
104,0.765979
105,1.80652
106,0.905815
107,1.69401
108,1.42148
109,0.975525
110,0.763532
111,0.950374
112,1.43706
113,1.37328
114,0.357722
115,1.9077
116,1.98417
117,1.07227
118,0.559283
119,1.04109
120,0.517472
121,2.40945
122,0.512887
123,0.770281
124,1.2884
125,1.03043
126,0.392468
127,0.451762
128,2.51658
129,0.467433
130,0.541019
131,1.35107
132,1.10772
133,1.11807
134,0.726585
135,3.1393
136,1.90656
137,0.289674
138,0.358796
139,1.52852
140,0.452123
141,0.58996
142,1.15027
143,0.630464
144,2.46157
145,0.775382
146,0.673613
147,1.75699
148,0.747441
149,2.34246
150,0.702858
151,1.63886
152,0.594045
153,0.43003
154,0.876429
155,0.592799
156,1.74595
157,0.960655
158,0.504443
159,0.811314
160,0.79247
161,1.13202
162,1.89459
163,0.816442
164,1.73325
165,0.46879
166,1.71858
167,0.858731
168,1.26339
169,0.830938
170,0.667177
171,1.18602
172,0.956227
173,1.48364
174,0.638266
175,0.273898
176,1.90999
177,1.96993
178,0.373775
179,0.680451
180,0.841895
181,1.36752
182,0.518093
183,0.448297
184,1.18839
185,1.13712
186,1.53036
187,0.421894
188,0.58019
189,1.78586
190,0.525503
191,0.463662
192,1.02708
193,0.666044
194,1.2124
195,0.844171
196,0.910601
197,0.419832
198,0.959906
199,0.594758
200,1.37933
201,0.933821
202,0.888429
203,0.642236
204,1.70233
205,0.725133
206,1.14832
207,0.298197
208,0.450274
209,0.310057
210,1.05445
211,0.672939
212,1.20502
213,0.618474
214,0.597202
215,1.03426
216,0.601758
217,1.18566
218,0.793184
219,0.52069
220,2.42784
221,1.44051
222,0.935036
223,1.02147
224,0.412755
225,0.6812
226,0.857615
227,1.50005
228,0.769665
229,1.468
230,0.296117
231,0.933215
232,0.945596
233,1.73585
234,0.91352
235,1.0971
236,0.560234
237,0.940475
238,0.671729
239,0.806541
240,2.45813
241,0.720435
242,0.85959
243,0.709354
244,0.865109
245,1.26681
246,0.621885
247,1.13724
248,0.546238
249,0.948949
250,0.668245
251,1.34259
252,1.51044
253,0.311611
254,0.580828
255,1.63591
256,0.308202
257,0.686534
258,0.95201
259,0.38186
260,1.0024
261,1.00735
262,1.26352
263,0.775537
264,0.835521
265,1.0466
266,0.768973
267,1.89326
268,0.41979
269,1.03544
270,0.642236
271,0.894313
272,1.07391
273,0.599356
274,1.33536
275,1.03801
276,1.33349
277,0.772672
278,1.19806
279,0.780594
280,0.946173
281,2.54823
282,0.736166
283,0.699423
284,0.743787
285,0.688941
286,1.12603
287,2.69204
288,0.354162
289,0.680519
290,2.97427
291,1.71721
292,0.274721
293,0.547715
294,0.154741
295,2.90374
296,0.395146
297,1.26807
298,1.81866
299,1.02242
300,1.04609
301,0.958783
302,0.549581
303,1.03527
304,0.293758
305,1.6723
306,1.30434
307,0.958937
308,1.22152
309,0.822177
310,1.05062
311,1.24932
312,1.24695
313,0.926362
314,1.21835
315,0.92896
316,0.579436
317,0.566544
318,0.678209
319,0.810098
320,1.57854
321,0.835604
322,0.794136
323,1.12064
324,0.921014
325,0.542374
326,1.72685
327,0.703069
328,0.838031
329,2.15977
330,0.617609
331,1.99631
332,1.02616
333,0.874678
334,0.73543
335,0.364219
336,0.928588
337,0.831603
338,1.76121
339,0.747142
340,1.49197
341,1.63853
342,0.40963
343,0.574532
344,0.601036
345,0.496287
346,1.2477
347,0.502028
348,0.73764
349,0.319819
350,0.77608
351,0.820042
352,0.785999
353,0.731396
354,1.08215
355,1.09955
356,0.643972
357,0.709993
358,0.81026
359,1.36125
360,1.28454
361,1.67867
362,0.588546
363,0.687633
364,0.832185
365,0.70815
366,0.825802
367,1.76086
368,0.451626
369,1.77411
370,1.0916
371,2.59607
372,0.753218
373,0.798836
374,0.560963
375,0.881527
376,1.92668
377,0.620953
378,0.931555
379,0.344039
380,0.338578
381,0.962097
382,0.493121
383,0.665112
384,0.308819
385,0.694266
386,0.465055
387,0.733667
388,0.679431
389,0.748713
390,1.95639
391,0.951724
392,0.566828
393,2.13977
394,1.95952
395,0.372283
396,0.653574
397,0.996732
398,0.823576
399,0.914352
400,1.05836
401,0.834268
402,1.78944
403,0.675501
404,0.985792
405,1.14385
406,1.11717
407,1.4996
408,1.09333
409,0.626692
410,0.435439
411,0.967103
412,0.65856
413,0.785527
