ReTr(Lx),ImTr(Lx)
0.00830765,-0.00159771
0.00208281,-0.000473228
0.000106882,0.00074456
0.00431339,0.002003
0.00188244,-0.000861274
0.00115752,-0.00455104
0.00115752,-0.00455104
0.00207291,-0.00121181
-0.00336074,0.00133445
-0.00197301,-0.00120957
-0.00197301,-0.00120957
-0.00246527,-0.00294601
-0.00444381,0.0015096
6.03325e-05,-0.00020171
0.00328684,-0.00111918
-0.00211546,0.000794766
0.0012327,0.000224135
0.00379949,-0.000303894
0.00379949,-0.000303894
0.000868521,-5.91682e-05
-0.00226764,0.00203038
-0.00207299,0.00109493
-0.00207299,0.00109493
-0.00496952,-0.000485405
-0.001249,0.00274275
0.00102066,0.0035808
-0.00199776,-0.00335123
1.86404e-05,-0.000611335
0.00169645,0.000237065
0.00169645,0.000237065
-0.000389186,0.00200056
-0.000135309,0.0025039
0.00207704,0.00270842
0.000521677,0.00081667
0.00234758,0.00111929
0.00101007,-0.0046615
1.07894e-05,0.000939081
-0.0013488,-0.00245182
-0.00038835,-0.0006255
-0.00038835,-0.0006255
-0.00283621,0.000895516
-0.0021665,0.00154699
0.00312737,-0.00183969
0.00044061,0.000544205
-0.00228699,-0.00259217
-0.00228699,-0.00259217
-0.00228699,-0.00259217
0.00147276,-0.00164684
-0.00109648,-0.00173079
9.5858e-06,-0.00171071
0.00227499,-0.000401721
-3.52035e-05,0.00139016
-0.00140476,0.000101661
0.00054873,-3.72066e-05
-0.00215158,-0.00190596
-0.00100792,-0.000997763
0.00155431,0.000527152
-0.00374932,-3.26256e-05
-0.000522634,-0.00303667
0.000361939,5.59966e-05
-0.000907329,0.000256771
0.00174534,0.000502954
0.000367476,0.00216596
-0.0016717,-0.00503855
0.00190161,-0.0017054
0.0015199,-0.000852503
0.0011738,-0.00114854
-0.0025107,0.000459875
0.000867438,0.00303016
0.000687447,0.00107406
-0.00338398,-0.00161616
-0.00121021,0.00132543
-0.000662501,-0.00180338
-0.00168285,-0.000402997
0.0020905,0.000769171
0.0013545,-0.000830526
0.000778535,-0.000598849
0.000778535,-0.000598849
0.0017416,0.0019106
-0.000263466,0.00135836
-0.0025712,-0.00128422
0.0022578,0.00432184
0.0022578,0.00432184
-0.00019473,-0.00177209
-0.000791207,-0.00221116
9.77561e-05,0.000265784
-0.00644827,-0.000894566
-0.00644827,-0.000894566
0.00156321,-0.00087762
