MDTU,ssplaq,stplaq
2,0.545404,0.311041
4,0.47562,0.254221
6,0.392108,0.211268
8,0.425524,0.224475
10,0.335429,0.179314
12,0.281768,0.1513
14,0.281768,0.1513
16,0.301351,0.162065
18,0.246059,0.135024
20,0.219208,0.116038
22,0.219208,0.116038
24,0.163888,0.0987187
26,0.133109,0.0738707
28,0.125893,0.0788227
30,0.113722,0.0710999
32,0.138146,0.0797279
34,0.130658,0.0798237
36,0.133041,0.0842313
38,0.133041,0.0842313
40,0.136963,0.0756748
42,0.122896,0.0808345
44,0.0754575,0.0494171
46,0.0754575,0.0494171
48,0.104478,0.0620271
50,0.0741583,0.0538521
52,0.0728608,0.0503278
54,0.0604179,0.0441262
56,0.0488902,0.0306263
58,0.0436159,0.0356523
60,0.0436159,0.0356523
62,0.0767955,0.0500571
64,0.0559293,0.035773
66,0.0554039,0.044325
68,0.0648621,0.0427721
70,0.0851269,0.0534954
72,0.0681144,0.0493643
74,0.0664133,0.0513117
76,0.0763711,0.0509923
78,0.0794027,0.0534051
80,0.0794027,0.0534051
82,0.109965,0.0666545
84,0.0862037,0.0533136
86,0.0637125,0.0448341
88,0.0593089,0.0410417
90,0.0743295,0.0511676
92,0.0743295,0.0511676
94,0.0743295,0.0511676
96,0.0609574,0.0412871
98,0.0658121,0.042189
100,0.110091,0.0637746
102,0.124579,0.0747218
104,0.0874327,0.0529651
106,0.0743734,0.0474728
108,0.0987729,0.0571531
110,0.084267,0.0540354
112,0.0755456,0.0446616
114,0.110817,0.0655996
116,0.117788,0.0678623
118,0.0623466,0.0425385
120,0.0566929,0.0384386
122,0.077905,0.046904
124,0.0890511,0.0514106
126,0.106235,0.0641819
128,0.0857313,0.0490417
130,0.0566256,0.0383927
132,0.0454091,0.0351258
134,0.0388862,0.0302812
136,0.0286686,0.026947
138,0.0309324,0.0297911
140,0.0477966,0.0350859
142,0.0551222,0.0394944
144,0.0546979,0.0368683
146,0.0609702,0.041621
148,0.0605345,0.0439597
150,0.0845897,0.0549179
152,0.095737,0.0598929
154,0.11166,0.0760104
156,0.11166,0.0760104
158,0.0822655,0.0514694
160,0.0855117,0.0584784
162,0.0743074,0.0449784
164,0.0741828,0.0464547
166,0.0741828,0.0464547
168,0.0967127,0.0624105
170,0.139581,0.0809289
172,0.118304,0.0776494
174,0.090025,0.0543715
176,0.090025,0.0543715
178,0.082249,0.047077
180,0.0540562,0.0426894
182,0.0511087,0.0356789
184,0.0469936,0.0346336
186,0.0469936,0.0346336
188,0.0513823,0.0337235
190,0.033698,0.0300572
192,0.039562,0.0305992
194,0.0267744,0.0260099
196,0.0293461,0.0291439
198,0.0615236,0.0384153
200,0.0615236,0.0384153
202,0.0651292,0.0396591
204,0.0616173,0.0389127
206,0.0616173,0.0389127
208,0.0492288,0.0392868
210,0.0583879,0.0374018
212,0.0583879,0.0374018
214,0.0517464,0.036436
216,0.0622241,0.0430444
218,0.0657886,0.0449729
220,0.0657886,0.0449729
222,0.0672135,0.0478921
224,0.058464,0.0398143
226,0.0619587,0.0467046
228,0.0654928,0.045028
230,0.0582128,0.0465492
232,0.0635102,0.0513638
234,0.0633126,0.0389878
236,0.0633126,0.0389878
238,0.0569065,0.0433851
240,0.0666816,0.0466594
242,0.0663299,0.0437615
244,0.0663299,0.0437615
246,0.0946819,0.0582442
248,0.0777176,0.0501956
250,0.0869927,0.057404
252,0.0847403,0.0554977
254,0.0847403,0.0554977
256,0.0860805,0.0532325
258,0.0588351,0.0398483
260,0.0616142,0.0380449
262,0.0544745,0.0409547
264,0.0487424,0.0387498
266,0.0491759,0.0400711
268,0.0443278,0.0364886
270,0.0322731,0.0277521
272,0.0360216,0.0319851
274,0.0360216,0.0319851
276,0.0340435,0.0288097
278,0.0445726,0.0296774
280,0.0445726,0.0296774
282,0.0556523,0.0417527
284,0.0414894,0.0309433
286,0.0453536,0.0336587
